"Date","UPL.NS.Open","UPL.NS.High","UPL.NS.Low","UPL.NS.Close","UPL.NS.Volume","UPL.NS.Adjusted"
2016-06-24,525,543,490,540.2,2646500,540.2
2016-06-27,541.8,548.5,538,545,638100,545
2016-06-28,547.85,552.8,543.55,546.15,1999600,546.15
2016-06-29,549,554.5,545.65,549.65,1485900,549.65
2016-06-30,553.45,563.9,548.1,550.1,2332200,550.1
2016-07-01,553.9,563.75,553,560.5,1872000,560.5
2016-07-04,563.7,566.7,554.25,555.9,1011600,555.9
2016-07-05,552,553.2,542.5,546.3,908500,546.3
2016-07-06,546.3,546.3,546.3,546.3,0,546.3
2016-07-07,544,558.5,541.05,554.25,1626200,554.25
2016-07-08,556.7,561.2,547.5,551.65,1519000,551.65
2016-07-11,554,557.35,538.35,546.6,912900,546.6
2016-07-12,546,552.35,543.35,550.2,1075500,550.2
2016-07-13,550.2,563.8,547.55,561.3,2214200,561.3
2016-07-14,563.95,571,561.6,569.1,2219900,569.1
2016-07-15,571.9,573.95,563.1,566.6,1454000,566.6
2016-07-18,567.7,569,551.25,555.7,615200,555.7
2016-07-19,555.65,559.6,549,553.2,987500,553.2
2016-07-20,553.2,556,550.6,552.75,837100,552.75
2016-07-21,553.3,561.5,549,559.1,1183400,559.1
2016-07-22,561.8,586,560.3,584.1,2229200,584.1
2016-07-25,586.7,586.7,574.45,579.4,1071400,579.4
2016-07-26,579.4,589.75,574.35,578.1,1260100,578.1
2016-07-27,581,610.85,581,608.8,5370900,608.8
2016-07-28,612.75,618,602.8,610.1,2784900,610.1
2016-07-29,612.95,629.75,605.95,624.85,8831500,624.85
2016-08-01,627.95,629.95,607.35,611.6,1815300,611.6
2016-08-02,615.9,616.95,582.2,588,2398900,588
2016-08-03,588,594.8,575.85,583.2,2287400,583.2
2016-08-04,588.85,606.35,586.15,602.3,2435500,602.3
2016-08-05,604,616.35,603.05,614,1354300,614
2016-08-08,614.6,629.4,614.5,622.15,1849600,622.15
2016-08-09,625.95,625.95,605.5,615.9,1169200,615.9
2016-08-10,618.15,629,614.75,620.3,1793100,620.3
2016-08-11,620.9,636.45,614.6,628.35,2324700,628.35
2016-08-12,629.55,634.9,626.85,629.55,1120200,629.55
2016-08-15,629.55,629.55,629.55,629.55,0,629.55
2016-08-16,632,637.75,620.2,626.2,1097600,626.2
2016-08-17,627,646.4,623.05,642.6,1706000,642.6
2016-08-18,646,652.5,639.1,644.05,1594200,644.05
2016-08-19,646.25,649.9,638,645.2,1211100,645.2
2016-08-22,644,655.5,641.35,652,1553200,652
2016-08-23,648,653.6,639.8,645.25,913100,645.25
2016-08-24,642.05,651.7,641.15,644.2,737200,644.2
2016-08-25,645,646.05,629.3,632.25,1421200,632.25
2016-08-26,634.5,639,625.65,634.8,1284600,634.8
2016-08-29,631.6,649.2,631.6,637.15,1693100,637.15
2016-08-30,640.05,643.7,637.95,638.75,517900,638.75
2016-08-31,641.4,644.65,634.75,638.95,1414100,638.95
2016-09-01,639.9,645,612.8,627.15,876800,627.15
2016-09-02,625.1,639.9,617.1,635.2,936000,635.2
2016-09-05,635.2,635.2,635.2,635.2,0,635.2
2016-09-06,632,650.8,632,647.95,1201100,647.95
2016-09-07,646.6,668,646.55,660.85,2101300,660.85
2016-09-08,661,662.6,652.35,659.35,656000,659.35
2016-09-09,650,671.35,650,660.5,1633400,660.5
2016-09-12,648,657.9,635.1,649.1,1753600,649.1
2016-09-13,649.1,649.1,649.1,649.1,0,649.1
2016-09-14,648.35,700.25,648.35,696.3,2349500,696.3
2016-09-15,703.1,710.7,682.25,684.75,2481200,684.75
2016-09-16,686.55,700.5,682.55,692.8,3224800,692.8
2016-09-19,699.7,699.7,678.9,682.25,1953600,682.25
2016-09-20,686,691.25,677.6,679.8,1396600,679.8
2016-09-21,682.4,697,675.75,684.2,1933800,684.2
2016-09-22,691,696.3,680.8,684.25,1694500,684.25
2016-09-23,688,706.9,683.1,692.4,2740800,692.4
2016-09-26,694.2,694.2,678.65,682.15,1229200,682.15
2016-09-27,686.7,694.9,680.75,683.7,1391100,683.7
2016-09-28,688,690.85,679.3,683,1854100,683
2016-09-29,687.45,687.55,643.15,650.3,2010300,650.3
2016-09-30,645,677,644.15,673.85,890100,673.85
2016-10-03,675.9,686.2,674.05,680.2,770900,680.2
2016-10-04,682.7,682.7,663.2,676.5,974700,676.5
2016-10-05,681,688.8,675.75,680.4,1141800,680.4
2016-10-06,682,683.3,666.35,671.5,911800,671.5
2016-10-07,673.5,681,668.35,672.2,603100,672.2
2016-10-10,678.3,679.4,670,670.9,263500,670.9
2016-10-11,670.9,670.9,670.9,670.9,0,670.9
2016-10-12,670.9,670.9,670.9,670.9,0,670.9
2016-10-13,667.9,673.3,647.8,669.35,1318300,669.35
2016-10-14,670,686,666.3,683.35,1146100,683.35
2016-10-17,678.8,693,678,686.85,1817700,686.85
