"Date","BATAINDIA.NS.Open","BATAINDIA.NS.High","BATAINDIA.NS.Low","BATAINDIA.NS.Close","BATAINDIA.NS.Volume","BATAINDIA.NS.Adjusted"
2015-04-07,1145,1146.65,1119,1132.25,309800,556.545
2015-04-08,1139,1140,1120.05,1128.75,234600,554.825
2015-04-09,1139,1165.9,1128,1160.3,603600,570.333
2015-04-10,1162,1166,1138.1,1157.95,396400,569.178
2015-04-13,1161,1178.4,1155.05,1159.9,256800,570.136
2015-04-14,1159.9,1159.9,1159.9,1159.9,0,570.136
2015-04-15,1169.25,1172.55,1141,1147.6,279400,564.09
2015-04-16,1147,1154.9,1126,1135.6,334600,558.192
2015-04-17,1135.1,1140.05,1095,1099.7,344100,540.546
2015-04-20,1104.95,1104.95,1050,1057.65,589000,519.876
2015-04-21,1058,1066,1005,1009.8,1121200,496.356
2015-04-22,1012.4,1028.55,975,1002.25,965900,492.645
2015-04-23,1010,1044.65,1010,1020.65,791700,501.69
2015-04-24,1025,1027,1002,1015.9,759500,499.355
2015-04-27,1018.25,1027,992,1007.95,829400,495.447
2015-04-28,1010,1034,995.8,1018.2,419200,500.485
2015-04-29,1015.35,1032,1004,1018.65,234100,500.706
2015-04-30,1014,1027.8,1007,1019.2,703900,500.977
2015-05-01,1019.2,1019.2,1019.2,1019.2,0,500.977
2015-05-04,1024.95,1054.8,1020.4,1031.35,337600,506.949
2015-05-05,1031.55,1071,1031.35,1065.25,519500,523.612
