"Date","AXISBANK.NS.Open","AXISBANK.NS.High","AXISBANK.NS.Low","AXISBANK.NS.Close","AXISBANK.NS.Volume","AXISBANK.NS.Adjusted"
2016-09-12,597.8,601.85,588.4,592.1,8471200,592.1
2016-09-13,592.1,592.1,592.1,592.1,0,592.1
2016-09-14,593,604.65,590.45,601.8,5915200,601.8
2016-09-15,601.05,603,583.3,588.75,7145300,588.75
2016-09-16,592.25,612.4,592.25,602.2,19309800,602.2
2016-09-19,603,606,592.85,594.35,5311900,594.35
2016-09-20,598.8,599,589.15,592.95,4538900,592.95
2016-09-21,596.5,600.35,594.5,598.9,5480000,598.9
2016-09-22,610,612,590,591.8,10205700,591.8
2016-09-23,595.6,596.1,555.7,557.45,30222100,557.45
2016-09-26,559.1,560,545.3,547.4,14880600,547.4
2016-09-27,551,554.25,538.7,541,9085100,541
2016-09-28,543.15,550.65,540.5,549.1,10240000,549.1
2016-09-29,554.45,554.85,523.45,539.3,16581600,539.3
