"Date","NHPC.NS.Open","NHPC.NS.High","NHPC.NS.Low","NHPC.NS.Close","NHPC.NS.Volume","NHPC.NS.Adjusted"
2015-09-04,16.5,16.5,15.9,16.15,4780800,13.88
2015-09-07,16.15,16.25,15.9,16,2877100,13.75
2015-09-08,16.1,16.4,16,16.2,5190300,13.92
2015-09-09,16.35,16.8,16.3,16.7,2549200,14.35
2015-09-10,16.3,16.3,15.9,16.1,5320700,14.17
2015-09-11,16.15,16.3,16,16.1,3163800,14.17
2015-09-14,16.1,16.25,16,16.1,3412300,14.17
2015-09-15,16.1,16.3,16.05,16.2,4971000,14.26
2015-09-16,16.3,16.3,16.05,16.15,3058300,14.22
2015-09-17,16.15,16.15,16.15,16.15,0,14.22
2015-09-18,16.2,16.85,16.2,16.65,9057200,14.66
2015-09-21,16.65,16.9,16.45,16.75,2836100,14.75
2015-09-22,16.8,16.9,16.55,16.65,2762800,14.66
2015-09-23,16.6,16.8,16.35,16.45,2804700,14.48
2015-09-24,16.45,16.85,16.3,16.5,11289100,14.53
2015-09-25,16.5,16.5,16.5,16.5,0,14.53
2015-09-28,16.5,16.5,16.25,16.35,2862700,14.4
2015-09-29,16.25,16.6,16.15,16.55,2255900,14.57
2015-09-30,16.65,16.7,16.5,16.55,1630500,14.57
2015-10-01,16.65,16.85,16.6,16.7,1884100,14.7
2015-10-02,16.7,16.7,16.7,16.7,0,14.7
2015-10-05,16.8,17.1,16.8,16.95,2245000,14.92
2015-10-06,17.1,17.35,16.95,17.25,3480400,15.19
2015-10-07,17.3,17.3,17.1,17.2,2326800,15.14
2015-10-08,17.2,17.3,17.05,17.15,2111100,15.1
2015-10-09,17.2,17.3,17,17.1,1453300,15.06
2015-10-12,17.15,17.6,17.05,17.5,3089900,15.41
2015-10-13,17.55,17.6,17.3,17.4,1162600,15.32
2015-10-14,17.4,17.65,17.3,17.35,1434700,15.28
2015-10-15,17.45,17.6,17.25,17.3,2034900,15.23
2015-10-16,17.3,17.55,17.25,17.45,2381200,15.36
2015-10-19,17.45,17.75,17.4,17.6,2590900,15.5
2015-10-20,17.6,18.25,17.6,18.05,4056500,15.89
2015-10-21,18.05,18.45,17.9,18.1,3407900,15.94
2015-10-22,18.1,18.1,18.1,18.1,0,15.94
2015-10-23,18.2,18.4,18.1,18.25,3638000,16.07
2015-10-26,18.25,18.35,17.95,18,2532300,15.85
2015-10-27,18,18.15,17.9,18.05,2806500,15.89
2015-10-28,18.05,18.1,17.85,17.95,2184200,15.8
2015-10-29,17.9,18.2,17.8,18.1,4465600,15.94
2015-10-30,18.05,18.5,18.05,18.15,2933500,15.98
2015-11-02,18.15,18.2,17.85,17.9,2668000,15.76
2015-11-03,17.95,18.1,17.9,17.95,1623100,15.8
2015-11-04,18,18.1,17.9,17.95,1794600,15.8
2015-11-05,18,18.05,17.75,17.85,1727100,15.72
2015-11-06,17.85,17.95,17.15,17.6,3591000,15.5
2015-11-09,17.25,17.9,17.2,17.8,1495200,15.67
2015-11-10,18.35,18.75,18.15,18.25,9433100,16.07
2015-11-11,18.25,18.25,18.25,18.25,0,16.07
2015-11-12,18.25,18.25,18.25,18.25,0,16.07
2015-11-13,18.15,18.35,18.15,18.3,2466000,16.11
2015-11-16,18.3,18.6,18.2,18.55,2952300,16.33
2015-11-17,18.6,18.7,18.4,18.45,3463500,16.24
2015-11-18,18.45,18.9,18.45,18.6,4985400,16.38
2015-11-19,18.7,19.1,18.55,18.95,4521900,16.68
2015-11-20,18.9,19.15,18.8,19.05,2874400,16.77
2015-11-23,19.05,19.15,18.9,19.05,2709800,16.77
2015-11-24,19,19.15,18.9,18.95,2958500,16.68
2015-11-25,18.95,18.95,18.95,18.95,0,16.68
2015-11-26,19,19.2,18.75,18.85,8861000,16.6
2015-11-27,18.85,19,18.65,18.85,3438300,16.6
2015-11-30,18.85,19.35,18.85,19.3,3995700,16.99
2015-12-01,19.35,20.05,19.2,19.95,4918400,17.56
2015-12-02,20.2,20.35,19.75,20.2,5124100,17.78
2015-12-03,20.25,20.4,19.75,19.9,3712300,17.52
2015-12-04,19.8,19.95,19.35,19.4,2628600,17.08
2015-12-07,19.5,19.8,19.45,19.65,1412600,17.3
2015-12-08,19.65,19.65,18.95,19,2142400,16.73
2015-12-09,18.8,19,18.6,18.7,1955700,16.46
2015-12-10,18.75,19.4,18.7,19.3,3283400,16.99
