"Date","SRF.NS.Open","SRF.NS.High","SRF.NS.Low","SRF.NS.Close","SRF.NS.Volume","SRF.NS.Adjusted"
2016-03-03,1110,1154.9,1103.55,1148.05,120300,1139.25
2016-03-04,1161.9,1216.2,1158,1207.5,233200,1198.25
2016-03-07,1207.5,1207.5,1207.5,1207.5,0,1198.25
2016-03-08,1212,1220,1176.35,1182.7,109000,1173.64
2016-03-09,1177,1204.45,1158.05,1196.35,157200,1187.18
2016-03-10,1194.4,1207.95,1176.35,1181.25,109300,1172.2
2016-03-11,1187.95,1195.4,1170,1179.25,90000,1170.21
2016-03-14,1185.1,1205,1170.2,1193.2,64900,1184.06
2016-03-15,1200,1236,1187,1202.65,324600,1193.43
2016-03-16,1209.9,1215.95,1170,1201.7,154200,1192.49
2016-03-17,1210.1,1224.8,1186.4,1193.65,114600,1184.5
2016-03-18,1204.15,1217.25,1187.95,1208.65,106200,1199.39
2016-03-21,1206.15,1232.5,1206.15,1225.55,194800,1216.16
2016-03-22,1229.75,1234.7,1203,1226.95,152600,1217.55
2016-03-23,1230,1258.55,1221,1249.9,173800,1240.32
2016-03-24,1249.9,1249.9,1249.9,1249.9,0,1240.32
2016-03-25,1249.9,1249.9,1249.9,1249.9,0,1240.32
2016-03-28,1255.8,1284.4,1243.7,1267.95,279900,1258.23
2016-03-29,1276.1,1284.65,1236.2,1274.2,140300,1264.44
2016-03-30,1278,1320,1268,1304.15,130900,1294.16
2016-03-31,1305,1333.85,1291.1,1308.45,242100,1298.42
2016-04-01,1295,1295,1264.5,1279.4,114300,1269.6
2016-04-04,1284,1289.35,1272,1278.5,46400,1268.7
2016-04-05,1270.65,1280.4,1227,1231.65,110100,1222.21
2016-04-06,1233,1299.85,1230,1286.8,177400,1276.94
2016-04-07,1255.75,1284.75,1255.75,1260.2,94100,1250.54
2016-04-08,1248,1288.5,1245.2,1279.25,70300,1269.45
2016-04-11,1295,1307,1267.1,1294.4,89500,1284.48
2016-04-12,1287.95,1323.75,1287.45,1301.95,170900,1291.97
2016-04-13,1310,1383.9,1310,1374.3,314000,1363.77
2016-04-14,1374.3,1374.3,1374.3,1374.3,0,1363.77
2016-04-15,1374.3,1374.3,1374.3,1374.3,0,1363.77
2016-04-18,1384.8,1414.9,1380,1386.35,274200,1375.73
2016-04-19,1386.35,1386.35,1386.35,1386.35,0,1375.73
2016-04-20,1387.85,1411.9,1382.75,1397.55,102400,1386.84
2016-04-21,1400,1416,1352,1358.8,138200,1348.39
2016-04-22,1357.9,1364.15,1332,1354.8,115600,1344.42
2016-04-25,1362,1371.8,1336.15,1347.5,103300,1337.17
2016-04-26,1346.05,1361.45,1340.35,1349.05,210000,1338.71
2016-04-27,1360,1362.4,1340.1,1355.75,85800,1345.36
2016-04-28,1356,1369.5,1336,1342.55,164500,1332.26
2016-04-29,1342,1370,1317.45,1364.65,118600,1354.19
2016-05-02,1360.2,1387.45,1352.2,1359.05,107200,1348.64
2016-05-03,1360,1375.15,1336.2,1342.05,71900,1331.77
2016-05-04,1340,1358.4,1332.5,1336.45,54800,1326.21
2016-05-05,1345,1416.55,1337,1383.65,380300,1373.05
2016-05-06,1384.3,1391.95,1351.15,1363.75,88600,1353.3
2016-05-09,1384.95,1422.55,1369.75,1416.85,221300,1405.99
2016-05-10,1424.35,1441.5,1398.25,1412.5,235200,1401.68
2016-05-11,1423,1468.8,1402.55,1437.75,619300,1426.73
2016-05-12,1445,1455,1366.3,1387.2,306200,1376.57
2016-05-13,1369,1369,1234.8,1261.2,1051300,1251.54
2016-05-16,1262.95,1286.95,1235.3,1260.15,552500,1250.49
2016-05-17,1265.5,1278,1251.25,1264.45,315000,1254.76
2016-05-18,1251.2,1272.9,1243.95,1264.4,232100,1254.71
2016-05-19,1272,1288,1222.45,1232.35,258700,1222.91
2016-05-20,1232,1236,1173,1200.85,258600,1191.65
2016-05-23,1210.05,1217.8,1175.5,1185.2,215100,1176.12
2016-05-24,1185.2,1215,1165.35,1205.8,254100,1196.56
2016-05-25,1217,1242.2,1198.85,1235,203900,1225.54
2016-05-26,1235,1249.3,1226,1235.65,230500,1226.18
2016-05-27,1239.9,1270,1229.4,1260.55,144800,1250.89
2016-05-30,1270,1307.8,1265.65,1302.65,273000,1292.67
2016-05-31,1311,1311,1286,1297.1,293100,1287.16
2016-06-01,1300,1309.5,1267.15,1287.85,140500,1277.98
2016-06-02,1265,1290.9,1261.55,1285.9,126200,1276.05
2016-06-03,1295,1295,1250,1254.85,82700,1245.23
2016-06-06,1245.1,1275.9,1239.7,1263.85,62800,1254.16
2016-06-07,1265.2,1274.7,1251.75,1264.75,118100,1255.06
2016-06-08,1260,1266.8,1250.7,1257,41700,1247.37
2016-06-09,1260,1274.8,1237.85,1268.8,189900,1259.08
2016-06-10,1270,1281.45,1243.3,1250.25,174600,1240.67
2016-06-13,1250,1308,1232.15,1299.4,334200,1289.44
2016-06-14,1310.95,1310.95,1256.15,1262.3,252600,1252.63
2016-06-15,1268.55,1287,1265.7,1284.35,225100,1274.51
2016-06-16,1284.95,1285.8,1256,1263.35,76500,1253.67
2016-06-17,1265.3,1282.9,1253.4,1256.05,81900,1246.42
2016-06-20,1256,1275,1243.55,1268.7,129400,1258.98
2016-06-21,1279.95,1280,1256.55,1261.9,70000,1252.23
2016-06-22,1261.9,1269.8,1250.45,1253.7,68500,1244.09
2016-06-23,1257,1258.95,1248,1251,66600,1241.41
2016-06-24,1221.5,1260,1196.65,1252.95,119800,1243.35
2016-06-27,1261,1274,1251,1266.6,64700,1256.89
2016-06-28,1274.8,1285.4,1265,1280.65,77000,1270.84
2016-06-29,1283,1299,1280,1294.55,75700,1284.63
2016-06-30,1301.1,1324.7,1290.7,1312.85,411100,1302.79
2016-07-01,1313,1327.45,1310,1314.35,52500,1304.28
2016-07-04,1327.5,1334.25,1311.1,1319.8,78100,1309.69
2016-07-05,1317,1333.95,1305.05,1310.45,59800,1300.41
2016-07-06,1310.45,1310.45,1310.45,1310.45,0,1300.41
2016-07-07,1315,1343.9,1307.25,1325.1,223000,1314.95
2016-07-08,1330,1338.7,1296.05,1309.75,87800,1299.71
2016-07-11,1325,1335,1312.2,1316.5,50300,1306.41
2016-07-12,1322,1361.4,1320,1353.4,182800,1343.03
2016-07-13,1352,1362.95,1335,1339.25,70700,1328.99
2016-07-14,1363,1437,1360,1374.1,1061600,1363.57
2016-07-15,1380,1380,1329,1337.35,165100,1327.1
2016-07-18,1348,1369,1322.55,1339.75,142300,1329.48
2016-07-19,1341.9,1353.1,1324.35,1333.45,96900,1323.23
2016-07-20,1331.7,1365,1329,1350.85,124300,1340.5
2016-07-21,1353,1388,1342.6,1364.7,209200,1354.24
2016-07-22,1366,1398,1360.55,1392.9,174600,1382.23
2016-07-25,1395,1408,1375,1390.6,195100,1379.94
2016-07-26,1402,1418.05,1386.25,1391.05,217200,1380.39
2016-07-27,1395,1418.85,1391.05,1411.65,191300,1400.83
2016-07-28,1412,1432,1404,1426.05,225900,1415.12
2016-07-29,1429.9,1472.4,1429.9,1465.8,207200,1454.57
2016-08-01,1470.25,1528,1470.25,1512.85,415500,1501.26
2016-08-02,1521,1524.8,1474.75,1494,177200,1482.55
2016-08-03,1499,1505.2,1470,1475.85,181800,1464.54
2016-08-04,1486.9,1513.95,1462.2,1503.3,168400,1491.78
2016-08-05,1510,1549.5,1510,1531.85,209700,1520.11
2016-08-08,1546,1556,1496,1539.05,229100,1527.26
2016-08-09,1564.9,1688.7,1550,1580.9,2093500,1568.79
2016-08-10,1580.9,1628.6,1548,1561.55,876100,1549.58
2016-08-11,1571.2,1584.95,1538.1,1558.75,239300,1546.81
2016-08-12,1564.95,1597.95,1560,1583.8,212700,1571.66
2016-08-15,1583.8,1583.8,1583.8,1583.8,0,1571.66
2016-08-16,1587.95,1591.85,1549.9,1583.3,130400,1577.14
2016-08-17,1570,1629.7,1570,1611.15,283400,1604.88
2016-08-18,1608.9,1635,1547.7,1620.85,289900,1614.55
2016-08-19,1619.5,1639.75,1608.5,1612.8,188800,1606.53
2016-08-22,1619.95,1632,1608.55,1623.8,132800,1617.48
2016-08-23,1623,1666.25,1621,1659.3,280200,1652.85
2016-08-24,1661,1692,1650.95,1681.35,219800,1674.81
2016-08-25,1681,1709.45,1667,1679.2,274400,1672.67
2016-08-26,1686.4,1712,1665,1674.65,232500,1668.14
2016-08-29,1673.9,1683.5,1658.65,1670.65,97200,1664.15
2016-08-30,1680,1699,1657.65,1686.55,90700,1679.99
2016-08-31,1697,1730,1683.1,1721.5,321500,1714.8
2016-09-01,1729.9,1750,1705.5,1713.65,204700,1706.98
2016-09-02,1716,1734,1699.25,1705,130900,1698.37
