"Date","KOTAKBANK.NS.Open","KOTAKBANK.NS.High","KOTAKBANK.NS.Low","KOTAKBANK.NS.Close","KOTAKBANK.NS.Volume","KOTAKBANK.NS.Adjusted"
2015-03-31,1314.95,1324.7,1300.25,1313.25,764500,655.2893
2015-04-01,1322.9,1368.8,1305.2,1361.05,965200,679.1407
2015-04-02,1361.05,1361.05,1361.05,1361.05,0,679.1407
2015-04-03,1361.05,1361.05,1361.05,1361.05,0,679.1407
2015-04-06,1370,1404,1352.35,1397.6,2215800,697.3785
2015-04-07,1399.9,1413.1,1370.1,1386.85,3148200,692.0144
2015-04-08,1386.85,1395,1367.3,1371.6,603400,684.4049
2015-04-09,1379,1444.3,1365.9,1430.6,3218400,713.8449
2015-04-10,1438,1438.8,1412.9,1422.4,1766500,709.7533
2015-04-13,1421.95,1453.65,1410.1,1445.6,1626300,721.3297
2015-04-14,1445.6,1445.6,1445.6,1445.6,0,721.3297
2015-04-15,1446.9,1475.3,1430.5,1443.9,5041800,720.4814
2015-04-16,1443,1446.35,1408,1418.4,1456400,707.7574
2015-04-17,1413,1421.35,1372.35,1386.55,1171400,691.8648
2015-04-20,1382.1,1386.95,1360.2,1370.9,2429500,684.0557
2015-04-21,1370.9,1379.8,1346.45,1353,1987300,675.1239
2015-04-22,1354.95,1380.95,1304.05,1362.25,1699600,679.7395
2015-04-23,1369,1387.8,1348.45,1377.55,1011200,687.3739
2015-04-24,1376,1389.5,1336.05,1368.25,1692700,682.7334
2015-04-27,1368.8,1384,1325,1336.85,1189000,667.0653
2015-04-28,1332.25,1362.5,1313,1342.05,1947600,669.66
2015-04-29,1339,1339,1310.1,1329.8,1226200,663.5475
2015-04-30,1320,1339.6,1297.3,1332.9,4313000,665.0943
2015-05-01,1332.9,1332.9,1332.9,1332.9,0,665.0943
2015-05-04,1306.35,1341.6,1306.35,1338.8,1275400,668.0383
2015-05-05,1347.85,1429.45,1342.05,1423.25,6681300,710.1774
