"Date","BHARATFORG.NS.Open","BHARATFORG.NS.High","BHARATFORG.NS.Low","BHARATFORG.NS.Close","BHARATFORG.NS.Volume","BHARATFORG.NS.Adjusted"
2015-02-17,1175.25,1175.25,1175.25,1175.25,0,1156.76266
2015-02-18,1182.90002,1229.90002,1179.59998,1225.65002,1084600,1206.36986
2015-02-19,1251.90002,1280.5,1220.30005,1247.34998,2705300,1227.72846
2015-02-20,1253,1301.90002,1228.19995,1280.34998,1769600,1260.20935
2015-02-23,1284.30005,1298,1257.15002,1264.90002,887300,1245.00244
2015-02-24,1270.5,1277.5,1249.75,1272.05005,784000,1252.03999
2015-02-25,1290,1317,1287.05005,1308.05005,1357100,1287.47369
2015-02-26,1309.5,1313,1240,1259.80005,1850300,1239.98269
2015-02-27,1268.25,1280,1239.15002,1249,1577900,1229.35253
2015-03-02,1260,1293,1249.44995,1286.5,965500,1266.26263
2015-03-03,1290.5,1297,1267,1291,650300,1270.69185
2015-03-04,1290,1309.40002,1253.25,1265.75,713100,1245.83904
2015-03-05,1268.75,1308.40002,1258.75,1293.25,1059400,1272.90645
2015-03-06,1293.25,1293.25,1293.25,1293.25,0,1272.90645
2015-03-09,1288.09998,1301,1264.40002,1269.09998,482300,1249.13632
2015-03-10,1273,1292.15002,1260,1284.19995,628700,1263.99877
2015-03-11,1289.55005,1309,1272,1304.94995,8e+05,1284.42236
2015-03-12,1315,1338,1310,1333.5,1176400,1312.5233
2015-03-13,1341.5,1347.30005,1280,1288.94995,1053000,1268.67405
2015-03-16,1297.59998,1315,1260.19995,1296.34998,567400,1275.95766
2015-03-17,1305.94995,1323.80005,1292.15002,1313.30005,692400,1292.6411
2015-03-18,1324,1325.94995,1291.15002,1299,495100,1278.566
2015-03-19,1310,1335.90002,1300,1308.44995,880300,1287.8673
2015-03-20,1324.69995,1338,1281.19995,1287.5,619800,1267.2469
2015-03-23,1292,1306.80005,1283.05005,1297,664200,1276.59746
2015-03-24,1284.19995,1305.80005,1280,1297.30005,504200,1276.89279
2015-03-25,1300,1312,1253.59998,1259.75,672300,1239.93343
2015-03-26,1250,1259.94995,1200,1209.40002,1333000,1190.37548
2015-03-27,1217,1229,1186.94995,1221.30005,1028900,1202.08832
2015-03-30,1237,1262,1229.40002,1253,455000,1233.28961
2015-03-31,1264.40002,1282.25,1253,1276.84998,754000,1256.76441
2015-04-01,1265.05005,1333.09998,1265.05005,1322.59998,704400,1301.79474
2015-04-02,1322.59998,1322.59998,1322.59998,1322.59998,0,1301.79474
2015-04-03,1322.59998,1322.59998,1322.59998,1322.59998,0,1301.79474
2015-04-06,1339.09998,1363,1308.30005,1315.65002,1166200,1294.95411
2015-04-07,1325,1339,1301,1313.75,515300,1293.08398
2015-04-08,1325.40002,1347,1316.5,1339.69995,577400,1318.62572
2015-04-09,1350,1352.44995,1312,1319.94995,732300,1299.1864
2015-04-10,1320,1342.34998,1320,1331.80005,456000,1310.85009
2015-04-13,1322,1329.44995,1305.59998,1310.75,546200,1290.13117
2015-04-14,1310.75,1310.75,1310.75,1310.75,0,1290.13117
2015-04-15,1314.5,1336.90002,1307,1316,689000,1295.29858
2015-04-16,1321.5,1327,1280,1300.5,732100,1280.04241
2015-04-17,1283,1285.19995,1191,1197.15002,1576600,1178.31818
2015-04-20,1191,1196.59998,1146.59998,1182.59998,1633600,1163.99702
2015-04-21,1200,1208.80005,1160.59998,1181.5,914000,1162.91434
2015-04-22,1198,1198,1146.09998,1165.09998,1124500,1146.7723
2015-04-23,1173,1187.05005,1158,1171.75,927900,1153.31772
2015-04-24,1179.34998,1215.80005,1162.5,1201.94995,900700,1183.04261
2015-04-27,1200,1220,1154.75,1179.69995,800600,1161.14261
2015-04-28,1162.30005,1222.5,1160,1215.55005,865900,1196.42877
2015-04-29,1237,1258,1230.69995,1245.84998,806100,1226.25206
2015-04-30,1248.59998,1262.15002,1213.15002,1254.75,1065000,1235.01208
2015-05-01,1254.75,1254.75,1254.75,1254.75,0,1235.01208
2015-05-04,1267.19995,1282.44995,1262.90002,1267.19995,534700,1247.26619
2015-05-05,1267.94995,1310.30005,1267.94995,1306.30005,1017700,1285.75122
2015-05-06,1298.5,1325,1226.65002,1237.80005,1424500,1218.32876
2015-05-07,1236,1247,1175,1205.30005,1532300,1186.34
2015-05-08,1220,1259,1220,1228,564400,1208.68287
2015-05-11,1232,1268,1232,1241.90002,590000,1222.36424
2015-05-12,1244,1255.94995,1210,1227.44995,698400,1208.14148
2015-05-13,1251,1264.30005,1235.59998,1244.09998,1371300,1224.52959
2015-05-14,1241,1300,1225.75,1293.65002,1259200,1273.30019
2015-05-15,1304,1315,1268,1271.05005,1100100,1251.05572
2015-05-18,1277,1295.90002,1267.65002,1290.94995,776800,1270.64259
2015-05-19,1290.90002,1313.69995,1267.69995,1288.94995,1116200,1268.67405
2015-05-20,1302.94995,1331.75,1227.84998,1238.19995,4369500,1218.72237
2015-05-21,1238.19995,1251.84998,1217.94995,1242.94995,2032800,1223.39765
2015-05-22,1251.94995,1251.94995,1211,1224.19995,1356600,1204.9426
2015-05-25,1221.94995,1259.94995,1215.5,1254.44995,1703000,1234.71675
2015-05-26,1264.80005,1280,1251.80005,1276.5,1948200,1256.41994
2015-05-27,1269.30005,1274.84998,1233.25,1239.25,1747600,1219.7559
2015-05-28,1242.5,1244.69995,1202.90002,1209.40002,2018500,1190.37548
2015-05-29,1210.80005,1261.90002,1200.55005,1231.55005,10210600,1212.17708
2015-06-01,1223.44995,1229,1207.09998,1214.09998,976900,1195.0015
2015-06-02,1214.90002,1240,1194.59998,1209.25,884100,1190.22782
2015-06-03,1210.09998,1217.84998,1178.05005,1191.25,985800,1172.51097
2015-06-04,1190.05005,1206.94995,1165.09998,1198.30005,1095900,1179.45012
2015-06-05,1183,1197.69995,1176.59998,1186.19995,892700,1167.54036
2015-06-08,1188.90002,1189.44995,1148.55005,1153.90002,851700,1135.74853
2015-06-09,1147,1151,1005,1095,3890800,1077.77504
2015-06-10,1095.30005,1148,1095.30005,1142.65002,1083100,1124.6755
2015-06-11,1145,1159.65002,1095.90002,1104.25,1132900,1086.87953
2015-06-12,1105,1116.19995,1081.25,1107.75,788200,1090.32447
2015-06-15,1115.94995,1126.44995,1077.09998,1083.80005,805600,1066.75127
2015-06-16,1093,1101.80005,1074,1093.75,661800,1076.5447
2015-06-17,1101,1124.94995,1082,1118.34998,984600,1100.7577
2015-06-18,1125,1133.5,1104.55005,1108.69995,664600,1091.25948
2015-06-19,1118.69995,1135,1105.5,1127.75,850300,1110.00986
2015-06-22,1128.55005,1143,1115.59998,1138,797600,1120.09862
2015-06-23,1143,1160,1134,1141.30005,645800,1123.34676
2015-06-24,1144,1147.40002,1114.55005,1121,738500,1103.36604
2015-06-25,1110,1141.94995,1106,1132.84998,984100,1115.02961
2015-06-26,1127,1145,1110.05005,1115.5,731300,1097.95256
2015-06-29,1065.5,1076.5,1026.80005,1070.65002,1220600,1053.8081
2015-06-30,1078,1078,1053.5,1063.25,1315200,1046.52448
2015-07-01,1061.19995,1115.80005,1057.34998,1108.5,908000,1091.06267
2015-07-02,1113.94995,1126.69995,1097,1117.90002,614900,1100.31483
2015-07-03,1124.80005,1124.80005,1070.09998,1074.55005,994500,1057.64677
2015-07-06,1030,1098.40002,1021.25,1091.5,1300800,1074.33009
2015-07-07,1095,1098.80005,1065,1072.84998,840000,1055.97344
2015-07-08,1062.5,1082.40002,1041.15002,1055.84998,949800,1039.24086
2015-07-09,1067,1083.69995,1058,1074.15002,755800,1057.25304
2015-07-10,1079.80005,1086.55005,1064,1071.5,834200,1054.64471
2015-07-13,1076.40002,1127,1065.25,1123.5,1049300,1105.82672
2015-07-14,1129,1129,1093.40002,1100.80005,605500,1083.48385
2015-07-15,1107.94995,1126.90002,1102.40002,1107.05005,819600,1089.63553
2015-07-16,1114.5,1138.69995,1112.94995,1129.30005,804600,1111.53553
2015-07-17,1134,1144.44995,1122.19995,1131.59998,660700,1113.79927
2015-07-20,1135.30005,1135.30005,1103,1112.34998,391400,1099.22333
2015-07-21,1115.80005,1118.90002,1076.80005,1088.69995,520500,1075.85239
2015-07-22,1086,1108.30005,1077.34998,1095.15002,615000,1082.22635
2015-07-23,1099,1118,1091.09998,1110.19995,430400,1097.09868
2015-07-24,1113,1122.80005,1097,1108.75,388100,1095.66583
2015-07-27,1101.90002,1118.25,1081.34998,1105.80005,632000,1092.7507
2015-07-28,1107,1115.44995,1088.5,1095.90002,506600,1082.9675
2015-07-29,1096,1109.55005,1084.40002,1106.40002,479400,1093.34359
2015-07-30,1115,1134.15002,1105.5,1109.90002,864900,1096.80229
2015-07-31,1113,1152,1113,1147.84998,758500,1134.3044
2015-08-03,1151.5,1199,1130,1165.25,2429800,1151.49909
2015-08-04,1173.09998,1193.90002,1155.55005,1177.09998,1196700,1163.20922
2015-08-05,1186,1248,1181.59998,1243.59998,1774600,1228.92447
2015-08-06,1249.40002,1249.40002,1215.30005,1231.90002,757200,1217.36259
2015-08-07,1233,1257.25,1216.90002,1222.69995,710200,1208.27108
2015-08-10,1225,1237.40002,1205,1215.5,497500,1201.1561
2015-08-11,1219.80005,1224.90002,1198,1201.55005,665700,1187.37077
2015-08-12,1196,1199.80005,1159.05005,1166.44995,508700,1152.68488
2015-08-13,1170.09998,1194.65002,1150.75,1161.84998,638300,1148.13919
2015-08-14,1173.84998,1230.84998,1160.19995,1225.55005,747800,1211.08755
2015-08-17,1228,1254.40002,1205.90002,1246.5,991300,1231.79027
2015-08-18,1257,1277.80005,1243.90002,1253.84998,1227000,1239.05351
2015-08-19,1251.19995,1289,1250,1280.80005,1024000,1265.68555
2015-08-20,1280,1293,1250.69995,1260.5,1004300,1245.62506
2015-08-21,1238.90002,1250,1208,1219.80005,764700,1205.4054
2015-08-24,1150,1195,1086,1117.90002,1380500,1104.70788
2015-08-25,1118.80005,1194,1092.5,1164.40002,862200,1150.65914
2015-08-26,1164,1173.94995,1084,1107.90002,708000,1094.82589
2015-08-27,1145,1196.40002,1130,1179.75,786600,1165.82798
2015-08-28,1188.69995,1199.90002,1171.5,1182.69995,713100,1168.74312
2015-08-31,1173,1196,1161.09998,1167.90002,830500,1154.11784
2015-09-01,1150,1174,1105,1130.90002,700600,1117.55447
2015-09-02,1139,1148.40002,1106,1114.25,518400,1101.10093
2015-09-03,1121,1144.30005,1120,1128.55005,341700,1115.23223
2015-09-04,1128.55005,1133,1060.59998,1077.30005,776800,1064.58702
2015-09-07,1072,1080.44995,1010,1015.54999,784000,1003.56566
2015-09-08,1017.15002,1038.40002,980.54999,1021.84998,1416400,1009.7913
2015-09-09,1042,1075,1040,1053.94995,644800,1041.51247
2015-09-10,1035,1035,1008.20001,1022.20001,867300,1010.13721
2015-09-11,1038,1054,1022,1030.69995,473600,1018.53684
2015-09-14,1038,1041.5,1018,1026.15002,448600,1014.04061
2015-09-15,1010,1010,957.09998,958.45001,2051100,947.13951
2015-09-16,961.09998,972.5,936,940.15002,1719900,929.05548
2015-09-17,940.15002,940.15002,940.15002,940.15002,0,929.05548
2015-09-18,949.70001,956.90002,921,925.59998,2114600,914.67713
2015-09-21,920,934.79999,899.04999,902.54999,1763800,891.89915
2015-09-22,910,931.90002,897.09998,910.15002,1742300,899.4095
