"Date","JETAIRWAYS.NS.Open","JETAIRWAYS.NS.High","JETAIRWAYS.NS.Low","JETAIRWAYS.NS.Close","JETAIRWAYS.NS.Volume","JETAIRWAYS.NS.Adjusted"
2015-01-01,385.75,422.95,382.15,420,6946800,420
2015-01-02,429,446.7,426.2,440.15,5899200,440.15
2015-01-05,437,440.45,423.15,428.15,1550700,428.15
2015-01-06,432.4,449.5,418.2,421.6,4597400,421.6
2015-01-07,425.9,443.8,420.1,437.8,3692800,437.8
2015-01-08,443.35,459.4,436.25,442.7,3640100,442.7
2015-01-09,446,447,430.7,433.8,2097700,433.8
2015-01-12,433.9,448,428,441.95,2247900,441.95
2015-01-13,455.45,471.4,455.4,463.75,4564300,463.75
2015-01-14,451,468.95,437.95,464.85,5988500,464.85
2015-01-15,474.5,474.7,443.15,446.9,2347300,446.9
2015-01-16,446.75,451.4,425.65,429.45,2065100,429.45
2015-01-19,434.2,439.7,426.2,432.4,1570400,432.4
2015-01-20,437.85,443.4,431,434.45,1321300,434.45
2015-01-21,438.7,444.75,432.6,440.4,1589200,440.4
2015-01-22,440,441.8,431.1,438.15,943200,438.15
2015-01-23,442,442.4,428.1,435.1,757100,435.1
2015-01-26,435.1,435.1,435.1,435.1,0,435.1
2015-01-27,438.5,503.9,430.6,497.4,6311300,497.4
2015-01-28,500,523.9,481.1,485.9,4810100,485.9
2015-01-29,486.4,531.15,477.5,523.5,5736300,523.5
2015-01-30,525.4,529.3,505.5,514.4,2722400,514.4
2015-02-02,528.5,543.5,522.1,527.65,2827600,527.65
2015-02-03,514,522,492.15,495.35,1886900,495.35
2015-02-04,496.3,505,451.8,468.15,3680100,468.15
2015-02-05,473.2,491.55,461.4,467.4,2883400,467.4
2015-02-06,475.5,482.3,445,473.7,3067800,473.7
2015-02-09,466.95,473.5,440.55,444.9,2633200,444.9
2015-02-10,443,457.7,414.75,423.25,2812600,423.25
2015-02-11,428.5,444,424.2,440.1,2248300,440.1
2015-02-12,443,448.9,428.2,433.15,1328000,433.15
2015-02-13,434.9,437.45,421.45,425.8,1273100,425.8
2015-02-16,427.9,429,410.3,413.05,1074000,413.05
2015-02-17,413.05,413.05,413.05,413.05,0,413.05
2015-02-18,414.45,425.9,411.1,413.2,1417900,413.2
2015-02-19,416.75,444,415.25,440.25,3597700,440.25
2015-02-20,442,467.7,432.5,461.15,4023100,461.15
2015-02-23,461,470.4,453.25,457.65,1667300,457.65
2015-02-24,459.4,477.65,456.2,464.05,1795000,464.05
2015-02-25,466.3,468.3,450.6,455.3,928100,455.3
2015-02-26,457.8,458.75,433.35,438.55,1043600,438.55
2015-02-27,440,447.3,434.25,441.15,845500,441.15
2015-03-02,427,433.4,418,428.9,1250900,428.9
2015-03-03,429.7,445.7,429.7,437.45,1258800,437.45
2015-03-04,439.95,441.6,350,416.6,892600,416.6
2015-03-05,418.5,431,415.4,420.15,1192100,420.15
2015-03-06,420.15,420.15,420.15,420.15,0,420.15
2015-03-09,418.75,426,412.75,415.65,702200,415.65
2015-03-10,415.1,423.8,404.1,411.55,866300,411.55
2015-03-11,415,442.8,414,430.6,2608900,430.6
2015-03-12,434.95,441,429.4,435.6,923300,435.6
2015-03-13,438,457,427.1,452.3,2637000,452.3
2015-03-16,458.4,476.7,451.25,472.05,2790500,472.05
2015-03-17,477.1,483.9,466,478.95,1624300,478.95
2015-03-18,482,501.5,477,497.7,2477300,497.7
2015-03-19,504.5,507.9,472.2,475.1,1660500,475.1
2015-03-20,473.95,474.5,448,453.85,1181300,453.85
2015-03-23,456,469,451.3,459.75,941800,459.75
2015-03-24,461.9,463.8,451.55,454.15,433800,454.15
2015-03-25,454,472.9,414.15,458.55,1388000,458.55
2015-03-26,450.3,462,445.35,450.3,946900,450.3
2015-03-27,452,461.65,438.3,452.55,783900,452.55
