"Date","ADANIPORTS.NS.Open","ADANIPORTS.NS.High","ADANIPORTS.NS.Low","ADANIPORTS.NS.Close","ADANIPORTS.NS.Volume","ADANIPORTS.NS.Adjusted"
2015-05-27,343,344.9,336.1,338.9,2585800,337.37
2015-05-28,339.9,340.6,320.55,333,3394600,331.5
2015-05-29,333.1,334.7,322.55,323.85,3711000,322.39
2015-06-01,325.8,325.8,308.25,311.55,3889100,310.14
2015-06-02,318.1,321,306.2,309.15,7395200,307.76
2015-06-03,311,311.8,288,297.25,24022100,295.91
2015-06-04,301,316.35,301,311.2,6343800,309.8
2015-06-05,311,315.65,308.7,311.3,2533800,309.9
2015-06-08,311.75,313.9,298.25,302.15,2647500,300.79
2015-06-09,303.45,311.35,301.2,306.55,2724400,305.17
2015-06-10,307,314.25,306.05,312.95,2282700,311.54
2015-06-11,320,320.3,302.55,304.25,3718300,302.88
2015-06-12,303,313.05,300,312.05,2854200,310.64
2015-06-15,310.1,317,308.1,310.05,3154400,308.65
2015-06-16,310,315,303.25,313.2,4130500,311.79
2015-06-17,312,315,308.4,311,4251500,309.6
2015-06-18,312.3,313.7,309.35,311,2616000,309.6
2015-06-19,311.95,313.25,303,304.6,3438400,303.23
