"Date","RELIANCE.NS.Open","RELIANCE.NS.High","RELIANCE.NS.Low","RELIANCE.NS.Close","RELIANCE.NS.Volume","RELIANCE.NS.Adjusted"
2015-01-01,886.3,892,883.65,887.9,677400,868.6834
2015-01-02,888.1,896.05,884.3,885.55,1675800,866.3842
2015-01-05,885,890.9,874.1,875.85,2309500,856.8941
2015-01-06,870,873,832,836.1,4258000,818.0044
2015-01-07,837.1,858.8,837,854.3,4736300,835.8105
2015-01-08,860.1,862.9,840.15,842.05,4542400,823.8257
2015-01-09,848.4,862,845,860.3,3061300,841.6807
2015-01-12,860.5,861,841.6,850.3,2308700,831.8971
2015-01-13,853,854.95,840.5,843.15,2274100,824.9019
2015-01-14,843,847,831.2,834.95,2601200,816.8794
2015-01-15,840,871.1,840,864.25,3869200,845.5452
2015-01-16,860,875,852.05,869.7,4374300,850.8773
2015-01-19,870.2,886,858.75,879.65,3049200,860.6119
2015-01-20,881.5,905.55,878.85,903.05,3054100,883.5055
2015-01-21,905,911.4,892.05,906.75,3905100,887.1254
2015-01-22,905.15,907.2,879.5,883.75,5422300,864.6232
2015-01-23,890,897.8,877,886.9,4132800,867.705
2015-01-26,886.9,886.9,886.9,886.9,0,867.705
2015-01-27,892.9,896.7,880.5,889.05,4100700,869.8085
2015-01-28,886.1,909.8,886.1,906.85,4411200,887.2232
2015-01-29,907.1,934.5,906.9,929.4,8255800,909.2852
2015-01-30,930,931.25,909,915.25,4970900,895.4414
2015-02-02,916.05,919.9,905.7,908.05,4412200,888.3972
2015-02-03,913.2,940.85,913.2,937.6,3907000,917.3077
2015-02-04,939.1,943.8,925.9,928.8,3216800,908.6982
2015-02-05,936,939.9,917.6,923.7,2826500,903.7086
2015-02-06,924.1,930,903,909.9,2067700,890.2072
2015-02-09,901.2,918,892,896.7,2020600,877.2929
2015-02-10,898,904.5,861.3,882,3120300,862.911
2015-02-11,886,904.75,883,900.7,2235700,881.2063
2015-02-12,908,913.95,887.25,909.15,1990800,889.4735
2015-02-13,914,920.8,909.05,917.5,1690000,897.6427
2015-02-16,918.7,924.2,900,902.8,2803900,883.2609
2015-02-17,902.8,902.8,902.8,902.8,0,883.2609
2015-02-18,900,908,894.4,901.65,2248100,882.1358
2015-02-19,906.95,907.6,887.55,902.05,2183100,882.5271
2015-02-20,895.25,896,871.3,873.1,4278400,854.2036
2015-02-23,869.95,876.75,847.1,851.45,3224000,833.0222
2015-02-24,854.25,856.8,837,841.45,4559300,823.2387
2015-02-25,848.8,856.5,841.05,843.15,3491400,824.9019
2015-02-26,846.1,850,836.6,842,4905300,823.7768
2015-02-27,847.55,861,844.6,855.55,4265200,837.0335
2015-03-02,869,875.5,855.55,864.25,3332600,845.5452
2015-03-03,869,906.45,867.4,900.8,4717200,881.3042
2015-03-04,906,909.65,880.05,887.85,3308900,868.6344
2015-03-05,892.5,898.75,878.15,884.95,2449600,865.7972
2015-03-06,884.95,884.95,884.95,884.95,0,865.7972
2015-03-09,885.1,891.75,864.15,869.65,3215100,850.8284
2015-03-10,868.95,875.8,855.4,859.15,3482200,840.5556
2015-03-11,860.95,869.6,852.4,855.95,2659700,837.4249
2015-03-12,858,867.4,855.6,863.8,2693200,845.1049
2015-03-13,869,869.6,847,850.1,2956900,831.7014
2015-03-16,851.5,853.95,840.3,842.1,3163500,823.8746
2015-03-17,850.55,859.9,841,856.85,4359100,838.3053
2015-03-18,857,872.25,854.7,868.65,2118900,849.85
2015-03-19,875.55,876.7,854.1,856.15,3185200,837.6205
2015-03-20,857.9,861.15,848.6,854.1,2378500,835.6149
2015-03-23,856.5,864,838.1,841.95,3029100,823.7279
2015-03-24,842.1,854.3,842.1,847.95,2111700,829.598
2015-03-25,849,849.5,841,844.9,2346300,826.614
2015-03-26,841.1,849.25,824.1,829.3,4713600,811.3516
2015-03-27,833.9,835,801.45,811.7,5332100,794.1325
2015-03-30,816.6,817.7,796.45,810.75,3961400,793.2031
2015-03-31,818,832.9,818,826,4625400,808.123
2015-04-01,824.9,839,813.1,836.05,3334600,817.9555
2015-04-02,836.05,836.05,836.05,836.05,0,817.9555
2015-04-03,836.05,836.05,836.05,836.05,0,817.9555
2015-04-06,836,838,821.4,824.65,2819300,806.8023
2015-04-07,826.05,836.1,826.05,832.85,4863200,814.8248
2015-04-08,833.5,869.5,832.9,865.9,5673700,847.1595
2015-04-09,865.5,899,858.8,895.1,6234900,875.7275
2015-04-10,894.95,908.8,889.1,904.35,5788400,884.7773
2015-04-13,906.8,924.75,898.75,922.5,4612200,902.5345
2015-04-14,922.5,922.5,922.5,922.5,0,902.5345
2015-04-15,921,939.6,907.2,923.65,5081600,903.6596
2015-04-16,924.5,938,919,928.35,4612100,908.2579
2015-04-17,935.05,944.3,922.6,926.85,5476500,906.7903
2015-04-20,937.3,937.45,878.5,885.65,8601100,866.4821
2015-04-21,890.15,895.5,872.45,876.45,4047500,857.4812
2015-04-22,881.9,886.75,867,879.75,3374100,860.7097
2015-04-23,883.85,889.4,869.05,877.05,3048800,858.0682
2015-04-24,877,884.45,868.65,878.9,2905200,859.8782
2015-04-27,880.05,887.5,871.45,875.3,2524200,856.356
2015-04-28,874.7,882,858.55,865.2,3357200,846.4747
2015-04-29,862,870.55,847.4,850,3746000,831.6036
2015-04-30,850,865.9,847.95,862.35,7955100,843.6863
2015-05-01,862.35,862.35,862.35,862.35,0,843.6863
2015-05-04,866.2,893.9,860.5,890.95,3446600,871.6674
2015-05-05,893.7,901.8,885.1,892.15,4079400,872.8414
2015-05-06,890,896.75,872,880.25,5128900,861.1989
2015-05-07,875,878.45,860,870.75,3825400,851.9045
2015-05-08,871,893.75,861.1,889.7,3909700,880.557
2015-05-11,892.85,899.45,883.4,895.95,3249000,886.7428
2015-05-12,894.9,894.9,865.15,868.7,3805900,859.7728
2015-05-13,873.35,888.65,857.2,885.1,3817600,876.0042
2015-05-14,886,886.2,870.3,878.2,2818300,869.1752
2015-05-15,881.9,886.95,870.1,873.95,1904400,864.9689
2015-05-18,874.9,894,872.2,891.55,2250900,882.388
2015-05-19,891.25,904.75,886.6,895.55,3317400,886.3469
2015-05-20,900.4,911,897.7,908.85,1990700,899.5102
2015-05-21,911.25,915.4,894.1,896.75,2459400,887.5346
2015-05-22,897,905.6,897,903.85,1908400,894.5616
2015-05-25,900,908,892.35,894.5,1512600,885.3077
2015-05-26,895,896,882.7,884.6,2173800,875.5094
2015-05-27,886,890.9,880.2,885.3,1846500,876.2022
2015-05-28,885.85,894.25,872,875.8,6066300,866.7998
2015-05-29,879.9,886.45,873.1,877,6692300,867.9875
2015-06-01,880,904.9,878,902.25,4479000,892.978
2015-06-02,905.75,918.8,891.45,898.65,4612500,889.4151
2015-06-03,899,910.45,888.5,896.35,3553600,887.1386
2015-06-04,904.2,916.2,892.55,912.7,3641600,903.3207
2015-06-05,909.9,916.95,904.45,907.75,2986700,898.4215
