"Date","JISLJALEQS.NS.Open","JISLJALEQS.NS.High","JISLJALEQS.NS.Low","JISLJALEQS.NS.Close","JISLJALEQS.NS.Volume","JISLJALEQS.NS.Adjusted"
2015-02-16,65.6,67.6,65.1,66.4,3588500,65.4694
2015-02-17,66.4,66.4,66.4,66.4,0,65.4694
2015-02-18,66.9,68.2,66.4,66.8,3679800,65.8638
2015-02-19,67.5,67.8,65.25,66.85,3293900,65.9131
2015-02-20,67.3,71.9,66.35,70.6,9783800,69.6105
2015-02-23,71.15,72.3,69,69.5,5517800,68.5259
2015-02-24,69.65,70.85,66.85,67.95,6080600,66.9977
2015-02-25,68.5,70.75,68.2,69.85,5608900,68.871
2015-02-26,70.4,70.6,68.8,69.25,3043400,68.2794
2015-02-27,69.75,72.4,69.75,71.8,4693500,70.7937
2015-03-02,73,73.3,68.5,69.45,6786500,68.4766
2015-03-03,70.2,73.9,69.85,73.4,7882100,72.3713
2015-03-04,73.9,74.2,68.5,69.35,6849500,68.378
2015-03-05,69.45,70.35,68.6,69.85,2953900,68.871
2015-03-06,69.85,69.85,69.85,69.85,0,68.871
2015-03-09,69.6,69.6,66.4,66.75,2874800,65.8145
2015-03-10,67.1,67.4,64.3,65.4,2874600,64.4834
2015-03-11,65.8,66.15,64.55,64.9,2455000,63.9904
2015-03-12,65.35,66.9,65.1,66.45,2416200,65.5187
2015-03-13,66.8,67.1,63.75,64.05,2807100,63.1523
2015-03-16,64.2,64.35,62.8,62.95,1963100,62.0677
2015-03-17,63.4,64.25,61.1,62.2,4717000,61.3283
2015-03-18,62.4,64.55,62.05,64.25,3115800,63.3495
2015-03-19,64.95,65.45,62.55,62.95,2608600,62.0677
2015-03-20,62.9,63.1,60.55,60.85,2527100,59.9972
2015-03-23,61.4,61.4,60.4,60.8,1691300,59.9479
2015-03-24,60.8,61.6,59.65,60.75,2346800,59.8986
2015-03-25,60.75,60.95,59.55,60.7,3426900,59.8493
2015-03-26,60.2,61.2,60,60.4,4890600,59.5535
2015-03-27,60.8,62.9,58.9,61.2,6685300,60.3423
2015-03-30,61.75,62.45,60.85,62.25,1648200,61.3776
2015-03-31,62.25,63.15,61.2,61.6,2298900,60.7367
2015-04-01,61.55,62.9,61,62.6,1849600,61.7226
2015-04-02,62.6,62.6,62.6,62.6,0,61.7226
2015-04-03,62.6,62.6,62.6,62.6,0,61.7226
2015-04-06,63,63.1,61.3,62.25,1463400,61.3776
2015-04-07,62.25,64.1,61.35,63.7,2196000,62.8072
2015-04-08,64.3,65.8,63.7,65.15,3269100,64.2369
2015-04-09,65.5,65.85,63.75,65.4,3174100,64.4834
2015-04-10,65.6,67.5,64.65,67,2228600,66.061
2015-04-13,67.35,68.15,66.6,67.25,1551300,66.3075
2015-04-14,67.25,67.25,67.25,67.25,0,66.3075
2015-04-15,67.55,67.55,65.55,66,1399100,65.075
2015-04-16,66.05,66.35,63.9,64.35,2303700,63.4481
2015-04-17,64.4,65.2,63.35,64.05,1686000,63.1523
2015-04-20,64.5,65.25,63,63.8,3178600,62.9058
2015-04-21,63.9,64.85,63.15,64.3,1276800,63.3988
2015-04-22,64.5,65.1,63.2,63.95,1328100,63.0537
2015-04-23,64.75,64.95,62.85,63.15,2217300,62.2649
2015-04-24,63.25,63.4,60.55,60.9,1846300,60.0465
2015-04-27,60.7,61.15,56.9,58.1,2272500,57.2857
2015-04-28,58.1,59.15,56.65,58.05,3751300,57.2364
2015-04-29,58.35,59.4,58,58.4,2330400,57.5815
2015-04-30,58.75,58.75,56.7,57,3765500,56.2011
2015-05-01,57,57,57,57,0,56.2011
2015-05-04,57.6,59.65,57.35,59.3,3733700,58.4689
2015-05-05,59.1,61.2,58.6,60.85,2571600,59.9972
2015-05-06,60.75,60.75,57.2,57.55,2555600,56.7434
2015-05-07,57.55,57.9,55.95,56.55,2221500,55.7574
2015-05-08,57.25,58.95,56.6,57.25,2260100,56.4476
2015-05-11,57.75,59.2,56.8,58.65,2481300,57.828
2015-05-12,58.95,59.35,55.3,55.95,2923800,55.1658
2015-05-13,56.7,57.1,55.1,56,3844600,55.2151
2015-05-14,56.15,57.75,55.5,57.4,3942300,56.5955
2015-05-15,57.7,58.25,56.1,56.8,2917900,56.0039
2015-05-18,62,67.3,60.2,66.15,24830700,65.2229
2015-05-19,65.55,68.9,64.75,67.5,11591400,66.554
2015-05-20,67.3,68.75,65.5,66,3434800,65.075
2015-05-21,66.2,66.2,64.65,65.7,2302400,64.7792
2015-05-22,65.7,66.9,64.9,65.2,2150700,64.2862
2015-05-25,65.2,66.8,64.9,65.25,2037900,64.3355
2015-05-26,65.35,66.1,64.1,64.7,2280000,63.7932
2015-05-27,64,65,63.65,64.45,1191300,63.5467
2015-05-28,64.55,67.1,64.05,66.8,3421000,65.8638
2015-05-29,67.2,68.5,66.3,67.05,3444100,66.1103
2015-06-01,67.25,68.15,66.1,66.55,1835600,65.6173
2015-06-02,66.5,66.9,62.4,62.7,3528400,61.8212
