"Date","SUNTV.NS.Open","SUNTV.NS.High","SUNTV.NS.Low","SUNTV.NS.Close","SUNTV.NS.Volume","SUNTV.NS.Adjusted"
2016-07-26,432.05,441.3,427.4,430.5,3532100,424.703
2016-07-27,430.2,438.95,425.05,431.5,1728800,425.689
2016-07-28,431.4,451.5,430.3,447.2,4048500,441.178
2016-07-29,445,452.7,441.3,449,1628500,442.953
2016-08-01,448,484,448,473.2,6474400,466.828
2016-08-02,473.7,475.75,453.85,457.15,1613800,450.994
2016-08-03,457.15,463.95,442.7,450.4,1896600,444.335
2016-08-04,453,465.35,447.7,461.1,1919700,454.89
2016-08-05,461.35,468,457.5,462.1,1041600,455.877
2016-08-08,461,470.65,458.8,465.9,1227300,459.626
2016-08-09,463,465.95,457.5,461.1,1259100,454.89
2016-08-10,461.1,467.9,456.4,460.75,1433800,454.545
2016-08-11,460,470.45,443.6,458.7,1246000,452.523
2016-08-12,460.2,464.3,453.55,458.55,8e+05,452.375
2016-08-15,458.55,458.55,458.55,458.55,0,452.375
2016-08-16,454.2,460.4,451.2,457.7,1143600,451.536
2016-08-17,458.7,465.7,454.75,461.75,2231900,455.532
2016-08-18,462.5,486.25,460.95,484.05,3774200,477.531
2016-08-19,488.15,490.9,477.9,481.9,2798500,475.41
2016-08-22,468,473.7,456.55,458.85,5025100,452.671
2016-08-23,459,466.9,453.1,464.7,1361900,458.442
2016-08-24,469.7,469.7,461.75,463.7,826000,457.455
2016-08-25,464.3,472,463,467.55,1171000,461.254
2016-08-26,469,476.5,465.05,469.65,895300,463.325
2016-08-29,467.65,474.45,464.65,467.1,808200,460.81
2016-08-30,466.25,478.65,466.25,474.4,1000900,468.011
2016-08-31,472.6,483,469.45,472.4,1077200,466.038
2016-09-01,472.7,475.45,464.3,466.8,664700,460.514
2016-09-02,464,473.9,464,470.1,696900,463.769
2016-09-05,470.1,470.1,470.1,470.1,0,463.769
2016-09-06,470.3,482,465.75,480.1,1445800,473.635
2016-09-07,480.9,494.25,479.85,488.85,1018400,482.267
2016-09-08,488,498.3,482.25,484.05,909900,477.531
2016-09-09,488.4,488.4,474,475.7,813200,469.294
2016-09-12,466.3,467.45,446.3,452.6,849000,446.505
2016-09-13,452.6,452.6,452.6,452.6,0,446.505
2016-09-14,453.3,485,453.3,481.75,1761300,475.262
2016-09-15,481,515.25,474.65,508.65,3622400,501.8
2016-09-16,514.85,518.8,487.55,495.45,2882300,488.778
2016-09-19,496.9,501.1,485.1,490.55,1476000,483.944
2016-09-20,489,499,483.35,487.5,1144500,480.935
2016-09-21,490.8,495.75,480.3,488.65,1137800,482.069
2016-09-22,498,510.8,491.75,508.25,1451600,501.406
2016-09-23,506,506.95,493.5,496.3,1081400,489.616
2016-09-26,492.9,506.45,489.25,497.05,1656500,490.356
2016-09-27,501,509.2,493.2,494.65,2865500,487.989
2016-09-28,498.85,506.95,495.35,503.5,1263700,496.719
2016-09-29,506,508.35,469.4,481.15,2643100,474.67
2016-09-30,482,511,477,505.15,1042300,498.347
2016-10-03,514,534,501.3,531.25,2381500,524.096
2016-10-04,536,536,516.5,523.9,1075500,516.845
2016-10-05,524.7,532.95,524.7,527.4,764700,520.298
2016-10-06,529.4,539.1,520.1,524.25,1319300,517.19
2016-10-07,526.5,566.95,524.25,562.85,3770800,555.27
2016-10-10,562,564.9,551.8,557.55,2342100,550.042
2016-10-11,557.55,557.55,557.55,557.55,0,550.042
2016-10-12,557.55,557.55,557.55,557.55,0,550.042
2016-10-13,555.8,555.8,523.7,536.3,2655500,529.078
2016-10-14,538,546.9,532.15,541.95,1394200,534.652
2016-10-17,541.5,545,521.3,525.25,995000,518.177
2016-10-18,528,545.35,526.5,543.3,1708900,535.983
2016-10-19,543.3,546.8,530.7,533.2,1523200,526.02
2016-10-20,535,548.9,534.1,537.3,1815700,530.064
2016-10-21,538.95,538.95,526.25,531.8,1067300,524.638
