"Date","JSWSTEEL.NS.Open","JSWSTEEL.NS.High","JSWSTEEL.NS.Low","JSWSTEEL.NS.Close","JSWSTEEL.NS.Volume","JSWSTEEL.NS.Adjusted"
2016-08-02,1693,1702,1661.1501,1674.9001,6636200,167.49
2016-08-03,1697,1712.5,1675.05,1686.0001,7183300,168.6
2016-08-04,1691.0001,1716.1501,1686.0001,1709.9001,8495300,170.99
2016-08-05,1722,1742,1717.1001,1737.7,7304900,173.77
2016-08-08,1745.2499,1756.9,1722.4001,1728.1,5382100,172.81
2016-08-09,1733,1739.8,1695.6,1710.0999,5382400,171.01
2016-08-10,1710,1719.95,1682.8,1709.35,5905400,170.935
2016-08-11,1715,1717.95,1686.0001,1710.65,4844500,171.065
2016-08-12,1710.2,1733,1708.6,1728.0499,4220600,172.805
2016-08-15,1728.0499,1728.0499,1728.0499,1728.0499,0,172.805
2016-08-16,1731.9501,1754.1499,1715.3999,1748,6328500,174.8
2016-08-17,1748.5001,1776.0001,1740.0999,1773.45,6599000,177.345
2016-08-18,1777.7499,1793.4,1770.5,1783.8,3484900,178.38
2016-08-19,1786.7,1798.9999,1772,1788.1,5147000,178.81
2016-08-22,1785,1793.7,1761.2,1767.85,3356000,176.785
2016-08-23,1760,1775.6,1736.4,1758.45,3061800,175.845
