"Date","CADILAHC.NS.Open","CADILAHC.NS.High","CADILAHC.NS.Low","CADILAHC.NS.Close","CADILAHC.NS.Volume","CADILAHC.NS.Adjusted"
2015-02-06,1465,1485,1455,1466.84998,963700,279.31732
2015-02-09,1471.90002,1488.00003,1426.10001,1475.39993,445300,280.9454
2015-02-10,1478.00003,1538.89999,1478.00003,1513.54996,955300,288.20992
2015-02-11,1525.85007,1540,1495.35004,1504.04999,376100,286.40094
2015-02-12,1523.00003,1558.00003,1510,1545.20004,934600,294.23673
2015-02-13,1566.99997,1607.94998,1553.15002,1595.65002,605600,303.8434
2015-02-16,1619.45007,1638.99994,1605.85007,1613.35007,442800,307.21384
2015-02-17,1613.35007,1613.35007,1613.35007,1613.35007,0,307.21384
2015-02-18,1628.99994,1643.04993,1611.10001,1622.35001,450100,308.92761
2015-02-19,1628.00003,1636.34995,1616.30005,1631.19995,374500,310.61282
2015-02-20,1636.99997,1639.90005,1597.05002,1603.89999,190000,305.41436
2015-02-23,1606.00006,1617.79999,1526.15005,1538.80005,203100,293.01804
2015-02-24,1540,1563.99994,1536.10001,1546.79993,671200,294.54138
2015-02-25,1550,1551.95007,1538.00003,1542.79999,133700,293.77971
2015-02-26,1542.79999,1543.04993,1491.99997,1513.04993,1304400,288.11471
2015-02-27,1516.00006,1551.95007,1503.30002,1532.85004,395500,291.88504
2015-03-02,1541.99997,1550,1516.99997,1536.04996,690900,292.49437
2015-03-03,1541.00006,1547.10007,1520.35004,1530.09995,362100,291.36137
2015-03-04,1545.39993,1545.39993,1523.00003,1529.90005,524200,291.32331
2015-03-05,1526.00006,1545,1512.25006,1529.55002,289100,291.25665
2015-03-06,1529.55002,1529.55002,1529.55002,1529.55002,0,291.25665
2015-03-09,1535,1542.70004,1498.99994,1510.89996,317200,287.70531
2015-03-10,1515,1535.20004,1498.00003,1500.09995,1064400,285.64877
2015-03-11,1501.99997,1520,1489.45007,1506.90002,401200,286.94364
2015-03-12,1511.99997,1603.30002,1500.09995,1573.75,1942100,299.67321
2015-03-13,1588.99994,1625,1560.09995,1584.14993,879200,301.65356
2015-03-16,1596.99997,1615.74997,1564.14993,1581.60004,534500,301.16801
2015-03-17,1590.59998,1714.94995,1575.24994,1681.34995,4466600,320.16237
2015-03-18,1736.19995,1748.80005,1631.00006,1638.84995,1334100,312.06953
2015-03-19,1650,1665.05005,1580,1602.14996,795700,305.08112
2015-03-20,1601.99997,1673.60001,1587.20001,1609.64996,734400,306.50927
2015-03-23,1610,1654.75006,1610,1639.90005,593100,312.26949
2015-03-24,1653.99994,1698.99994,1620,1676.64993,977300,319.26739
2015-03-25,1700,1712.89993,1681.99997,1700.59998,1340700,323.82796
2015-03-26,1700,1704.94995,1639.34998,1662.14996,511800,316.50631
2015-03-27,1685,1723.99994,1641.99997,1654.94995,740800,315.13529
2015-03-30,1668.35007,1740,1630,1696.10001,700500,322.97107
2015-03-31,1716.00006,1763.80005,1703.00003,1741.79993,774100,331.67324
2015-04-01,1755,1796.79993,1737.05002,1790.14999,1510700,340.88006
2015-04-02,1790.14999,1790.14999,1790.14999,1790.14999,0,340.88006
2015-04-03,1790.14999,1790.14999,1790.14999,1790.14999,0,340.88006
2015-04-06,1800,1944.70001,1788.35007,1904.14993,1673200,362.5879
2015-04-07,1930,2000,1885.65002,1897.35001,2228200,361.29306
2015-04-08,1913.99994,1920.24994,1890,1899.45007,949600,361.69296
2015-04-09,1926.99997,1930,1821.54999,1844.64996,440900,351.25793
2015-04-10,1857.40005,1857.40005,1791.19995,1802.85004,555900,343.2984
2015-04-13,1813.99994,1813.99994,1765.09995,1786.34995,599100,340.15645
2015-04-14,1786.34995,1786.34995,1786.34995,1786.34995,0,340.15645
2015-04-15,1786.99997,1840,1760.05005,1777.5,529200,338.47125
2015-04-16,1781.99997,1818.99994,1753.04993,1791.34995,521700,341.10855
2015-04-17,1791.99997,1825,1721.00006,1733.89999,595600,330.16894
2015-04-20,1750,1750,1697.05002,1736.64993,394700,330.69258
2015-04-21,1741.99997,1783.24997,1715.59998,1758.99994,962100,334.94847
2015-04-22,1770.09995,1795,1738.00003,1752.05002,337900,333.62506
2015-04-23,1760,1774.34998,1741.00006,1760.50003,478400,335.23411
2015-04-24,1768.99994,1799.10004,1728.04993,1767.5,517500,336.56705
2015-04-27,1767.5,1767.5,1690,1701.79993,362900,324.05645
2015-04-28,1710,1710,1626.00006,1661.69998,703800,316.42063
2015-04-29,1668.99994,1728.99994,1654.25003,1671.75003,520200,318.33435
