"Date","IBREALEST.NS.Open","IBREALEST.NS.High","IBREALEST.NS.Low","IBREALEST.NS.Close","IBREALEST.NS.Volume","IBREALEST.NS.Adjusted"
2016-08-18,85.05,85.9,83.9,84.3,4242700,84.3
2016-08-19,84.45,85.15,82.9,83.2,5274300,83.2
2016-08-22,83.5,84.85,83.05,83.95,4820000,83.95
2016-08-23,83.6,84.2,82.85,83.65,3867200,83.65
2016-08-24,83.85,85.95,83.85,85.55,5573300,85.55
2016-08-25,86.55,88.45,84.6,85.15,12457600,85.15
2016-08-26,85.8,86,81.8,82.25,7937800,82.25
2016-08-29,82.05,82.3,79.4,80.5,5635500,80.5
2016-08-30,81.35,83.4,80.85,83.05,6973200,83.05
2016-08-31,83.5,83.85,81.9,82.25,5913100,82.25
2016-09-01,82,82.5,78.4,78.7,6131300,78.7
2016-09-02,78.9,80.9,77.8,80,6016900,80
2016-09-05,80,80,80,80,0,80
2016-09-06,80.75,81,79.3,79.9,3047600,79.9
2016-09-07,80.2,83.45,78.15,82.15,6768200,82.15
2016-09-08,82.9,87.5,82.5,86.6,16846300,86.6
2016-09-09,86.75,89.8,84.8,88.3,15939200,88.3
2016-09-12,85.65,86.6,81.35,81.85,11197700,81.85
2016-09-13,81.85,81.85,81.85,81.85,0,81.85
2016-09-14,81.8,86.1,81.65,84.7,7355500,84.7
2016-09-15,85.3,91.3,84.9,88.45,19413200,88.45
