"Date","AMBUJACEM.NS.Open","AMBUJACEM.NS.High","AMBUJACEM.NS.Low","AMBUJACEM.NS.Close","AMBUJACEM.NS.Volume","AMBUJACEM.NS.Adjusted"
2016-06-09,239.05,239.9,231.55,231.9,1986200,229.3436
2016-06-10,231,235.9,230.9,235.3,4770100,232.7061
2016-06-13,232,238.8,231.5,237.35,7155800,234.7335
2016-06-14,237.3,238.1,233.45,233.9,2441700,231.3215
2016-06-15,234.6,239.45,233.9,238.6,2439400,235.9697
2016-06-16,238.4,239.35,233.9,234.5,1589100,231.9149
2016-06-17,235.1,237.2,234,235.9,978800,233.2995
2016-06-20,234.75,242.7,234.4,242,3103000,239.3322
2016-06-21,242.35,242.85,238.1,240.2,2247700,237.5521
2016-06-22,240.45,243.8,239.5,242.85,5593900,240.1729
2016-06-23,242.8,250.9,242.75,249.9,10068600,247.1451
2016-06-24,244.5,249.25,237.8,248.1,2400600,245.365
2016-06-27,247.9,255.45,247.85,254.4,3601000,251.5955
2016-06-28,253,255.35,250.95,251.9,2876600,249.1231
2016-06-29,252.8,258.5,251.75,255.9,3730600,253.079
2016-06-30,255.1,257.4,252.4,254.8,2354000,251.9911
2016-07-01,255.7,257.4,252.15,252.95,1201400,250.1615
2016-07-04,253,255.7,252.3,253.15,1619200,250.3593
2016-07-05,252.6,255.95,251.75,253.55,2790700,250.7549
2016-07-06,253.55,253.55,253.55,253.55,0,250.7549
2016-07-07,255,259,253,256.95,2048700,254.1174
2016-07-08,257.1,261,256.85,258.1,1621600,255.2547
2016-07-11,261.7,261.75,259.55,260.65,1927700,257.7766
2016-07-12,260.1,263.85,259.2,260.8,1576200,257.925
2016-07-13,260.8,262.95,258.8,260.6,1366000,257.7272
2016-07-14,260.05,263.5,258.65,262.65,790600,259.7546
2016-07-15,263.95,265,259.8,260.85,1179400,257.9744
2016-07-18,261.5,262.75,258.9,259.95,1575100,257.0844
2016-07-19,260.25,264,258.65,262.7,1137700,259.804
2016-07-20,263.2,267.15,259.65,262,2450700,259.1117
2016-07-21,263,267.7,262.8,265.9,2164300,262.9687
2016-07-22,267,267.05,262.3,265.05,628500,262.1281
2016-07-25,265.45,269.4,264.3,269,983000,266.0346
2016-07-26,271.2,274,268.2,269.8,2261400,266.8257
2016-07-27,278,278,266.4,268,5029700,265.0456
2016-07-28,269,273.85,266.2,271.55,2946500,268.5565
2016-07-29,272.4,274.9,269.15,271.25,1313900,268.2598
2016-08-01,271.65,272.95,269.35,271,1126200,268.0125
2016-08-02,269.8,270.6,262.95,263.85,1581100,262.4911
2016-08-03,265.2,266.95,259.85,262.5,2730200,261.1481
2016-08-04,265.9,265.9,261.9,264.4,1128600,263.0383
2016-08-05,265.1,276.65,265.1,275.9,2703000,274.4791
2016-08-08,275.4,277.75,271.9,276.5,2391300,275.076
2016-08-09,277,277,267.7,270.5,2564500,269.1069
2016-08-10,271.2,271.2,259,260.45,3625400,259.1086
2016-08-11,263,264,256.25,259.7,3841000,258.3625
2016-08-12,260.45,265.5,260.45,264.5,1527200,263.1378
2016-08-15,264.5,264.5,264.5,264.5,0,263.1378
2016-08-16,265.25,270.45,263.2,269.65,7699900,268.2612
2016-08-17,268,271.95,264.9,269.75,1319000,268.3607
2016-08-18,272.25,274.85,269.65,272.1,1825200,270.6986
2016-08-19,272.75,277.6,272,276.45,2054800,275.0262
2016-08-22,275.35,277.35,270,271.3,1097000,269.9027
2016-08-23,269.8,273.95,265.4,271,1487400,269.6043
2016-08-24,270.8,270.95,265,267.1,1248500,265.7244
2016-08-25,267.6,270.5,262.55,265,5272100,263.6352
2016-08-26,265,268.9,262.2,266.15,1427300,264.7793
2016-08-29,265,265.9,262.45,264.2,804500,262.8393
2016-08-30,265.8,278.4,264.8,275.05,3635200,273.6334
2016-08-31,275.05,281.7,275,277.95,8488800,276.5185
2016-09-01,273.7,278.85,272.4,277,3369200,275.5734
2016-09-02,275.1,278.75,273.35,276.35,1481700,274.9267
2016-09-05,276.35,276.35,276.35,276.35,0,274.9267
2016-09-06,279,279.35,275.7,277.4,1601400,275.9713
2016-09-07,277.5,278.85,273.2,274,3232400,272.5888
2016-09-08,274.05,278,273.65,275.95,2096900,274.5288
2016-09-09,275.5,276.1,271.5,272.65,1727500,271.2458
2016-09-12,269.1,269.85,259,259.85,1068300,258.5117
2016-09-13,259.85,259.85,259.85,259.85,0,258.5117
2016-09-14,260,266,260,264.05,2426800,262.6901
2016-09-15,263.2,264.8,257.6,260.65,1956400,259.3076
2016-09-16,262.75,266.95,261.55,262.4,2048800,261.0486
