"Date","PAGEIND.NS.Open","PAGEIND.NS.High","PAGEIND.NS.Low","PAGEIND.NS.Close","PAGEIND.NS.Volume","PAGEIND.NS.Adjusted"
2015-06-12,14000,14021,13500,13866.5,15800,13701.65
2015-06-15,13711.2,14450,13711.2,14107.2,12400,13939.49
2015-06-16,14140,14490,13900,14430.7,10100,14259.14
2015-06-17,14470,14778.7,14252.1,14468.8,14700,14296.79
2015-06-18,14503,15070,14491.9,14905,15100,14727.81
2015-06-19,14950,15449,14950,15060.8,18200,14881.75
2015-06-22,15195,15250,14950.2,15011,22300,14832.55
2015-06-23,14980,15140,14757,14918.9,12900,14741.54
2015-06-24,14925.1,15200,14860,14925.4,7200,14747.96
2015-06-25,14935,15151.8,14900,15095.8,16600,14916.34
2015-06-26,15081.5,15299,14800.5,15161.5,8000,14981.26
2015-06-29,15000,15050,14615,14951,9600,14773.26
2015-06-30,14801,15161,14801,15115.2,14000,14935.51
2015-07-01,15190,15299,15000,15074.4,12600,14895.19
2015-07-02,15090,15396.6,15060,15229.9,20700,15048.84
2015-07-03,15260,15630,15260,15382.2,18300,15199.33
2015-07-06,15000,15390,14940,15315.8,9700,15133.72
2015-07-07,15399,15449,15222,15312.2,8700,15130.16
2015-07-08,15110.5,15250,14550,14885,17400,14708.04
2015-07-09,15000,15050,14658,14710.7,13200,14535.82
2015-07-10,14884,14900,14611.5,14678.7,19600,14504.2
2015-07-13,14896,14999,14000,14732.2,10300,14557.06
2015-07-14,14660,14790,14411,14633.4,10400,14459.43
2015-07-15,14675,14933,14605,14869.8,9700,14693.02
2015-07-16,14900,15032,14820,14923.7,6800,14746.28
2015-07-17,14926,15050,14920,14984.3,7000,14806.16
2015-07-20,15002,15251,14925,14994.5,16600,14816.24
2015-07-21,15097.5,15175,14323.8,14669.3,31100,14494.91
2015-07-22,14799,14891,14669,14737.3,3800,14562.1
2015-07-23,14840,14840,14615,14731.2,6300,14556.07
2015-07-24,14708.2,14799,14601.1,14667.3,8000,14492.93
2015-07-27,14667.3,14745,14032.5,14267.8,9700,14098.18
2015-07-28,14316.6,14477.4,13920,14001.6,11700,13835.14
2015-07-29,14000,14149.9,13353.7,13444,21600,13284.17
2015-07-30,13500,13989.9,13498,13758.5,37100,13594.94
2015-07-31,13900,14200,13442.3,13699,19600,13536.14
2015-08-03,13700,14000,13521,13630.3,16600,13468.26
2015-08-04,13765,14379,13608.5,14226.2,69600,14057.08
2015-08-05,14280,14760,14225,14570.6,25400,14417.65
2015-08-06,14680,14770,14448.7,14633.8,9000,14480.19
2015-08-07,14650,14700,14480,14623.9,5600,14470.39
2015-08-10,14698.9,15075,14600,14707.5,8200,14553.11
2015-08-11,14800,14889.3,14650,14755.2,11000,14600.31
2015-08-12,14755.2,14755.2,14755.2,14755.2,0,14600.31
2015-08-13,14700,14870,13614,14053.2,100200,13905.68
2015-08-14,13907,14625,13869,14535.9,26700,14383.31
2015-08-17,14666,14666,14360.1,14469.8,26000,14317.91
2015-08-18,14469,14605.7,14450,14555.2,8800,14402.41
2015-08-19,14535,14800,14306.5,14601.3,14500,14448.03
2015-08-20,14421,14750,14400,14588.8,15900,14435.66
2015-08-21,14425,14819,13352.5,14665,30400,14511.06
2015-08-24,14266,14300,12907.8,13329,41000,13189.08
2015-08-25,13600,13945.5,13050.9,13800.2,32200,13655.34
2015-08-26,13800,13969.9,13579.7,13865.5,10400,13719.95
2015-08-27,13899,14697,13870,14540.2,8300,14387.57
2015-08-28,14550,14747,13910,14245.7,14800,14096.16
2015-08-31,14394,14394,14010,14202,6400,14052.92
2015-09-01,14201.9,14249.8,13777,14138.3,10800,13989.89
2015-09-02,14200,14420,13760,14297,14500,14146.92
2015-09-03,14244,14325,14050,14211.9,2500,14062.72
2015-09-04,14211.9,14285.9,13600,14109.2,16800,13961.09
2015-09-07,14107,14107,13539,13616.3,7000,13473.37
2015-09-08,13501,13698.6,12850,13061.3,15900,12924.19
2015-09-09,13230,13648.6,13001,13575.2,12600,13432.7
2015-09-10,13403,13599,13111,13364.5,9300,13224.21
2015-09-11,13403,13567.8,13200,13290.2,6500,13150.69
2015-09-14,13290,13290,12862.5,12945.1,20800,12809.21
2015-09-15,12945.1,12945.1,12945.1,12945.1,0,12809.21
2015-09-16,13063,13199,12667,12728.2,19100,12594.59
2015-09-17,12728.2,12728.2,12728.2,12728.2,0,12594.59
2015-09-18,12691,13150,12691,12972.5,16600,12836.32
2015-09-21,12920,13280,12788.5,13209,15900,13070.34
2015-09-22,13279,13325,12870,13013.8,9900,12877.19
2015-09-23,13000,13094,12845,12985.3,7500,12848.99
2015-09-24,12895,13499,12850,13371,16600,13230.64
2015-09-25,13371,13371,13371,13371,0,13230.64
2015-09-28,13499,13500,13136,13197.8,4000,13059.26
2015-09-29,13100,13399,12920,13090.6,19200,12953.18
2015-09-30,13325,13325,12946.5,13272.1,8500,13132.78
2015-10-01,13290,13480,13200.2,13398.8,8300,13258.15
2015-10-02,13398.8,13398.8,13398.8,13398.8,0,13258.15
2015-10-05,13479,13645,13366,13551.8,12900,13409.54
2015-10-06,13475,14035,13450.1,13963.7,16000,13817.12
2015-10-07,13970.5,14209.3,13650,14168,19500,14019.28
2015-10-08,14080,14333,13856,14255.6,8700,14105.96
2015-10-09,14333.7,14400,14105,14269.5,10000,14119.71
2015-10-12,14175,14788.8,14175,14657.1,10900,14503.24
2015-10-13,14556,14725.5,14205.5,14332.8,11100,14182.35
2015-10-14,14389.2,14499,13952,14418.8,5700,14267.44
2015-10-15,14444,14490,14026.7,14101.6,6800,13953.57
2015-10-16,14248.9,14272.9,13999,14270.9,5400,14121.1
2015-10-19,14333,14333,14110.1,14236.2,3500,14086.76
2015-10-20,14201.5,14424.8,14151,14378.5,5200,14227.57
2015-10-21,14400,14560,14324.2,14474.2,10300,14322.26
2015-10-22,14474.2,14474.2,14474.2,14474.2,0,14322.26
2015-10-23,14232.5,14637.5,14232.5,14453,8700,14301.28
2015-10-26,14500,14540.9,14116,14398.2,5500,14247.06
2015-10-27,14401.2,14437,14205.5,14320.4,5400,14170.08
2015-10-28,14298,14349,14028,14123.2,5600,13974.95
2015-10-29,14100,14400,14000,14294.3,11200,14144.25
2015-10-30,14240,14300,14011.3,14073.9,3500,13926.16
2015-11-02,14015,14067.4,13300.6,13684.6,11100,13540.95
2015-11-03,13984.4,13984.4,13685.2,13823.6,12100,13678.49
2015-11-04,14011.2,14011.2,13501.1,13768.6,5400,13624.07
2015-11-05,13729.8,13878.9,13516.3,13603.3,2800,13460.5
2015-11-06,13685.3,13714.1,13260,13473.2,3600,13331.77
2015-11-09,13330.1,13479.3,12811.3,13086.2,28200,12948.83
2015-11-10,13085,13147,12599.8,12714.3,9600,12580.84
2015-11-11,12714.3,12714.3,12714.3,12714.3,0,12580.84
2015-11-12,12714.3,12714.3,12714.3,12714.3,0,12580.84
2015-11-13,12469.5,12530,11769.7,12125.5,60500,11998.22
2015-11-16,12160.5,12392,12050,12304.3,9300,12196.26
2015-11-17,12250,12525,12212.1,12393.3,7500,12284.48
2015-11-18,12359.9,12949,12310.2,12758.3,10700,12646.28
2015-11-19,12758,13451,12703.8,13233.9,7800,13117.7
2015-11-20,13333,13379.9,12950,13165.2,23200,13049.6
2015-11-23,13115,13115,12735.3,12851.3,8500,12738.46
2015-11-24,12826.6,12971.3,12720,12810.8,5900,12698.31
2015-11-25,12810.8,12810.8,12810.8,12810.8,0,12698.31
2015-11-26,12889,13131,12750.1,13020.2,12600,12905.88
2015-11-27,12999.8,13300,12901,13229.1,6600,13112.94
2015-11-30,13229.1,13229.1,13229.1,13229.1,0,13112.94
2015-12-01,12930,13244.4,12830,12920.1,4800,12806.65
2015-12-02,12895,13022,12870,12955.7,4700,12841.94
2015-12-03,12900,13244.6,12735,13167.1,10400,13051.49
2015-12-04,13100,13167.1,12677.3,12998,9300,12883.87
2015-12-07,13115.2,13216.1,12800,12851.2,11500,12738.36
2015-12-08,12852,12967,12700.1,12819.8,5300,12707.24
2015-12-09,12810,12878,12461.3,12706,10600,12594.43
2015-12-10,12695,12805,12654,12700.8,8200,12589.28
2015-12-11,12805,12898,12722.5,12777.5,11900,12665.31
2015-12-14,12700,12878.8,12490,12642,6200,12531
2015-12-15,12642,13154,12551,13021,7900,12906.67
2015-12-16,13050,13241.2,12889.8,13111.5,10400,12996.37
2015-12-17,13289.8,13289.8,13002,13165.5,6900,13049.9
2015-12-18,13160,13225,12761.2,12951,12700,12837.28
2015-12-21,13000,13160,12830,12953.2,5000,12839.46
2015-12-22,12909,13014.8,12701.8,12745.7,10600,12633.79
2015-12-23,12820.8,13025,12763,12982,5200,12868.01
2015-12-24,12900,13057.2,12859.1,12968.7,3400,12854.83
2015-12-25,12968.7,12968.7,12968.7,12968.7,0,12854.83
2015-12-28,13099.9,13099.9,12868.8,12972,3100,12858.1
2015-12-29,13040,13150,12900,13067.5,3500,12952.76
2015-12-30,13100,13151,12962,13098.5,4500,12983.49
2015-12-31,12985,13498.9,12985,13369.7,8400,13252.31
2016-01-01,13465,13850,13425,13510.3,4800,13391.67
2016-01-04,13402.7,13598.3,13210.7,13558,6100,13438.95
2016-01-05,13599,13865,13431,13828.5,7700,13707.08
2016-01-06,13727.9,13840.5,13565,13670.2,3400,13550.17
2016-01-07,13600,13648,13139,13193.5,11200,13077.65
2016-01-08,13285,13530.2,13145,13311.2,6600,13194.32
2016-01-11,13200,13438.8,13008,13326,5400,13208.99
2016-01-12,13300,13300,13000.2,13062.3,5400,12947.61
2016-01-13,13290,13290,12868.8,13176.2,13300,13060.51
2016-01-14,12872.2,13136.9,12600,13073,7000,12958.21
2016-01-15,12945.5,13125,12501,12645.3,5700,12534.27
2016-01-18,12260.1,12590,12008,12503.5,15400,12393.71
2016-01-19,12300,12849.6,12300,12753.7,8600,12641.72
2016-01-20,12450,12754.4,12040,12483.2,14400,12373.59
2016-01-21,12222,12737.5,12100,12167.8,9100,12060.96
2016-01-22,12299.9,12489.9,12200,12310.7,6700,12202.61
2016-01-25,12379.9,12555,12318.2,12484.5,9600,12374.88
2016-01-26,12484.5,12484.5,12484.5,12484.5,0,12374.88
2016-01-27,12588.7,12644,12115,12172.4,5100,12065.52
2016-01-28,12341,12385,11951,11992.3,7500,11887
2016-01-29,11975,12350,11827,12103.2,9900,11996.93
2016-02-01,12120,12489.7,11873,12278.9,6000,12171.09
2016-02-02,12278,12451,12100,12298.7,12100,12190.71
2016-02-03,12189,12312,11830,12064,7300,11958.07
2016-02-04,12150,12260.2,11810,11921.2,6700,11816.53
2016-02-05,11990,12236.8,11711.2,11799.5,10100,11695.89
2016-02-08,11880,12150,11720.5,11971.7,16100,11866.58
2016-02-09,11900,11900,11620.5,11715.7,9300,11612.83
2016-02-10,11700,11783,11306,11539.2,10600,11437.88
2016-02-11,11480,11539,9850.1,10674.4,53200,10580.67
2016-02-12,10670,10670,9875,10261.2,23400,10171.1
2016-02-15,10240,10887.8,10240,10799,10700,10704.18
2016-02-16,10887.8,10898.5,9961,10749.8,32800,10655.41
2016-02-17,10700,10780,10264.4,10583,11400,10510.61
2016-02-18,10698.9,10850,10307.6,10427.6,9200,10356.27
2016-02-19,10222,10375,10125,10260.7,9600,10190.51
2016-02-22,10399,10618,10208.8,10556.8,8400,10484.59
2016-02-23,10575,10600,10160.5,10272.8,6800,10202.53
2016-02-24,10387.5,10387.5,10141,10254.3,6000,10184.16
2016-02-25,10368,10375,9966.05,10012.6,13900,9944.11
2016-02-26,10127.3,10155,9960,10009.5,7000,9941.03
2016-02-29,10010,10121,9781.6,9880.95,10400,9813.36
2016-03-01,9892,10010,9752.35,9987.2,15400,9918.88
2016-03-02,10100,10468,10092,10331.4,17700,10260.73
2016-03-03,10340,10400,10243.9,10348,7600,10277.22
2016-03-04,10480,10500,10300.3,10451.6,9000,10380.11
2016-03-07,10451.6,10451.6,10451.6,10451.6,0,10380.11
2016-03-08,10620,10787,10490,10713.2,6200,10639.92
2016-03-09,10770,11309,10687.6,11201.5,14900,11124.88
2016-03-10,11203,11600,11075.2,11412.5,62400,11334.43
2016-03-11,11470,11560,11160.2,11367,9500,11289.25
2016-03-14,11430,11750,11310,11519.1,12400,11440.3
2016-03-15,11425.5,11585.2,11090,11277,10000,11199.86
2016-03-16,11200,11290,11100,11204.2,8300,11127.56
2016-03-17,11275,11520,11250.5,11477,9500,11398.49
2016-03-18,11499.9,11821.3,11460,11725.2,176200,11645
2016-03-21,11821,11944.3,11501,11604.1,7200,11524.72
2016-03-22,11700,11706.5,11520,11553.3,3500,11474.27
2016-03-23,11550,11603.1,10321,11366,66600,11288.25
2016-03-24,11366,11366,11366,11366,0,11288.25
2016-03-25,11366,11366,11366,11366,0,11288.25
2016-03-28,11248,11248,10867.6,11054.5,17900,10978.88
2016-03-29,10981,11185,10907,11104.1,9400,11028.14
2016-03-30,11110.5,11333.7,11044.2,11303.1,14200,11225.78
2016-03-31,11200,12394.4,11152,12116.9,27400,12034.02
2016-04-01,11998.9,12217.2,11733,12143.2,8500,12060.14
2016-04-04,12170,12300,12000,12076.2,6500,11993.59
2016-04-05,12170,12250,11991,12143.3,4400,12060.24
2016-04-06,12198.8,12499,12010,12306.4,7900,12222.22
2016-04-07,12444.9,12444.9,12162,12221.1,4500,12137.5
2016-04-08,12170,13050,12141.8,12811.9,8800,12724.26
2016-04-11,12919.3,13050,12815,12937,6900,12848.51
2016-04-12,12900,13079,12834,12874.7,4900,12786.63
2016-04-13,12887.7,13174.8,12860.7,12899.7,6300,12811.46
2016-04-14,12899.7,12899.7,12899.7,12899.7,0,12811.46
2016-04-15,12899.7,12899.7,12899.7,12899.7,0,12811.46
2016-04-18,12899.7,13095,12611.1,12788.8,9100,12701.32
2016-04-19,12788.8,12788.8,12788.8,12788.8,0,12701.32
2016-04-20,12770.5,13615,12770.5,13548,14500,13455.33
2016-04-21,13785,13829.5,12900.1,12958.8,22800,12870.16
2016-04-22,13000,13135.2,12701,12868.5,6700,12780.47
2016-04-25,12990,12990,12678.5,12779.8,3600,12692.38
2016-04-26,12700,13025,12700,12854.7,9300,12766.77
2016-04-27,12910,13074.8,12849.5,12979.3,4000,12890.52
2016-04-28,13000.1,13197,12861,12973.2,12600,12884.46
2016-04-29,13085,13085,12445.6,12564,7900,12478.06
2016-05-02,12598,12984,12400,12860.7,5700,12772.73
2016-05-03,12750.2,12920.8,12455.5,12632.7,5000,12546.29
2016-05-04,12765,12880,12410,12676,3800,12589.29
2016-05-05,12777,12820,12549.2,12644.4,3300,12557.91
2016-05-06,12520.5,13309.2,12518,13068.4,8600,12979.01
2016-05-09,13068.4,13250,12920.2,13084.3,4400,12994.8
2016-05-10,13083,13179.6,12904,12972.2,4000,12883.47
2016-05-11,12950,13113,12851,13075.7,3400,12986.26
2016-05-12,13224.5,13224.5,12950,13000.5,3400,12911.57
2016-05-13,12950,13048.3,12811,12918.1,3800,12829.74
2016-05-16,12920,13356.2,12815.5,13321.3,5400,13230.18
2016-05-17,12910,13392.9,12910,13268.2,4800,13177.44
2016-05-18,13280,13360,13100,13256.3,3200,13165.62
2016-05-19,13290,13350,13100.2,13269.8,3300,13179.03
2016-05-20,13269,13350,12952.1,13047.9,6500,12958.65
2016-05-23,13200,13229,12840,12960.9,4700,12872.24
2016-05-24,12900,13424.8,12442,13158.3,17400,13068.29
2016-05-25,13149,13200.2,12730.3,12938.9,10600,12850.39
2016-05-26,12953,13380,12921.2,13320,11400,13228.89
2016-05-27,13350,13572.9,13126.8,13472.2,10600,13380.05
2016-05-30,13500,14169,13500,14024.5,21300,13928.57
2016-05-31,14039,14092.6,13675,13794.9,10500,13722.06
2016-06-01,13800,14435,13711.5,14320.3,12900,14244.69
2016-06-02,14350,14566.5,14196,14270.5,10600,14195.15
2016-06-03,14271,14449.3,14017.8,14105.7,9200,14031.22
2016-06-06,14184,14184,13829.8,13940.1,10700,13866.5
2016-06-07,14000,14170.8,13920,13974,7600,13900.22
2016-06-08,13980,14014.5,13660,13817.8,18900,13744.84
2016-06-09,13751.5,14134,13751.5,13985.2,4600,13911.36
2016-06-10,13970.1,14049,13602.3,13687.7,8000,13615.43
2016-06-13,13605,13784,13531.5,13594,4600,13522.22
2016-06-14,13630,13698,13420,13493.9,3300,13422.65
2016-06-15,13540,13619.9,13419.9,13472.5,5800,13401.37
2016-06-16,13600,13897.5,13260.5,13434.5,14000,13363.57
2016-06-17,13560,13750,13451.2,13705.2,6900,13632.84
2016-06-20,13680.3,13779.5,13510.2,13686.5,4900,13614.24
2016-06-21,13701,13740,13552,13582.5,4900,13510.78
2016-06-22,13677,13716,13406,13523.8,9100,13452.39
2016-06-23,13707.4,13707.4,13365,13490.5,5500,13419.27
2016-06-24,13370,13673.2,13002,13584.8,9800,13513.07
2016-06-27,13449,13740,13449,13613.5,6400,13541.62
2016-06-28,13660,13866.8,13550,13799,4300,13726.14
2016-06-29,13796.6,14033.7,13700,13970.5,5600,13896.74
2016-06-30,13905.5,14096.1,13810,14017,9900,13942.99
2016-07-01,14017,14299.9,13923.5,14059.8,11500,13985.56
2016-07-04,14059.8,14087.5,13920,13981.7,4900,13907.88
2016-07-05,13900.5,13998,13720,13778.2,5900,13705.45
2016-07-06,13778.2,13778.2,13778.2,13778.2,0,13705.45
2016-07-07,13800,13826.8,13466,13519.1,8700,13447.72
2016-07-08,13548,13548,13260.3,13345.3,8200,13274.84
2016-07-11,13351,13602.5,13310,13399.5,12000,13328.75
2016-07-12,13490,13490,13250,13301,5800,13230.77
2016-07-13,13300,13325,13105,13217,7000,13147.21
2016-07-14,13156,13535.5,13118,13489.5,6300,13418.28
2016-07-15,13490,13550,13301.9,13446.2,8600,13375.2
2016-07-18,13350.5,13559.4,13250.1,13343.5,9800,13273.05
2016-07-19,13400.1,13433.2,13295,13324.2,5300,13253.85
2016-07-20,13324,13587.3,13260.7,13540.2,5000,13468.71
2016-07-21,13540.3,13780,13540.3,13629.2,5900,13557.24
2016-07-22,13690,13735,13476,13621.8,2900,13549.88
2016-07-25,13647,13775,13537.4,13638.7,4500,13566.69
2016-07-26,13638.7,13694.3,13320,13372,7000,13301.4
2016-07-27,13400,13567.9,13377.8,13497.9,6900,13426.63
2016-07-28,13497.9,13665,13385,13573,6800,13501.34
2016-07-29,13574.3,14408.5,13574.3,14342.2,10700,14266.47
2016-08-01,14399.9,15067,14380,14933.2,22000,14854.35
2016-08-02,14985,15230,14656,14742.4,15000,14664.56
2016-08-03,14830,14830,13800,13962.3,12700,13911.23
2016-08-04,14120,14138,13273.5,13510.3,14000,13460.88
2016-08-05,13516,14250,13516,13899.4,8300,13848.56
2016-08-08,14100,14344,13940,14216.8,5800,14164.8
2016-08-09,14339,14339,13901.2,14107,5700,14055.4
2016-08-10,14250,14250,13888,14004.3,4100,13953.07
2016-08-11,13907.1,15199.8,13499.2,14218.7,69000,14166.69
2016-08-12,14238,14514.7,13955.5,14083.7,9200,14032.18
2016-08-15,14083.7,14083.7,14083.7,14083.7,0,14032.18
2016-08-16,14097.8,14250,13892,14061.7,6900,14010.26
2016-08-17,14061,14396.2,13901,14332.2,6700,14279.77
2016-08-18,14333,14460.5,14105,14177.2,6200,14125.34
2016-08-19,14177,14488,14146.5,14329.8,10900,14277.38
2016-08-22,14329,14460,14230,14285,5100,14232.75
2016-08-23,14299,14360,14169.9,14293.2,8900,14240.92
2016-08-24,14300,14388.8,14150.5,14234,7200,14181.93
2016-08-25,14347.7,14347.7,14155.5,14261.5,4800,14209.33
2016-08-26,14261,14880,14161.5,14763.7,10200,14709.7
2016-08-29,14771.1,14902,14527.7,14652.7,6500,14599.1
2016-08-30,14607,14880,14607,14849.5,6100,14795.18
2016-08-31,14845,15048,14737.6,14854.5,6400,14800.16
2016-09-01,14920,15199.7,14726,15117.7,8800,15062.4
2016-09-02,15195,15326,14937.7,15235.3,7700,15179.57
2016-09-05,15235.3,15235.3,15235.3,15235.3,0,15179.57
2016-09-06,15200,15380,15110,15305.2,5600,15249.21
2016-09-07,15225,15350,15000,15121.2,7300,15065.89
2016-09-08,14900.1,15198,14706.3,14839.8,9600,14785.52
