"Date","DCBBANK.NS.Open","DCBBANK.NS.High","DCBBANK.NS.Low","DCBBANK.NS.Close","DCBBANK.NS.Volume","DCBBANK.NS.Adjusted"
2016-07-06,104.7,104.7,104.7,104.7,0,104.7
2016-07-07,105.5,105.65,102.45,102.9,910100,102.9
2016-07-08,103.1,103.5,100.7,103.1,947700,103.1
2016-07-11,105,105.3,103.3,104.35,2012100,104.35
2016-07-12,105.15,107,103.65,105.6,1384600,105.6
2016-07-13,105.95,106.75,99,99.9,1683200,99.9
2016-07-14,100.3,105.7,100.3,105,3101400,105
2016-07-15,105,105,98,100.05,3583900,100.05
2016-07-18,100.3,102.5,98.9,99.7,1873100,99.7
2016-07-19,99.55,100.6,98.5,99.95,826700,99.95
2016-07-20,100.75,100.75,98.85,99.35,884800,99.35
2016-07-21,99.5,100.45,99.1,99.55,584600,99.55
2016-07-22,99.6,100.75,99.05,99.95,590600,99.95
2016-07-25,99.4,101.7,99.35,100.5,645000,100.5
2016-07-26,101.5,101.5,99.35,99.7,1861300,99.7
2016-07-27,99.65,100.7,99.4,99.75,1877500,99.75
2016-07-28,100.6,104.75,100.05,103.8,2094500,103.8
2016-07-29,104.5,114.4,104.25,111.2,5570300,111.2
2016-08-01,111.55,112,105.6,106.7,1564900,106.7
2016-08-02,106.5,113.25,106.2,109.8,3770100,109.8
2016-08-03,110,112.25,107.7,110.05,1765700,110.05
2016-08-04,110.1,111.1,107.2,110,850200,110
2016-08-05,110.8,114.85,110.15,114.25,2207500,114.25
2016-08-08,115,115,111.1,113.65,803000,113.65
2016-08-09,113.5,114.5,112.25,113.3,771700,113.3
2016-08-10,113.15,113.75,107.4,108.1,669000,108.1
2016-08-11,108.1,112.2,107.25,110.75,1132300,110.75
2016-08-12,111.25,114,110.55,113.4,1141600,113.4
2016-08-15,113.4,113.4,113.4,113.4,0,113.4
2016-08-16,113.5,115.35,112.85,114.95,1230100,114.95
2016-08-17,113.6,116.4,113.45,115.55,680800,115.55
2016-08-18,115.4,117.2,114.1,116.85,1179000,116.85
2016-08-19,117,117.45,116,116.65,492400,116.65
2016-08-22,117,119.3,115.6,117.95,904700,117.95
2016-08-23,118,118.5,116,116.55,540200,116.55
2016-08-24,116.7,117.1,114.1,114.95,375000,114.95
2016-08-25,115.9,115.9,114.1,114.5,596100,114.5
2016-08-26,114.5,117.4,114.5,116.75,753500,116.75
2016-08-29,116.6,118.5,114.75,116.2,757000,116.2
2016-08-30,117.2,120.55,116.25,119.2,1119100,119.2
2016-08-31,119.7,121,118.5,120.55,1013700,120.55
2016-09-01,119.5,121,118.25,119.25,2150500,119.25
2016-09-02,117.5,119.65,116,116.35,817500,116.35
2016-09-05,116.35,116.35,116.35,116.35,0,116.35
2016-09-06,117.55,121.7,117.25,117.7,1426200,117.7
2016-09-07,117.5,122.95,117.5,119.95,2149700,119.95
2016-09-08,120.6,125.25,119.65,123.5,2326200,123.5
2016-09-09,124.25,124.3,120.5,120.85,903800,120.85
2016-09-12,117.1,120,116.8,117.8,833000,117.8
2016-09-13,117.8,117.8,117.8,117.8,0,117.8
2016-09-14,118,122.6,117.85,121.85,725300,121.85
2016-09-15,123.05,123.5,121.05,122.75,632200,122.75
2016-09-16,123.6,124.25,121.5,123,903200,123
2016-09-19,122.4,124.7,122.4,123.25,637700,123.25
2016-09-20,123.25,123.6,121.6,122.9,599800,122.9
2016-09-21,122.9,124,121.7,122.85,668200,122.85
2016-09-22,126,126.9,120.3,122.2,2272000,122.2
2016-09-23,122,125.9,120.75,124,1605800,124
2016-09-26,124.3,125.35,123,124.9,884600,124.9
2016-09-27,125.35,125.7,122.8,123.4,789900,123.4
2016-09-28,124,126.5,123.7,126,1732000,126
2016-09-29,126.5,126.85,115.5,121.5,1739300,121.5
2016-09-30,120.4,126.7,120.2,125.15,1562900,125.15
2016-10-03,125.9,128.3,125,127.3,1503900,127.3
2016-10-04,127.4,128.75,125.75,128.1,1582400,128.1
2016-10-05,128.9,128.9,125.65,126.35,768700,126.35
2016-10-06,127,127,124.5,125.15,636300,125.15
2016-10-07,124,126.65,124,125.1,3131500,125.1
2016-10-10,125.2,126.5,123,123.75,782800,123.75
2016-10-11,123.75,123.75,123.75,123.75,0,123.75
2016-10-12,123.75,123.75,123.75,123.75,0,123.75
2016-10-13,124.1,124.9,119.75,123.6,824200,123.6
2016-10-14,124.2,124.9,120.4,122.1,1422000,122.1
2016-10-17,125,131.55,122.7,125.85,8416800,125.85
2016-10-18,127.25,128,125.7,127.15,1780400,127.15
2016-10-19,127.4,127.95,126.1,127.5,927100,127.5
