"Date","RDEL.NS.Open","RDEL.NS.High","RDEL.NS.Low","RDEL.NS.Close","RDEL.NS.Volume","RDEL.NS.Adjusted"
2015-03-24,55.9,58.65,55.6,57.7,3001600,57.7
2015-03-25,58,58.45,56.65,56.8,1567300,56.8
2015-03-26,57,57.5,56,56.35,2422200,56.35
2015-03-27,57.95,58.75,55.75,56.5,2725400,56.5
2015-03-30,57.2,58.4,57.2,57.6,1583200,57.6
2015-03-31,57.95,58.2,56.95,57.2,1499100,57.2
2015-04-01,57.85,61.15,57.55,60.25,5481000,60.25
2015-04-02,60.25,60.25,60.25,60.25,0,60.25
2015-04-03,60.25,60.25,60.25,60.25,0,60.25
2015-04-06,60.65,60.9,59.7,60.1,1259300,60.1
2015-04-07,60.35,60.35,59,59.25,1052300,59.25
2015-04-08,59.6,61.7,59.3,60.95,2547400,60.95
2015-04-09,61.4,61.8,61,61.15,1303100,61.15
2015-04-10,61.4,64,60.2,61.7,4092300,61.7
2015-04-13,61.95,62.75,61.6,61.95,1151200,61.95
2015-04-14,61.95,61.95,61.95,61.95,0,61.95
2015-04-15,61.95,62.45,60.4,61.1,887800,61.1
2015-04-16,61.3,61.5,60.4,60.6,825300,60.6
2015-04-17,60.8,61.8,60.5,61.1,913200,61.1
2015-04-20,61.35,61.35,60.2,60.3,974600,60.3
2015-04-21,60.45,60.6,59.75,59.95,854200,59.95
2015-04-22,60.25,60.5,59.3,59.75,985600,59.75
2015-04-23,59.65,59.95,58.8,58.9,1116300,58.9
2015-04-24,58.9,59.35,57,57.3,958900,57.3
2015-04-27,57.85,57.95,56.2,56.6,1296600,56.6
2015-04-28,56.55,57.75,56.45,57.5,643300,57.5
2015-04-29,57.7,57.75,57.15,57.3,378000,57.3
2015-04-30,57.2,58.15,57.1,57.25,499200,57.25
2015-05-01,57.25,57.25,57.25,57.25,0,57.25
2015-05-04,57.4,57.9,57.25,57.35,330200,57.35
2015-05-05,57.7,59.2,57.25,58.1,766400,58.1
2015-05-06,58.2,59.7,58.1,58.6,1483600,58.6
2015-05-07,58.55,60,58.25,58.9,900200,58.9
2015-05-08,60,60.9,59.3,60.5,1196400,60.5
2015-05-11,60.5,61,59.3,59.6,1014600,59.6
2015-05-12,59.6,59.65,58.7,59.15,985000,59.15
2015-05-13,59.45,60,59.15,59.55,267100,59.55
2015-05-14,59.55,59.9,59.25,59.45,593600,59.45
