"Date","BANKBARODA.NS.Open","BANKBARODA.NS.High","BANKBARODA.NS.Low","BANKBARODA.NS.Close","BANKBARODA.NS.Volume","BANKBARODA.NS.Adjusted"
2015-10-15,174.9,180.4,174.2,179.9,7941200,179.9
2015-10-16,179.7,179.8,175.1,177.7,6019700,177.7
2015-10-19,177.5,178.85,174.4,175.55,3959200,175.55
2015-10-20,176,178.6,175.1,176.25,4977800,176.25
2015-10-21,176.45,177.4,171.6,174.75,4780000,174.75
2015-10-22,174.75,174.75,174.75,174.75,0,174.75
2015-10-23,176.1,176.7,172.5,173.1,4429500,173.1
2015-10-26,173.7,174.9,171.05,172.05,2655700,172.05
2015-10-27,172.2,172.85,167.95,168.35,4659100,168.35
2015-10-28,166.8,167,161.5,164.05,8360100,164.05
2015-10-29,164.2,165.7,161.8,162.45,6729900,162.45
2015-10-30,162.1,164.8,159.55,160.2,3329300,160.2
2015-11-02,161,162.75,156.6,161.85,4087800,161.85
2015-11-03,163.2,164.3,161.25,161.95,2575200,161.95
2015-11-04,164,165.4,162.25,163.45,2924200,163.45
2015-11-05,163,163.4,158.5,159.4,3577000,159.4
2015-11-06,158.5,169.2,140.1,167.05,41221600,167.05
2015-11-09,162.55,172.5,161.7,171.45,13759000,171.45
2015-11-10,169.4,173.9,167.85,172.95,9643900,172.95
2015-11-11,172.95,172.95,172.95,172.95,0,172.95
2015-11-12,172.95,172.95,172.95,172.95,0,172.95
2015-11-13,172,175.35,169.5,174.2,4232100,174.2
2015-11-16,173.9,177.2,173.4,176.45,3956600,176.45
2015-11-17,177,177.4,172.65,173.25,5854900,173.25
2015-11-18,172.75,173.2,167.6,168.35,3802900,168.35
2015-11-19,170.05,170.05,166.7,168.1,3106500,168.1
2015-11-20,168,173.2,166,171.9,6658600,171.9
2015-11-23,172.1,172.75,168.4,169.35,2844400,169.35
2015-11-24,169,171.15,167.85,168.2,2584200,168.2
2015-11-25,168.2,168.2,168.2,168.2,0,168.2
2015-11-26,169.4,172,167.2,170.05,4062200,170.05
2015-11-27,171.7,180.25,170.7,179.6,8015800,179.6
2015-11-30,179.4,182.5,178.7,179.9,6179300,179.9
2015-12-01,179.9,180.8,176.3,177.55,3179800,177.55
2015-12-02,177.55,179.05,173.3,173.8,2806900,173.8
2015-12-03,170.8,173.2,170.8,171.25,3707500,171.25
2015-12-04,170,170,165.55,166.9,5677300,166.9
2015-12-07,168.15,170,165.05,165.7,4471300,165.7
2015-12-08,165.1,167.25,160.85,161.7,3682500,161.7
2015-12-09,161.05,163.8,159.5,160.25,4114200,160.25
2015-12-10,161.3,162,156.3,159.35,4601200,159.35
2015-12-11,160.3,161.3,150.45,155.25,9216300,155.25
2015-12-14,154,158.7,153.3,156.8,4516800,156.8
2015-12-15,157,159.2,155,158.35,4845000,158.35
2015-12-16,159.9,161.8,157.25,159.8,6871400,159.8
2015-12-17,161,163.4,158.6,159.95,5294900,159.95
2015-12-18,159.75,162.8,158.3,159,4846300,159
2015-12-21,159.25,160.4,157.5,159.45,3892000,159.45
2015-12-22,159.55,161.4,156.55,157.1,2873500,157.1
2015-12-23,158.6,159,157.5,158.55,2806600,158.55
2015-12-24,158.6,159.75,157.4,158.3,1732300,158.3
2015-12-25,158.3,158.3,158.3,158.3,0,158.3
2015-12-28,159.25,159.95,158.4,158.95,1555500,158.95
2015-12-29,159.4,159.5,157.1,157.85,2538100,157.85
2015-12-30,158.9,159.4,155.3,156.1,3585800,156.1
2015-12-31,156.1,159,154,156.65,8896400,156.65
2016-01-01,157.2,159.9,156,159.05,2465400,159.05
2016-01-04,158.1,158.8,150.5,151.2,5466900,151.2
2016-01-05,152.7,152.7,146.3,148.1,7745800,148.1
2016-01-06,148,150.95,146.6,148.7,4243700,148.7
2016-01-07,147,147,138.8,139.5,7983000,139.5
2016-01-08,140.95,143.45,139.35,140.45,3860800,140.45
2016-01-11,138,140.2,134.55,139.1,7042600,139.1
2016-01-12,138.55,140.4,133.7,134.5,5896400,134.5
2016-01-13,136.2,137.4,127.5,132.1,8377500,132.1
2016-01-14,129.8,131.85,126.25,130.9,7253900,130.9
2016-01-15,130.95,133,124.6,126.15,6218100,126.15
2016-01-18,127,131.5,124.45,125.7,12717200,125.7
2016-01-19,127.55,129.2,124.25,125.15,6853300,125.15
2016-01-20,122.8,123,118.05,121.15,7500300,121.15
2016-01-21,123.55,126.5,121.1,124.25,6580000,124.25
2016-01-22,126.3,131.6,126.25,130.2,6659000,130.2
2016-01-25,132.4,133.15,128.5,129.5,5082900,129.5
2016-01-26,129.5,129.5,129.5,129.5,0,129.5
2016-01-27,128.7,131.4,125.35,130,8078400,130
2016-01-28,129.9,132.7,128.35,130.15,6109000,130.15
2016-01-29,128.8,130.7,122.65,125.4,11988900,125.4
2016-02-01,125.25,126.85,121.1,122.2,5631200,122.2
2016-02-02,122.55,127.85,120.1,120.95,9944800,120.95
2016-02-03,119.4,122.6,116.3,120.55,6876400,120.55
2016-02-04,123,124.7,120.85,122.8,5957900,122.8
2016-02-05,123.4,128.05,121.65,126.95,5380800,126.95
2016-02-08,127.9,134.7,127.1,130.65,9374400,130.65
2016-02-09,128,131.55,123.55,124.3,8476400,124.3
2016-02-10,124,124,115.6,116.9,11189600,116.9
2016-02-11,115.6,121.6,112.65,115.95,17088600,115.95
2016-02-12,117,117.4,109.35,113.7,7472300,113.7
2016-02-15,118.5,142.1,118.5,139.35,55792500,139.35
