"Date","BANKBARODA.NS.Open","BANKBARODA.NS.High","BANKBARODA.NS.Low","BANKBARODA.NS.Close","BANKBARODA.NS.Volume","BANKBARODA.NS.Adjusted"
2015-01-01,216.02,217.76,214.55,216.61,1756600,42.35
2015-01-02,217.18,220.38,216.92,219.25,4821300,42.87
2015-01-05,219.04,221.7,218.39,219.19,3086900,42.86
2015-01-06,217.8,218,211,211.9,3522200,41.43
2015-01-07,212,214.6,208.99,213.34,3479100,41.71
2015-01-08,215.98,216.79,214,215.52,3362400,42.14
2015-01-09,216.88,217.4,210.4,212.09,3476300,41.47
2015-01-12,212,218.25,211,216,3543600,42.23
2015-01-13,217,220.16,215,216.32,3755500,42.3
2015-01-14,216.02,217.4,213.6,215.01,2665000,42.04
2015-01-15,224.4,224.4,218.37,219.64,6556500,42.94
2015-01-16,219.2,219.59,215.71,216.17,2839600,42.27
2015-01-19,217,219.3,216.42,216.97,2577400,42.42
2015-01-20,217.44,219.78,216.8,217.36,4154600,42.5
2015-01-21,217.7,227.74,217.7,225.58,13617800,44.11
2015-01-22,228.4,228.4,221.1,223.85,4837600,218.84
2015-01-23,227.45,228.9,219.7,223.1,4098800,218.11
2015-01-26,223.1,223.1,223.1,223.1,0,218.11
2015-01-27,224.9,224.9,219.5,222.95,2373600,217.96
2015-01-28,222.9,227.85,220.4,223.55,2889300,218.55
2015-01-29,222.85,224.95,216.15,217.15,4185000,212.29
2015-01-30,220.7,220.7,185.6,193.15,26571500,188.83
2015-02-02,192,192.05,183.75,187.85,9608600,183.65
2015-02-03,190,191.9,184.4,185.05,7684400,180.91
2015-02-04,186.8,188,182.05,184.9,4629700,180.76
2015-02-05,185.8,185.8,175.3,177.55,6190100,173.58
2015-02-06,175.55,177.7,169.35,175.95,9804000,172.01
2015-02-09,175,178.25,172.5,173.45,5120500,169.57
2015-02-10,171.2,181.2,171,176.4,6840700,172.45
2015-02-11,177.9,182.85,177.2,180.95,4844200,176.9
2015-02-12,182.35,182.35,178.05,180.8,3925200,176.75
2015-02-13,182.7,185.3,180.2,182.95,6503700,178.86
2015-02-16,182.95,184.6,180,182.75,3812200,178.66
2015-02-17,182.75,182.75,182.75,182.75,0,178.66
2015-02-18,183,184.1,180,183.2,2911500,179.1
2015-02-19,183.95,184.4,175.5,178.55,3680900,174.55
2015-02-20,179,186.9,176.5,183.3,5045500,179.2
2015-02-23,183.65,186.05,180.5,182.35,2602900,178.27
2015-02-24,181.95,181.95,175.55,176.75,5597400,172.79
2015-02-25,178.3,179.9,176.25,177.15,2460500,173.19
2015-02-26,177.65,178.1,170.05,171.35,6028000,167.52
2015-02-27,174.65,182,173.25,181,7519300,176.95
2015-03-02,186.75,187.15,179.3,182.4,6392200,178.32
2015-03-03,183.1,189,181.65,187.2,4600600,183.01
2015-03-04,198,198.7,179.1,180.4,10089000,176.36
2015-03-05,181,184.95,178.7,184.05,4903700,179.93
2015-03-06,184.05,184.05,184.05,184.05,0,179.93
2015-03-09,181.9,182.9,178.2,180.05,3673900,176.02
2015-03-10,180.05,182.8,176,179.85,4343800,175.83
2015-03-11,180.5,181.05,175.55,176.9,5397600,172.94
2015-03-12,178.5,181.75,177.7,179.85,3287800,175.83
2015-03-13,182,182,176.75,179,3943200,174.99
2015-03-16,179.5,184,177.1,182.65,2505800,178.56
2015-03-17,183.5,184,178.6,182.4,8351200,178.32
2015-03-18,182.5,185.25,181.15,182.25,5675500,178.17
2015-03-19,184.45,184.5,174.7,176.5,3985800,172.55
2015-03-20,175.9,175.9,171.45,172.65,4641600,168.79
2015-03-23,173.7,173.85,169,169.65,3823800,165.85
2015-03-24,168.8,169.7,165.15,167.9,4820800,164.14
2015-03-25,168,168.8,163.8,165.85,3645800,162.14
2015-03-26,164.3,167.4,159.9,161,5071600,157.4
2015-03-27,163,163.1,155.4,160.95,5769900,157.35
2015-03-30,162.65,164.7,157.65,163.85,3858700,160.18
2015-03-31,164.8,167.9,162.2,163.5,3106400,159.84
2015-04-01,162.75,170.4,162.05,168.9,2949800,165.12
2015-04-02,168.9,168.9,168.9,168.9,0,165.12
2015-04-03,168.9,168.9,168.9,168.9,0,165.12
2015-04-06,170,171,166.25,168.5,3290000,164.73
2015-04-07,169.5,172.1,167.05,170.05,4180700,166.24
2015-04-08,170.9,172,167.1,168.85,3861200,165.07
2015-04-09,170,173.7,166.9,171.75,6614100,167.91
2015-04-10,171.8,175.25,170.9,174.2,3006000,170.3
2015-04-13,175,177.9,174.1,175.55,3611400,171.62
2015-04-14,175.55,175.55,175.55,175.55,0,171.62
2015-04-15,175,180.95,174.6,178.5,5417100,174.51
2015-04-16,177.65,178.45,172.65,177.15,3639100,173.19
2015-04-17,176.65,178.5,173.3,177.6,4959200,173.63
2015-04-20,177.5,182.9,177.1,179.5,4825800,175.48
2015-04-21,177.05,180.9,174.55,180.15,3869200,176.12
2015-04-22,180.7,181.5,177.1,179.85,4312000,175.83
2015-04-23,181,181.85,177.25,179.45,2881400,175.43
2015-04-24,179.05,179.8,172.65,174.15,3767300,170.25
2015-04-27,173.3,173.9,168.3,170.85,3785200,167.03
2015-04-28,170,174.7,168.55,173.45,3662500,169.57
2015-04-29,173.2,174.8,170.8,171.85,2612600,168
2015-04-30,171,171.45,167.4,169,7842200,165.22
2015-05-01,169,169,169,169,0,165.22
2015-05-04,170,171.8,169,170.7,3008300,166.88
2015-05-05,170.6,172.65,169.1,170,2534100,166.2
2015-05-06,169.4,169.8,160.6,162.15,5258300,158.52
2015-05-07,161.4,161.5,151.15,153.45,4557100,150.02
2015-05-08,155.05,156.2,142.7,145.1,10251400,141.85
2015-05-11,146.1,171,143.8,169.7,41425100,165.9
2015-05-12,166.7,166.7,157,158.4,14873800,154.86
2015-05-13,158.7,164.2,156.15,162.45,10010300,158.81
2015-05-14,161.9,165.35,158.5,164.55,5794400,160.87
2015-05-15,164.6,166.85,159.5,160.15,5242200,156.57
2015-05-18,161.2,163,158.35,162,4664500,158.37
2015-05-19,162.4,163.5,159.5,160.65,5172300,157.06
2015-05-20,161.35,162.65,159.1,159.75,6020300,156.18
2015-05-21,160,160.95,154.4,156.55,9769600,153.05
2015-05-22,157.2,161.7,154.1,155.4,10826800,151.92
2015-05-25,154.7,160.35,153.7,157.8,7072700,154.27
2015-05-26,157.8,159.95,156.65,159.45,4424000,155.88
2015-05-27,158,162.45,157.5,161.15,5157500,157.54
2015-05-28,162,162.8,159.3,160.1,6754000,156.52
2015-05-29,161.05,163.4,160.2,162.6,3062300,158.96
2015-06-01,162.95,165.5,162.8,165.2,2676700,161.5
2015-06-02,165,165.4,158.1,160.4,6924600,156.81
2015-06-03,160.4,162.1,157.6,161.25,4401800,157.64
2015-06-04,161.5,164.15,158.85,161.7,4143600,158.08
2015-06-05,160.75,164,158.35,160.25,3279400,156.66
2015-06-08,160.6,160.6,153.25,155.8,3945200,152.31
2015-06-09,154.15,157.5,151.7,153.15,3763400,149.72
2015-06-10,153.85,156.2,151.75,152.95,2524000,149.53
2015-06-11,155,155.5,147.2,148.5,5764600,145.18
2015-06-12,148,148.9,145,146.95,5128900,143.66
2015-06-15,146,146.3,142.5,143,4038800,139.8
2015-06-16,140.25,142.7,139.3,142,3402700,142
2015-06-17,143.5,143.85,139.65,140.65,4270600,140.65
2015-06-18,141,142.3,138,138.65,6503800,138.65
2015-06-19,140,142.65,138.6,142.1,7842900,142.1
2015-06-22,142.95,148.35,142.85,146.4,8289600,146.4
2015-06-23,148.1,152.5,147.5,150.3,7716600,150.3
2015-06-24,150.5,151,145.05,145.9,5367100,145.9
2015-06-25,145.05,146.55,142.9,145,9470700,145
2015-06-26,145,146.15,142,144.55,3873600,144.55
2015-06-29,140.15,144.9,137.15,144.1,7374900,144.1
2015-06-30,143.15,145.75,143.15,144.15,4426200,144.15
2015-07-01,144.65,151.7,144.05,150.3,7157700,150.3
2015-07-02,151,152.3,149,150,3767200,150
2015-07-03,150,151.55,149.1,150.8,2752800,150.8
2015-07-06,148,153.9,147,153.15,3643300,153.15
2015-07-07,153.15,156.75,152.2,153.65,3734400,153.65
2015-07-08,151.9,153.5,148.6,151.35,3619600,151.35
2015-07-09,152.05,155,151.05,152.95,3722900,152.95
2015-07-10,154.75,156.9,153.9,156.45,4029000,156.45
2015-07-13,157.55,157.9,155.15,156.35,2298600,156.35
2015-07-14,156.35,158.1,155.1,155.8,2326300,155.8
2015-07-15,155.55,157.5,153.3,156.4,3132500,156.4
2015-07-16,157.5,157.5,154.5,155.55,3668500,155.55
2015-07-17,156,157.35,155.3,156.25,1876300,156.25
2015-07-20,156,157.35,151.5,152.95,1947900,152.95
2015-07-21,152.15,153.85,150.3,150.7,1944800,150.7
2015-07-22,149.2,153.4,148,152.7,2328800,152.7
2015-07-23,153,154.35,151.85,152.75,1951000,152.75
2015-07-24,154,157.8,153.5,155.75,5482800,155.75
2015-07-27,154.4,155.15,151.6,152.3,4409900,152.3
2015-07-28,152.65,156.95,150.8,153.85,7724800,153.85
2015-07-29,154.25,154.75,151.25,153.2,2710600,153.2
2015-07-30,154.1,170,153.45,168.6,32688600,168.6
2015-07-31,169,179.4,166,177.5,17527100,177.5
2015-08-03,178.9,190,178.05,184.85,13017200,184.85
2015-08-04,185,192.85,181.7,191.05,18672200,191.05
2015-08-05,191,192.35,186.15,189,12794600,189
2015-08-06,187.35,191.25,185.15,189.4,9259300,189.4
2015-08-07,188,188.7,183.65,185,6318100,185
2015-08-10,184,186.7,180.5,182.1,5175300,182.1
2015-08-11,182.9,184.7,175.65,178.05,6721100,178.05
2015-08-12,177,182.6,175.35,176.05,5013700,176.05
2015-08-13,177.8,183,175.5,176.75,6253600,176.75
2015-08-14,178.6,186.15,175.75,184.4,14076800,184.4
2015-08-17,196,215.9,196,212.8,45185400,212.8
2015-08-18,213.4,216.3,208.55,212.9,17259800,212.9
2015-08-19,211,211.4,205.35,208.75,10787100,208.75
2015-08-20,205,210.4,194.65,201.1,15568500,201.1
2015-08-21,189,201.4,187.9,199.65,13854300,199.65
2015-08-24,185,193.2,175.4,182.6,15311500,182.6
2015-08-25,189,189,172.45,182.65,14500500,182.65
2015-08-26,182.35,182.5,175.85,177.2,11710100,177.2
2015-08-27,182.1,188.6,179.55,187.8,19433000,187.8
2015-08-28,191,192.45,181,185.2,8276900,185.2
2015-08-31,184.2,189.8,183,184.75,7867100,184.75
2015-09-01,181.25,183.15,170.65,172.5,8528700,172.5
2015-09-02,175.95,175.95,166.55,169.5,11324000,169.5
2015-09-03,172.6,178.5,169.5,175.6,7011700,175.6
2015-09-04,174.95,175.45,164.85,174.25,10417200,174.25
2015-09-07,175.8,180,168.7,169.8,7452000,169.8
2015-09-08,171.95,180.7,169.45,177.7,8651900,177.7
2015-09-09,182,182.4,176.8,180.6,8900300,180.6
2015-09-10,175.6,180.9,173.05,178.95,7766700,178.95
2015-09-11,181.25,185,179.2,181.3,9750800,181.3
2015-09-14,182,187.2,181,186.55,5640600,186.55
2015-09-15,185,187.25,180.75,181.6,5703900,181.6
2015-09-16,184,184.35,179.9,182.55,6249300,182.55
2015-09-17,182.55,182.55,182.55,182.55,0,182.55
2015-09-18,185,192.25,184,190.3,13898000,190.3
2015-09-21,186.5,192.8,186.2,192.1,6864600,192.1
2015-09-22,193.55,196.25,185.1,186.85,11012900,186.85
2015-09-23,183.1,190.25,182.45,188.25,6385900,188.25
2015-09-24,188,190.3,185.3,186.4,8759200,186.4
2015-09-25,186.4,186.4,186.4,186.4,0,186.4
2015-09-28,187.9,188.75,183,183.55,5200900,183.55
2015-09-29,181,189,178.85,187.25,14290300,187.25
2015-09-30,188.9,189.4,181.55,183.2,7035700,183.2
2015-10-01,185.25,185.7,180.5,181.1,5232800,181.1
2015-10-02,181.1,181.1,181.1,181.1,0,181.1
