"Date","CANBK.NS.Open","CANBK.NS.High","CANBK.NS.Low","CANBK.NS.Close","CANBK.NS.Volume","CANBK.NS.Adjusted"
2015-05-06,372.43,376.369,355.992,357.402,1489500,344.8427
2015-05-07,354.387,358.618,341.888,345.682,1309200,333.5345
2015-05-08,350.156,353.074,328.903,333.523,2504400,321.8028
2015-05-11,337.317,353.852,332.162,352.636,2676000,340.2442
2015-05-12,352.733,352.733,336.247,338.824,2200800,326.9175
2015-05-13,342.374,350.156,339.602,348.259,1691300,336.021
2015-05-14,347.238,361.828,342.374,359.98,1757200,347.3301
2015-05-15,360.855,362.508,349.183,351.469,2431200,339.1182
2015-05-18,352.49,354.338,341.84,344.028,2537800,331.9387
2015-05-19,343.347,347.724,340.818,342.423,2321700,330.3901
2015-05-20,344.32,345.876,340.429,342.083,1281800,330.062
2015-05-21,342.374,346.265,338.484,344.271,1619000,332.1731
2015-05-22,345.001,352.296,342.472,343.542,2621600,331.4697
2015-05-25,346.362,349.961,325.11,330.994,6511600,319.3627
2015-05-26,324.234,328.757,322.63,327.104,3197200,315.6094
2015-05-27,325.013,334.204,323.894,332.064,2503400,320.3951
2015-05-28,333.134,337.317,328.32,332.162,2911700,320.4896
2015-05-29,333.037,337.463,329.39,333.961,1360500,322.2254
2015-06-01,333.086,337.268,332.21,333.377,1023600,321.662
2015-06-02,334.642,335.177,315.481,316.94,3090200,305.8025
2015-06-03,313.973,319.517,307.845,314.751,2827900,303.6905
2015-06-04,316.113,317.766,304.879,308.964,2706700,298.1068
2015-06-05,306.386,309.791,298.702,300.842,2415800,290.2702
2015-06-08,301.426,301.426,286.739,287.517,2862600,277.4135
2015-06-09,286.933,291.31,282.167,284.842,2712500,274.8325
2015-06-10,285.961,288.878,282.751,284.599,1540600,274.598
2015-06-11,286.933,289.657,276.477,285.182,6235200,275.1605
2015-06-12,281.292,289.851,281.194,286.641,2339000,276.5683
2015-06-15,285.766,287.565,282.751,285.085,1139900,275.0669
2015-06-16,284.891,295.103,282.07,292.866,2390400,282.5745
2015-06-17,294.423,296.319,290.678,293.45,1421500,283.138
2015-06-18,293.45,297.438,291.942,292.575,1458800,282.2938
2015-06-19,293.547,296.173,291.894,294.179,1434400,283.8414
2015-06-22,295.687,304.927,294.714,301.037,1998700,290.4584
2015-06-23,303.322,308.575,302.155,304.101,2142300,293.4147
2015-06-24,306.386,306.97,296.66,298.8,2976500,288.3
2015-06-25,287.03,290.289,284.988,285.717,2806800,285.717
2015-06-26,284.988,286.155,279.638,282.119,2209300,282.119
2015-06-29,275.067,277.644,270.058,276.623,2310800,276.623
2015-06-30,272.441,276.234,266.994,270.252,3363600,270.252
2015-07-01,271.371,280.222,269.474,279.492,2472800,279.492
2015-07-02,281,283.091,276.039,277.255,1846600,277.255
2015-07-03,277.255,280.562,273.656,279.395,1891400,279.395
2015-07-06,273.316,286.933,272.441,285.523,2160700,285.523
2015-07-07,286.933,288.538,280.416,283.578,1686900,283.578
2015-07-08,278.714,281.097,274.435,276.234,2032100,276.234
2015-07-09,278.131,283.043,276.331,279.638,1572900,279.638
2015-07-10,282.07,285.669,280.416,284.939,1713400,284.939
2015-07-13,287.419,290.435,283.772,289.657,1385300,289.657
2015-07-14,289.851,294.617,286.058,291.067,2021300,291.067
2015-07-15,291.942,294.325,287.176,287.906,1641200,287.906
2015-07-16,288.538,291.407,288.003,289.997,946900,289.997
2015-07-17,290.337,293.547,288.149,289.268,1146000,289.268
2015-07-20,289.268,290.97,279.346,280.611,1401600,280.611
2015-07-21,281.875,284.696,273.705,274.678,1712000,274.678
2015-07-22,272.343,277.498,272.343,276.769,1153800,276.769
2015-07-23,278.179,280.027,274.872,276.866,1017000,276.866
2015-07-24,276.72,278.082,270.787,271.614,1165600,271.614
2015-07-27,271.371,271.468,259.699,260.477,1417400,260.477
2015-07-28,258.823,262.228,252.89,253.377,2622000,253.377
2015-07-29,254.836,255.954,247.054,249.194,2101300,249.194
2015-07-30,251.918,256.975,249.194,255.905,3374900,255.905
2015-07-31,258.629,276.915,256.975,269.036,4672500,269.036
2015-08-03,268.453,285.717,267.48,283.529,4544000,283.529
2015-08-04,285.912,302.496,282.653,300.648,8775600,300.648
2015-08-05,302.885,305.414,292.477,295.298,8358600,295.298
2015-08-06,290.824,305.949,287.322,302.982,5975400,302.982
2015-08-07,303.468,306.386,298.654,300.21,2600700,300.21
2015-08-10,298.654,305.851,298.216,300.891,2289100,300.891
2015-08-11,301.037,310.277,294.909,302.35,3304900,302.35
2015-08-12,298.605,299.529,283.043,284.939,3423600,284.939
2015-08-13,288.781,295.444,277.207,280.562,2730900,280.562
2015-08-14,283.334,298.216,280.125,297.292,3713900,297.292
2015-08-17,301.037,339.943,301.037,337.219,12232900,337.219
2015-08-18,335.274,350.593,329.244,341.305,9708100,341.305
2015-08-19,339.165,340.332,327.298,332.697,3722300,332.697
2015-08-20,329.146,341.402,315.14,317.426,4846200,317.426
