"Date","TATACHEM.NS.Open","TATACHEM.NS.High","TATACHEM.NS.Low","TATACHEM.NS.Close","TATACHEM.NS.Volume","TATACHEM.NS.Adjusted"
2015-07-15,447.55,462,447.55,460.2,617500,441.6
2015-07-16,461.15,495,461.15,487.6,2096400,467.89
2015-07-17,489.9,491.9,480.5,484.7,734800,465.11
2015-07-20,484.7,512.75,482.5,502.15,2195700,481.85
2015-07-21,502.15,510.8,491.4,495.55,865400,475.52
2015-07-22,488.3,522.6,488.1,518.95,1515200,497.97
2015-07-23,519.15,526,510.3,512.75,981000,492.03
2015-07-24,513.4,519.75,499,501.65,487400,481.37
2015-07-27,500,511.6,482.95,500.55,814000,480.32
2015-07-28,497,505.25,483.2,487.2,692800,467.51
2015-07-29,492,504.45,486.05,499.9,976400,479.69
2015-07-30,505,508.9,497.05,506.35,1513700,485.88
2015-07-31,499,499,487.65,490,1602000,479.67
2015-08-03,494.8,496.2,481,484.3,718200,474.09
2015-08-04,485,495.4,483.95,491.7,745100,481.33
2015-08-05,494.9,503.35,481.15,483.75,2939900,473.55
2015-08-06,483.75,499.7,479.25,483,1568600,472.82
2015-08-07,483.45,488.25,472,473.05,825700,463.08
2015-08-10,473.9,477.5,465.3,469.6,1346000,459.7
2015-08-11,473,475.15,458.35,469.95,859600,460.04
2015-08-12,470.7,474.75,450,457.2,564900,447.56
2015-08-13,457.5,465.65,450.2,458.85,598600,449.17
2015-08-14,462,473.5,460.05,469.75,701500,459.84
2015-08-17,473,477,461.1,464.45,316800,454.66
2015-08-18,467,470,461.25,468.9,249300,459.01
2015-08-19,471,472.45,456.05,461.25,670100,451.52
2015-08-20,460.3,463.5,445.55,447.6,399800,438.16
2015-08-21,441,447.2,433.35,445.35,341900,435.96
2015-08-24,438,438,382.95,394.8,1043000,386.48
2015-08-25,400.2,417.6,372.5,415.35,1134200,406.59
2015-08-26,416,416,395.25,398.2,536000,389.8
2015-08-27,403,413,400.1,402.95,1111300,394.45
2015-08-28,408,415.85,404.65,409,775800,400.38
2015-08-31,413.95,413.95,398.25,399.8,413000,391.37
2015-09-01,400,403,389.4,396.45,521200,388.09
2015-09-02,395.3,401.45,384.25,388.6,628000,380.41
2015-09-03,393,398.05,387.1,394.35,384600,386.03
2015-09-04,393.9,393.9,378,382.8,505500,374.73
2015-09-07,385.65,385.75,374.5,379.5,363400,371.5
2015-09-08,380,386.25,375,383.8,484600,375.71
2015-09-09,389.05,393.05,387,391.8,501800,383.54
2015-09-10,391.9,391.9,380.15,388.35,316000,380.16
2015-09-11,389,393,384.65,387.05,407100,378.89
2015-09-14,387,389.25,380.05,383.7,577500,375.61
2015-09-15,384,387.65,380.4,383.15,533500,375.07
2015-09-16,388,388,378.25,383.65,513400,375.56
2015-09-17,383.65,383.65,383.65,383.65,0,375.56
2015-09-18,385.2,400.85,383.85,396.15,807600,387.8
2015-09-21,396.15,397.6,390.25,393.9,314700,385.59
2015-09-22,396,400.75,377.8,382.2,589700,374.14
2015-09-23,377,379.55,370.1,375.9,734200,367.97
2015-09-24,376.15,383.8,371.25,380.25,220900,372.23
2015-09-25,380.25,380.25,380.25,380.25,0,372.23
2015-09-28,382.55,385.1,370.05,372.4,305200,364.55
2015-09-29,370,374.35,364.1,370.2,428400,362.39
2015-09-30,372,386,370.65,381.75,440500,373.7
2015-10-01,385,389,379.85,382,300100,373.95
2015-10-02,382,382,382,382,0,373.95
2015-10-05,382.35,401.7,382.35,398.9,609800,390.49
2015-10-06,403,410,400,407.1,656900,398.52
2015-10-07,403.6,413.35,403.6,405.6,293500,397.05
2015-10-08,406.15,411.6,396.15,400.15,315900,391.71
2015-10-09,403.7,411.95,400,407.35,510800,398.76
2015-10-12,408.7,411.4,405.6,407.75,317200,399.15
2015-10-13,407.15,415,406.7,414.3,313100,405.56
2015-10-14,415,419,406.1,410.2,496900,401.55
2015-10-15,412,414,409,411.3,266000,402.63
2015-10-16,416,419,413.05,416.8,495200,408.01
2015-10-19,416.5,426.7,413,415.1,924200,406.35
2015-10-20,415,422.95,414,417.8,306000,408.99
2015-10-21,418,419.8,409.95,412.7,765400,404
2015-10-22,412.7,412.7,412.7,412.7,0,404
2015-10-23,414,418,411.25,415.65,488400,406.89
2015-10-26,416.2,423.65,414.85,421.05,422200,412.17
2015-10-27,420.7,427.7,417.55,420.55,394900,411.68
2015-10-28,419.5,420,414.15,416.35,433500,407.57
2015-10-29,416.35,424.6,411.05,413.75,675900,405.03
2015-10-30,414,416.5,405.75,408.45,707200,399.84
2015-11-02,408.45,413.5,403.75,409.1,820200,400.47
2015-11-03,413,418.45,410.25,416.9,313500,408.11
2015-11-04,419,422,416,419.05,265500,410.21
2015-11-05,419.6,419.85,414,415.4,221800,406.64
2015-11-06,414.9,418,406.2,409.8,317100,401.16
2015-11-09,402.05,422.75,402.05,419.35,547100,410.51
2015-11-10,417.9,420,409.8,414.45,384900,405.71
2015-11-11,415,419.9,414.6,416.65,45200,407.86
2015-11-12,416.65,416.65,416.65,416.65,0,407.86
2015-11-13,410.2,421,410.2,419.1,268000,410.26
2015-11-16,419,425,415.6,418.3,423300,409.48
2015-11-17,419.8,422.4,416.6,420.5,223800,411.63
2015-11-18,420.25,430.45,417.6,419.1,555600,410.26
2015-11-19,422,430.9,418.9,429.7,424700,420.64
2015-11-20,430.05,435.75,427.05,431.4,288600,422.3
2015-11-23,431.95,433.85,428.9,430.3,210900,421.23
2015-11-24,430,432.75,427.25,428.55,216800,419.51
2015-11-25,428.55,428.55,428.55,428.55,0,419.51
2015-11-26,428.55,435,424.3,431,645300,421.91
2015-11-27,431.5,437,422.95,425.35,477800,416.38
2015-11-30,425.55,427.4,418,418.85,521400,410.02
2015-12-01,420,428.85,418.2,427.6,262800,418.58
2015-12-02,426.9,438.7,425.3,437.05,344300,427.83
2015-12-03,438.15,438.35,424.8,425.95,213100,416.97
2015-12-04,421,425.4,418.05,419,389100,410.17
2015-12-07,420.15,423.7,415,416.35,305400,407.57
2015-12-08,411.65,419.9,407.1,410.9,356900,402.24
2015-12-09,408,408,387.5,395.85,908500,387.5
2015-12-10,399,399.6,389.65,392.3,582300,384.03
2015-12-11,393,393.7,387,388.25,1010100,380.06
2015-12-14,386.4,396.05,382.2,394.15,368900,385.84
2015-12-15,391.5,397.7,389,395.9,356500,387.55
2015-12-16,398,399.75,392.8,396.35,241600,387.99
2015-12-17,398,401.9,390.6,395.65,877800,387.31
2015-12-18,395.5,400,389.7,391.65,492800,383.39
2015-12-21,391.65,397.5,389.1,394.2,255500,385.89
2015-12-22,395,400.95,389.95,391.25,996800,383
2015-12-23,396,405,391.5,402.7,977300,394.21
2015-12-24,405,409.3,403,408.15,432200,399.54
2015-12-25,408.15,408.15,408.15,408.15,0,399.54
2015-12-28,411,411,403.2,405.1,242400,396.56
2015-12-29,405.1,413.85,402.65,410.35,265700,401.7
2015-12-30,411.4,413.7,405.6,407.7,327700,399.1
2015-12-31,408.8,412.8,397.5,401.45,1520200,392.99
2016-01-01,405,410,402,408.9,249400,400.28
2016-01-04,407,410.7,404,407.05,243700,398.47
2016-01-05,407.1,408.5,402.15,403.35,414000,394.85
2016-01-06,403.05,417.5,402.5,414.55,851200,405.81
2016-01-07,407.2,410.9,391.3,393.05,501100,384.76
2016-01-08,395,404,395,401.05,321000,392.59
2016-01-11,400.25,401,392,393.45,189400,385.15
2016-01-12,395.2,398.7,386.35,389.1,231500,380.9
2016-01-13,389.3,395.9,378,382.35,418200,374.29
2016-01-14,376.1,379.55,371.1,376.8,685900,368.85
2016-01-15,380,380.65,370,374.05,513900,366.16
2016-01-18,374.4,374.4,356.7,359,550900,351.43
2016-01-19,360,366.6,353.6,361.3,527200,353.68
2016-01-20,357.8,360.35,349.1,352.8,604300,345.36
2016-01-21,355.1,358.55,339.1,340.7,1064400,333.52
2016-01-22,342.7,348.05,340,346,978400,338.7
2016-01-25,348.45,352.55,344.3,348,558900,340.66
2016-01-26,348,348,348,348,0,340.66
2016-01-27,348.05,354.45,346.25,351.45,500600,344.04
2016-01-28,351.6,353,339.05,345.4,3275300,338.12
2016-01-29,345,354.5,339.65,353.35,606700,345.9
2016-02-01,354.7,365,351.85,363.3,459700,355.64
2016-02-02,363.3,366.6,355.8,357.4,509000,349.86
2016-02-03,354.9,358.5,348.1,355.7,614000,348.2
2016-02-04,358,364,354.1,360.85,314000,353.24
2016-02-05,361,367.7,357.1,365.85,514000,358.14
2016-02-08,366.05,375,363,372.6,856400,364.74
2016-02-09,368,375,363.5,368.4,811200,360.63
2016-02-10,367.95,367.95,345.2,350.2,1251100,342.82
2016-02-11,348,353.9,330.6,334.4,1891600,327.35
2016-02-12,335.35,338,325,334.6,507800,327.54
2016-02-15,338,343.9,334.3,340.7,506500,333.52
2016-02-16,336.35,342.4,325.7,329.3,504200,322.36
2016-02-17,329.5,334.1,319,332.6,343500,325.59
2016-02-18,334.5,341,330.2,337.15,344800,330.04
2016-02-19,336.5,338.35,327.15,329.95,414100,322.99
2016-02-22,331.5,336.75,329.95,334.15,339500,327.1
2016-02-23,334.65,334.65,325.65,327.15,361900,320.25
2016-02-24,324.5,330.7,322.2,323.45,583700,316.63
2016-02-25,324.4,324.4,314.2,315.1,847300,308.46
2016-02-26,316.75,318.8,309.6,317,496400,310.32
2016-02-29,317.4,320,310.5,316.05,351700,309.39
2016-03-01,317,326.8,315.7,324.75,520700,317.9
2016-03-02,326.95,333.3,326.95,331.65,581500,324.66
2016-03-03,336,345,331.7,344.1,455100,336.84
2016-03-04,342.2,354.4,340.05,351.2,328600,343.79
2016-03-07,351.2,351.2,351.2,351.2,0,343.79
2016-03-08,351.2,353.9,343.05,345.3,157700,338.02
2016-03-09,348,348.55,342.2,343.85,390400,336.6
2016-03-10,345.9,347.25,341,343.1,549800,335.87
2016-03-11,343.6,347.35,342,344.9,222200,337.63
2016-03-14,346,349.4,345,346.7,452400,339.39
2016-03-15,350.8,352.35,346.05,351.4,240700,343.99
2016-03-16,352,356.5,348.05,355.35,619100,347.86
2016-03-17,357.5,362,356.5,360.25,353600,352.65
2016-03-18,361.55,365,359.15,362.3,252900,354.66
2016-03-21,362.5,365.9,359.05,362.9,154100,355.25
2016-03-22,363.9,367.15,359.4,361.3,174200,353.68
2016-03-23,359.5,366.3,355.1,365.25,384800,357.55
2016-03-24,365.25,365.25,365.25,365.25,0,357.55
2016-03-25,365.25,365.25,365.25,365.25,0,357.55
2016-03-28,363.55,369,363.05,365.5,294000,357.79
2016-03-29,366.45,371,361.25,368.75,419400,360.97
2016-03-30,370.1,378.7,369,374.3,452200,366.41
2016-03-31,373,383.1,369,373.7,806200,365.82
2016-04-01,378.5,378.5,368,369.6,235900,361.81
2016-04-04,370.7,373.7,366,368.7,126300,360.93
2016-04-05,368.7,372.5,359.25,361,454300,353.39
2016-04-06,361.9,366.8,361.05,364.2,131100,356.52
2016-04-07,364.9,366.7,360.05,361.2,131600,353.58
2016-04-08,362.95,368.35,361.55,367.3,137800,359.56
2016-04-11,368,371.45,365.05,369.2,158100,361.42
2016-04-12,370.25,376.65,370.25,375.4,225300,367.48
2016-04-13,379,405.65,377.1,402.55,1098700,394.06
2016-04-14,402.55,402.55,402.55,402.55,0,394.06
2016-04-15,402.55,402.55,402.55,402.55,0,394.06
2016-04-18,402.8,405.3,394.2,395.6,539600,387.26
2016-04-19,395.6,395.6,395.6,395.6,0,387.26
2016-04-20,396.55,421.2,395.1,416.2,973500,407.42
2016-04-21,417.35,420.25,412.6,414.75,582600,406
2016-04-22,414.55,417,408,412.85,433400,404.14
2016-04-25,413.3,428.2,405.6,425.6,515900,416.63
2016-04-26,428,430.25,421.95,424,465000,415.06
2016-04-27,424.1,428,417.15,418.2,494000,409.38
2016-04-28,418.25,420.55,400.55,406.6,584700,398.03
2016-04-29,407,411.4,400.3,405.6,462700,397.05
2016-05-02,406.3,418.05,403.3,406.55,786000,397.98
2016-05-03,408.8,416.6,405,407.6,697400,399.01
2016-05-04,407.6,409.5,396.2,398.25,222200,389.85
2016-05-05,399.9,406.25,396.2,400,286300,391.57
2016-05-06,400,402,396.8,399.3,173900,390.88
2016-05-09,401.5,409.8,400.3,406.75,288700,398.17
2016-05-10,407.3,416.25,404.5,408.25,482600,399.64
2016-05-11,403.9,413.45,402.15,405.95,313100,397.39
2016-05-12,407.95,415,404.4,410.55,298400,401.89
2016-05-13,411.7,419.9,410.1,415.35,448800,406.59
2016-05-16,416.7,422.4,414,421.15,265900,412.27
2016-05-17,421.9,423.4,415.6,416.45,211300,407.67
2016-05-18,409.1,419.6,409.1,416.2,300600,407.42
2016-05-19,416.75,419.4,408,410.7,257000,402.04
2016-05-20,411.1,422,408.75,414.95,342000,406.2
2016-05-23,415.5,417.55,413,415.3,160200,406.54
2016-05-24,416,421.8,403.7,418.75,338800,409.92
2016-05-25,422.35,435.5,421,434,659000,424.85
2016-05-26,438.75,442.8,432.4,438.75,862600,429.5
2016-05-27,453,454.9,431.1,432.45,1119300,423.33
2016-05-30,434.95,441,422.65,424.85,546300,415.89
2016-05-31,423,434.05,422.15,431.7,796700,422.6
2016-06-01,435.4,435.95,426.4,428.25,463000,419.22
2016-06-02,427.65,432,426.3,429.15,304300,420.1
2016-06-03,431.15,436,427.55,428.95,357500,419.91
2016-06-06,430.95,432.5,427.8,429.85,253400,420.79
2016-06-07,430.35,437.5,430.1,431.85,681500,422.74
2016-06-08,432.9,434,429.1,431.5,220700,422.4
2016-06-09,432,434.75,426.6,431,540100,421.91
2016-06-10,434,434.85,427.2,428.8,515000,419.76
2016-06-13,427.9,430.9,424.4,429.35,211600,420.3
2016-06-14,429,430.5,426.6,427.55,432200,418.53
2016-06-15,428,432.8,427.35,429.9,194600,420.84
2016-06-16,428.1,430.3,424.45,428.4,239800,419.37
2016-06-17,427.5,431,427.15,429.45,159100,420.39
2016-06-20,424,428,420.45,427.05,316600,418.05
2016-06-21,429.85,431,425.2,426.25,155300,417.26
2016-06-22,426.25,429.05,425,427.05,132400,418.05
2016-06-23,426.6,427.6,420.8,424.7,267100,415.74
2016-06-24,414.55,421,400.25,418.4,627100,409.58
2016-06-27,416,424.85,415.9,420.95,193100,412.07
2016-06-28,420.3,428.4,417.05,422.35,596000,413.44
2016-06-29,426.1,427.95,423.55,425,286300,416.04
2016-06-30,425.55,434,425.05,430.4,750700,421.32
2016-07-01,433.05,445.9,433.05,443.75,615200,434.39
2016-07-04,445.5,450.5,440.25,441.25,389400,431.95
2016-07-05,441.1,444.45,437.1,441.85,197600,432.53
2016-07-06,441.85,441.85,441.85,441.85,0,432.53
2016-07-07,442,448,436.3,437.6,424100,428.37
2016-07-08,437.5,438.85,427.6,433.25,340700,424.11
2016-07-11,435.1,443.85,435.1,441.95,190200,432.63
2016-07-12,444,451.7,443.1,450.3,588100,440.8
2016-07-13,454,454.4,444.6,447.95,390500,438.5
2016-07-14,448,460.75,446.85,458.95,497900,449.27
2016-07-15,462.9,463.4,450.95,452.75,372700,443.2
2016-07-18,453.3,457.25,449.55,450.55,253200,441.05
2016-07-19,451,455.65,448.6,451,300200,441.49
2016-07-20,450,465.9,450,463.6,463000,453.82
2016-07-21,467,469.9,455.1,457,550700,447.36
2016-07-22,457,462.5,453,459.35,232200,449.66
2016-07-25,459.3,469.5,456.7,466.35,359200,456.52
2016-07-26,469.25,471.4,457.2,459.75,504500,450.06
2016-07-27,459.5,463.95,451,458.15,474500,448.49
2016-07-28,458.15,472,456.5,466.7,624000,456.86
2016-07-29,472,478.45,468,474.55,536900,464.54
2016-08-01,477.5,481.1,469.5,474.25,1048500,464.25
2016-08-02,463.5,465.9,456.3,457.8,368400,457.8
2016-08-03,457.8,459.5,449.65,454.05,525000,454.05
2016-08-04,454.65,461.35,453.5,455.35,538100,455.35
2016-08-05,457.8,483,456.95,476.25,1505500,476.25
2016-08-08,481.15,483,467,468.65,543900,468.65
2016-08-09,471.4,471.4,460.3,463.2,162900,463.2
2016-08-10,464.25,524.7,456.6,504.1,7588600,504.1
2016-08-11,508.45,517.2,488.6,497.9,2946200,497.9
2016-08-12,498.5,504.5,490.4,495.05,791000,495.05
2016-08-15,495.05,495.05,495.05,495.05,0,495.05
2016-08-16,492.95,505.95,488.7,503.05,898500,503.05
2016-08-17,502,514.9,496,510.4,659800,510.4
2016-08-18,512.9,523.85,511.2,517.95,771400,517.95
2016-08-19,517.05,549,513,543.95,2575200,543.95
2016-08-22,545.95,545.95,530,531.3,944700,531.3
2016-08-23,534.55,557.4,528,555.45,2277700,555.45
2016-08-24,558,563.9,551.1,555.75,1331000,555.75
2016-08-25,554.95,557.95,548.9,552.8,527400,552.8
2016-08-26,549.1,569.65,549.1,565.3,1813200,565.3
2016-08-29,565,572.65,559.4,562.3,891400,562.3
2016-08-30,564.8,569.7,552.8,557.25,596400,557.25
2016-08-31,558.4,563.9,552.25,556.15,802800,556.15
2016-09-01,556.4,561.5,543.1,552.75,978800,552.75
2016-09-02,554,563.45,550.85,558.95,757300,558.95
2016-09-05,558.95,558.95,558.95,558.95,0,558.95
2016-09-06,560,563.65,556.5,559.1,465200,559.1
2016-09-07,560,576,558.25,568.75,1774300,568.75
2016-09-08,572,574.6,562.15,565.4,405900,565.4
2016-09-09,566.45,570,559.05,560.4,323800,560.4
2016-09-12,551,551,526.1,530.4,1171700,530.4
2016-09-13,530.4,530.4,530.4,530.4,0,530.4
2016-09-14,529,559.5,529,555.65,1104000,555.65
2016-09-15,558,558.7,544.45,548.1,482300,548.1
2016-09-16,552,562.4,544.05,553.1,1450900,553.1
2016-09-19,553.9,559.6,551.25,554.05,330500,554.05
2016-09-20,558,558.25,545.45,547.1,404700,547.1
2016-09-21,547.1,552.7,541.15,543.35,685000,543.35
2016-09-22,550,556.9,545.55,553.35,704300,553.35
2016-09-23,554,558.5,545.2,546.7,742100,546.7
2016-09-26,547,550.85,538.05,540,490900,540
2016-09-27,540,545.5,532,534.35,613600,534.35
2016-09-28,536.2,542.9,528.6,541.05,836300,541.05
2016-09-29,546.95,546.95,504.4,509.1,1048700,509.1
2016-09-30,513.9,529.45,509.15,524.6,941400,524.6
2016-10-03,528,537.8,527,535.85,707300,535.85
2016-10-04,541.15,542.9,533.1,535.95,780200,535.95
2016-10-05,538,554.9,535.8,551.75,1318400,551.75
2016-10-06,554.75,557.5,538.65,540.95,921100,540.95
2016-10-07,544,547.95,539,540.3,622500,540.3
2016-10-10,544.4,551.85,542.1,544.95,579700,544.95
2016-10-11,544.95,544.95,544.95,544.95,0,544.95
2016-10-12,544.95,544.95,544.95,544.95,0,544.95
2016-10-13,544.45,544.45,526.1,532.15,634300,532.15
2016-10-14,534.95,546.15,532,541.4,721800,541.4
2016-10-17,543,547.3,531.65,535.3,530700,535.3
2016-10-18,539,545.45,539,540.6,714300,540.6
2016-10-19,544,569.5,541,566.55,1772600,566.55
2016-10-20,569.5,573.45,562.5,565.9,1403900,565.9
2016-10-21,568.95,582.1,567.2,580.6,1766300,580.6
2016-10-24,583.9,586.1,572.6,578.25,721200,578.25
2016-10-25,567,571.9,552.55,566.65,3708100,566.65
2016-10-26,565,573.95,539.05,548.95,828900,548.95
2016-10-27,525,541.9,524.25,539.65,3698400,539.65
2016-10-28,535.35,548.8,535.35,544.65,1045000,544.65
2016-10-31,544.65,544.65,544.65,544.65,0,544.65
2016-11-01,545,554,540.55,547.9,508300,547.9
2016-11-02,543.05,545,527.7,529.35,730400,529.35
2016-11-03,529,536.9,503.15,510.7,1462100,510.7
2016-11-04,511,516.95,505.1,510.8,1117400,510.8
2016-11-07,515,521.6,508.6,510.65,465200,510.65
2016-11-08,515.9,515.9,505.65,511.7,271600,511.7
2016-11-09,490,501.6,462.7,495.3,727400,495.3
2016-11-10,499.9,517,499.9,505.8,615600,505.8
2016-11-11,495.55,503,478.65,483.35,1176700,483.35
