"Date","CENTURYTEX.NS.Open","CENTURYTEX.NS.High","CENTURYTEX.NS.Low","CENTURYTEX.NS.Close","CENTURYTEX.NS.Volume","CENTURYTEX.NS.Adjusted"
2016-06-22,655.7,656.75,633.85,636.75,2261100,626.51
2016-06-23,638,642,627.2,632.45,515000,622.28
2016-06-24,614,618.4,580.2,614.45,1613800,604.57
2016-06-27,610,641.4,609.9,637.6,1196700,627.34
2016-06-28,640,644.4,636,639.65,599500,629.36
2016-06-29,640.4,652.95,640.3,648.35,851800,637.92
2016-06-30,651.9,663.9,648.3,658.9,1526200,648.3
2016-07-01,660.95,672.3,660,664.15,593600,653.47
2016-07-04,664.25,681.9,664.25,680.3,901100,669.36
2016-07-05,679.05,688.9,675.05,683.35,723500,672.36
2016-07-06,683.35,683.35,683.35,683.35,0,672.36
2016-07-07,683,692,675.4,677.5,951100,666.6
2016-07-08,678,679.9,666.6,672.4,502200,661.58
2016-07-11,678.5,692.25,678,689.1,629700,678.02
2016-07-12,689,702,685.8,691.35,839200,680.23
2016-07-13,692,693.8,670.2,674.85,521500,663.99
2016-07-14,673,687.25,672.2,683.6,476400,672.6
2016-07-15,683.6,688,675.5,678.6,414900,673.1
2016-07-18,677,681.2,657.05,659.75,601500,659.75
2016-07-19,659.5,666.75,649,658.8,739600,658.8
2016-07-20,662,681.15,661,677.55,708100,677.55
2016-07-21,680.3,684.55,666.1,668.75,516100,668.75
2016-07-22,665.5,709.9,664.25,701.75,1329200,701.75
2016-07-25,701.8,704.95,692.4,699.35,684900,699.35
2016-07-26,701,713,687.1,692.45,900900,692.45
2016-07-27,694.5,707.95,686.15,694.95,751500,694.95
2016-07-28,696.5,703.9,695.1,700.15,623200,700.15
2016-07-29,701.8,712.6,693.65,698.05,813300,698.05
2016-08-01,702,718.4,690,698.6,732500,698.6
2016-08-02,700.2,707.8,674.7,679.9,754200,679.9
2016-08-03,680,688,670.1,674.25,514800,674.25
2016-08-04,677.9,685.6,669.55,679.95,470800,679.95
2016-08-05,685,709.5,684.5,705.3,814300,705.3
2016-08-08,710,721,706.1,712.3,854700,712.3
2016-08-09,714.95,724.45,693.6,702.2,2228400,702.2
2016-08-10,706.5,706.55,674.1,678.15,888000,678.15
2016-08-11,677.85,689,669,680.2,690700,680.2
2016-08-12,681,692,675,678.85,592500,678.85
2016-08-15,678.85,678.85,678.85,678.85,0,678.85
2016-08-16,680.4,683.5,662,674.35,686400,674.35
2016-08-17,678.45,681.45,666.6,670.85,737500,670.85
2016-08-18,675.95,687.2,672.9,675.4,873500,675.4
2016-08-19,675.7,689,675.7,680.1,1001100,680.1
2016-08-22,680.7,685.75,670.25,674.85,486700,674.85
2016-08-23,672.8,676.9,666.1,673.75,490100,673.75
2016-08-24,673,677.4,666.7,675.35,468100,675.35
2016-08-25,677.3,684.5,667.9,670,851100,670
2016-08-26,675,714.3,669,711.25,2812600,711.25
2016-08-29,711.6,715.1,692.05,697.25,1061200,697.25
2016-08-30,702.3,728,700.05,722.4,2215000,722.4
2016-08-31,723.9,735.6,720.3,724.45,1570000,724.45
2016-09-01,719,741.4,716.45,731.75,1482200,731.75
2016-09-02,733.05,759.45,731,744.3,1641500,744.3
2016-09-05,744.3,744.3,744.3,744.3,0,744.3
2016-09-06,749.8,770,746.05,767.2,1222600,767.2
2016-09-07,770,799.85,769.15,791,2323900,791
2016-09-08,792,816.8,787.35,811.5,1915700,811.5
2016-09-09,801,844.4,795.9,832.05,2690800,832.05
2016-09-12,818,836.75,806,818.1,2914200,818.1
2016-09-13,818.1,818.1,818.1,818.1,0,818.1
2016-09-14,820,876.5,816.1,871.3,2811400,871.3
2016-09-15,877,890.5,850.5,856.5,2411700,856.5
2016-09-16,863.95,882,848,865.1,2052200,865.1
2016-09-19,868,909.8,867.15,893.95,2584800,893.95
2016-09-20,891,892.9,873.55,878.45,1403100,878.45
2016-09-21,876.95,913.25,875.2,881.55,3098700,881.55
2016-09-22,896,906,883.4,901.35,1806400,901.35
2016-09-23,900,921.15,888.8,908.35,2320600,908.35
2016-09-26,901.7,930,901.7,925.6,2561300,925.6
2016-09-27,934,941.5,927.05,932.35,1708300,932.35
2016-09-28,935,954.8,925,947.6,1694900,947.6
2016-09-29,950.5,965,900,913.3,2567300,913.3
2016-09-30,904,948.8,899,943.05,1552500,943.05
2016-10-03,952,966.95,946,961.9,1165100,961.9
2016-10-04,964,969.05,942,959,929900,959
2016-10-05,965,973.35,954,961.65,1251900,961.65
2016-10-06,967,972,952.05,958.35,805800,958.35
2016-10-07,963.95,981,944,975.45,1302000,975.45
2016-10-10,980,981,962.2,965.7,825600,965.7
2016-10-11,965.7,965.7,965.7,965.7,0,965.7
2016-10-12,965.7,965.7,965.7,965.7,0,965.7
2016-10-13,957.8,962.95,909.05,933.25,1368100,933.25
2016-10-14,940,953.95,920.6,948.1,1337500,948.1
2016-10-17,947.3,953.05,933.1,935.95,908300,935.95
2016-10-18,940,957.8,940,952.35,898900,952.35
2016-10-19,952,962,927.5,930.95,1435000,930.95
2016-10-20,935.1,940.9,914.7,917.7,1341000,917.7
2016-10-21,919,927.95,910.15,918.65,975900,918.65
2016-10-24,927,934.4,912.75,917.65,778300,917.65
