"Date","TVSMOTOR.NS.Open","TVSMOTOR.NS.High","TVSMOTOR.NS.Low","TVSMOTOR.NS.Close","TVSMOTOR.NS.Volume","TVSMOTOR.NS.Adjusted"
2015-08-21,230,231.05,222.6,229.5,849300,226.1179
2015-08-24,220,222.75,201,215.75,2556100,212.5705
2015-08-25,216.6,230,214,223.75,1507000,220.4526
2015-08-26,223.5,229.95,222,228.35,823700,224.9849
2015-08-27,232,232.8,223,226.5,1018000,223.1621
2015-08-28,228.85,230.7,220,221.1,793100,217.8417
2015-08-31,220,225.8,216.55,223.65,1048800,220.3541
2015-09-01,223.8,225.9,202,216.85,1878800,213.6543
2015-09-02,219.5,224,216.35,221.6,1011600,218.3343
2015-09-03,224.5,224.95,218,221.55,1005200,218.2851
2015-09-04,219.1,224.9,215.6,223.2,1128200,219.9107
2015-09-07,224,226.45,217.1,218.35,701600,215.1322
2015-09-08,218.6,222.1,215.4,220.7,832100,217.4476
2015-09-09,223.75,229.45,221.05,227.1,940000,223.7533
2015-09-10,222,230.9,222,229.25,827500,225.8716
2015-09-11,231.85,236,228.8,234.35,998800,230.8964
2015-09-14,234.45,235.8,230.8,231.7,509500,228.2855
2015-09-15,232.75,233.4,229.55,232.3,638800,228.8766
2015-09-16,232.1,241.4,230.45,233.4,4586600,229.9604
2015-09-17,233.4,233.4,233.4,233.4,0,229.9604
2015-09-18,236.8,239.4,231,235.85,1011500,232.3743
2015-09-21,231.55,236.95,231.55,233.8,516600,230.3545
2015-09-22,234.75,236.7,228,230.8,561200,227.3987
2015-09-23,224,232.85,224,230.35,539300,226.9554
2015-09-24,230.35,238.1,227.65,235.95,1261500,232.4728
2015-09-25,235.95,235.95,235.95,235.95,0,232.4728
2015-09-28,236.8,238,231,232.15,431300,228.7288
2015-09-29,230,233.3,226.05,229.5,570600,226.1179
2015-09-30,232.45,232.45,228,230.05,495200,226.6598
2015-10-01,230.65,234,228,229.65,423800,226.2657
2015-10-02,229.65,229.65,229.65,229.65,0,226.2657
2015-10-05,231.8,231.8,227.45,229.6,536700,226.2164
2015-10-06,232.5,234.9,229.05,230.25,666100,226.8568
2015-10-07,230.75,244.75,228,241.4,4895500,237.8425
2015-10-08,243.3,248,239.05,240.45,2069300,236.9065
2015-10-09,240.8,243.2,237.15,239.35,956800,235.8227
2015-10-12,239.35,244.25,237.9,238.85,763100,235.3301
2015-10-13,239.55,245.5,238.85,243,1209500,239.419
2015-10-14,242.65,245.5,241.1,242.55,647500,238.9756
2015-10-15,243.1,246,242.25,243.2,920100,239.616
2015-10-16,243.5,248.95,242.2,247.55,1031600,243.9019
2015-10-19,248.7,252,245.25,246.95,802400,243.3107
2015-10-20,247.25,249.7,244.7,245.95,702100,242.3255
2015-10-21,246.4,254.55,245.25,253.25,1599000,249.5179
2015-10-22,253.25,253.25,253.25,253.25,0,249.5179
2015-10-23,255.7,256.9,249.1,250.3,1342200,246.6114
2015-10-26,251,252.5,243,244.75,689900,241.1432
2015-10-27,244.7,283.1,240.9,276.85,12287000,272.7701
2015-10-28,276.4,276.4,266,271.7,6943400,267.696
2015-10-29,270,271.65,261.3,264,4831500,260.1095
2015-10-30,263.65,268.9,262.3,265.5,2209100,261.5874
2015-11-02,266.6,275.9,262.35,273.75,3519500,269.7158
2015-11-03,277.1,292.5,277.1,287.9,9209100,283.6573
2015-11-04,289.35,289.35,283.5,285.7,1521200,281.4897
2015-11-05,285.55,286.4,279.65,281.2,1380900,277.056
2015-11-06,281.05,287.85,279.25,283.3,1541900,279.125
2015-11-09,277,297.5,275.55,289.75,5770000,285.48
2015-11-10,289.55,299.75,287.35,296.6,2947400,292.2291
2015-11-11,296.6,296.6,296.6,296.6,0,292.2291
2015-11-12,296.6,296.6,296.6,296.6,0,292.2291
2015-11-13,296.9,301.65,294.1,296.45,2255700,292.0813
2015-11-16,296,298,292.5,295.8,1088600,291.4408
2015-11-17,296.95,299.7,292.25,294,1170900,289.6674
2015-11-18,294,296.7,284.25,286.2,1222000,281.9823
2015-11-19,287.5,295,287,294.15,1606800,289.8152
2015-11-20,295.6,298.8,292.2,293.3,2168600,288.9777
2015-11-23,294,297.35,291.45,293.9,1304500,289.5688
2015-11-24,292.05,296.25,289.4,290.35,1892700,286.0712
2015-11-25,290.35,290.35,290.35,290.35,0,286.0712
2015-11-26,291,301.5,290.3,298.1,5014400,293.707
2015-11-27,299.3,307.25,298.05,305.3,3716200,300.8008
2015-11-30,306.9,309.25,305.6,307,1979600,302.4758
2015-12-01,309.8,309.8,302.15,304.15,1391400,299.6678
2015-12-02,299,299.05,285.05,289.2,4169000,284.9381
2015-12-03,286,287.95,280,283.5,2352300,279.3221
2015-12-04,280.05,285.9,280.05,283.85,962900,279.667
2015-12-07,287.65,287.65,280.2,281.75,1235100,277.5979
2015-12-08,278.35,284.5,273.05,275.15,846500,271.0952
2015-12-09,273,275.95,267.5,270.7,1262800,266.7108
2015-12-10,272.05,279.35,268.1,278.75,1729100,274.6421
2015-12-11,280.1,281.05,272.1,274,1232700,269.9621
2015-12-14,271.2,278.75,271.2,274.85,866100,270.7996
2015-12-15,277,285.9,274.05,285.05,1980900,280.8493
2015-12-16,286.5,286.5,280.55,281.9,992100,277.7457
2015-12-17,284,288.8,281.1,287.55,1258600,283.3124
2015-12-18,286.45,287.8,284,286.05,935600,281.8345
2015-12-21,287,291.5,286.4,288.95,1343700,284.6918
2015-12-22,288,292,287.3,288.05,1661800,283.805
2015-12-23,288.5,293.6,288.5,290.25,1470100,285.9726
2015-12-24,290.65,292.15,284.8,285.45,1087300,281.2434
2015-12-25,285.45,285.45,285.45,285.45,0,281.2434
2015-12-28,285,287.75,283.15,285.9,1068800,281.6867
2015-12-29,286.55,295.75,285.75,293.15,2686200,288.8299
2015-12-30,293.9,294.4,289.6,290.25,1482800,285.9726
2015-12-31,291.35,293,288.6,289.8,1754000,285.5293
2016-01-01,290,292.25,285.35,286.65,970500,282.4257
2016-01-04,290,290.95,283.5,286.95,1356500,282.7213
2016-01-05,287.35,289.2,282.15,287.15,993100,282.9183
2016-01-06,288.4,294.4,285,286.45,1278000,282.2286
2016-01-07,284.75,284.75,275.05,277.7,893400,273.6076
2016-01-08,277.25,287.6,277.25,285.1,923000,280.8985
2016-01-11,278.1,289.25,278.1,285.7,1095700,281.4897
2016-01-12,287.35,292.05,284.95,290.15,1707300,285.8741
2016-01-13,293.7,294.45,273,287.55,1970400,283.3124
2016-01-14,281.25,284.6,276.25,282.6,1009300,278.4354
2016-01-15,283.2,285.45,273.45,278.4,1569900,274.2973
2016-01-18,278,280.2,263.35,274.2,1930600,270.1592
2016-01-19,275.95,284.1,267.8,282.7,1252700,278.5339
2016-01-20,278,278,265.5,274.8,1642000,270.7503
2016-01-21,278.8,280,268.05,274.1,1314600,270.0606
2016-01-22,278.8,288,274.55,285.65,1025500,281.4404
2016-01-25,288,292.5,287,287.8,1173100,283.5587
2016-01-26,287.8,287.8,287.8,287.8,0,283.5587
2016-01-27,289.9,293.2,287.25,290.2,1525300,285.9234
2016-01-28,291.25,296,290.1,291.8,3102100,287.4998
2016-01-29,292,295.2,278.8,292.25,4792400,287.9432
2016-02-01,293.5,302.75,291,295.45,2038100,291.096
2016-02-02,300,301.4,290,293.35,1504100,289.027
2016-02-03,291.85,294.4,284.5,287.75,998500,283.5095
2016-02-04,288.6,290.15,275.75,280.95,1749700,277.775
2016-02-05,281.1,291.95,278.3,289.35,672500,286.0801
2016-02-08,288.05,295.1,284.6,286.85,947900,283.6084
2016-02-09,282,288.3,278.95,285.9,1012000,282.6691
2016-02-10,284.7,290,280.1,287.05,988600,283.8061
2016-02-11,287,288.25,274.55,279.05,1623700,275.8965
2016-02-12,276.4,283.75,270.05,276.2,1196800,273.0787
2016-02-15,278.75,289,278.75,284.95,858000,281.7298
2016-02-16,288.4,288.4,274.55,276.25,768900,273.1281
2016-02-17,276.25,283.8,271.65,282.15,723500,278.9615
2016-02-18,283,288.95,281.5,285,938300,281.7793
2016-02-19,283.8,289.8,282.3,287.75,1372000,284.4982
2016-02-22,288,291.75,285.3,286.95,1015000,283.7072
2016-02-23,287,288.65,277.1,280.4,909800,277.2312
2016-02-24,277,279,268.5,270.5,1958400,267.4431
2016-02-25,270,270.75,262.2,267.65,1851400,264.6253
2016-02-26,270,271,260.5,264.4,895000,261.412
2016-02-29,262.9,269.95,256,268.15,1478200,265.1197
2016-03-01,268.85,286,266.6,283.8,2210800,280.5928
2016-03-02,289.8,294,286.85,288.45,1975300,285.1903
2016-03-03,288.45,290.25,285.65,287.05,778100,283.8061
2016-03-04,287.45,295.15,283.75,288.25,1930100,284.9925
2016-03-07,288.25,288.25,288.25,288.25,0,284.9925
2016-03-08,287.5,289.9,280.35,282.95,803400,279.7524
2016-03-09,282.45,285.55,279.6,284.8,738600,281.5815
2016-03-10,286.05,287.9,282.65,283.8,621800,280.5928
2016-03-11,282.45,289.7,282.45,287.95,890500,284.6959
2016-03-14,289,292.75,286.6,288.45,1627400,285.1903
2016-03-15,288.45,288.9,284.5,285.8,1005300,282.5702
2016-03-16,285.8,287.5,282.95,283.85,859500,280.6423
2016-03-17,285.8,285.9,283,283.85,779300,282.1332
2016-03-18,283.9,288.75,282.5,287.4,615700,285.6617
2016-03-21,288,307,287,305.3,2844100,303.4534
2016-03-22,307,318.5,306,317.25,5133600,315.3312
2016-03-23,316.45,317.9,307.4,309.45,2388500,307.5783
2016-03-24,309.45,309.45,309.45,309.45,0,307.5783
2016-03-25,309.45,309.45,309.45,309.45,0,307.5783
2016-03-28,311,320.8,309.95,315.15,3373300,313.2438
2016-03-29,319,319.5,312.75,315.7,2689800,313.7905
2016-03-30,317.3,326.35,317,321.15,3551000,319.2076
2016-03-31,322.95,325.8,318.2,322.8,1860400,320.8476
2016-04-01,323,329.5,319.35,324.55,4109500,322.587
2016-04-04,326.5,327.9,322.5,324.35,1317600,322.3882
2016-04-05,323,323,312.5,314.25,1422500,312.3493
2016-04-06,315.1,318.5,314,315.7,1445000,313.7905
2016-04-07,316,318.2,310.1,313.75,1179100,311.8523
2016-04-08,312.6,316.7,311.8,313,933000,311.1069
2016-04-11,314,317.45,310.15,315.05,1208400,313.1444
2016-04-12,318,322.35,317.45,318.8,1606300,316.8718
2016-04-13,324,329.8,320.45,326.75,2029100,324.7737
2016-04-14,326.75,326.75,326.75,326.75,0,324.7737
2016-04-15,326.75,326.75,326.75,326.75,0,324.7737
2016-04-18,327.45,334.7,324.05,333.95,2220800,331.9302
2016-04-19,333.95,333.95,333.95,333.95,0,331.9302
2016-04-20,334.9,340.85,332.3,335.2,2406600,333.1726
2016-04-21,333.95,335.5,322.25,324.8,2598600,322.8355
2016-04-22,322.05,333.7,320.15,331.45,2720300,329.4453
2016-04-25,329.4,329.4,321,323.2,631500,321.2452
2016-04-26,322.05,331.1,317.55,330.2,1571000,328.2028
2016-04-27,329.75,329.95,324.4,327.85,1480100,325.867
2016-04-28,329,329.4,317.75,318.7,1691400,316.7724
2016-04-29,319,322.85,314.3,319.8,1020800,317.8657
2016-05-02,316,323.5,314.6,318.95,1172600,317.0209
2016-05-03,323,325.4,279.05,287.45,14135500,285.7114
2016-05-04,279,295.65,277.5,290.7,10887400,288.9417
2016-05-05,291.1,298.2,286.65,296.2,3220900,294.4085
2016-05-06,296,302.1,294.1,300.45,2149900,298.6328
2016-05-09,303,304.15,299.6,301.3,1137300,299.4776
2016-05-10,302,302.5,295,299.1,1471000,297.2909
2016-05-11,291.5,302.2,291.5,296.95,1477300,295.1539
2016-05-12,298,299,294.75,296.5,753300,294.7067
2016-05-13,295.95,298,293.5,296.15,1280500,294.3588
2016-05-16,297.2,298.1,290.55,295.25,1008400,293.4642
2016-05-17,296.5,298,293.25,294.15,806200,292.3709
2016-05-18,292.6,298.95,292.45,297.65,901800,295.8497
2016-05-19,296.95,301.9,294,296.45,1051100,294.657
2016-05-20,294.5,301.45,294,297.5,824900,295.7006
2016-05-23,301,301,291.9,295.1,1865600,293.3151
2016-05-24,293.1,297,291.6,294.35,1122000,292.5697
2016-05-25,296,298,292,296.2,1258400,294.4085
2016-05-26,296,303.45,295.4,299.1,2039200,297.2909
2016-05-27,299,299.95,289.1,291.1,1292300,289.3393
2016-05-30,292.1,293.95,283.75,287.95,1431000,286.2084
2016-05-31,288,288.55,284,284.65,1305200,282.9283
2016-06-01,288,292,286.95,288.9,1484400,287.1526
2016-06-02,296.2,298,292.55,296.6,3300600,294.8061
2016-06-03,298.25,308,295.3,297.55,2547000,295.7503
2016-06-06,299.25,299.9,293.2,294.8,946900,293.0169
2016-06-07,295.8,297.8,292.25,293.85,1998900,292.0727
2016-06-08,294.3,295,288.15,289.7,1984200,287.9478
2016-06-09,289.85,292.2,287.65,289.9,1324700,288.1466
2016-06-10,290.4,292.35,285.7,286.7,1277100,284.9659
2016-06-13,285,289,283.8,287.85,782900,286.109
2016-06-14,288.25,292,287.5,290.25,764500,288.4945
2016-06-15,290.75,292.9,290,292.05,611100,290.2836
2016-06-16,290.5,293.95,290.45,292.2,1167400,290.4327
2016-06-17,293.25,294.45,288.6,293.3,1113600,291.526
2016-06-20,289,294.6,288.6,293.35,585500,291.5757
2016-06-21,293.65,297.5,292.15,296.25,1211100,294.4582
2016-06-22,297.8,300.4,292.45,295,1577100,293.2157
2016-06-23,295.4,296.25,292,295.35,1013800,293.5636
2016-06-24,291.1,299,279.1,297.2,1312500,295.4024
2016-06-27,294.95,301.75,294.3,296.35,905300,294.5576
2016-06-28,299.7,301,295.7,296.5,947200,294.7067
2016-06-29,298,303.2,297.7,300.3,1450800,298.4837
2016-06-30,305.35,311.8,304.2,309.5,2819300,307.628
2016-07-01,312.65,316.5,309.15,311.6,1616200,309.7153
2016-07-04,316,317.9,311.8,313.6,1545900,311.7032
2016-07-05,313.8,314.05,305.7,306.4,1547100,304.5468
2016-07-06,306.4,306.4,306.4,306.4,0,304.5468
2016-07-07,306,306,298.1,299.2,2366600,297.3903
2016-07-08,300,300.55,293.65,296.85,1109500,295.0545
2016-07-11,299,302,297.55,298.55,1186600,296.7442
2016-07-12,299,305.95,298.6,304.85,1255200,303.0062
2016-07-13,311.7,311.7,306.4,308.4,2858900,306.5347
2016-07-14,305.5,306.5,302.35,304.5,1650900,302.6583
2016-07-15,304.9,310.7,301.65,307.35,1790500,305.491
2016-07-18,309.3,311.5,300.45,301.85,1172000,300.0243
2016-07-19,300,301.75,296.5,300.65,1036800,298.8315
2016-07-20,301,304.2,299.85,301.9,1174400,300.074
2016-07-21,301.8,304.5,299,300.35,809800,298.5334
2016-07-22,300.5,303.2,297.25,300.95,1988400,299.1298
2016-07-25,301.45,301.85,299.1,300.9,1840500,299.08
2016-07-26,303.45,314.8,288.85,291.25,12078700,289.4884
2016-07-27,291.3,295.7,285.8,288.15,5166200,286.4072
2016-07-28,289.5,291,286.85,290.25,3398800,288.4945
2016-07-29,291.55,295.4,289.15,291.75,1817300,289.9854
2016-08-01,293.4,297.65,292.6,295,1953300,293.2157
2016-08-02,299.95,302.7,294.6,299.9,3357300,298.0861
2016-08-03,299.9,300.65,295.35,298.35,1489200,296.5455
2016-08-04,300.05,302.5,293.6,299.2,1303000,297.3903
2016-08-05,300,304.9,300,303.15,1080700,301.3164
2016-08-08,304.75,307.95,303.1,304.5,794400,302.6583
2016-08-09,304.45,304.75,297,299.15,712500,297.3406
2016-08-10,298,299.5,294,296.85,922800,295.0545
2016-08-11,296,300.6,293.45,297.95,714300,296.1479
2016-08-12,297.95,302.4,296.8,299.3,772800,297.4897
2016-08-15,299.3,299.3,299.3,299.3,0,297.4897
2016-08-16,300.5,301.4,296.85,299.4,1167400,297.5891
2016-08-17,299,314,299,312.9,2981900,311.0075
2016-08-18,314,316.5,309.65,311.8,1514700,309.9141
2016-08-19,312,317,309.3,311.75,894700,309.8644
2016-08-22,312,312.05,304.15,305.7,1130600,303.851
2016-08-23,305.95,310.35,304.35,306.15,1134100,304.2983
2016-08-24,307.5,309.5,305.2,306.4,865300,304.5468
2016-08-25,307.1,309.9,303.55,306.35,1286900,304.4971
2016-08-26,306.65,307.3,301.7,303.4,767600,301.5649
2016-08-29,303.45,313.5,300.85,311.55,1223600,309.6656
2016-08-30,314.95,328.15,314.55,326.05,3263900,324.0779
2016-08-31,327.7,332.95,324.6,326.05,2253700,324.0779
2016-09-01,327,329.4,322.9,327.3,1645700,325.3204
2016-09-02,337.05,338.9,331.2,332.3,2323100,330.2901
2016-09-05,332.3,332.3,332.3,332.3,0,330.2901
2016-09-06,335.7,336.6,329.6,332.9,885700,330.8865
2016-09-07,332.4,332.75,328.5,330.65,2067100,328.6501
2016-09-08,331,342.3,328.9,337.85,3294800,335.8066
2016-09-09,338,338,327.3,329.8,2094700,327.8052
2016-09-12,316,323.4,310,321.6,1833500,319.6548
2016-09-13,321.6,321.6,321.6,321.6,0,319.6548
2016-09-14,324,328.45,322.05,326.2,971400,324.227
2016-09-15,326.7,328,319.8,322.2,741300,320.2512
2016-09-16,325,339.7,323.2,338.35,5043200,336.3035
2016-09-19,340.8,343.65,335.55,337.4,2173000,335.3593
2016-09-20,336.55,338,330.6,332.55,1017300,330.5386
2016-09-21,332.95,341.5,331.35,333.8,2098400,331.781
2016-09-22,338.5,350.6,338.5,349.15,3858700,347.0382
2016-09-23,352.9,354.8,348,350.5,3228800,348.38
2016-09-26,347.9,353.5,345.5,348.25,1441600,346.1437
2016-09-27,350.25,351.75,346.3,347.85,1712100,345.7461
2016-09-28,348,357.8,342.5,350.9,2532400,348.7776
2016-09-29,354.4,356.5,337.65,349.4,4628300,347.2867
