"Date","ALBK.NS.Open","ALBK.NS.High","ALBK.NS.Low","ALBK.NS.Close","ALBK.NS.Volume","ALBK.NS.Adjusted"
2016-09-07,85.05,88.4,84.25,86.45,8160900,86.45
2016-09-08,86.9,87.9,85.9,86.75,3655500,86.75
2016-09-09,87,87,84.75,85.4,4146900,85.4
2016-09-12,83.25,83.85,79.9,80.65,4235700,80.65
2016-09-13,80.65,80.65,80.65,80.65,0,80.65
2016-09-14,80.9,83.6,80.45,83.2,4391600,83.2
2016-09-15,83.4,83.65,81.15,82.15,4276200,82.15
2016-09-16,83.25,84.4,80.3,80.9,4907200,80.9
2016-09-19,81.55,82.5,80.65,81.15,3014900,81.15
2016-09-20,81.45,81.7,79.5,80.1,3883000,80.1
2016-09-21,80,81.35,79.3,80,3514100,80
2016-09-22,82,82.7,80.65,82.45,3630600,82.45
