"Date","UNIONBANK.NS.Open","UNIONBANK.NS.High","UNIONBANK.NS.Low","UNIONBANK.NS.Close","UNIONBANK.NS.Volume","UNIONBANK.NS.Adjusted"
2016-07-27,130,132.5,129,130.7,4825600,130.7
2016-07-28,131,132.3,127.1,129,7597800,129
2016-07-29,129.05,130.2,126.1,127.4,4116400,127.4
2016-08-01,128.75,129.15,123.7,125,4451500,125
2016-08-02,125.3,127.45,124,125.5,4540500,125.5
2016-08-03,125.3,130.1,124.4,127.45,8410000,127.45
2016-08-04,129.15,133,127.5,132.4,8504600,132.4
2016-08-05,134.05,137.75,133.5,137.1,7317400,137.1
2016-08-08,133.1,134,127.1,128.35,12610000,128.35
2016-08-09,127.15,131.5,127.15,129.45,6422200,129.45
2016-08-10,129.65,129.9,124.9,126.1,5196000,126.1
2016-08-11,126.35,126.55,122.4,123.8,4436200,123.8
2016-08-12,124,131.25,122.55,129.35,8465800,129.35
2016-08-15,129.35,129.35,129.35,129.35,0,129.35
2016-08-16,130,130.55,127.5,129.95,3874700,129.95
2016-08-17,130.4,133.65,129.6,132.1,5289600,132.1
2016-08-18,133.2,134.75,132.1,133.45,3786200,133.45
2016-08-19,134.8,136.35,133.2,135.85,4929200,135.85
2016-08-22,135.75,136.65,132.5,133.6,3453200,133.6
2016-08-23,133.7,135.85,132.05,135.5,4188100,135.5
2016-08-24,135.6,136.8,134.15,136.2,3550000,136.2
2016-08-25,136.95,137.35,133.65,134.1,2777800,134.1
2016-08-26,134.35,135.15,132.2,134,3586100,134
2016-08-29,133.9,134.9,132.3,134.35,2689400,134.35
2016-08-30,135.1,142.95,134.7,141.45,6299900,141.45
2016-08-31,142,144.5,140.5,141.7,6284000,141.7
2016-09-01,140.95,142.4,135.6,137.5,3435900,137.5
2016-09-02,136.8,140.5,136.75,140,3234000,140
2016-09-05,140,140,140,140,0,140
2016-09-06,142.1,146.6,141.6,145.7,5844500,145.7
2016-09-07,147.2,154.2,146.3,150.75,10445800,150.75
2016-09-08,151.2,153.8,148.25,152.1,4452500,152.1
2016-09-09,151.1,152.15,148.35,149.3,4760200,149.3
2016-09-12,146.4,146.9,139.6,141.05,4757100,141.05
2016-09-13,141.05,141.05,141.05,141.05,0,141.05
2016-09-14,139.8,145.2,139.5,144.65,5602400,144.65
2016-09-15,145.3,145.9,141.4,143.45,3415800,143.45
2016-09-16,145.25,147.45,140.25,140.8,7166900,140.8
2016-09-19,142.05,143.1,141,141.75,2920900,141.75
2016-09-20,142.65,143.2,141,141.55,2585300,141.55
2016-09-21,142,143.7,141.05,141.5,3035300,141.5
