"Date","MOTHERSUMI.NS.Open","MOTHERSUMI.NS.High","MOTHERSUMI.NS.Low","MOTHERSUMI.NS.Close","MOTHERSUMI.NS.Volume","MOTHERSUMI.NS.Adjusted"
2015-01-01,458.29948,463.94998,452.6505,455.40001,1281800,298.02686
2015-01-02,454.05002,462.79948,453.4005,457.1505,1220600,299.17243
2015-01-05,459.30002,460.00049,447.49951,449.25,1747300,294.00212
2015-01-06,448.99951,448.99951,428.40001,435,2224400,284.67651
2015-01-07,434.35048,443.95052,430.60048,441,1425700,288.60308
2015-01-08,445.00049,449.09999,433.99951,442.94998,2107400,289.87921
2015-01-09,448.00049,454.39952,431.20052,437.74951,2456600,286.47587
2015-01-12,440.14952,441.19949,432.25049,435.49951,878800,285.00341
2015-01-13,436.99951,448.80002,436.24951,446.25,1434900,292.03883
2015-01-14,449.89952,451.9005,439.54948,443.14952,1262000,290.00979
2015-01-15,446.55002,448.99951,442.0995,445.45052,814300,291.51563
2015-01-16,444.10048,456.4005,440.05051,451.5,1678400,295.47459
2015-01-19,452.95052,461.50049,452.5995,455.35048,1196000,297.99445
2015-01-20,454.0995,457.9005,448.8495,450.55051,1013800,294.85321
2015-01-21,451.00049,466.5,447,464.14952,2366800,303.7528
2015-01-22,468,481.60048,468,476.74951,3620000,311.99859
2015-01-23,481.45052,487.80002,471.55051,474.64952,1799400,310.6243
2015-01-26,474.64952,474.64952,474.64952,474.64952,0,310.6243
2015-01-27,475.34999,480,469.00049,476.80051,1423800,312.03196
2015-01-28,472.30051,477.90001,462,465.94949,1499400,304.93075
2015-01-29,466.00049,466.80002,447.70052,453.10048,3233600,296.52198
2015-01-30,457.30051,464.89952,443.20052,451.0995,1698500,295.21249
2015-02-02,451.75049,454.34999,443.40001,446.89952,1241200,292.4639
2015-02-03,449.14952,458.80051,444,447.55051,1600000,292.88992
2015-02-04,450.75,452.84999,435.49951,436.94998,2051100,285.95263
2015-02-05,439.99951,445.80002,431.40001,436.1505,1176700,285.42943
2015-02-06,438,439.45052,426,428.09999,1351200,280.16095
2015-02-09,430.00049,445.00049,429.94949,437.69998,1713000,286.44346
2015-02-10,433.99951,468.75,433.99951,460.45052,5720100,301.33206
2015-02-11,468.19949,468.85048,451.99951,462.90001,2367400,302.93508
2015-02-12,464.50049,473.50049,461.50049,466.99951,2418800,305.61791
2015-02-13,468,471,462.10048,468.85048,1448300,306.82924
2015-02-16,471,473.44949,460.0995,461.80051,1691400,302.21553
2015-02-17,461.80051,461.80051,461.80051,461.80051,0,302.21553
2015-02-18,462.30002,469.80002,456.55051,459.75,1079300,300.87362
2015-02-19,461.69998,483,460.00049,481.39952,2492800,315.04169
2015-02-20,484.75049,486.94949,473.09999,477,1454500,312.16252
2015-02-23,478.9005,479.20052,465.49951,467.55002,830500,305.97818
