"Date","ADANIENT.NS.Open","ADANIENT.NS.High","ADANIENT.NS.Low","ADANIENT.NS.Close","ADANIENT.NS.Volume","ADANIENT.NS.Adjusted"
2015-03-16,178.619,181.39,174.82201,180.02499,5533800,176.14882
2015-03-17,180.94,182.698,178.38,181.39,3623600,177.48444
2015-03-18,181.46001,183.12,179.88499,181.179,2488900,177.27798
2015-03-19,182.85201,183.12,172.52901,174.048,4635500,170.30053
2015-03-20,173.556,174.765,169.899,171.54401,6684500,167.85044
2015-03-23,172.22,173.795,166.819,167.71899,5360700,164.10779
2015-03-24,166.959,168.282,163.57001,166.369,4911400,162.78687
2015-03-25,167.452,172.26199,166.819,171.24899,4771400,167.56178
2015-03-26,170.12399,172.838,167.66299,169.196,7959500,165.55299
2015-03-27,168.774,168.774,164.104,167.438,3838900,163.83285
2015-03-30,169.618,174.39999,169.196,174.048,3059700,170.30053
2015-03-31,174.99001,178.056,172.05099,173.092,4461500,169.3651
2015-04-01,171.24899,173.218,169.618,172.26199,3085800,168.55297
2015-04-02,172.26199,172.26199,172.26199,172.26199,0,168.55297
2015-04-03,172.26199,172.26199,172.26199,172.26199,0,168.55297
2015-04-06,172.993,178.619,172.332,176.931,2916900,173.12145
2015-04-07,178.619,181.40401,175.961,180.293,4469100,176.41106
2015-04-08,181.12199,182.52901,178.338,181.39,5426000,177.48444
2015-04-09,181.966,181.966,177.92999,180.02499,2241000,176.14882
2015-04-10,177.22701,180.757,175.89,179.47701,3581900,175.61263
2015-04-13,179.32201,186.776,178.619,186.157,5677900,182.1488
2015-04-14,186.157,186.157,186.157,186.157,0,182.1488
2015-04-15,186.72,188.211,180.082,181.54401,4257400,177.63513
2015-04-16,181.48801,184.259,178.056,180.23599,3820100,176.35528
2015-04-17,180.02499,182.726,178.942,180.729,3330500,176.83768
2015-04-20,180.729,182.21899,177.77499,180.51801,4515500,176.63122
2015-04-21,180.02499,185.89,178.619,183.17599,6092400,179.23198
2015-04-22,184.48399,186.97301,181.58701,185.707,4999300,181.70849
2015-04-23,187.10001,190.855,185.679,189.224,5169400,185.14976
2015-04-24,189.013,189.013,183.68201,185.72099,4278200,181.72218
2015-04-27,186.2,187.761,180.082,183.963,3623000,180.00204
2015-04-28,181.502,184.72301,180.039,183.94901,3177000,179.98835
2015-04-29,184.51199,192.121,183.935,190.57401,4207700,186.4707
2015-04-30,190.714,193.80901,188.661,189.645,7144700,185.5617
2015-05-01,189.645,189.645,189.645,189.645,0,185.5617
2015-05-04,190.714,200.50301,188.745,199.041,6331400,194.75539
2015-05-05,199.716,203.935,197.536,201.24899,5408400,196.91584
2015-05-06,199.47701,199.716,189.308,190.897,5066500,186.78675
2015-05-07,189.32201,189.87,178.19701,182.74001,3670400,178.80538
2015-05-08,185.72099,193.80901,184.80701,192.444,3562400,188.30043
2015-05-11,194.65199,199.716,193.696,198.914,3405700,194.63113
2015-05-12,198.87199,198.942,188.464,189.491,3735000,185.41101
2015-05-13,191.558,205.327,191.558,203.147,20968800,198.77299
2015-05-14,200.55901,208.39301,198.422,207.437,14320400,202.97061
2015-05-15,207.592,209.364,204.77901,207.789,8447100,203.31504
2015-05-18,206.776,219.125,206.776,217.817,9416500,213.12712
2015-05-19,216.312,220.10899,214.765,216.60699,7352400,211.94317
2015-05-20,217.99899,220.953,217.15601,219.532,7865100,214.80519
2015-05-21,220.151,220.812,216.87399,219.532,5368100,214.80519
2015-05-22,221.06599,224.89101,219.40601,223.55499,7291400,218.74157
2015-05-25,222.21899,224.61,219.828,221.17799,6519100,216.41575
2015-05-26,222.16299,226.14301,220.812,223.203,9713400,218.39716
2015-05-27,219.743,223.34399,219.715,222.35899,6060000,217.57132
2015-05-28,221.938,222.5,201.235,206.60699,20884100,202.15848
2015-05-29,206.467,206.467,190.897,198.675,28660600,194.39728
2015-06-01,199.43401,203.007,176.453,178.07001,38985400,174.23593
2015-06-02,179.463,183.80901,174.82201,179.181,61337400,175.323
2015-06-03,573.29999,573.29999,106.35,109.75,48863300,107.38694
2015-06-04,112,119.35,109.3,116.55,14787500,114.04053
2015-06-05,117,121.05,112.35,115.25,9867700,112.76852
2015-06-08,116.65,117.4,98.55,99.75,15246600,97.60225
2015-06-09,100.65,103.9,97.8,100.25,13551000,98.09149
2015-06-10,100.5,103.4,100,100.6,5064300,98.43395
2015-06-11,101.7,102.2,96.5,97.9,5715500,95.79209
2015-06-12,97,97.05,93.1,93.95,5172700,91.92713
2015-06-15,93.95,104.55,92,100.45,12949200,98.28718
2015-06-16,100.45,100.75,93.8,96.8,6137700,94.71577
2015-06-17,97.9,101.35,96.2,99.25,7204300,97.11302
2015-06-18,100.15,101.3,98.1,99.65,4264600,97.50441
2015-06-19,99.65,100.85,96.25,96.9,3503800,94.81362
2015-06-22,97.45,99.35,96.5,97.85,2940200,95.74316
2015-06-23,98,101.4,97.45,100.35,4439000,98.18933
2015-06-24,100.05,100.85,96.6,97.15,3060400,95.05824
2015-06-25,94.5,95.5,92.05,94.5,8058200,92.46529
2015-06-26,94.7,97.2,93.75,94.35,4740700,92.31852
2015-06-29,92.9,92.9,90.2,91.35,2861200,89.38312
2015-06-30,90.75,93.9,89.75,90.85,5846400,88.89388
2015-07-01,91.3,93,91.05,91.65,4465800,89.67666
2015-07-02,92.5,93,90.4,91.3,5113300,89.3342
2015-07-03,91.6,93.35,90.5,91,4700900,89.04065
2015-07-06,90,91.6,89.65,90.75,4367600,88.79604
2015-07-07,91.4,93.5,90.05,92.05,4748900,90.06805
2015-07-08,91.3,91.45,89.2,89.45,4708700,87.52402
2015-07-09,90,90.8,88.4,88.95,3791700,87.03479
2015-07-10,89.4,90.4,88.3,89.6,5118200,87.6708
2015-07-13,90,91.2,89,90.65,4081400,88.69819
2015-07-14,91.1,92.15,88.75,89.4,4344700,87.4751
2015-07-15,89.5,90.2,88.6,89.1,3380000,87.18156
2015-07-16,89.75,90.7,87.85,89,3709600,87.08372
2015-07-17,89.5,89.75,88.2,88.6,1652000,86.69233
2015-07-20,88.95,89.1,87.4,87.95,1778500,86.05632
2015-07-21,88,88.15,84.15,84.7,3112200,82.8763
2015-07-22,84.35,85.35,83.8,84.85,2153800,83.02307
2015-07-23,85.45,85.45,83.3,84.55,1672100,82.72953
2015-07-24,84.5,87.25,84.35,85.35,2874500,83.5123
2015-07-27,85,85.05,80.7,81.05,3445000,79.30489
2015-07-28,81.6,81.75,79.8,80.35,2518000,78.61996
2015-07-29,80.8,82.3,80.1,81.75,1982800,79.98982
2015-07-30,82.05,90.4,81.4,88.65,7068900,86.74125
2015-07-31,88,88.75,86.4,87.15,3530400,86.64184
2015-08-03,87.8,87.8,84.1,84.8,2264600,84.30554
2015-08-04,85.4,95.8,84.5,94.45,10508200,93.89927
2015-08-05,96.1,103.05,95,98.9,18013100,98.32333
2015-08-06,97.5,97.9,93.6,95.15,5930100,94.59519
2015-08-07,94.35,94.35,89.7,90.3,5844600,89.77347
2015-08-10,91.5,95.65,90.3,91.25,6136300,90.71793
2015-08-11,92.65,95.9,90.4,92.45,9266400,91.91093
2015-08-12,93,93.35,87.5,88.25,4512900,87.73542
2015-08-13,89.65,91.25,84.8,86,6285300,85.49854
2015-08-14,86.8,90.2,85.6,88.65,4678400,88.13309
2015-08-17,89.3,90.6,88,88.55,4602700,88.03368
2015-08-18,89.05,90.4,86,86.4,4427000,85.89621
2015-08-19,86.4,87.5,85.25,85.8,3382100,85.29971
2015-08-20,86.6,88.8,82.2,83.2,6974700,82.71487
2015-08-21,82.6,83.2,80.6,82.1,3421800,81.62128
2015-08-24,80,80.15,70.05,71.35,5584600,70.93396
2015-08-25,76,76.1,67.3,72.55,7214300,72.12697
2015-08-26,72.75,73.9,69.7,72,4224800,71.58018
2015-08-27,73,81.75,73,79.8,10890500,79.3347
2015-08-28,81.2,82.75,75.35,77.1,5744700,76.65044
2015-08-31,77.4,78.2,74.9,75.15,3313000,74.71181
2015-09-01,74,74.6,70.35,72,3474500,71.58018
2015-09-02,73.2,73.8,70.55,71.25,3217600,70.83455
2015-09-03,72,75.4,72,73,3392900,72.57435
2015-09-04,72.75,72.75,68,69.4,3436000,68.99534
2015-09-07,69.75,70.6,67,67.3,3586000,66.90758
2015-09-08,68,69,65.85,68.4,2882400,68.00117
2015-09-09,69.75,72.75,69,70.45,3413500,70.03921
2015-09-10,69.75,70.3,67.3,69.5,2805500,69.09475
2015-09-11,70.25,71.65,68.85,69.4,2989200,68.99534
2015-09-14,70.9,79.4,70,77.1,8769000,76.65044
2015-09-15,75.3,77.05,72.6,73.45,4334100,73.02172
2015-09-16,74.6,77.45,72.3,74.65,5464200,74.21473
2015-09-17,74.65,74.65,74.65,74.65,0,74.21473
2015-09-18,75.35,79.1,75.35,77.95,9068600,77.49548
2015-09-21,76.8,82.95,76.1,81.15,5561200,80.67683
2015-09-22,81.7,84,77.55,78.4,4061200,77.94286
2015-09-23,76.05,81,76,80,3982100,79.53353
2015-09-24,80,81.25,78.5,80.3,3343700,79.83178
2015-09-25,80.3,80.3,80.3,80.3,0,79.83178
2015-09-28,81,82.8,79.65,80.35,2747800,79.88149
2015-09-29,78.55,82,76.8,79.05,3876500,78.58907
2015-09-30,80,81.4,78.65,80.85,2706800,80.37857
2015-10-01,81.7,82.7,79.45,80.55,2974500,80.08033
2015-10-02,80.55,80.55,80.55,80.55,0,80.08033
2015-10-05,81.3,83,81.05,82.25,2955600,81.77041
2015-10-06,83,86.55,82.65,84.15,4511900,83.65933
2015-10-07,84.55,86.4,84.2,84.85,2831600,84.35525
2015-10-08,85.3,85.4,82.2,84.15,2003600,83.65933
2015-10-09,85,86.25,82.4,83.95,2714600,83.46049
2015-10-12,84.45,87.8,83.75,86.1,3089200,85.59796
2015-10-13,86,86.4,84.2,85.05,1748900,84.55409
2015-10-14,84.95,87.4,84.05,84.8,1891800,84.30554
2015-10-15,85.45,98.6,85.45,96.75,25277800,96.18586
2015-10-16,98,102,94.8,96.1,16094200,95.53965
2015-10-19,95.5,95.95,93,93.75,3798200,93.20335
2015-10-20,94,98.2,93.85,96,4752000,95.44024
2015-10-21,96,96.8,91.3,93.7,3011900,93.15364
2015-10-22,93.7,93.7,93.7,93.7,0,93.15364
2015-10-23,94.5,96.45,93.7,94.05,2855400,93.50161
2015-10-26,94.2,94.8,91.1,91.65,2063700,91.1156
2015-10-27,91.2,92.55,90.75,91.8,2874900,91.26473
2015-10-28,91.4,93,90,91.1,3510500,90.5688
2015-10-29,91.3,92.4,90.45,91.15,2923400,90.61852
2015-10-30,91.3,94.4,91,92.4,4393100,91.86123
2015-11-02,92.5,92.75,87.6,88.4,5245200,87.88455
2015-11-03,89.2,90.05,87.2,88.4,3580000,87.88455
2015-11-04,89,89.6,84.85,85.2,2815000,84.70321
2015-11-05,85.05,85.2,81,81.55,2625800,81.07449
2015-11-06,81.9,82.4,78,79.05,3374800,78.58907
2015-11-09,75.7,80.3,75.1,79.45,4257100,78.98673
2015-11-10,79.3,79.65,76,76.3,2560600,75.85511
2015-11-11,76.3,76.3,76.3,76.3,0,75.85511
2015-11-12,76.3,76.3,76.3,76.3,0,75.85511
2015-11-13,77.4,77.4,74.3,75.45,2386000,75.01006
2015-11-16,75.3,78.25,74.75,77.1,2632700,76.65044
2015-11-17,77.6,81.9,77.4,80.15,5074600,79.68266
2015-11-18,80.15,80.35,77.45,77.95,2109800,77.49548
2015-11-19,78.4,79.25,76.55,77.95,2116900,77.49548
2015-11-20,78.3,79.8,77.2,78.2,2664600,77.74402
2015-11-23,78.5,81,78.5,79.25,2886600,78.7879
2015-11-24,79.7,81.25,78.9,79.6,3913600,79.13586
2015-11-25,79.6,79.6,79.6,79.6,0,79.13586
2015-11-26,80,83.75,79.5,82.6,4083200,82.11837
2015-11-27,83,83.9,81.7,82.25,2055700,81.77041
2015-11-30,82.25,83.45,81.6,82.4,1511500,81.91954
2015-12-01,82.75,82.8,80.85,81.5,1284800,81.02478
2015-12-02,81.8,84.65,80.65,83.3,3380300,82.81429
2015-12-03,83,83.05,80.55,80.95,2300200,80.47799
2015-12-04,80.2,82.7,78.4,79,2526300,78.53936
2015-12-07,79.45,80.75,79,79.3,1289500,78.83761
2015-12-08,78.9,79.7,75.8,76.25,2104200,75.8054
2015-12-09,75.7,77.1,73.95,75.3,3218800,74.86094
2015-12-10,75.7,76.5,75,75.45,1831900,75.01006
2015-12-11,75.95,76.5,72,72.85,2788600,72.42522
2015-12-14,72.8,76.4,72.5,75.05,2803400,74.6124
2015-12-15,79.4,80.5,77.4,78.55,7308200,78.09199
2015-12-16,78.95,79.35,77.2,77.65,2288800,77.19723
2015-12-17,78.35,80.9,76.65,80.05,3217200,79.58324
2015-12-18,79.15,81.8,78.6,80.1,3068200,79.63294
2015-12-21,80.45,82.5,79.6,81.45,2337500,80.97507
2015-12-22,81.3,83.45,80.85,81.3,3157300,80.82595
2015-12-23,82,83.3,81.45,82.35,2708500,81.86983
2015-12-24,82.5,84.9,81.6,84.25,3181300,83.75875
2015-12-25,84.25,84.25,84.25,84.25,0,83.75875
2015-12-28,84,85.35,82.75,84,2132000,83.51021
2015-12-29,84.25,84.75,83.1,83.8,2338500,83.31137
2015-12-30,83.8,85.2,83,83.4,3088100,82.91371
2015-12-31,83.6,84.05,82.25,83.4,2335800,82.91371
2016-01-01,83.6,90.7,82.35,90.1,5974200,89.57464
2016-01-04,89.5,92.05,84.25,85.1,5126900,84.60379
2016-01-05,85.65,89.6,84.2,88.6,5341000,88.08338
2016-01-06,88,88.95,85.3,86.25,3865200,85.74709
2016-01-07,84.9,84.9,78,79.95,4859900,79.48382
2016-01-08,82,83,80.65,82,3492400,81.52187
2016-01-11,81,83.9,78.9,82.35,4147200,81.86983
2016-01-12,82.35,83.75,79.5,80.8,3916400,80.32887
2016-01-13,81.8,85.6,77.2,80.85,8071900,80.37857
2016-01-14,78.95,81,77.35,77.8,4641000,77.34636
2016-01-15,78.4,79.8,73.9,74.4,3358100,73.96618
2016-01-18,73.8,74.3,68.2,70.1,3808200,69.69125
2016-01-19,71.55,73.6,69.9,72.5,3234800,72.07726
2016-01-20,70.55,71.6,67.45,68.8,2889100,68.39884
2016-01-21,70.4,71.95,68,69.6,3433400,69.19417
2016-01-22,70.65,74.5,70.65,73.75,3494200,73.31997
2016-01-25,74.45,75.4,72.7,74.1,2017600,73.66793
2016-01-26,74.1,74.1,74.1,74.1,0,73.66793
2016-01-27,74.8,75.2,72.8,73.25,1883600,72.82289
2016-01-28,73.65,73.95,71.55,72.05,2040000,71.62989
2016-01-29,72.05,73.35,70.2,72.85,2498300,72.42522
2016-02-01,73.55,78.3,73.4,74.55,7792700,74.11531
2016-02-02,74.2,74.75,71.2,72.05,2332700,71.62989
2016-02-03,74.15,74.5,71.2,71.95,4952300,71.53046
2016-02-04,72.7,73.6,71.15,72.25,2395100,71.82872
2016-02-05,72.3,74.7,71.8,73.7,2486600,73.27026
2016-02-08,74.45,79.7,73.3,75.5,6989500,75.05977
2016-02-09,74.45,76,72.5,75,3893400,74.56268
2016-02-10,74,74.5,71.8,72.35,2966900,71.92813
2016-02-11,72.5,72.7,66.55,67.9,3358100,67.50408
2016-02-12,68.9,68.9,61.5,64.2,4493800,63.82565
2016-02-15,65.8,68.4,64.5,65.35,4700500,64.96895
2016-02-16,66.4,66.7,62.65,63.05,4184000,62.68236
2016-02-17,63.15,63.8,60.5,63.05,3520500,62.68236
2016-02-18,64,64.65,61.25,62.6,3177600,62.23499
2016-02-19,62.6,63.55,61.85,62.95,2645500,62.58295
2016-02-22,63.8,64,61.75,62.3,2364600,61.93674
2016-02-23,62.8,62.85,60.25,60.9,2846200,60.5449
2016-02-24,60.7,62.8,59.6,61.1,3329400,60.74373
2016-02-25,61.75,62,59.85,60.2,2999300,59.84898
2016-02-26,61.05,61.6,59.15,60.5,2582400,60.14723
2016-02-29,60.7,61.3,58.2,58.75,4510200,58.40744
2016-03-01,59,61.4,58.6,60.75,3730700,60.39577
2016-03-02,62,64.05,61.1,62.45,5075000,62.08586
2016-03-03,63,63.5,61.35,62.5,4199400,62.13557
2016-03-04,63,64.65,62.5,63.2,4911400,62.83149
2016-03-07,63.2,63.2,63.2,63.2,0,62.83149
2016-03-08,63.5,64.5,62.25,64.05,6043500,63.67653
2016-03-09,63.5,66.85,63.1,66.4,4012700,66.01283
2016-03-10,67.05,67.5,64.9,65.2,3158100,64.81982
2016-03-11,65.2,66.8,64.8,65.45,2391400,65.06837
2016-03-14,66.05,66.65,64.65,65.75,5252800,65.36662
2016-03-15,66.3,67.9,66,66.6,7169500,66.21166
2016-03-16,67.9,68.3,65.3,66.1,3609100,65.71458
2016-03-17,67,69.1,66.3,67.35,3376700,66.95729
2016-03-18,67.55,69.45,67.3,68.9,2699200,68.49825
2016-03-21,68.1,69.5,67.8,68.6,2420300,68.2
2016-03-22,68.85,69.05,67.35,68.5,1917300,68.5
2016-03-23,68.55,72.3,68.25,71.2,5032400,71.2
2016-03-24,71.2,71.2,71.2,71.2,0,71.2
2016-03-25,71.2,71.2,71.2,71.2,0,71.2
2016-03-28,71.45,71.7,68.05,68.4,2434300,68.4
2016-03-29,68.35,69,67.05,67.65,1609800,67.65
2016-03-30,68.05,73,68,72.5,4196300,72.5
2016-03-31,72.8,74.9,72.5,73.8,5380000,73.8
2016-04-01,73.55,77.7,72.8,76.1,4136600,76.1
2016-04-04,79.4,81.85,79.2,80.55,7013000,80.55
2016-04-05,81.3,81.3,74,74.45,8505400,74.45
2016-04-06,74.7,76.35,74.45,75.5,4516100,75.5
2016-04-07,76.5,77.2,74.95,75.8,4604000,75.8
2016-04-08,75.1,78.9,75.1,78.25,3016400,78.25
2016-04-11,78.3,80.4,76.55,79.9,5001100,79.9
2016-04-12,80,81.2,78.5,79.15,2816600,79.15
2016-04-13,80.45,81.6,78.85,80.55,4772700,80.55
2016-04-14,80.55,80.55,80.55,80.55,0,80.55
2016-04-15,80.55,80.55,80.55,80.55,0,80.55
2016-04-18,81.25,83.8,81.2,82.95,3617700,82.95
2016-04-19,82.95,82.95,82.95,82.95,0,82.95
2016-04-20,83.35,85,83.05,84.2,5397800,84.2
2016-04-21,85,85,82.15,83.2,4341800,83.2
2016-04-22,82.5,83.35,81.65,82.05,1577300,82.05
2016-04-25,82.05,83.45,80.8,82.85,2405400,82.85
2016-04-26,82,84.6,82,84.25,4315700,84.25
2016-04-27,84.2,86.8,83.7,85.75,3403400,85.75
2016-04-28,86.2,86.45,83.5,83.85,8585800,83.85
2016-04-29,84,88.8,83.2,86.7,3789400,86.7
2016-05-02,86.3,88.65,84.5,87.05,4581400,87.05
2016-05-03,87,88.3,85.4,85.9,1749300,85.9
2016-05-04,86.1,86.3,78.5,79.15,11346200,79.15
2016-05-05,78.5,80.8,76.5,78.1,5022600,78.1
2016-05-06,77.9,78.3,76,76.75,2293400,76.75
2016-05-09,77.25,78.4,76.75,77.4,1962900,77.4
2016-05-10,77.5,77.8,74.7,75.2,2568100,75.2
2016-05-11,73.95,76.65,73.05,74.3,3531700,74.3
2016-05-12,74.7,76.1,74.5,75.7,1375100,75.7
2016-05-13,75.3,76.95,70.35,73.35,3575500,73.35
2016-05-16,73.9,76.6,73.3,76.15,2838300,76.15
2016-05-17,76.3,76.3,74.45,74.95,1444000,74.95
2016-05-18,74,76.5,73.45,74.95,2212900,74.95
2016-05-19,74.95,74.95,71,71.5,2260500,71.5
2016-05-20,72.3,72.45,68.5,68.9,3172600,68.9
2016-05-23,69.5,71.4,69.25,69.7,2284800,69.7
2016-05-24,69.6,71.15,69,70.55,2174400,70.55
2016-05-25,71.1,71.6,70.3,71.1,1433600,71.1
2016-05-26,71.5,74.8,71.15,74.1,2011800,74.1
2016-05-27,74.2,76,72.6,73.35,1881000,73.35
2016-05-30,73.9,75.25,72.75,74.65,1326200,74.65
2016-05-31,75.35,75.35,71.9,72.85,3439500,72.85
2016-06-01,73,77.3,72.6,75.15,4915900,75.15
2016-06-02,76.1,76.4,74.2,75.55,2937000,75.55
2016-06-03,76,76.7,71.45,72.05,2971900,72.05
2016-06-06,72.05,72.9,70.1,72.3,2752700,72.3
2016-06-07,72.9,73.4,71.8,72.8,2287200,72.8
2016-06-08,73,75.5,72.7,74.9,2711900,74.9
2016-06-09,75.1,75.75,73.85,74.7,2072400,74.7
2016-06-10,74.55,75.9,73.9,74.65,1524500,74.65
2016-06-13,73.2,74.35,72.05,72.8,2433700,72.8
2016-06-14,73.3,79.75,72.8,78.85,6482400,78.85
2016-06-15,79.1,80.4,78.1,79.9,4587200,79.9
2016-06-16,79,79.8,76.8,78.7,2661200,78.7
2016-06-17,79.3,81.2,78.4,78.8,3015000,78.8
2016-06-20,78,80.8,77.4,79.75,1971200,79.75
2016-06-21,79.95,80.7,78.1,78.65,1732800,78.65
2016-06-22,79.3,79.6,76.9,77.65,2237400,77.65
2016-06-23,77.95,79.3,76.25,78.8,3017200,78.8
2016-06-24,75,75.85,72.3,74.2,3060900,74.2
2016-06-27,74.6,76.1,73.1,75.55,1815400,75.55
2016-06-28,75.7,82.5,75.4,81.45,8161500,81.45
2016-06-29,82.25,83.85,80.8,83.3,4748000,83.3
2016-06-30,83.6,87.75,83.25,86.75,5183900,86.75
2016-07-01,87.05,87.25,84.4,84.65,2684700,84.65
2016-07-04,85,86.85,84.75,86,2391800,86
2016-07-05,85.6,86.45,84.15,84.6,2659500,84.6
2016-07-06,84.6,84.6,84.6,84.6,0,84.6
2016-07-07,84.55,85.4,83.4,83.65,1863100,83.65
2016-07-08,83.7,84,80.65,81.95,2366200,81.95
2016-07-11,83,84.3,82.1,83.7,2440600,83.7
2016-07-12,84.3,84.85,83.15,83.95,2688200,83.95
2016-07-13,84.4,85.45,81.6,82.35,2920700,82.35
2016-07-14,82.4,83.2,81.65,81.95,1834600,81.95
2016-07-15,82.35,83.65,80,80.9,2409500,80.9
2016-07-18,81.5,84.1,80.1,81.1,3433300,81.1
2016-07-19,80.8,82,79.5,80.25,2325200,80.25
2016-07-20,80.65,83.65,80.25,82.95,3949600,82.95
2016-07-21,83.2,84.5,80.5,81.1,2909000,81.1
2016-07-22,80.4,82.2,80.4,81.6,2263300,81.6
2016-07-25,81.5,81.8,80,80.85,3619300,80.85
2016-07-26,81.2,85.25,81.1,82.9,7643600,82.9
2016-07-27,83.1,84.2,82.2,82.85,5068300,82.85
2016-07-28,83.1,84,79.8,82.3,28341700,82.3
2016-07-29,80.7,82.1,80.1,80.65,3927000,80.65
2016-08-01,81.1,81.75,74.75,77.75,4642800,77.75
2016-08-02,77.5,79,77.2,77.8,2790600,77.8
2016-08-03,77.5,78.2,74.85,75.15,3809100,75.15
2016-08-04,75.75,77.2,74.25,76.55,2377400,76.55
2016-08-05,77.1,77.65,75.5,77.25,3387200,77.25
2016-08-08,77.7,79.2,77,78.7,2358700,78.7
2016-08-09,78.55,79.3,76.8,77.6,2493300,77.6
2016-08-10,77.8,81.4,76.5,79.9,12385900,79.9
2016-08-11,80,80.25,74.6,75.9,5591900,75.9
2016-08-12,76.1,76.35,74.5,75,2609500,75
2016-08-15,75,75,75,75,0,75
2016-08-16,75.2,75.8,73.5,73.9,3591800,73.9
2016-08-17,74,75.55,73.85,74.4,2996000,74.4
2016-08-18,74.7,75.8,74.4,74.75,2438200,74.75
2016-08-19,74.9,78.35,74.75,76.95,7164700,76.95
2016-08-22,76.95,76.95,74.55,75,3091600,75
2016-08-23,74.9,75.4,73.7,74.45,2213800,74.45
2016-08-24,74.2,75.35,74.1,74.85,2651400,74.85
2016-08-25,75,75.35,73,73.25,3724600,73.25
2016-08-26,73.35,74,71.7,72.25,2378100,72.25
2016-08-29,70.6,74.25,70.55,72.75,5899000,72.75
2016-08-30,73,73.9,72.75,73.35,2411400,73.35
2016-08-31,73.65,73.95,72.6,72.8,2112300,72.8
2016-09-01,72.9,73.5,70.2,70.5,2712200,70.5
2016-09-02,70.85,71.75,70.65,71.1,1890300,71.1
2016-09-05,71.1,71.1,71.1,71.1,0,71.1
2016-09-06,71.55,72.85,71.55,72.1,2209600,72.1
