"Date","BIOCON.NS.Open","BIOCON.NS.High","BIOCON.NS.Low","BIOCON.NS.Close","BIOCON.NS.Volume","BIOCON.NS.Adjusted"
2016-10-05,957,968,947.7,956.95,707100,956.95
2016-10-06,962,971.5,956,959.9,730500,959.9
2016-10-07,957.2,965,936.75,944.3,617000,944.3
2016-10-10,952,955.95,937.1,944.25,394600,944.25
2016-10-11,944.25,944.25,944.25,944.25,0,944.25
2016-10-12,944.25,944.25,944.25,944.25,0,944.25
2016-10-13,940,956,930.3,942.05,963800,942.05
2016-10-14,945.9,961.4,945.05,951.95,1378100,951.95
2016-10-17,958.35,963.95,936.55,947.4,771800,947.4
2016-10-18,954.9,968.7,950.6,965.95,611600,965.95
2016-10-19,966.1,1007,964,1002.85,1590200,1002.85
2016-10-20,1007.4,1007.4,975.9,980.35,1339800,980.35
2016-10-21,982.2,1020,977.3,1008.15,4169500,1008.15
