"Date","PIDILITIND.NS.Open","PIDILITIND.NS.High","PIDILITIND.NS.Low","PIDILITIND.NS.Close","PIDILITIND.NS.Volume","PIDILITIND.NS.Adjusted"
2015-03-06,604.35,604.35,604.35,604.35,0,596.7472
2015-03-09,604.95,608.35,584.1,587.8,220400,580.4054
2015-03-10,590,592.4,571.1,576.05,333700,568.8032
2015-03-11,577,585,575,579.2,167500,571.9136
2015-03-12,582,587.5,576,579.05,165400,571.7654
2015-03-13,581,608.25,577,598.9,917700,591.3658
2015-03-16,610,619.95,587.1,616.9,643900,609.1393
2015-03-17,620,628,612,622.3,1096300,614.4714
2015-03-18,626.95,631.45,601,626.35,509600,618.4704
2015-03-19,631,636,621.05,627.5,628400,619.606
2015-03-20,635,638,606.85,621.3,3325100,613.4839
2015-03-23,621.5,624.8,605,610.15,335800,602.4742
2015-03-24,609,614.95,601.15,604.3,271000,596.6978
2015-03-25,604.5,609.7,598,600.25,239800,592.6988
2015-03-26,599.6,608.7,582,598.5,363400,590.9708
2015-03-27,597.4,601.4,588.75,599.3,322000,591.7607
2015-03-30,609.9,609.9,590.9,595.15,302500,587.6629
2015-03-31,604.9,607,595,599.85,310600,592.3038
2015-04-01,600,611.7,595.65,602.5,185100,594.9205
2015-04-02,602.5,602.5,602.5,602.5,0,594.9205
2015-04-03,602.5,602.5,602.5,602.5,0,594.9205
2015-04-06,600.55,603.95,586.95,589.75,262200,582.3309
2015-04-07,592.9,593,580.1,583.1,209200,575.7645
2015-04-08,585,587.65,571.1,574.95,477900,567.7171
2015-04-09,578.8,601,572.3,595.1,863000,587.6135
2015-04-10,598.75,601.9,592.1,595.3,257300,587.811
2015-04-13,595.95,598.35,586.05,591.55,433700,584.1082
2015-04-14,591.55,591.55,591.55,591.55,0,584.1082
2015-04-15,594,594,584.5,589.95,879900,582.5283
2015-04-16,590,597.8,588.1,595.2,677200,587.7123
2015-04-17,595,599,582.75,592.1,217800,584.6513
2015-04-20,595,595,583,586.15,102900,578.7762
2015-04-21,588,588,566,577.55,268800,570.2843
2015-04-22,574.05,584.85,566.3,577.75,270200,570.4818
2015-04-23,579.45,580.55,568.1,571.8,341600,564.6067
2015-04-24,571.85,571.9,557,560,465300,552.9551
2015-04-27,560,560,537,544,376200,537.1564
2015-04-28,546.9,563,544.05,560.25,426900,553.202
2015-04-29,561.95,561.95,543,554.45,282800,547.4749
2015-04-30,557,570.5,546.5,567.05,227700,559.9164
2015-05-01,567.05,567.05,567.05,567.05,0,559.9164
2015-05-04,570,581,565.05,578.35,94700,571.0742
2015-05-05,575.05,593,571.1,583.4,231200,576.0608
2015-05-06,584,584.95,559.95,571.15,456300,563.9649
2015-05-07,573.5,579.95,560.1,565.35,549900,558.2378
2015-05-08,568,575.1,563,572.45,527100,565.2485
2015-05-11,573.1,587.3,572.45,584.85,134000,577.4925
2015-05-12,585,596,575,589.35,474000,581.9359
2015-05-13,592,598.9,581.1,584.55,142400,577.1963
2015-05-14,586,597.4,572.1,594.8,215600,587.3173
2015-05-15,597,602,590.1,595.65,103600,588.1567
2015-05-18,594.6,610,592,599.25,235300,591.7113
2015-05-19,603,611.95,592.3,597.25,309900,589.7365
2015-05-20,579.25,594.75,561,566.55,939900,559.4227
2015-05-21,575,576,535.25,550.2,1379300,543.2784
2015-05-22,554,558,544.5,550.5,403300,543.5746
2015-05-25,551.45,555.55,546.4,551,130400,544.0683
2015-05-26,547.5,554.5,547,548.85,336500,541.9454
2015-05-27,546.4,554.45,545.3,550.25,264700,543.3278
2015-05-28,550.95,564.6,550,551.45,205600,544.5127
2015-05-29,555.9,564.4,550.05,552.05,461000,545.1051
2015-06-01,552.5,564.55,549.3,554,385100,547.0306
2015-06-02,554.5,558.6,545.15,546.95,437200,540.0693
2015-06-03,547.3,547.85,535,541.9,384600,535.0828
2015-06-04,542.55,546.5,530.1,539.35,262500,532.5649
2015-06-05,539,550,535.1,542,120600,535.1816
2015-06-08,542.65,546.9,531.5,536.55,88400,529.8001
2015-06-09,533.95,541.6,521.55,536.7,167700,529.9482
2015-06-10,535,556,534.8,549.95,239600,543.0316
2015-06-11,550.25,552,533.15,539.35,580400,532.5649
2015-06-12,539.3,541.9,535.2,537.8,262900,531.0344
