"Date","ACC.NS.Open","ACC.NS.High","ACC.NS.Low","ACC.NS.Close","ACC.NS.Volume","ACC.NS.Adjusted"
2015-01-01,1400.15,1411,1397.95,1403.55,101000,1349.8
2015-01-02,1406.4,1431,1405.55,1425.9,153300,1371.3
2015-01-05,1425,1439.75,1423.75,1433.65,207900,1378.75
2015-01-06,1425,1428.95,1370.55,1383.55,368700,1330.57
2015-01-07,1382,1384.95,1336.2,1367.45,301800,1315.08
2015-01-08,1378,1396.65,1373.25,1391.4,94300,1338.12
2015-01-09,1397.8,1410.95,1378,1398.5,275700,1344.94
2015-01-12,1400,1409.25,1390.1,1404.6,158600,1350.81
2015-01-13,1411.4,1457.9,1405.25,1441.7,442200,1386.49
2015-01-14,1448,1484.95,1445,1478.35,518400,1421.74
2015-01-15,1496.5,1525,1472,1514.4,943800,1456.41
2015-01-16,1514.5,1528.9,1499.5,1518.35,348800,1460.21
2015-01-19,1521.9,1537,1510.6,1532.9,342600,1474.2
2015-01-20,1534.55,1550,1531.35,1544.3,410400,1485.16
2015-01-21,1548,1550,1531.85,1544.45,298700,1485.31
2015-01-22,1544,1563.2,1530,1558.8,401500,1499.11
2015-01-23,1569,1569,1532.05,1542.05,426900,1483
2015-01-26,1542.05,1542.05,1542.05,1542.05,0,1483
2015-01-27,1540.15,1545.05,1503.65,1528.7,594800,1470.16
2015-01-28,1527.45,1555,1515.55,1543.8,375700,1484.68
2015-01-29,1544.9,1590,1535.3,1582.95,631000,1522.33
2015-01-30,1595,1595,1538.1,1560.45,388800,1500.69
2015-02-02,1554.9,1556.7,1513.15,1524.95,246300,1466.55
2015-02-03,1529.7,1570.5,1499.4,1508.6,1341300,1450.83
2015-02-04,1511.95,1523.6,1490,1495.85,330100,1438.57
2015-02-05,1494,1530,1487,1504.55,557400,1446.93
2015-02-06,1503,1525,1481.45,1507.2,275000,1449.48
2015-02-09,1501.45,1515.5,1489.55,1508.85,263200,1451.07
2015-02-10,1502.9,1567.8,1492.8,1562.65,582000,1502.81
2015-02-11,1567,1574.8,1546.3,1552.6,489800,1493.14
2015-02-12,1567.45,1614.3,1560.65,1595.2,875300,1534.11
2015-02-13,1608,1637.55,1605,1625.05,542300,1562.82
2015-02-16,1632.4,1645,1605.1,1614.45,327800,1552.63
2015-02-17,1614.45,1614.45,1614.45,1614.45,0,1552.63
2015-02-18,1614.7,1658.7,1611.1,1653.3,471400,1589.99
2015-02-19,1662.4,1665,1602.7,1615.15,337600,1553.3
2015-02-20,1623.4,1625.15,1600,1620.4,288900,1558.35
2015-02-23,1628,1634.95,1609,1615.95,304400,1554.07
2015-02-24,1617.8,1634.5,1602.7,1618,226900,1556.04
2015-02-25,1626.2,1672,1614.1,1655.75,391700,1592.34
2015-02-26,1658.1,1664,1620,1639.9,466600,1577.1
2015-02-27,1648,1705,1641,1673.45,2276500,1609.37
2015-03-02,1680,1774.3,1678.2,1762.8,937300,1695.29
2015-03-03,1764,1773.9,1747.55,1758.3,466300,1690.97
2015-03-04,1765,1774.65,1715,1725.15,423100,1659.09
2015-03-05,1725.6,1729,1675,1698.65,606800,1633.6
2015-03-06,1698.65,1698.65,1698.65,1698.65,0,1633.6
