"Date","TATAMOTORS.NS.Open","TATAMOTORS.NS.High","TATAMOTORS.NS.Low","TATAMOTORS.NS.Close","TATAMOTORS.NS.Volume","TATAMOTORS.NS.Adjusted"
2015-06-15,426,427.95,418.1,426.35,7287700,426.1774
2015-06-16,427.05,435.8,421.25,432.8,6192500,432.6248
2015-06-17,436,437.4,426.5,433.7,7034100,433.5244
2015-06-18,434.9,447.5,431.4,445.45,8198100,445.2697
2015-06-19,444.8,444.8,431.6,433.05,6891800,432.8747
2015-06-22,435,444,435,440.5,5281300,440.3217
2015-06-23,441,447.4,435,436,5762400,435.8235
2015-06-24,438.7,438.7,428.1,430.6,7081200,430.4257
2015-06-25,433,436.1,429.5,432.4,7745400,432.2249
2015-06-26,435,438.8,431.2,437.6,5009100,437.4229
2015-06-29,428.8,432.5,418.15,428.25,7143000,428.0766
2015-06-30,428,436.25,422.7,434.15,6387300,433.9742
2015-07-01,436.75,447.4,431.4,444.5,6054900,444.3201
2015-07-02,445,445,435,436.4,4641800,436.2233
2015-07-03,436,436,430.45,433.15,3709400,432.9746
2015-07-06,428,433.5,420.7,431.1,4600600,430.9255
2015-07-07,434.35,435.7,428,431.55,5667900,431.3753
2015-07-08,424,424,400,404.95,15521700,404.7861
2015-07-09,400.15,403.35,394.25,397.8,9351600,397.6389
2015-07-10,400.25,405.8,398.05,401.9,13661300,401.7373
2015-07-13,406.7,406.7,397.05,402.1,8047900,401.9372
2015-07-14,403.5,403.5,380.95,385.95,11333500,385.7938
2015-07-15,387,395,382.6,394.3,15561600,394.1404
2015-07-16,394.9,398.65,392.45,395.25,5199900,395.09
2015-07-17,395.95,403.25,390.4,398.05,6590100,397.8888
2015-07-20,399,401.9,389.3,390.75,5777100,390.5918
2015-07-21,391.8,393.3,386.1,389.1,6461900,388.9425
2015-07-22,388,392.8,385.95,389.55,5955100,389.3923
2015-07-23,388.75,403.4,385,401.35,9510300,401.1875
2015-07-24,397.55,399.35,389,390.25,7059800,390.092
2015-07-27,384.25,385.25,373,377.45,8450900,377.2972
2015-07-28,373,374.9,366.1,370.1,10975800,369.9502
2015-07-29,373.9,379.95,372.7,376.45,9532200,376.2976
2015-07-30,381.65,382.5,376,377.45,6562500,377.2972
2015-07-31,380.8,390.5,380.05,383.85,6947600,383.6946
2015-08-03,386.35,394.4,382,388.2,6647900,388.0429
2015-08-04,385.9,387,378,380.75,5621200,380.5959
2015-08-05,378.75,388.5,375.1,376.4,8298900,376.2476
2015-08-06,376.5,384.7,373.2,383.1,7976300,382.9449
2015-08-07,382.4,396,382.4,393.4,10706800,393.2407
2015-08-10,384,395.3,382.1,385.7,14494100,385.5439
2015-08-11,387.1,388,367.55,369.15,9984800,369.0005
2015-08-12,365,365.85,353.55,355.2,11107800,355.0562
2015-08-13,356.9,360.95,348,349.4,11147700,349.2585
2015-08-14,351.45,359.75,345.1,355.25,6400800,355.1062
2015-08-17,354.4,362.3,345.25,356.1,5812000,355.9558
2015-08-18,355.85,358.35,347.7,348.6,5623900,348.4589
2015-08-19,348.7,354.9,344,351.25,6435800,351.1078
2015-08-20,348,349.7,341,342.2,7789600,342.0615
2015-08-21,339.4,339.4,327.75,332.4,8793000,332.2654
2015-08-24,317,317,301.6,308.25,14753400,308.1252
2015-08-25,308,331.35,305.8,328.85,13398300,328.7169
2015-08-26,322,341.4,318.25,335.1,13781600,334.9643
2015-08-27,338.4,342.55,327.25,334.05,17224800,333.9148
2015-08-28,342,342,335.25,340.05,7123900,339.9123
2015-08-31,340,348.75,332.45,340.15,7244200,340.0123
2015-09-01,334.95,339.35,325.1,329.9,8606000,329.7664
2015-09-02,328.85,332.5,321.45,324.45,8097300,324.3187
2015-09-03,326.2,339.8,326.2,333.55,8138800,333.415
2015-09-04,330,330.8,316,322.9,6592600,322.7693
2015-09-07,327.8,333,320,322.85,5357900,322.7193
2015-09-08,326,333.25,316.3,330.9,6729800,330.766
2015-09-09,335.35,350.7,333.6,344.9,8833400,344.7604
2015-09-10,340.05,356.45,331,354.1,9872900,353.9567
2015-09-11,354.9,358.9,342.25,344.6,8569900,344.4605
2015-09-14,348.9,350.9,342.25,346.8,5480900,346.6596
2015-09-15,345.95,345.95,333.05,334.35,5802400,334.2146
2015-09-16,337.7,340.4,332.5,338.05,5708700,337.9131
2015-09-17,338.05,338.05,338.05,338.05,0,337.9131
2015-09-18,329.2,333.8,326.85,330.25,14893300,330.1163
2015-09-21,326.85,334.9,325.65,331.7,5172300,331.5657
2015-09-22,332,333.6,314,315.8,7122800,315.6721
2015-09-23,311,312.55,306.25,310.3,8954500,310.1744
2015-09-24,309.7,312,301.6,303.4,13799800,303.2772
2015-09-25,303.4,303.4,303.4,303.4,0,303.2772
2015-09-28,304.4,304.4,283.5,285,13577300,284.8846
2015-09-29,281.2,294.8,279.1,288.75,12304400,288.6331
2015-09-30,289.25,299.75,288.1,298.6,12926100,298.4791
2015-10-01,301.45,301.5,291.5,297.75,7501000,297.6295
2015-10-02,297.75,297.75,297.75,297.75,0,297.6295
2015-10-05,302.5,322.1,302.5,315.15,14527800,315.0224
2015-10-06,320.55,334.7,319.55,333.7,18806800,333.5649
2015-10-07,333.9,345,329,341.35,17802500,341.2118
2015-10-08,343.8,347.3,341.55,343.25,12085300,343.111
2015-10-09,346.2,359.2,341.1,356.45,11635700,356.3057
2015-10-12,356.5,367,356.4,362.35,10509700,362.2033
2015-10-13,360,365.25,355.05,361.1,9969500,360.9538
2015-10-14,358.75,360.25,351.1,352.3,7009400,352.1574
2015-10-15,355.3,383.75,355.3,381.3,19487300,381.1456
2015-10-16,388.6,390.95,380.65,386.75,16497600,386.5934
2015-10-19,384,384,376.25,378.7,7455700,378.5467
2015-10-20,379,395.75,377.4,383.15,15426100,382.9949
2015-10-21,379.95,386.4,378.55,381.45,8720600,381.2956
2015-10-22,381.45,381.45,381.45,381.45,0,381.2956
2015-10-23,383.9,388.8,382,383,6744400,382.8449
2015-10-26,386.45,389.9,383.25,384.6,5064600,384.4443
2015-10-27,383,386.95,382.2,383.35,4423200,383.1948
2015-10-28,382.8,390.75,382.2,386.3,8018600,386.1436
2015-10-29,388.95,396.8,384.25,391.2,15381500,391.0416
2015-10-30,389.75,390.8,383.5,384.95,6651800,384.7942
2015-11-02,386.1,392.05,384.4,387.95,7511600,387.793
2015-11-03,391.25,391.25,380.8,382.05,5887700,381.8953
2015-11-04,390.05,407.25,390.05,404.85,13985800,404.6861
2015-11-05,403.6,412.8,401.45,404,12912900,403.8364
2015-11-06,399.9,404.4,392.5,396.15,11016100,395.9896
2015-11-09,374,413.5,373.05,411.75,22128100,411.5833
2015-11-10,408,417.4,402.7,407.45,12654600,407.2851
2015-11-11,408.75,414,408.05,411.3,1164900,411.1335
2015-11-12,411.3,411.3,411.3,411.3,0,411.1335
2015-11-13,411.35,417.5,401.8,403.95,11007200,403.7865
2015-11-16,401,404.85,394.2,400.25,7673400,400.088
2015-11-17,403,410.7,398.55,407.5,6063900,407.335
2015-11-18,407.95,413.5,403.25,406.25,6960000,406.0855
2015-11-19,409.9,409.9,403.5,406.95,5645500,406.7853
2015-11-20,408.5,410.7,401.35,402.85,5420100,402.6869
2015-11-23,400.35,404.4,396.5,402.1,4658400,401.9372
2015-11-24,399.1,406.5,397.05,400.95,5624500,400.7877
2015-11-25,400.95,400.95,400.95,400.95,0,400.7877
2015-11-26,404.75,426.45,404,424.4,15070300,424.2282
2015-11-27,425.55,431.9,416.45,417.65,9720100,417.4809
2015-11-30,419.9,429.6,418,423.5,9901700,423.3286
2015-12-01,427,427,416.1,417.35,6402600,417.181
2015-12-02,415.9,418.9,410.3,413.15,6543300,412.9827
2015-12-03,408.7,411.9,404.25,405.6,5999300,405.4358
2015-12-04,402.5,411.5,398.7,399.95,8477400,399.7881
2015-12-07,402.9,403,395.3,399.15,6156300,398.9884
2015-12-08,396.95,406.95,396.1,402.4,7851600,402.2371
2015-12-09,402.8,405,392.75,393.95,6103500,393.7905
2015-12-10,401.2,401.2,385.25,389.6,10684100,389.4423
2015-12-11,390.9,392.65,375.3,377.95,6537600,377.797
2015-12-14,369.75,373.5,360.5,371.6,12682400,371.4496
2015-12-15,371.25,380.95,365.5,379.5,7717500,379.3464
2015-12-16,375.9,385,372.85,380.45,11874800,380.296
2015-12-17,385,387,376.05,382.95,7604600,382.795
2015-12-18,381.9,384.8,376.8,378.25,6454300,378.0969
2015-12-21,379.1,382.55,377.5,380.15,4015600,379.9961
2015-12-22,380.9,382.8,377.2,378.1,3802000,377.9469
2015-12-23,379.9,380.85,377.5,378.45,3953700,378.2968
2015-12-24,380.9,384.75,377.6,382.4,4568700,382.2452
2015-12-25,382.4,382.4,382.4,382.4,0,382.2452
2015-12-28,384.9,395,383.75,394,7166300,393.8405
2015-12-29,392.9,397.5,388.75,391.85,7359600,391.6914
2015-12-30,392,395,390.5,393.45,4866100,393.2907
2015-12-31,394,395.75,389.15,391.3,6410600,391.1416
2016-01-01,392.5,403,373,401.9,4377300,401.7373
2016-01-04,400,400.1,375.05,377.05,7822600,376.8973
2016-01-05,381.05,382.45,372.1,374.45,6901000,374.2984
2016-01-06,374.25,375.5,364.6,365.9,7211200,365.7519
2016-01-07,356.25,358,338.1,343.55,11782300,343.4109
2016-01-08,345.6,355.85,345.6,353.35,8770300,353.207
2016-01-11,343.9,364.75,341.65,360.2,10576700,360.0542
2016-01-12,362.7,363.95,351.6,355,8363000,354.8563
2016-01-13,360.45,369.8,356.3,364.6,14191500,364.4524
2016-01-14,356.1,359.4,346.8,354.3,10673300,354.1566
2016-01-15,353.9,353.9,339.35,341.3,6557500,341.1618
2016-01-18,341,343.3,334.4,340.2,6285100,340.0623
2016-01-19,343,357.2,342,354.15,7304500,354.0066
2016-01-20,349.65,349.65,338.8,342.25,9156500,342.1114
2016-01-21,340.65,344.15,323,328.55,16524000,328.417
2016-01-22,335.5,345.9,331.5,339.5,9595300,339.3626
2016-01-25,345.5,345.5,331.15,332.6,6106900,332.4654
2016-01-26,332.6,332.6,332.6,332.6,0,332.4654
2016-01-27,338,341,333.2,337.05,8333200,336.9135
2016-01-28,336.3,341.4,332.3,334.2,13153600,334.0647
2016-01-29,332,340.6,324.2,336.9,10350900,336.7636
2016-02-01,338.75,342.4,332.25,338.5,6563700,338.363
2016-02-02,343.8,344.7,327.7,329.55,9179300,329.4166
2016-02-03,325.55,325.95,317.05,320.3,6685400,320.1703
2016-02-04,325.3,329.3,321.2,325.5,6086900,325.3682
2016-02-05,330.5,339,326.65,337.1,9236500,336.9635
2016-02-08,334.95,334.95,321.35,323.5,6974300,323.369
2016-02-09,319.5,322.65,308.8,310.65,12489700,310.5242
2016-02-10,309.85,309.95,288.25,291.55,21756100,291.432
2016-02-11,298.5,300,265.8,276.35,21632800,276.2381
2016-02-12,281,303.95,271.6,298.35,21542100,298.2292
2016-02-15,297.9,320.75,297.7,317.25,18888600,317.1216
2016-02-16,319.4,324.2,298.9,301.15,13598300,301.0281
2016-02-17,302.95,313.5,298.65,310.15,13717500,310.0244
2016-02-18,315.15,319.1,306.2,314,12498200,313.8729
2016-02-19,312.1,320,311.1,318.2,7706400,318.0712
2016-02-22,320,324.2,313.6,318.85,8699700,318.7209
2016-02-23,324,324.75,314.45,318.55,11635800,318.421
2016-02-24,316,316,304.75,306.3,7629900,306.176
2016-02-25,309.8,312.2,296.2,298.2,12959800,298.0793
2016-02-26,303.2,305.2,297.6,301.8,9181600,301.6778
2016-02-29,303.2,305.75,290.25,299.7,12607100,299.5787
2016-03-01,301.1,317,301.1,315.35,11440000,315.2223
2016-03-02,322.9,326,314.35,317.1,12418100,316.9716
2016-03-03,324.5,339.8,321.5,336.7,12844000,336.5637
2016-03-04,340.15,348.75,338.65,343.5,8197500,343.3609
2016-03-07,343.5,343.5,343.5,343.5,0,343.3609
2016-03-08,346.5,353.75,341.5,346.05,7888900,345.9099
2016-03-09,339.9,349,336,347.7,6383900,347.5593
2016-03-10,347,353.6,341.4,348.5,7443000,348.3589
2016-03-11,348.5,355.9,345.15,354.25,7641300,354.1066
2016-03-14,359.9,370.55,358.95,366.45,13066800,366.3017
2016-03-15,366.9,370.7,359.55,360.4,9800700,360.2541
2016-03-16,359.95,362.75,353.3,359.55,7554500,359.4044
2016-03-17,366.9,367.4,358.6,360.9,6914200,360.7539
2016-03-18,362.5,367.8,362.5,366.05,6594000,365.9018
2016-03-21,367.25,375.5,365.75,374.7,9325700,374.5483
2016-03-22,376.95,381.5,370.4,377.2,8909000,377.0473
2016-03-23,378,379.45,374.05,377,5766100,376.8474
2016-03-24,377,377,377,377,0,376.8474
2016-03-25,377,377,377,377,0,376.8474
2016-03-28,375.5,375.5,361.5,363.3,8062700,363.1529
2016-03-29,364,378.95,363.05,372.45,9364800,372.2992
2016-03-30,380.5,391.5,376.8,388.6,10295800,388.4427
2016-03-31,387.9,393.6,380.5,386.6,10738700,386.4435
2016-04-01,386.4,386.4,377.7,379.65,5683700,379.4963
2016-04-04,385.95,391,382.4,388.4,6011700,388.2428
2016-04-05,386,386,369,370.5,6058200,370.35
2016-04-06,373.7,382.4,372.05,376.7,7323200,376.5475
2016-04-07,375.95,384.8,370.3,375.2,8724100,375.0481
2016-04-08,375.5,380.05,370.5,371.45,4860400,371.2996
2016-04-11,373.95,387.8,373.9,386.65,6827400,386.4935
2016-04-12,387.95,397.4,387.15,395.8,7702600,395.6398
2016-04-13,400,411.75,398.15,408.75,12373100,408.5845
2016-04-14,408.75,408.75,408.75,408.75,0,408.5845
2016-04-15,408.75,408.75,408.75,408.75,0,408.5845
2016-04-18,407.65,409.9,402.5,407.35,5571000,407.1851
2016-04-19,407.35,407.35,407.35,407.35,0,407.1851
2016-04-20,407,410.35,400.65,404.1,7589900,403.9364
2016-04-21,408.7,417.2,406,411.5,9211800,411.3334
2016-04-22,412.1,420.5,408,417,5995900,416.8312
2016-04-25,417.6,417.6,410,412.2,3272900,412.0331
2016-04-26,408.65,423.65,405.05,419.05,6998500,418.8803
2016-04-27,418.95,425.25,414.65,418.55,6227900,418.3805
2016-04-28,418.8,420.95,409.7,411.35,7546100,411.1835
2016-04-29,410,413.7,403.05,408.35,6251000,408.1847
2016-05-02,407.95,410.45,402.5,407.7,4178800,407.535
2016-05-03,410.9,422,407.8,409.65,9620800,409.4842
2016-05-04,405.5,405.5,380.1,381.8,12069100,381.6454
2016-05-05,384,396.05,383.15,391.15,9601300,390.9916
2016-05-06,388.6,400.9,384.5,398.7,9953600,398.5386
2016-05-09,400.35,405.2,395.15,403.35,8700200,403.1867
2016-05-10,400.8,400.8,387.15,388.95,9166400,388.7926
2016-05-11,384.8,391.95,376.1,379.85,11595800,379.6962
2016-05-12,379,388.6,379,387.05,6506300,386.8933
2016-05-13,391.25,394,385.5,389.95,14027800,389.7921
2016-05-16,393.8,396.7,389,392.7,8248100,392.541
2016-05-17,392.6,395,386.6,389.7,9425500,389.5422
2016-05-18,383.5,387.35,381.6,384.85,8589300,384.6942
2016-05-19,386.25,393.3,381.95,386.9,10988600,386.7434
2016-05-20,386.7,392.7,383.5,384.45,6537500,384.2944
2016-05-23,388.55,389.95,380.1,381.75,8153000,381.5955
2016-05-24,383.8,391.75,382.65,389.1,10568100,388.9425
2016-05-25,394,399.95,394,397,8897300,396.8393
2016-05-26,400.5,402,396.75,399.25,8469700,399.0884
2016-05-27,400,405,396,403.9,9035500,403.7365
2016-05-30,404.8,423.6,401.3,421.25,15767100,421.0795
2016-05-31,456,464.9,445,459.65,110744300,459.4639
2016-06-01,455.75,458.3,445,449.2,10389200,449.0182
2016-06-02,444.1,460.5,444.1,453.45,13674400,453.2664
2016-06-03,458.05,461.8,452.5,453.95,11672500,453.7662
2016-06-06,457.8,465,450.2,460.5,9356800,460.3136
2016-06-07,466.45,466.45,459,463.05,12568900,462.8625
2016-06-08,465.5,468.8,463.2,466.15,10467100,465.9613
2016-06-09,469.45,470.25,465,467.15,8525000,466.9609
2016-06-10,466.75,466.75,454.5,456.95,7039800,456.765
2016-06-13,451,451.4,436.7,444.25,9507200,444.0702
2016-06-14,446.9,453.85,441.15,448.4,9615200,448.2185
2016-06-15,449.9,453,447.25,452.1,5704800,451.917
2016-06-16,449.7,455.5,446.05,454.35,7255400,454.1661
2016-06-17,461,465.75,457.3,464.4,7836700,464.212
2016-06-20,464.75,484.2,460.25,482.05,9261300,481.8548
2016-06-21,484,486.2,477.6,484.9,8907800,484.7037
2016-06-22,483.05,484.8,468.05,472.7,7660100,472.5086
2016-06-23,476.1,489.9,476.1,487.95,9628200,487.7525
2016-06-24,439.2,453.75,421.25,449.4,40998600,449.2181
2016-06-27,451.8,457.25,443.6,448.95,12450200,448.7683
2016-06-28,448,448,433,440.4,10190300,440.2217
2016-06-29,447.1,449.8,445.4,447.25,6285400,447.0689
2016-06-30,454.3,462.25,451.55,459.25,13214000,459.0641
2016-07-01,463.6,464.75,454.7,457.9,7027700,457.7146
2016-07-04,467,474.85,467,469.5,8413000,469.3099
2016-07-05,468.5,469,459.5,460.9,4934000,460.7134
2016-07-06,460.9,460.9,460.9,460.9,0,460.7134
2016-07-07,460.95,465.45,454.1,455.15,6580600,454.9657
2016-07-08,464.3,468.2,462.65,466.3,9263700,466.1112
2016-07-11,472.1,486.8,472.1,484.6,10477100,484.4038
2016-07-12,486,488.65,481.1,484.3,6767900,484.1039
2016-07-13,485.95,488.1,477.95,481.1,5855700,480.9052
2016-07-14,480.1,489.3,478.95,486.1,5983000,485.9032
2016-07-15,480,501.7,479.65,494,8889500,493.8
2016-07-18,495,505,490,492.65,7463900,492.65
2016-07-19,493.9,503.5,493.45,499.25,7665500,499.25
2016-07-20,496.3,502.45,492.45,493.9,5697900,493.9
2016-07-21,498.45,500,489.7,491.05,3658300,491.05
2016-07-22,494.45,508.45,493.5,507.2,5588100,507.2
2016-07-25,505.5,510.95,503.35,509,4638100,509
2016-07-26,506.05,513.35,502.1,503.25,6187400,503.25
2016-07-27,507.75,513.05,505.5,510.1,5193400,510.1
2016-07-28,510,511.9,498.75,506.85,6338200,506.85
2016-07-29,507.8,510.5,501.1,503.2,3746300,503.2
2016-08-01,506.8,514.9,505.5,508.25,4748400,508.25
2016-08-02,510,511.2,491.15,493.3,5251800,493.3
2016-08-03,494.5,499.5,475.5,478.4,7925000,478.4
2016-08-04,490.1,501.45,488.6,500,9476000,500
2016-08-05,507.2,518.7,502.15,516.4,6393500,516.4
2016-08-08,518.2,522.6,513.4,514.8,4649300,514.8
2016-08-09,521,522,509.2,513.8,6015700,513.8
2016-08-10,515.6,516.5,502.3,503.45,6371100,503.45
2016-08-11,503.75,505,495.1,503.25,4112800,503.25
2016-08-12,506.9,519.5,506.15,516.8,7167400,516.8
2016-08-15,516.8,516.8,516.8,516.8,0,516.8
2016-08-16,512.95,515,503.3,507.6,6034200,507.6
2016-08-17,511.1,514.25,505.85,510.4,5853900,510.4
2016-08-18,512.4,517.9,510.75,512.05,4990500,512.05
2016-08-19,514,515,508.2,510,4567200,510
2016-08-22,509.1,513.6,503.1,503.95,4330300,503.95
2016-08-23,505.25,508.6,500.45,504,5342100,504
2016-08-24,504.7,506.05,493.6,498.35,5189400,498.35
2016-08-25,498.35,503.3,491.3,493.85,8787200,493.85
2016-08-26,502,515.35,486,503.75,16347800,503.75
2016-08-29,522.5,528.75,515.4,525.3,12534300,525.3
2016-08-30,528.5,530.8,524.1,529,6611100,529
2016-08-31,529,548.8,529,537.7,15725900,537.7
2016-09-01,540.5,546.65,540,543.65,7571800,543.65
2016-09-02,552,555.9,549.1,549.85,10097100,549.85
2016-09-05,549.85,549.85,549.85,549.85,0,549.85
2016-09-06,556.35,593.3,556.35,588.7,15813100,588.7
2016-09-07,590,598.4,584,587.4,13408900,587.4
2016-09-08,590.75,591.7,577.75,584.2,10456200,584.2
2016-09-09,580,582.95,571.7,573.25,7159000,573.25
2016-09-12,551,560,549.25,553.45,7055200,553.45
2016-09-13,553.45,553.45,553.45,553.45,0,553.45
2016-09-14,556.25,565.35,544.1,560.5,12364700,560.5
2016-09-15,562,566.25,555.4,557.55,5258800,557.55
2016-09-16,562.4,568.2,546.35,548.7,10931800,548.7
2016-09-19,553.8,556.4,549.45,554.45,6979200,554.45
2016-09-20,555,556.3,545.5,548.45,6874400,548.45
2016-09-21,548.6,556.4,544,549.9,5919100,549.9
