"Date","PVR.NS.Open","PVR.NS.High","PVR.NS.Low","PVR.NS.Close","PVR.NS.Volume","PVR.NS.Adjusted"
2016-10-24,1228.05,1240,1212,1217.85,46000,1217.85
2016-10-25,1218,1236.85,1218,1224.15,53500,1224.15
2016-10-26,1230.85,1258,1212.3,1232.95,75400,1232.95
2016-10-27,1232.3,1240,1199.1,1214.15,213600,1214.15
2016-10-28,1218.95,1237.35,1218.95,1225.65,79900,1225.65
2016-10-31,1225.65,1225.65,1225.65,1225.65,0,1225.65
2016-11-01,1213.1,1247.5,1213.1,1234.95,84200,1234.95
2016-11-02,1215,1225.4,1200,1207.6,76700,1207.6
2016-11-03,1215,1224,1201.1,1207.3,41600,1207.3
2016-11-04,1205,1242.1,1204,1230.45,77900,1230.45
2016-11-07,1238.9,1284.25,1236,1266.45,163100,1266.45
2016-11-08,1267,1304.4,1267,1284.6,196600,1284.6
2016-11-09,1176.65,1288.7,1136.6,1228.3,127900,1228.3
2016-11-10,1254,1268.95,1205,1207.3,115300,1207.3
2016-11-11,1230,1230,1155,1159.55,108500,1159.55
2016-11-14,1159.55,1159.55,1159.55,1159.55,0,1159.55
2016-11-15,1162.05,1179.25,1089.9,1119.7,231700,1119.7
2016-11-16,1131.2,1174.95,1110,1158.45,354800,1158.45
2016-11-17,1144.25,1177.95,1115,1146.15,96300,1146.15
2016-11-18,1146,1154,1046,1080.95,206500,1080.95
2016-11-21,1080.95,1130,1070,1116.9,154400,1116.9
2016-11-22,1129.25,1139.85,1051,1090.95,216600,1090.95
2016-11-23,1118,1120.95,1071.25,1111.3,178600,1111.3
2016-11-24,1091,1149,1086.15,1133.9,112600,1133.9
2016-11-25,1135.2,1147.75,1120,1141.8,115300,1141.8
2016-11-28,1129.95,1185,1102,1130.5,153100,1130.5
2016-11-29,1136,1160,1131.1,1141.1,88600,1141.1
2016-11-30,1140.95,1162.25,1130,1149.25,133200,1149.25
2016-12-01,1149.25,1160,1120,1132.55,157100,1132.55
2016-12-02,1130,1139,1089.5,1099.8,102100,1099.8
2016-12-05,1114,1114,1053,1069.1,229800,1069.1
2016-12-06,1074.95,1099,1074.25,1085.2,127600,1085.2
2016-12-07,1099.9,1112,1071,1080.65,102400,1080.65
2016-12-08,1086.15,1110,1078,1101.5,87200,1101.5
2016-12-09,1109,1114,1085.05,1107.3,85500,1107.3
2016-12-12,1114,1118,1090.5,1098.9,55300,1098.9
2016-12-13,1098,1111.15,1087,1097.5,34900,1097.5
2016-12-14,1097.95,1105.75,1085,1092.75,33200,1092.75
2016-12-15,1081.2,1100,1081.2,1092.4,32500,1092.4
2016-12-16,1100,1105,1070.1,1079.85,113500,1079.85
2016-12-19,1090.2,1090.2,1071,1080.65,73100,1080.65
2016-12-20,1085.5,1094.15,1071.55,1076.6,56800,1076.6
2016-12-21,1076.4,1079.7,1048,1051.9,149500,1051.9
2016-12-22,1047,1054.95,1034.95,1048.45,226700,1048.45
2016-12-23,1049.9,1058.4,1035.35,1051.6,202800,1051.6
2016-12-26,1065,1070,1006.2,1025.15,173500,1025.15
2016-12-27,1025.15,1065.5,1012.35,1053.5,123100,1053.5
2016-12-28,1063,1150,1051.35,1107.05,185800,1107.05
2016-12-29,1107.85,1135,1100.35,1124.85,78600,1124.85
2016-12-30,1126.75,1204,1122,1148.75,266200,1148.75
2017-01-02,1148.5,1171,1147.95,1155.45,55600,1155.45
2017-01-03,1162,1195.9,1160,1170.25,148600,1170.25
2017-01-04,1172.4,1188,1169.6,1174.1,64900,1174.1
2017-01-05,1181.85,1199.4,1177,1186.1,210500,1186.1
2017-01-06,1186.1,1195.85,1175,1179.75,120700,1179.75
2017-01-09,1182.5,1190,1167.05,1183.2,27600,1183.2
2017-01-10,1184.5,1240,1178.65,1219.7,98500,1219.7
2017-01-11,1233.9,1238,1216.25,1225.5,59200,1225.5
2017-01-12,1233.5,1233.5,1170,1177.95,96200,1177.95
2017-01-13,1179,1187.85,1145.1,1169.85,112900,1169.85
2017-01-16,1174.85,1235,1173.55,1226.5,147300,1226.5
2017-01-17,1225,1250,1220.05,1244.5,106000,1244.5
2017-01-18,1233.25,1340,1233.25,1303.9,3624900,1303.9
2017-01-19,1304,1322.6,1280,1294.85,265600,1294.85
2017-01-20,1291,1325,1251,1266.65,266500,1266.65
2017-01-23,1256.2,1294.05,1256.2,1273,124400,1273
2017-01-24,1275.05,1303.4,1275.05,1297.6,106700,1297.6
2017-01-25,1309,1319,1277.15,1292.35,138700,1292.35
2017-01-26,1292.35,1292.35,1292.35,1292.35,0,1292.35
2017-01-27,1289.95,1310,1265.2,1275.7,93200,1275.7
2017-01-30,1274.85,1278.7,1245.6,1253.4,88000,1253.4
2017-01-31,1259.95,1271.7,1221,1229.8,63700,1229.8
2017-02-01,1229,1253.4,1208.75,1236.6,75400,1236.6
2017-02-02,1227,1250,1223.25,1249,74200,1249
2017-02-03,1259,1310,1237.9,1298.1,337700,1298.1
2017-02-06,1290,1304,1243.45,1259.05,190000,1259.05
2017-02-07,1265,1278.3,1261.05,1267.5,65900,1267.5
2017-02-08,1269.95,1294,1260.05,1279.05,106300,1279.05
2017-02-09,1287.95,1288.3,1274.15,1282.9,26300,1282.9
2017-02-10,1288.05,1316,1283,1298.45,154900,1298.45
2017-02-13,1303.9,1319.8,1291.05,1298.2,56100,1298.2
2017-02-14,1304.9,1305.65,1265.35,1287.95,57400,1287.95
2017-02-15,1287.95,1288.35,1262.95,1270.9,46300,1270.9
2017-02-16,1272.05,1285,1260,1275.25,67300,1275.25
2017-02-17,1276.5,1294.6,1265.3,1276.8,40900,1276.8
2017-02-20,1279,1281.1,1257.4,1268.45,40500,1268.45
2017-02-21,1264.05,1284,1262,1268,32800,1268
2017-02-22,1279,1281.5,1256.05,1263.35,30900,1263.35
2017-02-23,1266,1278.8,1255,1260.1,57500,1260.1
2017-02-24,1260.1,1260.1,1260.1,1260.1,0,1260.1
2017-02-27,1265,1290.95,1231,1278.1,70300,1278.1
2017-02-28,1270,1309.05,1251,1295.55,114300,1295.55
2017-03-01,1298,1315,1288.1,1296.25,108000,1296.25
2017-03-02,1302.95,1308.85,1296,1303.65,85100,1303.65
2017-03-03,1300,1313,1291,1310.05,51000,1310.05
2017-03-06,1310.05,1338.55,1310,1331.9,82100,1331.9
2017-03-07,1340,1352,1331,1344.6,234300,1344.6
2017-03-08,1348,1358.4,1330,1336.8,111900,1336.8
2017-03-09,1335.75,1358,1317.1,1350.7,112600,1350.7
2017-03-10,1354.95,1435.25,1353,1424.05,552300,1424.05
2017-03-13,1424.05,1424.05,1424.05,1424.05,0,1424.05
2017-03-14,1450,1454,1426.05,1447.75,254100,1447.75
2017-03-15,1441,1445,1366.35,1407.75,626700,1407.75
2017-03-16,1407.75,1423.75,1386,1409.85,225900,1409.85
2017-03-17,1410,1422,1388,1413.35,629800,1413.35
2017-03-20,1425,1429.7,1387.05,1414.65,75800,1414.65
2017-03-21,1420,1425.4,1402,1410.85,82500,1410.85
2017-03-22,1409.85,1425,1397.95,1416.75,74200,1416.75
2017-03-23,1445,1448.95,1411.25,1417.35,119600,1417.35
2017-03-24,1427,1443.7,1406,1416.85,33500,1416.85
2017-03-27,1417,1433.55,1408.45,1416.95,51200,1416.95
2017-03-28,1429.95,1435,1422.35,1431.95,93900,1431.95
2017-03-29,1431,1469.95,1414,1417.7,286800,1417.7
2017-03-30,1432,1440.95,1412.3,1417.05,83400,1417.05
2017-03-31,1422,1439.5,1414.1,1431.25,347100,1431.25
2017-04-03,1432.8,1448,1429.8,1437.4,83900,1437.4
2017-04-04,1437.4,1437.4,1437.4,1437.4,0,1437.4
2017-04-05,1432,1573.8,1432,1520,680900,1520
2017-04-06,1523,1542,1496.7,1510.15,235300,1510.15
2017-04-07,1508.8,1560,1504.5,1530.9,333500,1530.9
2017-04-10,1532.5,1557,1515,1534.45,142100,1534.45
2017-04-11,1540,1577.9,1539.7,1547.15,240700,1547.15
2017-04-12,1548,1561.3,1525.05,1534.7,134100,1534.7
2017-04-13,1534,1569.55,1530.35,1564.65,186900,1564.65
2017-04-14,1564.65,1564.65,1564.65,1564.65,0,1564.65
2017-04-17,1574,1600,1570.15,1581.7,324500,1581.7
2017-04-18,1574,1592.55,1547.95,1557.95,117300,1557.95
2017-04-19,1550,1574.9,1550,1558,120000,1558
2017-04-20,1559.7,1571.05,1548.55,1558.95,69600,1558.95
2017-04-21,1560,1581.35,1550.15,1555.85,126800,1555.85
