"Date","DIVISLAB.NS.Open","DIVISLAB.NS.High","DIVISLAB.NS.Low","DIVISLAB.NS.Close","DIVISLAB.NS.Volume","DIVISLAB.NS.Adjusted"
2015-03-17,1782.9,1821.85,1782.45,1799.95,223300,872.9089
2015-03-18,1804.6,1818,1785.05,1801.55,265300,873.6849
2015-03-19,1826.5,1854.3,1810,1832.4,467200,888.646
2015-03-20,1826,1854.65,1790.25,1806.3,323100,875.9885
2015-03-23,1792.5,1822,1765.1,1804.05,193700,874.8973
2015-03-24,1817,1834,1807.15,1820.3,180600,882.778
2015-03-25,1822.25,1834,1794,1799.9,209200,872.8847
2015-03-26,1799.9,1818.8,1777,1806,217200,875.843
2015-03-27,1825,1825,1765.15,1794.25,140200,870.1446
2015-03-30,1804,1815.2,1795.2,1810.05,138000,877.8071
2015-03-31,1809.7,1835,1752.8,1785.45,392500,865.877
2015-04-01,1770.1,1809,1770.1,1802.35,136000,874.0728
2015-04-02,1802.35,1802.35,1802.35,1802.35,0,874.0728
2015-04-03,1802.35,1802.35,1802.35,1802.35,0,874.0728
2015-04-06,1805.9,1890.4,1791.05,1877.25,432400,910.3966
2015-04-07,1894.9,1938.8,1848.1,1935.25,503400,938.5244
2015-04-08,1949.65,1969,1918,1943.45,401400,942.5011
2015-04-09,1960,1960,1911.35,1934,399100,937.9182
2015-04-10,1935,1951.95,1915.65,1938.25,118800,939.9793
2015-04-13,1949.95,1953,1912.6,1932.65,271800,937.2635
2015-04-14,1932.65,1932.65,1932.65,1932.65,0,937.2635
2015-04-15,1930.1,1958.45,1911,1922.6,338300,932.3896
2015-04-16,1919.5,1926.6,1860,1896.6,343900,919.7806
2015-04-17,1890,1920.95,1876.7,1893.5,432200,918.2772
2015-04-20,1889.4,1898.65,1770,1824.9,473700,885.0088
2015-04-21,1829.4,1829.4,1766,1779,287800,862.749
2015-04-22,1773.15,1803.7,1755,1798.05,356700,871.9875
2015-04-23,1811,1824.9,1777,1790.75,211600,868.4473
2015-04-24,1790,1796.9,1760,1776.1,175500,861.3426
2015-04-27,1768,1772.05,1690,1739.3,465400,843.496
2015-04-28,1728,1772.75,1715.05,1762.3,181200,854.6501
2015-04-29,1754,1773.1,1737.2,1760.65,155300,853.8499
2015-04-30,1752,1774.2,1718,1723.45,341600,835.8093
2015-05-01,1723.45,1723.45,1723.45,1723.45,0,835.8093
2015-05-04,1730,1805,1730,1783.45,147700,864.907
2015-05-05,1783.45,1789.95,1741.5,1748.5,165100,847.9576
2015-05-06,1748,1748,1700,1716.75,333400,832.56
2015-05-07,1709,1734.45,1674.6,1725.15,568300,836.6337
2015-05-08,1733,1739.85,1692.9,1722.7,369000,835.4455
2015-05-11,1723.1,1754.15,1710,1731.45,219200,839.689
2015-05-12,1730,1764.9,1716,1742.3,527600,844.9509
2015-05-13,1759.95,1765,1718.6,1744.75,254000,846.139
2015-05-14,1744.8,1788,1728.95,1763.05,323800,855.0138
2015-05-15,1780.9,1804.4,1764,1795,163600,870.5084
2015-05-18,1799,1820,1799,1814.95,195600,880.1834
2015-05-19,1816.25,1818,1786.5,1799.3,303400,872.5937
2015-05-20,1808,1809.65,1740,1783.45,1733200,864.907
2015-05-21,1794.5,1847.95,1787.65,1841.35,510600,892.9864
2015-05-22,1841.35,1874.8,1810.1,1852.95,435800,898.6119
2015-05-25,1875,1892.35,1782.1,1815.8,737000,880.5956
