"Date","BPCL.NS.Open","BPCL.NS.High","BPCL.NS.Low","BPCL.NS.Close","BPCL.NS.Volume","BPCL.NS.Adjusted"
2015-03-16,740,745,733.3,736.65,952100,317.5754
2015-03-17,743,756,739.65,750.65,2109800,323.6109
2015-03-18,749.4,782,745,772.45,2841500,333.009
2015-03-19,777,779.9,749.05,753.4,1505800,324.7964
2015-03-20,753.4,753.4,722.8,727.05,1929800,313.4367
2015-03-23,728,736,713.1,715.4,1422300,308.4144
2015-03-24,720,744.5,717.65,740.8,4141700,319.3645
2015-03-25,740,756.05,731.95,748.7,2872100,322.7702
2015-03-26,742.9,774.15,740,762.3,5479000,328.6333
2015-03-27,755,770.75,742.5,749.6,3513300,323.1582
2015-03-30,753,774.95,751.1,769.3,2401200,331.651
2015-03-31,770,815.9,769.3,810.8,5242500,349.542
