"Date","RPOWER.NS.Open","RPOWER.NS.High","RPOWER.NS.Low","RPOWER.NS.Close","RPOWER.NS.Volume","RPOWER.NS.Adjusted"
2016-07-06,53.7,53.7,53.7,53.7,0,53.7
2016-07-07,53.3,54.4,53,53.2,3709600,53.2
2016-07-08,53.2,53.35,51.8,52.1,2403900,52.1
2016-07-11,52.75,53.25,52.5,52.8,2343400,52.8
2016-07-12,53,53.35,52.1,52.85,2561100,52.85
2016-07-13,53,53.45,51.85,52.25,3873400,52.25
2016-07-14,52.1,52.8,52,52.5,2106700,52.5
2016-07-15,52.6,52.75,51.65,51.8,2486900,51.8
2016-07-18,52,52.85,51.1,51.35,2208900,51.35
2016-07-19,51.25,51.85,51.15,51.45,1720800,51.45
2016-07-20,51.45,52.15,51.35,52,1812000,52
2016-07-21,52.25,52.45,51.05,51.25,2080200,51.25
2016-07-22,51.05,52.2,51.05,51.85,2194500,51.85
2016-07-25,51.85,53.05,51.7,52.8,2238800,52.8
2016-07-26,53.05,56.45,53,54.3,11736400,54.3
2016-07-27,54.95,55.25,53.25,54.45,4533600,54.45
2016-07-28,54.45,55.25,53.9,54.1,3568600,54.1
2016-07-29,54.15,55.4,54.15,54.35,4745800,54.35
2016-08-01,54.75,54.95,52.1,53,3529400,53
2016-08-02,53,53.55,52.1,52.4,2316900,52.4
2016-08-03,52.3,52.6,51.05,51.2,2981500,51.2
2016-08-04,51.5,52.05,50.6,51.2,5057500,51.2
2016-08-05,51.6,52.2,51.4,52.05,3126900,52.05
2016-08-08,52.45,53,52.05,52.45,2976700,52.45
2016-08-09,52.45,53.3,52.15,52.4,2368400,52.4
2016-08-10,52.5,52.75,50.85,51.1,3085100,51.1
2016-08-11,50.8,51.55,50.25,51.15,2742300,51.15
2016-08-12,51.45,51.6,50.75,51,1891300,51
2016-08-15,51,51,51,51,0,51
2016-08-16,51,51.6,50.1,51.35,3522200,51.35
2016-08-17,51.25,51.55,50.75,51.3,2234600,51.3
2016-08-18,51.8,52.45,51.45,52.1,2439700,52.1
2016-08-19,52.2,52.8,51.8,52.3,2334500,52.3
2016-08-22,52.25,52.55,51.45,52.1,1707200,52.1
2016-08-23,51.95,52.95,51.85,52.65,2905900,52.65
2016-08-24,53.4,53.45,52.75,53.15,3057100,53.15
2016-08-25,53.1,53.7,52,52.3,4346500,52.3
2016-08-26,52.3,52.8,51.5,52.4,3926800,52.4
2016-08-29,52.2,53.2,51.9,53,2791900,53
2016-08-30,53.45,53.45,52.9,53.15,2358900,53.15
2016-08-31,53.15,54,52.85,53.25,4827600,53.25
2016-09-01,53.25,53.7,50.9,51.15,4597700,51.15
2016-09-02,51.4,52.1,51,51.85,2771000,51.85
2016-09-05,51.85,51.85,51.85,51.85,0,51.85
2016-09-06,52.1,52.6,52,52.25,1711500,52.25
2016-09-07,52.3,53.1,51.95,52.7,2994900,52.7
2016-09-08,52.7,53.4,52.6,53.15,2513600,53.15
2016-09-09,53.35,54.2,53.15,53.5,4358300,53.5
2016-09-12,53.25,53.25,50.85,51.5,5447100,51.5
2016-09-13,51.5,51.5,51.5,51.5,0,51.5
2016-09-14,51.35,53,51.35,52.8,3634700,52.8
2016-09-15,52.9,53.3,52,52.2,2127200,52.2
2016-09-16,52.9,53.15,51.5,51.75,4705100,51.75
2016-09-19,52,52.1,51.4,51.8,1896900,51.8
2016-09-20,51.8,52,51.35,51.5,1227400,51.5
2016-09-21,51.65,51.85,50.9,51.1,1641700,51.1
2016-09-22,51.7,52,51.35,51.8,1609800,51.8
2016-09-23,51.95,52.6,51.5,51.8,3101100,51.8
2016-09-26,51.7,52,51,51.25,1654100,51.25
