"Date","KTKBANK.NS.Open","KTKBANK.NS.High","KTKBANK.NS.Low","KTKBANK.NS.Close","KTKBANK.NS.Volume","KTKBANK.NS.Adjusted"
2015-07-13,123.66,125.371,120.198,124.842,3434400,119.8371
2015-07-14,125.453,126.919,123.864,124.719,3132200,119.719
2015-07-15,124.964,125.778,122.561,122.968,1727700,118.0382
2015-07-16,123.783,126.186,122.927,125.167,3261800,120.149
2015-07-17,125.127,127.163,122.561,125.29,5584400,120.2671
2015-07-20,119.18,119.18,113.355,114.292,8057000,109.71
2015-07-21,114.537,115.84,111.685,112.174,3647300,107.6769
2015-07-22,111.604,115.27,111.441,115.066,1765900,110.453
2015-07-23,115.636,116.207,113.437,113.966,2556100,109.3971
2015-07-24,113.844,114.414,111.808,112.093,1499400,107.5992
2015-07-27,111.604,112.378,109.16,109.771,2285500,105.3703
2015-07-28,110.056,111.808,108.427,111.359,2120700,106.8946
2015-07-29,111.604,113.192,109.689,110.463,1947300,106.0345
2015-07-30,110.789,114.333,110.463,113.885,2646100,109.3193
2015-07-31,114.414,115.84,112.907,114.781,1744100,110.1794
2015-08-03,114.781,117.062,114.088,115.433,1442100,110.8053
2015-08-04,116.003,116.41,113.478,114.618,1452400,110.0229
2015-08-05,115.677,116.003,113.64,114.088,1499500,109.5142
2015-08-06,114.537,116.899,114.17,116.003,2086800,111.3524
2015-08-07,115.677,120.076,115.066,119.546,3482400,114.7534
2015-08-10,119.75,120.972,116.247,117.184,1514800,112.4861
2015-08-11,117.306,117.958,113.722,114.699,1339500,110.1007
2015-08-12,113.966,114.048,109.16,110.015,2288700,105.6045
2015-08-13,111.604,112.256,108.549,108.997,1282100,104.6273
2015-08-14,108.875,114.862,108.834,113.885,1660700,109.3193
2015-08-17,114.333,115.351,112.093,112.907,1503400,108.3805
2015-08-18,113.233,115.514,112.704,114.374,1321000,109.7887
2015-08-19,114.333,114.537,112.296,112.663,1095200,108.1463
2015-08-20,112.093,112.256,108.834,109.282,2009200,104.9009
2015-08-21,106.309,108.345,106.268,107.938,1689300,103.6108
2015-08-24,105.087,105.576,97.9996,99.4659,2908100,95.4783
