"Date","HAVELLS.NS.Open","HAVELLS.NS.High","HAVELLS.NS.Low","HAVELLS.NS.Close","HAVELLS.NS.Volume","HAVELLS.NS.Adjusted"
2015-03-05,279,281.9,273.4,276.75,571900,271.5617
2015-03-06,276.75,276.75,276.75,276.75,0,271.5617
2015-03-09,276.15,285.65,271.5,284.4,1597100,279.0683
2015-03-10,285,290.9,281.95,286.65,1154200,281.2761
2015-03-11,288,291.3,281.4,283.1,1603700,277.7926
2015-03-12,284.5,294.9,283.5,294.2,1468100,288.6845
2015-03-13,295.5,299.3,289.3,294.25,2694000,288.7336
2015-03-16,294,301.35,286.55,295.15,2217900,289.6167
2015-03-17,296.9,299.85,292.6,298.7,1631800,293.1002
2015-03-18,298.7,299.25,291.7,296.8,2291200,291.2358
2015-03-19,299.9,305.75,297.8,299.65,1786000,294.0324
2015-03-20,299,302,294.1,300.4,1328100,294.7683
2015-03-23,300.4,315.85,299.9,313.75,2728800,307.868
2015-03-24,314.5,315.7,302.75,304.55,1572100,298.8405
2015-03-25,305.8,308.65,299.1,303.6,1690100,297.9083
2015-03-26,303.5,313,300,308.85,1905100,303.0599
2015-03-27,309.85,310.4,298.9,303.25,1870400,297.5649
2015-03-30,305,309.5,303.6,308.65,795700,302.8636
2015-03-31,309.5,310.55,302.3,305.25,723400,299.5274
2015-04-01,304,309.45,303.5,304.85,580700,299.1349
2015-04-02,304.85,304.85,304.85,304.85,0,299.1349
2015-04-03,304.85,304.85,304.85,304.85,0,299.1349
2015-04-06,305.1,310.4,302.75,304.15,1406300,298.448
2015-04-07,304.95,305.7,301.3,302.65,640600,296.9761
2015-04-08,304.4,304.4,292.25,293.7,1022600,288.1939
2015-04-09,294.4,294.8,283.4,284.85,1709200,279.5098
2015-04-10,286,294.4,285.3,292.5,2582500,287.0164
2015-04-13,292.95,297.25,290.15,293.9,1028200,288.3902
2015-04-14,293.9,293.9,293.9,293.9,0,288.3902
2015-04-15,295.2,296.55,288.1,289.7,1151900,284.2689
2015-04-16,290.85,292.75,286.3,288.15,938600,282.748
2015-04-17,288.4,290.55,285,285.7,957300,280.3439
2015-04-20,285,294.9,282.25,290.9,1301600,285.4464
2015-04-21,295.4,296,286.5,288.5,1338000,283.0914
2015-04-22,289.85,291.85,281.4,289.55,1000300,284.1217
2015-04-23,291,298.4,288.3,288.75,920100,283.3367
2015-04-24,290,290.1,276.5,279.55,902500,274.3092
2015-04-27,280,280,266.2,269.45,2196200,264.3985
2015-04-28,268.6,278.95,266.6,276.75,2015400,271.5617
2015-04-29,278,284.4,277,280.9,906500,275.6339
2015-04-30,280.8,282.2,277,279.8,2073700,274.5545
2015-05-01,279.8,279.8,279.8,279.8,0,274.5545
2015-05-04,281.4,287.85,280,287.15,560900,281.7667
2015-05-05,285,293.85,285,291.2,815800,285.7408
2015-05-06,289.7,294.9,272.65,279.85,1280800,274.6036
2015-05-07,278,290.4,270,280.65,902400,275.3886
2015-05-08,285.1,287.8,275.95,278.7,703000,273.4751
2015-05-11,277,293.65,269.5,285.75,5061100,280.393
2015-05-12,283,294.25,279.7,284.65,1924700,279.3136
2015-05-13,285.4,288.5,275.1,279.85,2145500,274.6036
2015-05-14,280.1,280.7,275.95,276.9,790600,271.7089
2015-05-15,277.5,278.5,269.2,270.65,1520500,265.576
2015-05-18,271.4,271.7,265,270.25,1438800,265.1835
2015-05-19,270.25,275.4,269.05,270.85,1251100,265.7723
2015-05-20,274.4,274.4,268.1,269.7,866700,264.6439
2015-05-21,269.95,272.3,267.75,269.1,1010800,264.0551
2015-05-22,269.8,271.9,266.4,268.05,1738800,263.0248
2015-05-25,268.1,269.95,264.95,266.95,673300,261.9454
2015-05-26,267,271.35,267,269.8,892000,264.742
2015-05-27,269.5,273.9,268.6,270.95,880300,265.8704
2015-05-28,271,272.9,267.3,271.35,602600,266.2629
2015-05-29,272.45,276.5,270.7,275.75,1680700,270.5804
2015-06-01,275,279.65,274.25,276.8,782200,271.6107
2015-06-02,276.8,279.5,272.85,274.8,919300,269.6482
2015-06-03,273.5,276.25,269.65,274.35,1147200,269.2067
2015-06-04,273.8,280.3,271.1,276.85,791000,271.6598
2015-06-05,277.05,282,275.5,277.95,583400,272.7392
2015-06-08,277.8,277.8,270.05,272.35,724900,267.2442
2015-06-09,269.95,273,257.1,270.4,1445800,265.3307
2015-06-10,272,274.75,267.35,270,865800,264.9382
2015-06-11,272.2,273.95,265,266.05,422200,261.0623
2015-06-12,265.6,272.3,261.35,266.65,619300,261.651
2015-06-15,269.65,271.35,263.7,265.75,451400,260.7679
2015-06-16,266.9,272.4,263.7,271.1,695900,266.0176
2015-06-17,270.45,274.35,266.35,270.45,1037000,265.3798
2015-06-18,273.2,280.75,272,277.75,1360100,272.5429
2015-06-19,278.4,287.7,277,285.55,761300,280.1967
2015-06-22,289.8,290.95,284.2,286.25,1329200,280.8836
2015-06-23,287.35,292,286.45,290.95,891100,285.4955
2015-06-24,291.05,291.4,285.9,287.1,941200,281.7176
2015-06-25,287.4,289.45,278.1,282.8,1447700,277.4982
2015-06-26,282.8,288.5,277.7,287.2,727700,281.8158
2015-06-29,281,283.4,273,281.7,653500,279.3368
2015-06-30,281,284.5,271.75,282.65,1391600,280.2788
2015-07-01,283.35,289.8,280.75,287.6,574300,285.1873
2015-07-02,289,292.85,286,286.75,700400,284.3444
2015-07-03,288,288.5,281.45,283.35,570400,280.9729
2015-07-06,278,288.8,277.35,287.05,645500,284.6419
2015-07-07,286.25,302,286.25,299.25,1354900,296.7395
2015-07-08,297,305.5,295.75,301.6,1499700,299.0698
2015-07-09,303.4,303.4,297,298.25,690900,295.7479
2015-07-10,300,300.9,295,297.55,570600,295.0538
2015-07-13,299,299.5,295.3,297.6,632400,295.1034
2015-07-14,299.9,302.9,297.15,299.15,841800,296.6404
2015-07-15,300,304.8,297.6,299.7,740900,297.1858
2015-07-16,301,303.5,299,301.2,497400,298.6732
2015-07-17,303,310,302.35,307.7,1325300,305.1186
2015-07-20,308.9,312.8,307.1,310.15,1049300,307.5481
2015-07-21,312.65,312.65,295.3,297.45,664200,294.9546
2015-07-22,296.05,303,295.45,300.1,628000,297.5824
2015-07-23,301,308.8,298.6,304.25,837900,301.6976
2015-07-24,304.2,305.55,296.1,298.05,492800,295.5496
2015-07-27,290,290,278,283.05,2064300,280.6754
2015-07-28,283,284.8,274.5,275.4,937000,273.0896
2015-07-29,276,279.9,272.25,273.2,681800,270.9081
2015-07-30,274.6,280,274,278.4,740300,276.0644
2015-07-31,280.8,283.15,277.35,279.1,627400,276.7586
2015-08-03,279,279.5,275.25,277.15,570000,274.8249
2015-08-04,278.85,280.1,271.7,272.6,639200,270.3131
2015-08-05,274.65,279.8,271.2,277.65,799300,275.3207
2015-08-06,280.2,280.2,275.1,277.1,555300,274.7753
2015-08-07,275.45,280.65,275.05,277.55,719600,275.2216
2015-08-10,277.55,281.4,275.6,277.8,486900,275.4695
2015-08-11,277.95,279.5,273,275.75,418400,273.4367
2015-08-12,274,274.6,268.5,270.45,605900,268.1811
2015-08-13,271.95,276.9,263.1,271.65,1170000,269.3711
2015-08-14,274,275.7,270,270.8,627300,268.5282
2015-08-17,271,271.05,266,266.9,482200,264.6609
2015-08-18,268,276,267.15,274.9,537000,272.5938
2015-08-19,275,275.2,268.05,269.25,534200,266.9912
2015-08-20,269.25,270.95,265.1,266.15,700200,263.9172
2015-08-21,263.5,269.5,255,266,506000,263.7685
2015-08-24,259.35,264.55,243.9,247.35,1168000,245.2749
2015-08-25,251,261.15,245.5,256.55,1597600,254.3977
2015-08-26,255.7,262,251.45,259.05,1193200,256.8768
2015-08-27,267.75,268.8,259.45,263.4,1323800,261.1903
2015-08-28,266.5,270,262.55,264.85,695400,262.6281
2015-08-31,265,266.8,257.5,260.15,823200,257.9675
2015-09-01,258.8,268.7,255.15,258.45,790000,256.2818
2015-09-02,260,265.7,256.1,257.15,383900,254.9927
2015-09-03,259.9,264.5,256.9,257.8,357300,255.6372
2015-09-04,258,259.15,245.5,257.4,1271000,255.2406
2015-09-07,255.1,265.5,255.1,261,591400,258.8104
2015-09-08,261,263.4,256.05,259.15,517200,256.9759
2015-09-09,262.3,268.5,261.3,267.3,619400,265.0575
2015-09-10,264,264,257.45,259.95,722100,257.7692
2015-09-11,262.35,262.75,257.5,259.8,497200,257.6205
2015-09-14,260.2,263.95,259.45,261.35,308900,259.1575
2015-09-15,262.4,264.9,259.5,261.05,395400,258.86
2015-09-16,262,262.9,252,253.5,1019400,251.3733
2015-09-17,253.5,253.5,253.5,253.5,0,251.3733
2015-09-18,254.45,257.8,250.35,251.35,1004400,249.2414
2015-09-21,251,256.9,250.5,253.75,573500,251.6212
2015-09-22,255.95,256.55,248.45,250.4,678900,248.2993
2015-09-23,247.8,252.25,246.4,251.15,417000,249.043
2015-09-24,251.9,252.25,247.65,249.65,490600,247.5556
2015-09-25,249.65,249.65,249.65,249.65,0,247.5556
2015-09-28,250,253,243.5,245.9,540500,243.8371
2015-09-29,244.8,252.45,239.5,250.6,888200,248.4977
2015-09-30,252.7,253.1,248.55,252.25,375500,250.1338
2015-10-01,253.25,256.5,250,251.5,489500,249.3901
2015-10-02,251.5,251.5,251.5,251.5,0,249.3901
2015-10-05,251.85,261.3,251.2,259.3,1042100,257.1247
2015-10-06,261,261.6,251.7,255.3,764100,253.1582
2015-10-07,255.05,259,254.5,258.1,640400,255.9347
2015-10-08,256.25,259.9,253.4,255.5,389800,253.3566
2015-10-09,258.9,263,256,260.45,599400,258.265
2015-10-12,259.65,263.55,257.05,259,412900,256.8272
2015-10-13,261,267.4,258,265.85,632100,263.6197
2015-10-14,265.4,265.7,258.2,259,762500,256.8272
2015-10-15,260,261,253.8,256.35,1665500,254.1994
2015-10-16,257.95,261,255.8,259.95,1552600,257.7692
2015-10-19,260.8,262.5,257.5,259.75,568200,257.5709
2015-10-20,259.75,262.7,257.25,259.15,869800,256.9759
2015-10-21,259.5,261.4,255.25,256.65,476400,254.4969
2015-10-22,256.65,256.65,256.65,256.65,0,254.4969
2015-10-23,260,260.35,257.05,258,319000,255.8356
2015-10-26,258.3,258.95,256.05,257.3,285300,255.1414
2015-10-27,257.2,258.75,255.75,258,411700,255.8356
2015-10-28,259.8,259.8,255,255.75,358000,253.6045
2015-10-29,255.5,256.95,251.6,252.5,588400,250.3817
2015-10-30,252.85,256.5,252.1,253.6,335900,251.4725
2015-11-02,253,254.95,251.3,254.15,302700,252.0179
2015-11-03,254.2,255.55,248.5,249.3,526900,247.2086
2015-11-04,250.2,251.25,246,248.7,526800,246.6136
2015-11-05,247.7,249.5,241.6,243.65,571400,241.606
2015-11-06,244.2,245.45,238.5,241.8,588400,239.7715
2015-11-09,239,262.85,235.3,258.2,2898600,256.0339
2015-11-10,258.2,263.3,256.15,259.45,1173700,257.2734
2015-11-11,259.45,259.45,259.45,259.45,0,257.2734
2015-11-12,259.45,259.45,259.45,259.45,0,257.2734
2015-11-13,255.2,261.3,254.8,255.95,369200,253.8028
2015-11-16,255.8,260,252.1,258.15,388100,255.9843
2015-11-17,259.8,261.9,256,256.45,601200,254.2986
2015-11-18,256.5,266.9,256.4,263.35,1702100,261.1407
2015-11-19,267.35,275.75,266.15,274.65,1921700,272.3459
2015-11-20,274.8,300,274.8,294.1,6302700,291.6327
2015-11-23,295.95,298.5,289.8,295.55,2656700,293.0705
2015-11-24,295.7,295.85,287.6,289.6,1580600,287.1705
2015-11-25,289.6,289.6,289.6,289.6,0,287.1705
2015-11-26,289.15,295,287.95,293.4,2405800,290.9386
2015-11-27,295.65,295.65,286,287.15,1054300,284.741
2015-11-30,287.15,289.65,284.75,285.75,589300,283.3528
2015-12-01,288.2,298,287.05,294.75,2885500,292.2773
2015-12-02,296.15,296.65,288,289.1,1252200,286.6747
2015-12-03,288.2,302.35,285.2,299.95,13578600,297.4337
2015-12-04,301.95,304.45,298.1,299.9,4015600,297.3841
2015-12-07,301.6,302.6,293.1,295.25,841400,292.7731
2015-12-08,294,298.3,290,291.8,1122900,289.352
2015-12-09,301.3,302.8,274.65,283.05,5070000,280.6754
2015-12-10,283.45,311.8,281,305,19325200,302.4413
2015-12-11,309.7,312,298.6,300.65,8123000,298.1278
2015-12-14,299,306.85,297.7,303.3,2468600,300.7555
2015-12-15,304.25,306,297.35,302.25,1462700,299.7144
2015-12-16,304.8,306.7,299.3,300.95,1817100,298.4253
2015-12-17,304.2,308,301.55,306.25,2272800,303.6808
2015-12-18,305.65,310,303.5,304.85,2353000,302.2925
2015-12-21,303.85,307.8,303,305,954100,302.4413
2015-12-22,306.3,308,302.4,303.95,849800,301.4001
2015-12-23,304.3,308,303,303.5,941600,300.9539
2015-12-24,303.05,305.9,303.05,304.95,597700,302.3917
2015-12-25,304.95,304.95,304.95,304.95,0,302.3917
2015-12-28,304.95,305.9,296.1,300.45,938700,297.9295
2015-12-29,302,303.3,298.8,301.5,747100,298.9706
2015-12-30,301.45,303.7,298.5,299.85,757300,297.3345
2015-12-31,299.8,305.75,298.15,304.7,1100300,302.1438
2016-01-01,305,322.2,304.8,320.75,3254500,318.0592
2016-01-04,317.5,320.45,305.7,307.2,1657500,304.6228
2016-01-05,309.9,313.25,302.1,308.45,1397400,305.8624
2016-01-06,310.95,312.6,301.6,303.4,1539700,300.8547
2016-01-07,301.3,301.3,291.95,295.55,1047100,293.0705
2016-01-08,298,305.25,296.25,303.05,1256500,300.5076
2016-01-11,301.5,301.5,293.25,295.9,995900,293.4176
2016-01-12,294.6,298.4,287.8,289.85,950500,287.4184
2016-01-13,292.3,293.6,274.7,284.25,3076900,281.8654
2016-01-14,280,291.5,268.9,288.75,2742600,286.3276
2016-01-15,291,291.5,278.6,281,1408100,278.6426
2016-01-18,280.1,281.6,272.05,276.25,1807800,273.9325
2016-01-19,278.1,285.75,272.9,284.4,1897700,282.0141
2016-01-20,279.95,289.9,276.1,286.5,1409600,284.0965
2016-01-21,289.95,296.7,282.95,289.3,1256600,286.873
2016-01-22,293,300,290.65,298.25,1474400,295.7479
2016-01-25,301.5,304.8,298,302.05,1484900,299.516
2016-01-26,302.05,302.05,302.05,302.05,0,299.516
2016-01-27,300.6,303.9,291.2,300.25,3386600,297.7311
2016-01-28,300,304.8,293.85,295.45,2665300,292.9714
2016-01-29,296.9,298.05,292.1,296.7,1140800,294.2109
2016-02-01,301,305.8,294.1,304.05,2542500,301.4992
2016-02-02,305.1,311,302.1,305.2,2012100,302.6396
2016-02-03,301,304.4,291.6,299.2,2075600,296.69
2016-02-04,301.65,307.5,293.65,298.05,1231900,295.5496
2016-02-05,296,305,296,303.8,877800,301.2513
2016-02-08,302.25,310.7,300.4,304.35,1016800,301.7967
2016-02-09,302.95,302.95,291.5,293.75,1313900,291.2857
2016-02-10,288.9,292.25,282,286.35,1032400,283.9477
2016-02-11,285,285.8,265,269.95,1878700,267.6853
2016-02-12,271,276.6,259.1,273.35,1691800,271.0568
2016-02-15,278.45,293,276.05,291.85,1610700,289.4016
2016-02-16,293,293.6,280.45,281.9,652200,279.5351
2016-02-17,281,283.8,272,282.1,1091800,279.7334
2016-02-18,283.5,289,275.25,280.55,1323900,278.1964
2016-02-19,278.85,283.5,277.1,281.15,966700,278.7914
2016-02-22,283.2,285.1,280,281.3,927600,278.9401
2016-02-23,280.7,282.35,276.6,279.4,725400,277.056
2016-02-24,277,279.5,273.45,275.05,632800,272.7425
2016-02-25,275.05,275.15,269.1,270.85,947700,268.5778
2016-02-26,273.15,275.7,269.6,273.95,682900,271.6518
2016-02-29,273.95,274.9,267.15,272.2,949500,269.9165
2016-03-01,272.2,287.4,270.15,285.4,1541000,283.0057
2016-03-02,287.05,289.1,281.85,283.45,819300,281.0721
2016-03-03,284,284.65,275,277.25,3360800,274.9241
2016-03-04,277.5,283,277.4,280.9,1049800,278.5435
2016-03-07,280.9,280.9,280.9,280.9,0,278.5435
2016-03-08,281.7,287.5,278.8,285.15,1418600,282.7578
2016-03-09,285,287.2,281.6,285.45,1057100,283.0553
2016-03-10,286.2,286.2,281.05,283.45,520600,281.0721
2016-03-11,284,292.45,281.7,290.8,1575600,288.3604
2016-03-14,295,296.7,292.1,294.6,1046500,292.1285
2016-03-15,294.95,296,291.25,294,568000,291.5336
2016-03-16,293.95,296.35,286.5,289.9,540300,287.468
2016-03-17,292.8,295,290.95,292.55,473000,290.0957
2016-03-18,293.1,294.1,287.2,292.2,623100,289.7487
2016-03-21,292.75,301.5,291.95,299.55,1056600,297.037
2016-03-22,301.6,309,300,303.9,1716300,301.3505
2016-03-23,304,306.9,299.05,304.05,1399500,301.4992
2016-03-24,304.05,304.05,304.05,304.05,0,301.4992
2016-03-25,304.05,304.05,304.05,304.05,0,301.4992
2016-03-28,304,305.8,299.5,304.1,736800,301.5488
2016-03-29,303,306.8,300.8,302.1,949400,299.5656
2016-03-30,304,314.25,302.7,312.65,1679200,310.0271
2016-03-31,315.4,324.6,312.7,321.35,3164800,318.6541
2016-04-01,319,319.45,312.4,313.25,1430900,310.6221
2016-04-04,313.7,320,312.45,318.15,2151500,315.481
2016-04-05,316.4,318.85,313.75,315.5,500700,312.8532
2016-04-06,318,331.45,315.3,327.45,1621900,324.703
2016-04-07,330.95,332.4,319,321.5,1542400,318.8029
2016-04-08,320.55,333.9,318,332.65,2534800,329.8593
2016-04-11,334,349.4,333.5,346.95,3022800,344.0394
2016-04-12,347,347.55,337.05,339,1523900,336.156
2016-04-13,341.5,343.8,336.5,338,988900,335.1644
2016-04-14,338,338,338,338,0,335.1644
2016-04-15,338,338,338,338,0,335.1644
2016-04-18,338.15,344.2,331.3,342.4,1036900,339.5275
2016-04-19,342.4,342.4,342.4,342.4,0,339.5275
2016-04-20,347.9,352.9,342.4,350.95,2070500,348.0058
2016-04-21,352,354,340,341.75,1455300,338.883
2016-04-22,341.45,341.45,333.7,338.15,1246600,335.3132
2016-04-25,340,345,338.1,342.75,1036300,339.8746
2016-04-26,343.7,348.4,342.55,346.1,1172200,343.1965
2016-04-27,345.4,347,342.3,344.2,646400,341.3124
2016-04-28,345,346.6,333.05,337.25,2546500,334.4207
2016-04-29,337.6,339.35,330.45,332.2,822900,329.4131
2016-05-02,332.1,337.5,328.3,334.45,1091100,331.6442
2016-05-03,335.1,339.8,327.25,329.1,1062700,326.3391
2016-05-04,328,335,327,333.1,1969900,330.3056
2016-05-05,335,337.85,331.65,336.45,782600,333.6275
2016-05-06,335.95,344.9,333.65,341.1,1182500,338.2384
2016-05-09,343.2,345.8,339.05,340.2,2073700,337.346
2016-05-10,340.25,347.5,333.05,345.65,1726700,342.7503
2016-05-11,340,349,335.75,340.15,5915800,337.2964
2016-05-12,343.7,344.75,338.3,342.25,1508200,339.3788
2016-05-13,346,366.25,345.9,359.8,8304700,356.7815
2016-05-16,360.7,363.4,356.75,357.6,2953100,354.6
2016-05-17,360.5,372.2,358.75,366,2634700,362.9295
2016-05-18,365.8,367.7,358.65,364.1,1572800,361.0455
2016-05-19,365,365,352.35,356.5,1666300,353.5092
2016-05-20,359.9,368.8,356.25,365.5,2941000,362.4337
2016-05-23,369.75,369.75,361.4,366.3,2038500,363.227
2016-05-24,368.35,368.8,361.6,366.9,2273800,363.822
2016-05-25,368.4,376.8,367.5,373.35,1524600,370.2179
2016-05-26,374.8,378.4,372.85,376.85,2802000,373.6885
2016-05-27,375,377.7,372,374.9,1317100,371.7549
2016-05-30,374.5,377.8,370.35,372.45,1750400,369.3254
2016-05-31,373,378.05,355.95,364.5,22941500,361.4421
2016-06-01,358.5,363.4,353.25,356.65,1855900,353.658
2016-06-02,358,365,352.8,363.75,1735500,360.6984
2016-06-03,365,366.75,359.55,361.25,1218000,358.2194
2016-06-06,357.15,361.4,357.15,360,742500,356.9799
2016-06-07,360.1,361.5,356.4,360.15,1222500,357.1286
2016-06-08,360.45,365,357.8,362.7,1168700,359.6572
2016-06-09,363.9,363.9,354.15,357.3,714700,354.3025
2016-06-10,356.5,359.9,351.2,354.4,698100,351.4268
2016-06-13,351.2,361.2,347.55,358.75,989000,355.7404
2016-06-14,360.2,365,357.4,359.7,1056100,356.6824
2016-06-15,361.45,363,356,360.15,953800,357.1286
2016-06-16,360.95,362.6,357.5,360,1268100,356.9799
2016-06-17,360.55,362.65,355.25,360.25,2281400,357.2278
2016-06-20,359,367.5,357.05,364.35,1436600,361.2934
2016-06-21,365.9,369.15,365,368,1101600,364.9128
2016-06-22,367.1,370,362,366.45,515600,363.3758
2016-06-23,364.5,369.4,361.25,367.1,394600,364.0203
2016-06-24,360,363,348.5,359.5,1419300,356.4841
2016-06-27,358.05,363.3,355.25,359.6,696600,356.5832
2016-06-28,361.6,362,356.05,357.6,476300,354.6
2016-06-29,359,360.2,356.45,357.15,671900,357.15
2016-06-30,359,361.4,354.6,359.9,1451700,359.9
2016-07-01,358,374.1,357.95,366.8,1234900,366.8
2016-07-04,368,370.5,365.35,367.4,456500,367.4
2016-07-05,367.8,371.7,363.2,368.65,780900,368.65
2016-07-06,368.65,368.65,368.65,368.65,0,368.65
2016-07-07,369,370.15,355.2,356.4,1184600,356.4
2016-07-08,358,359.4,351.6,357.4,555800,357.4
2016-07-11,360.1,361.7,355.8,357.6,738100,357.6
2016-07-12,357.7,359.3,354.3,356.9,698000,356.9
2016-07-13,357.7,363,356.4,359.9,1397200,359.9
2016-07-14,359.9,361.8,356.45,358.9,880300,358.9
2016-07-15,363.4,364.2,357.25,359.65,1097000,359.65
2016-07-18,360.5,362.6,355.2,357.7,659600,357.7
2016-07-19,357.7,360.8,354.65,359.6,661300,359.6
2016-07-20,360.8,368.4,360,366.25,2477400,366.25
2016-07-21,367.5,373,362.6,365.05,4619300,365.05
2016-07-22,367.5,379,366.75,375.9,6476300,375.9
2016-07-25,386.5,387,372.7,381.3,3932500,381.3
2016-07-26,383.5,384.7,368.2,371.05,1437300,371.05
2016-07-27,373,379.5,371.2,376.65,1880600,376.65
2016-07-28,377,385,376.65,380.5,2253000,380.5
2016-07-29,381.1,391.75,380.55,389.65,1815800,389.65
2016-08-01,391.5,407.6,390.6,404.1,2037000,404.1
2016-08-02,406,407.95,394.2,399.9,2052500,399.9
2016-08-03,400,400.7,385.65,389.95,1246600,389.95
2016-08-04,394.95,409.4,393.05,405.25,1951300,405.25
2016-08-05,408.85,411,404.15,406.5,1024100,406.5
2016-08-08,406,411,402.15,404.05,760800,404.05
2016-08-09,406.9,421.7,405.6,414.3,2930100,414.3
2016-08-10,414.55,415.9,403,404.7,819200,404.7
2016-08-11,404.9,406.05,396.6,399.8,987900,399.8
2016-08-12,401,409.45,395.8,398.6,954700,398.6
2016-08-15,398.6,398.6,398.6,398.6,0,398.6
2016-08-16,399.2,411.2,396.25,410.05,1472000,410.05
2016-08-17,413.4,416.7,407.45,415.5,1490100,415.5
2016-08-18,415.5,417.8,408.5,409.65,713700,409.65
2016-08-19,411.5,417,407.5,415.25,758800,415.25
2016-08-22,416.95,421,411.8,415.75,1102800,415.75
2016-08-23,418.55,418.55,408.5,411.2,850500,411.2
2016-08-24,411.95,415,410,411.1,1026200,411.1
2016-08-25,412,420,410.4,415.7,2117700,415.7
2016-08-26,416.5,417.95,410.5,414.65,405000,414.65
2016-08-29,412.2,417.8,410.25,416.2,468600,416.2
2016-08-30,420.95,428.3,419.5,421.9,1261800,421.9
2016-08-31,421.5,425.45,416.3,417.6,1501400,417.6
2016-09-01,417,426.5,416.2,422.85,971300,422.85
2016-09-02,423,429.3,422.85,427.8,807900,427.8
2016-09-05,427.8,427.8,427.8,427.8,0,427.8
2016-09-06,428.1,433.55,428.1,431.75,757000,431.75
2016-09-07,430.35,431.95,421.45,423.2,847700,423.2
2016-09-08,423.5,423.55,415.9,420.25,1359200,420.25
2016-09-09,420,424.6,416,417.7,832400,417.7
2016-09-12,414,415,402.6,408.45,549800,408.45
2016-09-13,408.45,408.45,408.45,408.45,0,408.45
2016-09-14,408,413.45,405.1,407.75,1525400,407.75
2016-09-15,408,414.7,408,410,874200,410
2016-09-16,413.9,422,405.4,410.3,3674500,410.3
2016-09-19,410.8,416,407.1,413.15,737100,413.15
2016-09-20,413.85,417.6,411.6,412.9,804300,412.9
2016-09-21,413.95,414,405.1,406.4,1210900,406.4
2016-09-22,409,411.75,406.15,409.45,956900,409.45
2016-09-23,410,413.2,407.4,408.2,868900,408.2
2016-09-26,409,411.9,405.15,410.2,887600,410.2
2016-09-27,410.35,416.45,408.1,409.8,1099600,409.8
2016-09-28,411,424.8,408.5,419.25,3906000,419.25
2016-09-29,422.95,425.9,396.5,408.95,2403100,408.95
2016-09-30,406,420,405.95,418.2,992500,418.2
2016-10-03,420,433,419,431.2,1980900,431.2
2016-10-04,435.75,455.5,434.9,452.3,4314400,452.3
2016-10-05,454.65,454.65,445,448.55,1623500,448.55
2016-10-06,449.1,459.4,445.65,448,983200,448
2016-10-07,448.6,452.8,443.6,446.7,1064900,446.7
