"Date","NIITTECH.NS.Open","NIITTECH.NS.High","NIITTECH.NS.Low","NIITTECH.NS.Close","NIITTECH.NS.Volume","NIITTECH.NS.Adjusted"
2015-03-12,432.8,432.8,418.1,424.15,52000,399.1109
2015-03-13,424.15,435.45,421,424.75,77200,399.6755
2015-03-16,425,426.85,403.05,407.2,43000,383.1615
2015-03-17,408.95,412.15,401.6,403.05,45400,379.2565
2015-03-18,403,406.7,396.5,398.95,17900,375.3986
2015-03-19,395.05,405,383.05,388.2,50500,365.2832
2015-03-20,389.55,393.85,369,375.05,49700,352.9094
2015-03-23,375,379,368,374.4,27500,352.2978
2015-03-24,351,360,341,352.1,264400,331.3143
2015-03-25,352.8,360,336.6,338.75,76700,318.7524
2015-03-26,342,347.9,334,343.85,78900,323.5513
2015-03-27,347,357,343.25,347.25,80200,326.7506
2015-03-30,352.25,354.9,343.8,349.4,52900,328.7737
2015-03-31,350.85,351.35,347,349.3,123800,328.6796
2015-04-01,351,371,348.95,366.2,147800,344.5819
2015-04-02,366.2,366.2,366.2,366.2,0,344.5819
2015-04-03,366.2,366.2,366.2,366.2,0,344.5819
2015-04-06,367.95,369.4,359.1,365.1,33600,343.5468
2015-04-07,365.9,368.6,365.1,367.3,15000,345.617
2015-04-08,371,374.8,367.85,371.15,25200,349.2397
2015-04-09,374.95,378,365.7,369.45,55200,347.6401
2015-04-10,368,374,368,371.7,34100,349.7572
2015-04-13,373,379,370.05,372.6,17800,350.6041
2015-04-14,372.6,372.6,372.6,372.6,0,350.6041
2015-04-15,376.35,389,371.1,374.75,157000,352.6272
2015-04-16,382.8,382.8,365.75,379.05,77600,356.6733
2015-04-17,381.7,385,370,373.3,30900,351.2628
2015-04-20,368.15,378.85,367,370.9,27400,349.0044
2015-04-21,361.15,374.75,361.15,369.05,31100,347.2636
2015-04-22,368.05,375.5,368,370.9,116600,349.0044
2015-04-23,370,374.95,368.05,369.8,10700,347.9694
2015-04-24,370.45,372.9,362.5,364.8,63400,343.2645
2015-04-27,360,370,353.6,366.75,60800,345.0994
2015-04-28,365.25,365.25,353.1,361.9,54300,340.5357
