"Date","DHFL.NS.Open","DHFL.NS.High","DHFL.NS.Low","DHFL.NS.Close","DHFL.NS.Volume","DHFL.NS.Adjusted"
2016-08-15,265.15,265.15,265.15,265.15,0,264.336
2016-08-16,266,268.6,253.8,262.9,2780800,262.093
2016-08-17,263,265,259.55,264.05,2568600,263.24
2016-08-18,265.9,269.9,265.3,266.35,1773200,265.533
2016-08-19,266.45,266.75,261.45,263.4,1869200,262.592
2016-08-22,264.05,267.6,260.6,265.05,2682200,264.237
2016-08-23,265.05,274.1,261.85,272.55,3184200,271.714
2016-08-24,274,282.95,272.6,282,4385900,281.135
2016-08-25,282.4,284.25,277.85,280.65,3057000,279.789
2016-08-26,281.5,285.8,281.25,283.5,2165400,282.63
2016-08-29,283.35,284.25,273.85,280.4,1880500,279.539
2016-08-30,284,291.35,284,289.8,3161900,288.911
2016-08-31,290.5,294.65,284.45,290.6,2673700,289.708
2016-09-01,291.15,293.1,284,285.5,2063800,284.624
2016-09-02,285.5,288.9,283.3,287.3,1697600,286.418
2016-09-05,287.3,287.3,287.3,287.3,0,286.418
2016-09-06,288.45,296.75,287.55,295.25,1774600,294.344
2016-09-07,296,299,294.1,296.9,1753600,295.989
2016-09-08,296,303.5,295.2,302.05,3131400,301.123
2016-09-09,302.05,304.45,295.5,299.9,2513700,298.98
2016-09-12,293.05,293.95,275.4,278.05,3233100,277.197
2016-09-13,278.05,278.05,278.05,278.05,0,277.197
2016-09-14,276.35,289.7,273.9,288.15,2680400,287.266
2016-09-15,288.15,289.15,282.65,284.85,1122300,283.976
2016-09-16,286.5,295.7,279.45,281,4792500,280.138
2016-09-19,282.2,287.75,279.5,283.95,1973700,283.079
2016-09-20,285.4,285.6,281.25,282.4,957500,281.533
2016-09-21,283.1,287.05,281.1,282.3,1265600,281.434
2016-09-22,285.7,292.5,284.5,291.55,2141600,290.655
2016-09-23,293,296.1,289.5,292.75,2013600,291.852
2016-09-26,291.9,295.2,289.35,290.85,1463800,289.957
2016-09-27,292.8,299.3,291.45,296.25,2492600,295.341
2016-09-28,297.65,301.9,296.5,298.3,2330700,297.385
2016-09-29,300.7,302.25,267,272.55,5439600,271.714
2016-09-30,271.95,284.9,270.9,283.8,1728400,282.929
2016-10-03,286.6,297,286.1,295.8,1657000,294.892
2016-10-04,298.4,301.25,292.1,299,2162200,298.082
2016-10-05,302,303,295,296.5,1407600,295.59
2016-10-06,297.3,301.9,292.5,295,1314800,294.095
2016-10-07,295.2,297.55,288.65,292.4,2048100,291.503
2016-10-10,294.9,296,291,292.6,1491200,291.702
