"Date","IOC.NS.Open","IOC.NS.High","IOC.NS.Low","IOC.NS.Close","IOC.NS.Volume","IOC.NS.Adjusted"
2016-05-19,407.5,417.6,405.15,411.95,2685000,190.7676
2016-05-20,413.35,415,408.5,409.5,532700,189.633
2016-05-23,410.45,413.3,403.2,404.4,658800,187.2713
2016-05-24,404.5,406,392.55,396.85,1521400,183.775
2016-05-25,397.95,405,397.1,403.15,1620100,186.6924
2016-05-26,404.45,405.5,398,402.15,2989200,186.2293
2016-05-27,408,435.9,405.35,412.95,16243100,191.2306
2016-05-30,412,412.8,402.05,403,3960800,186.623
2016-05-31,400.3,417.95,400.3,416.1,7760800,192.6894
2016-06-01,418,424.8,417.2,420.6,6107000,194.7732
2016-06-02,420,423.45,415.2,420.1,2493100,194.5417
2016-06-03,421.1,427,421.1,424,5077700,196.3477
2016-06-06,422.05,424.5,416,418.3,1623200,193.7081
2016-06-07,420.35,421.7,415.35,418.85,2238100,193.9628
2016-06-08,418.5,421.65,413.4,415.1,2618100,192.2263
2016-06-09,414.95,419.55,413.55,415.4,1418000,192.3652
2016-06-10,414.4,418.9,408.65,410.05,1881400,189.8877
2016-06-13,409.65,417.95,407.55,416.1,2129000,192.6894
2016-06-14,416.45,417.6,412.75,414.05,1082000,191.74
2016-06-15,415,419.3,415,417.4,2532300,193.2914
2016-06-16,418,419.85,412.65,415.6,1189200,192.4578
2016-06-17,416.95,419.25,411.65,413.15,2010700,191.3233
2016-06-20,412.55,413.5,409,410.5,2239000,190.0961
2016-06-21,411.95,414.25,409.6,412.7,1814200,191.1149
2016-06-22,413,416.9,410.5,415.4,2260100,192.3652
2016-06-23,417,423,414.05,421.8,2730700,195.3289
2016-06-24,415.7,420.8,409,419.05,1988800,194.0554
2016-06-27,416.1,428.5,416.1,421.05,2795500,194.9816
2016-06-28,425.1,436,424.2,434.95,4687400,201.4185
2016-06-29,435.25,443.2,430.5,441.35,4678200,204.3822
2016-06-30,440.55,445,438,441,4491200,204.2202
2016-07-01,442.1,478,442,474.3,13404100,219.6409
2016-07-04,475,484.95,474.9,480.8,5730200,222.6509
2016-07-05,482,488.05,475,477.3,4502500,221.0301
2016-07-06,477.3,477.3,477.3,477.3,0,221.0301
2016-07-07,477,486,471.1,473.35,3750100,219.2009
2016-07-08,472.3,478.2,465.15,468.4,3572800,216.9087
2016-07-11,475,482.15,471.25,477.75,3088200,221.2385
2016-07-12,478.4,486.2,474.2,476.65,4562400,220.7291
2016-07-13,480,484.9,471.2,478.95,3606600,221.7942
2016-07-14,479.95,484,478.5,481.6,1577300,223.0214
2016-07-15,480.6,482.75,476.1,478.35,1687900,221.5164
2016-07-18,479,488.35,471.35,472.65,3307800,218.8768
2016-07-19,472,496.2,472,493.55,7713200,228.5552
2016-07-20,498.95,515,497.1,512.85,14169100,237.4927
2016-07-21,521.5,531.8,516.15,521.4,9490600,241.4521
2016-07-22,522.15,524.65,513.1,522.3,6422000,241.8689
2016-07-25,528,549.9,525.6,537,8455700,248.6762
2016-07-26,542.15,545.35,530.15,532.8,4977100,246.7313
2016-07-27,533,543.65,532.05,535.95,4940700,248.19
2016-07-28,538.7,541.35,530.05,532.3,4560500,246.4997
2016-07-29,537.1,548.4,533.1,544.4,9064300,252.1031
2016-08-01,548.95,552,535.25,542,4354800,250.9917
2016-08-02,546.1,559.45,544.1,555.3,11627400,257.1507
2016-08-03,553.05,563.6,548.5,552.15,9587600,255.692
2016-08-04,553,556.4,540.45,545.8,4979900,252.7514
2016-08-05,550.45,582.9,550,575.95,6626500,266.7134
2016-08-08,580,593.35,573.8,582.5,7697500,269.7466
2016-08-09,584,584.95,564,565.55,4277300,261.8973
2016-08-10,567,570.75,536,539,9524200,249.6024
2016-08-11,540.45,553.3,531.35,544.35,7120300,252.0799
2016-08-12,544,546.7,534.7,538.2,4868800,249.2319
2016-08-15,538.2,538.2,538.2,538.2,0,249.2319
2016-08-16,537,551.95,535.05,544.55,4509000,252.1725
2016-08-17,546.55,553.85,542,544.95,4309200,252.3578
2016-08-18,546.5,563.9,544.8,562,3604100,260.2533
2016-08-19,563,568.2,555.15,566.2,3147600,262.1983
2016-08-22,570.25,574.3,558,559.8,3339000,259.2346
2016-08-23,565,565,539.2,543.95,5467600,251.8947
2016-08-24,546,569.5,542.55,564.15,8819400,261.249
2016-08-25,569.75,572.9,558.35,570.1,6413100,264.0043
2016-08-26,571.95,577.9,570.25,573.55,3763400,265.602
2016-08-29,576.3,582.9,564.3,571.75,12787100,264.7684
2016-08-30,580,581,569,573.55,7758600,265.602
2016-08-31,576.95,579.95,572.4,575.4,6422900,266.4587
2016-09-01,580,582.3,571.5,575.65,3551600,266.5745
2016-09-02,568.6,576,565.2,573.45,2937600,273.6367
2016-09-05,573.45,573.45,573.45,573.45,0,273.6367
2016-09-06,575.95,578,571.25,573.2,3223500,273.5174
2016-09-07,573.95,577.1,566,567.55,3424200,270.8213
2016-09-08,566.2,572,561.1,563.85,3254400,269.0557
2016-09-09,563.8,570.15,560.8,563.65,4656500,268.9603
2016-09-12,557,562.25,550.3,552.95,3668100,263.8545
2016-09-13,552.95,552.95,552.95,552.95,0,263.8545
2016-09-14,556.7,569.45,554.9,565.6,5032000,269.8908
2016-09-15,567,567,557.7,558.8,3849300,266.646
2016-09-16,563.95,573.45,559.5,570.2,9435900,272.0858
2016-09-19,572.45,576.65,570,571.15,3944500,272.5392
2016-09-20,571.95,575.9,569.65,570.5,3767900,272.229
2016-09-21,571,579.4,570.1,571.8,4301600,272.8493
2016-09-22,576.45,581,573.5,579.3,2818900,276.4281
2016-09-23,579.7,587.9,577,583.3,4583200,278.3368
