"Date","PCJEWELLER.NS.Open","PCJEWELLER.NS.High","PCJEWELLER.NS.Low","PCJEWELLER.NS.Close","PCJEWELLER.NS.Volume","PCJEWELLER.NS.Adjusted"
2016-10-20,505,514.8,502.5,509.25,362400,509.25
2016-10-21,509.9,513.85,505,509.6,161900,509.6
2016-10-24,510.2,516.85,503.2,508.65,313000,508.65
2016-10-25,508.8,512.5,504.1,508.95,158800,508.95
2016-10-26,511,518,506.75,511.1,299800,511.1
2016-10-27,511.8,517.9,502.2,508.65,300600,508.65
2016-10-28,508.4,519.9,507.9,511.9,272400,511.9
2016-10-31,511.9,511.9,511.9,511.9,0,511.9
2016-11-01,510.95,510.95,495,497.7,169000,497.7
2016-11-02,492.45,492.45,478.9,482.7,164300,482.7
2016-11-03,490,495.95,478.95,483.9,258500,483.9
