"Date","NCC.NS.Open","NCC.NS.High","NCC.NS.Low","NCC.NS.Close","NCC.NS.Volume","NCC.NS.Adjusted"
2015-04-07,116.45,118.15,112.55,113.95,6536600,112.53043
2015-04-08,114.95,115.5,109.6,113.75,4931500,112.33293
2015-04-09,114.65,115.8,109.65,110.55,5062100,109.17279
2015-04-10,110.6,111.6,108.5,108.95,2704200,107.59272
2015-04-13,109.1,110.7,106.4,106.7,2778000,105.37075
2015-04-14,106.7,106.7,106.7,106.7,0,105.37075
2015-04-15,107,109.7,104.8,105.45,3289500,104.13632
2015-04-16,105.5,105.95,98.45,99.45,4651700,98.21107
2015-04-17,100,103.25,98.65,99.25,4768800,98.01356
2015-04-20,99.85,99.9,94.7,96.9,3182800,95.69284
2015-04-21,97,102,95.85,99.8,5331100,98.55672
2015-04-22,100.8,102.8,96,97.8,4673300,96.58163
2015-04-23,98.8,100.4,97.1,98.45,3102900,97.22353
2015-04-24,98.8,98.8,93.45,93.8,3234100,92.63146
2015-04-27,94.35,94.6,88.1,89.9,5152400,88.78005
2015-04-28,88.9,94.35,87.55,93.45,4247200,92.28582
2015-04-29,94.2,95.2,90.9,91.7,3054800,90.55762
2015-04-30,91.5,92.2,89.8,90.9,3033100,89.76759
2015-05-01,90.9,90.9,90.9,90.9,0,89.76759
2015-05-04,91.85,96,91.45,94.55,3137000,93.37212
2015-05-05,95.15,102.9,95.1,101.9,6134900,100.63055
2015-05-06,100,101,95.4,96.05,4636700,94.85343
2015-05-07,95.85,95.85,87.5,91.4,6956500,90.26136
2015-05-08,93.9,96.8,91.9,93.4,4166600,92.23644
2015-05-11,94.6,98.8,94.5,97.55,3276900,96.33475
2015-05-12,97.7,97.8,92,93.3,3688500,92.13769
2015-05-13,95.4,98.2,94,95.85,4409200,94.65592
2015-05-14,96.8,104,95.1,101.85,15175000,100.58117
2015-05-15,104.4,106.4,95.5,96.25,13330600,95.05094
2015-05-18,96.5,97.3,84.3,87.7,17734700,86.60745
2015-05-19,88.35,91.3,87.05,89.6,8352300,88.48378
2015-05-20,90.35,90.95,86.6,86.95,4557700,85.86679
2015-05-21,87.35,87.6,82.45,84.15,9973300,83.10168
2015-05-22,84.45,85.65,83.1,84.95,5595900,83.89171
2015-05-25,84.6,85.85,82.6,83.4,3903100,82.36102
2015-05-26,83.35,86.45,82.7,85.7,4709600,84.63236
2015-05-27,84.1,85.2,82.3,84.55,2583800,83.4967
2015-05-28,84.95,85,80.7,81.1,4330100,80.08967
2015-05-29,81.6,84,78.4,82.35,7045800,81.3241
2015-06-01,82.45,85.25,82.25,82.5,3399600,81.47223
2015-06-02,82.9,83.4,79.5,80.1,3179600,79.10213
2015-06-03,80.25,80.3,74.1,75.3,5511700,74.36193
2015-06-04,75.7,76.45,72.7,74.35,3372000,73.42376
2015-06-05,73.85,76.75,72.1,72.55,5239400,71.64619
2015-06-08,72.6,72.6,67.75,68.6,4146600,67.74539
2015-06-09,67.5,70.35,62.2,67.6,14424300,66.75785
2015-06-10,68.7,75.7,68.7,73.45,12461300,72.53497
2015-06-11,74.25,76,71.05,72.1,7275200,71.20179
2015-06-12,71.6,71.7,57.7,70.25,4042700,69.37484
2015-06-15,70,73.2,69.9,72,3171600,71.10304
2015-06-16,71.9,76.8,70.55,75.75,7173000,74.80632
2015-06-17,76.45,82.2,76,79.95,11362000,78.954
2015-06-18,80.45,83,79.55,80.35,4742000,79.34902
2015-06-19,80.9,81.4,76.1,76.9,3350300,75.942
2015-06-22,76.9,81,76.5,79.8,4092000,78.80587
2015-06-23,80,80.3,77.5,78.85,3036300,77.8677
2015-06-24,79,81.2,78.4,78.7,2889700,77.71957
2015-06-25,78,81.4,76.9,80.6,5458700,79.5959
