"Date","DRREDDY.NS.Open","DRREDDY.NS.High","DRREDDY.NS.Low","DRREDDY.NS.Close","DRREDDY.NS.Volume","DRREDDY.NS.Adjusted"
2015-05-28,3586.8,3600,3500.25,3527.95,291300,3470.0069
2015-05-29,3565,3573.05,3490,3535.25,758300,3477.1871
2015-06-01,3528,3572,3521.6001,3538.45,158400,3480.3344
2015-06-02,3525,3531.1001,3465,3473.75,172200,3416.6971
2015-06-03,3467,3475,3399,3428.05,148200,3371.7478
2015-06-04,3433.1001,3469.7,3399,3422,165500,3365.7971
2015-06-05,3430,3471.8,3405,3415.6001,152400,3359.5023
2015-06-08,3425,3448,3393.8501,3407.05,185400,3351.0927
2015-06-09,3400,3400,3313,3321.8999,216100,3267.341
2015-06-10,3324.8999,3379.6499,3324.8999,3366.6001,177300,3311.3071
2015-06-11,3378,3378,3296,3312.75,189400,3258.3414
2015-06-12,3316.2,3339.95,3303.8501,3317.55,155600,3263.0626
2015-06-15,3329.7,3365.8,3313,3320.6001,247400,3266.0626
2015-06-16,3322,3335.3,3266.55,3286.6001,319500,3232.621
2015-06-17,3300,3363.7,3300,3347.2,361200,3292.2255
2015-06-18,3374.8,3413.7,3356.6499,3377.45,431900,3321.9787
2015-06-19,3391.05,3426.7,3374.3999,3384.75,353200,3329.1589
2015-06-22,3401,3430,3400,3425.8999,207200,3369.6329
2015-06-23,3435,3448.8,3423,3443.3501,153300,3386.7965
2015-06-24,3443.3501,3475,3421.1499,3434.55,273800,3378.141
2015-06-25,3425,3509.3501,3421.45,3485.45,470600,3428.2049
2015-06-26,3497,3540,3489.5,3530.1001,244800,3472.1217
2015-06-29,3499,3541,3428,3521.1499,226000,3463.3185
2015-06-30,3497,3565,3453.2,3559.45,395200,3500.9895
2015-07-01,3548,3608.1001,3535.3999,3573.6001,262600,3514.9073
2015-07-02,3572,3589.95,3536.3999,3547.7,143600,3489.4325
2015-07-03,3554,3599.8999,3550,3587.75,140900,3528.8248
2015-07-06,3546,3732.75,3546,3716.7,478300,3655.6569
2015-07-07,3716,3754,3688.45,3739.95,390500,3678.525
2015-07-08,3728.6001,3770.3501,3705,3720.8501,338000,3659.7389
2015-07-09,3712,3758.8999,3711.55,3732.05,192800,3670.7549
2015-07-10,3734.8,3764.3501,3712.5,3750.5,171200,3708.7771
2015-07-13,3750.7,3790,3701,3758.1499,193000,3716.3419
2015-07-14,3799.95,3828.3501,3760.55,3772.95,274900,3730.9774
2015-07-15,3790.8999,3819.95,3780.05,3815,193200,3772.5596
2015-07-16,3810,3879,3810,3866.5,214200,3823.4867
2015-07-17,3870,3888.3999,3851.5,3877.05,226600,3833.9194
2015-07-20,3895,3933.95,3865.05,3930.25,173800,3886.5275
2015-07-21,3922,3922.3999,3835.5,3853.1499,149200,3810.2851
2015-07-22,3850,3898.05,3831.3,3847.75,137900,3804.9453
2015-07-23,3873.95,3964.8999,3873.95,3913.3999,540400,3869.8649
2015-07-24,3926,3939,3885.7,3908.8999,317500,3865.4149
2015-07-27,3895,3910.1001,3826.75,3854.8501,339700,3811.9664
2015-07-28,3896.8999,3910,3737.25,3749.1001,518900,3707.3928
2015-07-29,3765,3784.5,3668,3712.3501,435500,3671.0516
2015-07-30,3739,3934,3721,3913.1001,1330000,3869.5684
2015-07-31,3967,4093.5,3956.05,4076.1001,704700,4030.7551
2015-08-03,4090.1001,4163.6499,4044.6499,4143.8999,364600,4097.8006
2015-08-04,4150.9502,4194.9502,4113.6001,4161.75,4e+05,4115.4522
2015-08-05,4173.1001,4210,4140.1499,4191.7998,288500,4145.1677
2015-08-06,4222,4326.5,4222,4266.6001,465600,4219.1358
2015-08-07,4258,4275,4230,4258.8501,214700,4211.472
2015-08-10,4257,4318.2998,4243.25,4259.7002,292100,4212.3127
2015-08-11,4281,4307,4184.9502,4223.8501,274200,4176.8614
2015-08-12,4228.2002,4285.8501,4204,4275,286000,4227.4423
2015-08-13,4294,4317.9502,4247.1001,4291.75,233100,4244.006
2015-08-14,4313,4337.9502,4228,4257.75,270500,4210.3842
2015-08-17,4219,4228.5498,4159.3501,4181.4502,216000,4134.9332
2015-08-18,4204.5,4224,4159.1499,4191.3501,420100,4144.723
2015-08-19,4230,4268.75,4197.0498,4231.2998,556400,4184.2282
2015-08-20,4251,4327.7002,4251,4295.6001,681400,4247.8132
2015-08-21,4312.9502,4312.9502,4211.2002,4244.0498,415600,4196.8364
2015-08-24,4150,4198.5498,4024.2,4043.25,401400,3998.2704
2015-08-25,4076,4150,3932,4105.3501,454300,4059.6797
2015-08-26,4105,4130,3971,4061.2,440700,4016.0207
2015-08-27,4122,4194,4085.3999,4130.1001,647900,4084.1543
2015-08-28,4230,4239.1001,4158.75,4180.75,294700,4134.2408
2015-08-31,4199.6001,4319.75,4180.7998,4302.6499,463200,4254.7846
2015-09-01,4304.8501,4309.4502,4205,4249.1001,497500,4201.8305
2015-09-02,4249.8999,4282.5,4177.2998,4200.1499,335500,4153.4249
2015-09-03,4234.9502,4259.4502,4195.2002,4209.2002,209600,4162.3745
2015-09-04,4200,4200,4025,4052.8501,365800,4007.7637
2015-09-07,4080,4095,3930,3946.5,225000,3902.5967
2015-09-08,3947.1001,4010,3851.6499,3977.55,416500,3933.3014
2015-09-09,4060,4076.95,3956.7,4041.05,733600,3996.0949
2015-09-10,4018.05,4019.05,3960,3973.55,608900,3929.3459
2015-09-11,4018,4028.8999,3966.1001,4014.2,396200,3969.5435
2015-09-14,4021.5,4050,3977,4042.7,413900,3997.7265
2015-09-15,4030,4030,3980.75,3996.55,361600,3952.09
