"Date","APOLLOTYRE.NS.Open","APOLLOTYRE.NS.High","APOLLOTYRE.NS.Low","APOLLOTYRE.NS.Close","APOLLOTYRE.NS.Volume","APOLLOTYRE.NS.Adjusted"
2016-06-27,147.5,147.95,145,146.1,909400,144.31
2016-06-28,146,148.6,145.6,147.95,1784900,146.14
2016-06-29,148.5,152.6,148.5,151.4,2189900,149.55
2016-06-30,154.9,154.9,151.1,151.5,1831800,149.64
2016-07-01,152.1,155.5,152,154.75,1869100,152.85
2016-07-04,155,157.95,155,156.6,1243900,154.68
2016-07-05,156.7,157.3,154,156.15,688000,154.24
2016-07-06,156.15,156.15,156.15,156.15,0,154.24
2016-07-07,156,156.15,149.25,150.4,2274900,148.56
2016-07-08,150.4,151.6,149.3,149.75,1333900,147.92
2016-07-11,151.3,153.75,151.3,152.85,1290900,150.98
2016-07-12,152.65,156.65,151.1,156.05,3388500,154.14
2016-07-13,156,156.7,152.2,153.8,1490000,151.92
2016-07-14,153,155.95,153,155.25,807300,153.35
2016-07-15,156.5,157.65,155.9,156.85,1967500,154.93
2016-07-18,158.3,161.8,158,159.9,2932400,157.94
2016-07-19,160.95,161.3,156.75,158.7,2711500,156.76
2016-07-20,159.5,161.75,158.55,158.95,1321800,157
2016-07-21,160,161,157,157.9,1315000,155.97
2016-07-22,158.1,159.5,155.5,157.65,1894200,155.72
2016-07-25,158,163.25,158,162.55,2320600,160.56
2016-07-26,163.6,165,159.85,161.05,2486600,159.08
2016-07-27,161.3,162.75,158.6,161.3,1639400,159.32
2016-07-28,161.9,164.5,160.5,164.2,1561000,162.19
2016-07-29,164.05,165.3,161.5,163.3,2381700,161.3
2016-08-01,163.1,166.1,160.6,162.95,2180700,162.95
2016-08-02,164,164.5,159.5,161.45,1116500,161.45
2016-08-03,161.45,162.45,155.1,156,1628200,156
2016-08-04,158.4,163.4,154.25,161.05,2653300,161.05
2016-08-05,162.75,176.7,161.75,174.95,9551800,174.95
2016-08-08,175,183.25,175,181,5224800,181
2016-08-09,180.55,190.3,176.15,182.55,13871300,182.55
2016-08-10,182.8,186,171.55,172.6,7900900,172.6
2016-08-11,171,173.9,166.25,169,4213400,169
2016-08-12,168.5,174.2,168.5,170.4,2657800,170.4
2016-08-15,170.4,170.4,170.4,170.4,0,170.4
2016-08-16,170.05,173.4,170.05,172.75,2063600,172.75
2016-08-17,172.75,177,170.75,175.65,2395500,175.65
2016-08-18,175.5,178.5,175.35,177.35,1624600,177.35
2016-08-19,177.4,178.8,174.5,175.5,1333500,175.5
2016-08-22,175.95,176.25,168.45,170.8,3146100,170.8
2016-08-23,169.5,173.9,168.1,172.5,2343800,172.5
2016-08-24,172.6,174.8,171,174.15,2411200,174.15
2016-08-25,174.6,176.7,172.6,173.8,1979400,173.8
2016-08-26,173.5,177.3,171.4,176.7,1629200,176.7
2016-08-29,178.6,185.7,178.6,184.2,4846600,184.2
2016-08-30,185,186.4,183.45,185,2381900,185
2016-08-31,184.85,186.2,181.15,183.05,2079900,183.05
2016-09-01,184.3,188.75,182,186.1,4992100,186.1
2016-09-02,186.95,195.9,186.65,194.5,6293200,194.5
2016-09-05,194.5,194.5,194.5,194.5,0,194.5
2016-09-06,196.45,203.95,196.25,202.45,6547600,202.45
2016-09-07,203.75,207.7,203,206,3457500,206
2016-09-08,206.5,210.5,204.7,207.75,2817200,207.75
2016-09-09,209.5,215.9,208.5,212.85,4866400,212.85
2016-09-12,209.8,210,201.8,203.7,1937200,203.7
2016-09-13,203.7,203.7,203.7,203.7,0,203.7
2016-09-14,205,214.85,203,213.25,5335000,213.25
2016-09-15,214.8,219.9,213.6,215.5,4719100,215.5
2016-09-16,216,217.95,208.25,213.45,3749800,213.45
2016-09-19,215.2,222.2,214.45,221.35,5757600,221.35
2016-09-20,222.85,223.7,216.05,217.25,5620600,217.25
2016-09-21,216.5,219.5,213.2,215.1,3723700,215.1
2016-09-22,218,218.7,212.8,215.7,2828200,215.7
2016-09-23,216,223,213.9,221,4590700,221
2016-09-26,221,221.75,215.6,216.25,2195400,216.25
2016-09-27,217.6,219.85,214.05,215.25,2597500,215.25
