"Date","DISHTV.NS.Open","DISHTV.NS.High","DISHTV.NS.Low","DISHTV.NS.Close","DISHTV.NS.Volume","DISHTV.NS.Adjusted"
2015-04-09,86.45,86.75,84.05,84.95,2266000,84.95
2015-04-10,83.5,86.05,83.25,85.25,7063100,85.25
2015-04-13,85.8,86.45,85,85.35,4234600,85.35
2015-04-14,85.35,85.35,85.35,85.35,0,85.35
2015-04-15,85.8,86.6,82.8,83.4,3206400,83.4
2015-04-16,83.95,83.95,78.8,80.6,5063400,80.6
2015-04-17,80,81.7,79.1,80,2367900,80
2015-04-20,80.05,80.45,77.55,78.6,2360400,78.6
2015-04-21,78.6,79.15,76.25,76.7,2441300,76.7
2015-04-22,77,77.95,74.3,75.95,4004200,75.95
2015-04-23,76.45,78.9,76.4,77.95,2591400,77.95
2015-04-24,78.75,79.1,74.3,75.2,3295000,75.2
2015-04-27,76.5,76.5,68.55,72.9,5758100,72.9
2015-04-28,72.65,74.95,71.55,74.65,3035400,74.65
2015-04-29,74.85,76.2,73.4,75.85,1909600,75.85
2015-04-30,75.85,76,74.2,75.25,2127900,75.25
2015-05-01,75.25,75.25,75.25,75.25,0,75.25
2015-05-04,75.5,77.15,75.5,76.5,1276400,76.5
2015-05-05,76.8,77,75.1,76.1,1106700,76.1
2015-05-06,76.25,77.2,72,72.6,3088700,72.6
2015-05-07,71.9,73.35,71.2,72.85,2079500,72.85
2015-05-08,73.8,78.2,72.9,77,4027300,77
2015-05-11,77.3,78.3,76.5,77.45,2197800,77.45
2015-05-12,77.8,77.8,74.85,75.9,2908500,75.9
2015-05-13,76.2,78.9,74.45,78.35,2810100,78.35
2015-05-14,77.9,80.25,77.2,79.65,2931500,79.65
2015-05-15,80.2,82.1,79,81.8,3383200,81.8
2015-05-18,82.35,84,81.6,83.35,2757200,83.35
2015-05-19,83.05,84,82.15,82.85,1229400,82.85
2015-05-20,83.4,83.6,81,81.85,1562600,81.85
2015-05-21,82.15,83.4,81.2,82.95,1509400,82.95
2015-05-22,83.2,83.2,81.8,82.1,1574300,82.1
2015-05-25,81.85,85.3,81.8,84.9,3727200,84.9
2015-05-26,85.6,98.3,84,96.85,55093900,96.85
2015-05-27,99.7,100.4,95.4,98.6,33324000,98.6
2015-05-28,98.3,98.7,96.6,97.05,9332600,97.05
