"Date","YESBANK.NS.Open","YESBANK.NS.High","YESBANK.NS.Low","YESBANK.NS.Close","YESBANK.NS.Volume","YESBANK.NS.Adjusted"
2016-04-01,863,865.5,852.4,855.6,2827300,847.26
2016-04-04,855.9,869.9,855,867.95,3239300,859.49
2016-04-05,860,865.1,826.5,829.2,4500100,821.11
2016-04-06,835,842.15,828.25,834.05,3296800,825.92
2016-04-07,838.95,844,831,835.5,1843000,827.35
2016-04-08,837,853.5,833.2,849.4,2366600,841.12
2016-04-11,853,862.45,847.85,859.65,1921900,851.27
2016-04-12,859.8,868.3,853.2,859.3,1772200,850.92
2016-04-13,867.1,875,865.75,870.15,1668700,861.66
2016-04-14,870.15,870.15,870.15,870.15,0,861.66
2016-04-15,870.15,870.15,870.15,870.15,0,861.66
2016-04-18,862,897,861.1,893.55,3898200,884.84
2016-04-19,893.55,893.55,893.55,893.55,0,884.84
2016-04-20,894.7,894.7,877,881.9,3070400,873.3
2016-04-21,888.4,898.25,876.6,881.35,2960900,872.76
2016-04-22,880,887.9,872.65,875.75,1916100,867.21
2016-04-25,877.1,885.5,871.15,878.65,1514000,870.08
2016-04-26,880,914.8,875.6,910.7,3314200,901.82
2016-04-27,915,923,898,915.5,10208900,906.57
2016-04-28,916.35,951.7,916,945.55,13347100,936.33
2016-04-29,948,952.45,928.7,942.95,4306900,933.76
2016-05-02,947.9,957.6,941.5,944.95,3986700,935.74
2016-05-03,946.5,951.8,928,931.2,2922600,922.12
2016-05-04,931,933.9,914.4,917.6,4814100,908.65
2016-05-05,919,933.2,905.65,912.15,6760700,903.26
2016-05-06,909,919.9,905.9,910.2,2383900,901.32
2016-05-09,914.8,948,913.4,946.2,4620700,936.97
2016-05-10,949,952.9,938.1,949.75,3243000,940.49
2016-05-11,936.25,962.4,928,956.35,4583200,947.02
2016-05-12,956,967.4,950.1,955.05,2639100,945.74
2016-05-13,956.05,960.9,944.1,950.55,3165100,941.28
2016-05-16,952.95,987.1,945.2,980.3,5211400,970.74
2016-05-17,988.7,999.85,967.7,969.95,6444700,960.49
2016-05-18,966.4,977.65,962.85,971.25,2938200,961.78
2016-05-19,971.7,987,964.5,966.9,3088800,957.47
2016-05-20,974.9,981.5,964.5,977.7,2674800,968.17
2016-05-23,982.75,985,974.5,978.1,2260200,968.56
2016-05-24,975.05,985.55,971.15,977,2165600,967.47
2016-05-25,985,999.2,985,996,2426500,986.29
2016-05-26,1000,1026,997.1,1021.05,3303600,1011.09
2016-05-27,1025,1041.8,1018,1025.5,3698200,1015.5
2016-05-30,1024.4,1034.85,1021.3,1026.95,2923700,1026.95
2016-05-31,1027,1046,1019.9,1033,11491700,1033
2016-06-01,1031.5,1033.9,1005.55,1017.9,2442700,1017.9
2016-06-02,1014.25,1052.5,1011.65,1049.05,2982400,1049.05
2016-06-03,1055,1059.8,1042.1,1049.4,3032400,1049.4
2016-06-06,1050,1069,1044.55,1064.7,3259600,1064.7
2016-06-07,1072.5,1085.35,1062.1,1066.2,6520600,1066.2
2016-06-08,1065.5,1066.1,1044.9,1053.8,2932500,1053.8
2016-06-09,1053.8,1059.7,1036.65,1040.05,2659600,1040.05
2016-06-10,1042.6,1068.4,1040.6,1063.3,3495300,1063.3
2016-06-13,1057.95,1071.75,1052.4,1065.15,2697600,1065.15
2016-06-14,1065.1,1071.7,1057.55,1064.6,1545700,1064.6
2016-06-15,1068.55,1073.45,1057.1,1070.9,1819100,1070.9
2016-06-16,1066,1067.35,1047.45,1060.55,2264500,1060.55
2016-06-17,1065,1075,1060,1070.85,2108300,1070.85
2016-06-20,1057.95,1079,1055.35,1075.25,1506600,1075.25
2016-06-21,1078.05,1080,1066.35,1071.4,1517700,1071.4
2016-06-22,1075,1081.6,1066.8,1078.85,2021000,1078.85
2016-06-23,1076.3,1115,1076.3,1110.8,3861700,1110.8
2016-06-24,1062.25,1086.45,1042,1080.5,5361000,1080.5
2016-06-27,1070.45,1089.9,1069.95,1075.75,2890500,1075.75
2016-06-28,1082.9,1082.9,1062.45,1069.9,2458200,1069.9
2016-06-29,1075,1083.8,1070,1072.7,2326100,1072.7
2016-06-30,1081.9,1110,1074.5,1107.1,3247400,1107.1
2016-07-01,1112.65,1134,1106.55,1129.7,2537400,1129.7
2016-07-04,1135,1140,1115,1117.6,2033400,1117.6
2016-07-05,1118.9,1132,1113,1126.4,1563500,1126.4
2016-07-06,1126.4,1126.4,1126.4,1126.4,0,1126.4
2016-07-07,1130,1130,1110,1112.1,1621700,1112.1
2016-07-08,1111.25,1124,1106.6,1120.25,1131300,1120.25
2016-07-11,1132,1148.9,1131.1,1143.5,1875300,1143.5
2016-07-12,1142,1155.95,1138.1,1153.65,1629300,1153.65
2016-07-13,1152.7,1153.25,1138,1146.7,1782800,1146.7
2016-07-14,1148,1173.9,1145.4,1171.45,1923900,1171.45
2016-07-15,1172,1186.2,1160.55,1179.2,1877900,1179.2
2016-07-18,1175.1,1184.45,1170.3,1174.5,1136900,1174.5
2016-07-19,1170,1170.95,1143.5,1153.35,2048400,1153.35
2016-07-20,1155.5,1168.75,1148.1,1162.8,1459100,1162.8
2016-07-21,1162,1170,1150.4,1154.65,1033000,1154.65
2016-07-22,1155,1166.35,1149.3,1156.7,1828600,1156.7
2016-07-25,1150.05,1189.35,1147.75,1182.75,2040400,1182.75
2016-07-26,1183,1211.1,1177.15,1200.15,2434300,1200.15
2016-07-27,1205.9,1214.5,1176.1,1200.45,8034400,1200.45
2016-07-28,1206.95,1227.85,1202.65,1223.5,3509200,1223.5
2016-07-29,1225,1236,1209,1216.95,2487200,1216.95
2016-08-01,1224,1235,1203.55,1221.4,1678500,1221.4
2016-08-02,1226,1244.5,1222.85,1228.4,1891000,1228.4
2016-08-03,1233,1244.9,1217.65,1235.55,2806900,1235.55
2016-08-04,1240.5,1245.3,1220.05,1231.55,1843800,1231.55
2016-08-05,1239.8,1263,1234.5,1258.45,2136200,1258.45
2016-08-08,1268.15,1270,1255.2,1265.25,1297200,1265.25
2016-08-09,1265.15,1265.85,1251,1259.85,1739900,1259.85
2016-08-10,1264,1271.85,1247.6,1267.4,2459700,1267.4
2016-08-11,1265,1265,1236.1,1252.5,3542300,1252.5
2016-08-12,1254,1294,1253,1290.7,3488800,1290.7
2016-08-15,1290.7,1290.7,1290.7,1290.7,0,1290.7
2016-08-16,1298.95,1314.95,1289.9,1294.95,2818800,1294.95
2016-08-17,1301,1309.9,1285.3,1308.35,1639300,1308.35
2016-08-18,1310.2,1324.75,1308,1320.65,1852100,1320.65
2016-08-19,1321,1339,1316,1335.95,1664200,1335.95
2016-08-22,1335,1349.25,1332.7,1343.3,2159500,1343.3
2016-08-23,1343.2,1351.35,1335.5,1341.25,2124400,1341.25
2016-08-24,1341.25,1342.85,1330.05,1337.85,1851100,1337.85
2016-08-25,1339.3,1349.6,1337,1343.55,3671700,1343.55
2016-08-26,1346.6,1347,1319.05,1326.5,2314200,1326.5
2016-08-29,1324.7,1343,1317,1338.65,2987100,1338.65
2016-08-30,1343,1374.75,1340.2,1355.2,3270500,1355.2
2016-08-31,1360,1382.3,1342,1366.1,23168900,1366.1
2016-09-01,1369.7,1376.65,1360.15,1364.85,2015600,1364.85
2016-09-02,1365,1394.25,1362.3,1388.35,2073600,1388.35
2016-09-05,1388.35,1388.35,1388.35,1388.35,0,1388.35
2016-09-06,1389.95,1449,1389.95,1440.8,3144900,1440.8
2016-09-07,1447.7,1447.7,1390.05,1401.55,5120000,1401.55
2016-09-08,1387.15,1390,1321.25,1328.25,7127300,1328.25
2016-09-09,1250.05,1315,1246.95,1276.25,15748500,1276.25
2016-09-12,1249,1249,1197,1205.1,8790800,1205.1
2016-09-13,1205.1,1205.1,1205.1,1205.1,0,1205.1
2016-09-14,1203.1,1256.95,1203.1,1253.5,6382200,1253.5
2016-09-15,1240,1240,1206.2,1221.8,4831900,1221.8
2016-09-16,1232,1239.35,1158.9,1169.8,10291700,1169.8
2016-09-19,1166,1193.75,1155.8,1177.35,7352700,1177.35
2016-09-20,1189.1,1213.45,1171.3,1207.05,4774300,1207.05
2016-09-21,1209.1,1227.8,1209.1,1220.25,3740600,1220.25
2016-09-22,1245,1259,1230.9,1246.55,4631400,1246.55
2016-09-23,1245,1248.9,1228.05,1233.15,2034000,1233.15
