"Date","GRANULES.NS.Open","GRANULES.NS.High","GRANULES.NS.Low","GRANULES.NS.Close","GRANULES.NS.Volume","GRANULES.NS.Adjusted"
2016-06-24,135,136,130.45,135.3,1420000,134.406
2016-06-27,136.45,138.35,134.3,137.1,1075900,136.194
2016-06-28,137,137.9,135.7,136.6,1218200,135.697
2016-06-29,136.7,138.9,136.7,137.75,693200,136.84
2016-06-30,138.4,139.45,137.7,138.15,1059400,137.237
2016-07-01,138.15,142,138.15,140.95,1017900,140.018
2016-07-04,141.2,143.25,141.2,142.9,833300,141.956
2016-07-05,142.9,145.35,142,143.8,1015900,142.85
2016-07-06,143.8,143.8,143.8,143.8,0,142.85
2016-07-07,144.3,145.2,142.85,143.5,658200,142.552
2016-07-08,143.95,144.65,141.1,142.35,560300,141.409
2016-07-11,143.1,148.3,143.1,147.55,1613200,146.575
2016-07-12,148.75,149.2,147.1,147.75,1020800,146.774
2016-07-13,147.3,147.5,144.55,145.55,600300,144.588
2016-07-14,145.6,151,145,148.9,1830000,147.916
2016-07-15,149.75,149.9,145.85,146.45,690800,145.482
2016-07-18,146.55,147.65,144,144.9,713800,143.942
2016-07-19,143.5,144.95,142.1,143.4,1100600,142.452
2016-07-20,143,147.95,143,147.25,1295400,146.277
2016-07-21,147,147.7,143.1,143.45,1112400,142.502
2016-07-22,143.1,145.35,142.35,143.85,1081000,142.899
2016-07-25,143.7,144.5,142.1,142.9,1206300,141.956
2016-07-26,143,143.85,139,139.95,955400,139.025
2016-07-27,139.95,140.85,136.5,139.6,715600,138.677
2016-07-28,139.5,142.75,138.75,141.8,1338200,140.863
2016-07-29,142.9,144.4,142,142.45,709600,141.509
2016-08-01,142.9,144.05,139.4,141.8,1139000,140.863
2016-08-02,142.05,142.8,139.85,141.55,770900,140.614
2016-08-03,141.9,142.35,139.35,140,681600,139.272
2016-08-04,141.3,141.6,138.7,140.1,403800,139.371
2016-08-05,140.4,142.3,138.7,139.75,1057700,139.023
2016-08-08,140.25,144.1,137.3,143.55,1542200,142.803
2016-08-09,144.3,144.45,140.6,140.95,888300,140.217
2016-08-10,141.5,142.25,138.55,139.45,772100,138.724
2016-08-11,140.55,142.25,131.5,134.5,3589500,133.8
2016-08-12,135.3,135.95,133.85,134.25,932100,133.551
2016-08-15,134.25,134.25,134.25,134.25,0,133.551
2016-08-16,135.5,136.85,132.1,133.6,989100,132.905
2016-08-17,133.9,134.4,131.35,132.25,921100,131.562
2016-08-18,132.6,133.65,131.55,132.6,995000,131.91
2016-08-19,134,134.4,131.9,132.15,809600,131.462
2016-08-22,133,133.2,128.05,129.1,1132300,128.428
2016-08-23,128,128,125.25,126.6,1141300,126.137
2016-08-24,126.7,131.4,126.5,130.5,1885300,130.022
2016-08-25,131.35,131.9,127.85,128.8,2139100,128.329
2016-08-26,129.4,129.8,127,127.65,903700,127.183
2016-08-29,127.7,129,125.6,126.55,1106200,126.087
2016-08-30,126.3,128.35,124.3,127.1,1757600,126.635
2016-08-31,127.9,129.95,125.9,129,1587400,128.528
2016-09-01,129.55,129.85,126,126.8,1052500,126.336
2016-09-02,127.8,127.8,125.4,125.95,993400,125.489
2016-09-05,125.95,125.95,125.95,125.95,0,125.489
2016-09-06,126.1,127.35,124.5,124.85,1225100,124.393
2016-09-07,125.45,125.65,121.1,122.9,2009500,122.45
2016-09-08,123.45,127.5,122.4,126.9,1531500,126.436
2016-09-09,127.3,128.1,124.3,125.35,2419200,124.891
2016-09-12,122.8,123.15,116.5,117.2,2514300,116.771
2016-09-13,117.2,117.2,117.2,117.2,0,116.771
2016-09-14,117,118.4,114.2,115.95,2158200,115.526
2016-09-15,116.1,119.2,116.1,117.45,1543600,117.02
2016-09-16,118.55,120.2,117,118.15,1425900,117.718
2016-09-19,118.1,120.3,117.15,119.8,1099000,119.362
2016-09-20,119.6,123.3,119.15,121.4,1499200,120.956
2016-09-21,124.2,124.2,120.5,121.15,1072800,120.707
2016-09-22,122.35,122.8,121.2,122.15,586800,121.703
2016-09-23,122.45,122.45,121,121.35,490800,120.906
2016-09-26,121,122.7,120.2,121.25,805400,120.806
2016-09-27,121.7,123.6,121.15,122.6,940800,122.151
2016-09-28,122.15,124.6,122.15,122.8,1432500,122.351
2016-09-29,123.2,123.8,111,113.25,2666400,112.836
2016-09-30,112.6,117.8,110,116.3,1989100,115.874
2016-10-03,117.4,120.45,117.05,119.9,1245600,119.461
2016-10-04,119.5,120.65,119,119.7,712200,119.262
2016-10-05,121.45,123.05,121.05,122.05,1126300,121.603
2016-10-06,122.6,123,119.5,120.35,822100,119.91
2016-10-07,121.15,121.75,118.55,119.1,531900,118.664
2016-10-10,119.5,122.2,118.25,120.3,1045700,119.86
2016-10-11,120.3,120.3,120.3,120.3,0,119.86
