"Date","MARUTI.NS.Open","MARUTI.NS.High","MARUTI.NS.Low","MARUTI.NS.Close","MARUTI.NS.Volume","MARUTI.NS.Adjusted"
2016-01-01,4621,4668,4602.35,4638.5,243500,4606.46
2016-01-04,4635,4657,4571.75,4580.65,405500,4549.01
2016-01-05,4599.95,4600.75,4557.25,4566.95,509200,4535.41
2016-01-06,4592,4593,4468,4480.8,593700,4449.85
2016-01-07,4449.7,4449.7,4251.85,4267.9,1200000,4238.42
2016-01-08,4286.3,4325,4195.8,4214.75,994600,4185.64
2016-01-11,4190,4300,4117,4272.4,865700,4242.89
2016-01-12,4310,4324.8,4260,4269,481100,4239.52
2016-01-13,4298,4310,4221.35,4291.25,431200,4261.61
2016-01-14,4239,4289,4212.7,4248.25,402000,4218.91
2016-01-15,4265,4340,4254,4273.35,592100,4243.84
2016-01-18,4279,4289.25,4172.85,4236.2,396100,4206.94
2016-01-19,4241,4244.95,4165,4198.15,499000,4169.16
2016-01-20,4169.85,4189.95,4028.5,4058.95,679900,4030.92
2016-01-21,4084.95,4084.95,3870,3891.7,1212800,3864.82
2016-01-22,3942.95,4119.9,3930.15,4104.95,1063400,4076.6
2016-01-25,4125.95,4172,4073.9,4081.35,608600,4053.16
2016-01-26,4081.35,4081.35,4081.35,4081.35,0,4053.16
2016-01-27,4131,4179,4092,4111.95,886500,4083.55
2016-01-28,4080,4139.9,4031,4103.3,1677300,4074.96
2016-01-29,3925,4124,3923,4095.85,2147200,4067.56
2016-02-01,4100.9,4119,3933.65,3948.25,1904000,3920.98
2016-02-02,3952.6,3985,3851.55,3874.95,902600,3848.19
2016-02-03,3870,3870,3784.65,3828.35,1101300,3801.91
2016-02-04,3864,3881.9,3774,3794.65,597800,3768.44
2016-02-05,3784.7,3790,3693.3,3723.4,1245800,3697.68
2016-02-08,3749,3789,3715.05,3732.55,559500,3706.77
2016-02-09,3685,3689,3620,3657.1,657000,3631.84
2016-02-10,3639.85,3718,3600,3678.55,795300,3653.14
2016-02-11,3651.1,3664.3,3518.5,3541.45,1066200,3516.99
2016-02-12,3570,3588,3461,3549.65,1211600,3525.13
2016-02-15,3605.95,3724.9,3604.4,3711.25,1182200,3685.62
2016-02-16,3725.25,3748.95,3651.2,3705.2,753800,3679.61
2016-02-17,3679.9,3755,3661.5,3749.15,652000,3723.26
2016-02-18,3781.25,3796.85,3622.1,3653.25,1243800,3628.02
2016-02-19,3640,3640,3559,3579.15,718600,3554.43
2016-02-22,3539,3545,3491.55,3520.8,1291400,3496.48
2016-02-23,3530,3568.45,3480,3487.4,796800,3463.31
2016-02-24,3499.95,3530,3480,3489.7,605900,3465.6
2016-02-25,3509.65,3510,3401,3414.15,840500,3390.57
2016-02-26,3452,3459.1,3375.1,3409.2,831400,3385.65
2016-02-29,3425,3434.95,3193.25,3236.5,2218300,3214.15
2016-03-01,3200.9,3510,3200.9,3494.4,1924800,3470.27
2016-03-02,3542.95,3627.7,3540.05,3612.65,1236900,3587.7
2016-03-03,3625.8,3647,3578,3608.65,742200,3583.73
2016-03-04,3619,3619,3526,3555.1,610200,3530.55
2016-03-07,3555.1,3555.1,3555.1,3555.1,0,3530.55
2016-03-08,3552.95,3598.95,3450.6,3462.65,1100000,3438.73
2016-03-09,3454.85,3600,3441.1,3576.4,752900,3551.7
2016-03-10,3600,3634.7,3573.4,3627.2,1016500,3602.15
2016-03-11,3633.7,3690,3616.05,3641.2,1002500,3616.05
2016-03-14,3660,3684,3627.05,3648.15,483200,3622.95
2016-03-15,3670,3679.9,3615.5,3654.55,688800,3629.31
2016-03-16,3650,3675,3637.5,3667.35,459100,3642.02
2016-03-17,3686.35,3750,3620,3635.45,710400,3610.34
2016-03-18,3640,3649.7,3557.05,3621.4,1073700,3596.39
2016-03-21,3630.1,3678.8,3605,3669.55,474700,3644.21
2016-03-22,3669,3735.95,3652,3699.55,713100,3674
2016-03-23,3711.85,3744,3666.45,3736,586200,3710.2
2016-03-24,3736,3736,3736,3736,0,3710.2
2016-03-25,3736,3736,3736,3736,0,3710.2
2016-03-28,3759,3777.8,3629.95,3638.95,743400,3613.82
