"Date","CUMMINSIND.NS.Open","CUMMINSIND.NS.High","CUMMINSIND.NS.Low","CUMMINSIND.NS.Close","CUMMINSIND.NS.Volume","CUMMINSIND.NS.Adjusted"
2016-09-23,910.05,911,891.6,896.45,256800,891.5035
2016-09-26,900,906.3,891.2,893.15,229000,888.2218
2016-09-27,894.05,909,892.35,903.3,292400,898.3157
2016-09-28,903.3,910.25,895.3,902.75,142000,897.7688
2016-09-29,902.8,909,875.1,887.85,581500,882.951
2016-09-30,886,915.95,886,905.5,176900,900.5036
2016-10-03,901,931.7,900.6,928.65,263400,923.5259
2016-10-04,928.7,935.4,917.6,929.3,162100,924.1723
2016-10-05,929,940,922.9,934.65,117200,929.4928
2016-10-06,934.65,934.65,913.05,916.65,121900,911.5921
2016-10-07,916.65,919.3,908.35,910.45,42400,905.4263
2016-10-10,910.5,916.9,895,900.8,263900,895.8295
2016-10-11,900.8,900.8,900.8,900.8,0,895.8295
2016-10-12,900.8,900.8,900.8,900.8,0,895.8295
2016-10-13,903.9,903.9,873.7,875.4,121400,870.5697
2016-10-14,879.8,881.75,866.1,869.7,108500,864.9011
2016-10-17,869.9,882.8,845.6,852.2,465200,847.4977
2016-10-18,854.55,875.45,848.6,860.1,361200,855.3541
2016-10-19,864.4,868.35,837.45,844.7,288700,840.0391
2016-10-20,849.7,863.8,841.6,859.8,190600,855.0557
2016-10-21,861.25,866.3,843.3,851.75,181700,847.0502
2016-10-24,862,862,849.6,851.2,199900,846.5032
2016-10-25,854,874.7,849.75,867.2,184500,862.4149
2016-10-26,867.35,901.05,865.2,877.05,358700,872.2106
2016-10-27,895,895,836.55,850,974600,845.3098
2016-10-28,855.25,861.85,846.45,849.05,199600,844.3651
2016-10-31,849.05,849.05,849.05,849.05,0,844.3651
2016-11-01,865,865,848,852.75,354200,848.0447
2016-11-02,852.75,857.85,832.05,841.25,253600,836.6081
2016-11-03,838.55,848.45,837.3,839.55,336000,834.9175
2016-11-04,841,847.25,825,828.4,161800,823.829
2016-11-07,833.9,842.95,828.1,838.7,178800,834.0722
2016-11-08,842.5,848.7,837.5,841.25,116600,836.6081
2016-11-09,819,832,757.2,821.65,225500,817.1163
2016-11-10,820.2,843,820.2,825.05,249000,820.4975
2016-11-11,822.85,825.05,800.1,805.05,221100,800.6079
2016-11-14,805.05,805.05,805.05,805.05,0,800.6079
2016-11-15,807,807.4,765,786.4,418700,782.0608
2016-11-16,809,809,779,800.35,134400,795.9338
2016-11-17,793,806.8,765,778.9,184500,774.6022
2016-11-18,782.25,803,775,790.5,144000,786.1381
2016-11-21,790,790,760,762.5,201100,758.2926
2016-11-22,768,778,756.95,772.2,247500,767.9391
2016-11-23,772.25,781.75,747.55,762.95,240700,758.7402
2016-11-24,750,789.8,750,776.1,208700,771.8176
2016-11-25,776,782.25,766.05,776.7,111000,772.4143
2016-11-28,776.75,779.8,760.65,764.85,211000,760.6297
2016-11-29,764.9,783.95,759,776,99900,771.7182
2016-11-30,776.05,792,775.5,788.85,121200,784.4972
2016-12-01,788,798.65,771.1,772.85,178300,768.5855
2016-12-02,772,775.05,751.5,756.15,190900,751.9777
2016-12-05,755,776,751,774,80800,769.7292
2016-12-06,772,782.7,760,777.8,333300,773.5082
2016-12-07,783.9,783.9,764.9,769,114500,764.7568
2016-12-08,771.6,798.5,765.3,794.5,100700,790.1161
2016-12-09,792.65,808.05,785,794.3,110900,789.9172
2016-12-12,804,804,771.45,774.9,141800,770.6242
2016-12-13,773.15,788.4,768.15,779.45,158100,775.1491
2016-12-14,783.95,788.05,774.45,784.75,51900,780.4199
2016-12-15,783.75,807.8,777,802.8,155500,798.3703
2016-12-16,802.8,831,802.8,817.95,490600,813.4367
2016-12-19,808.15,817,800.35,806.05,103800,801.6023
2016-12-20,807.2,814.5,799.2,804.4,66900,799.9615
2016-12-21,805,810.45,800.25,806.95,71900,802.4974
2016-12-22,806.95,809.2,795,801.45,238700,797.0277
2016-12-23,809,809,782.85,797.75,185700,793.3481
2016-12-26,797,803.4,783,792.35,72400,787.9779
2016-12-27,793,804,780,798.25,64300,793.8454
2016-12-28,800,814.5,797,812.05,141100,807.5692
2016-12-29,812.4,819,805.05,808.75,110400,804.2874
2016-12-30,806.25,823,805.7,818.75,107900,814.2323
2017-01-02,826.75,828.7,815.55,826.15,74700,821.5915
2017-01-03,825.15,857.95,825.15,842.9,196200,838.249
2017-01-04,845.05,853.95,803.45,808.35,287500,803.8896
2017-01-05,813.9,819.25,807.1,814.85,101200,810.3538
2017-01-06,816.75,821.5,806.1,808.5,105300,804.0388
2017-01-09,809,813.3,794.1,805.25,162900,800.8068
2017-01-10,806.2,832,803.9,828.15,210700,823.5804
2017-01-11,820.55,845,816.45,840.6,228800,835.9617
2017-01-12,840,849,832.7,847.1,122800,842.4258
2017-01-13,849.1,854.95,832.5,852.5,149600,847.796
2017-01-16,852.5,858.75,841.55,847.8,105700,843.122
2017-01-17,848.75,850.45,836,840,129200,835.365
2017-01-18,840,845,830,833.2,135600,828.6025
2017-01-19,832,838,826.2,832.1,101000,827.5086
2017-01-20,833.1,833.1,823,826.5,163000,821.9395
2017-01-23,818.3,839.9,818.3,837.8,111800,833.1771
2017-01-24,832.1,846.05,832.1,839.65,95200,835.017
2017-01-25,843.15,851,832.1,838,242600,833.376
2017-01-26,838,838,838,838,0,833.376
2017-01-27,838,852,832.2,847.15,134200,842.4756
2017-01-30,847.15,860,839.7,850.25,355000,845.5585
2017-01-31,850.25,850.65,836.4,838.95,103000,834.3208
2017-02-01,840,853,825.5,850.2,149400,845.5087
2017-02-02,882,918.8,882,902.8,1914400,897.8185
2017-02-03,901,906.65,885,891.7,436500,886.7798
2017-02-06,894,921,893.95,913.95,620000,908.907
2017-02-07,915,916.25,900,904.05,256500,899.0616
2017-02-08,904,912.8,900,906.15,187100,901.15
2017-02-09,906.15,912.45,897,906,167900,906
2017-02-10,915,915,885,892.3,133400,892.3
2017-02-13,901.4,901.4,872,873.85,147800,873.85
2017-02-14,871.05,894,863.15,885.55,243100,885.55
2017-02-15,886,892,876.25,884.05,147000,884.05
2017-02-16,882.9,894,880.3,891.2,97600,891.2
2017-02-17,885.25,897.2,882.15,888.75,94700,888.75
2017-02-20,888.05,894.3,882.6,888.35,208100,888.35
2017-02-21,894.2,917.3,876.05,904.6,307000,904.6
2017-02-22,904,904,886.5,891.2,163500,891.2
2017-02-23,890,894.95,878,882.25,283500,882.25
2017-02-24,882.25,882.25,882.25,882.25,0,882.25
2017-02-27,890.9,895.8,884.1,892.05,174100,892.05
2017-02-28,892.05,899.9,881.1,887.9,284300,887.9
2017-03-01,891.35,892.85,878.35,881.4,179200,881.4
2017-03-02,885,888.85,867,875.75,135100,875.75
2017-03-03,872.25,883,872.25,878.5,84000,878.5
2017-03-06,878.5,882.9,870.1,871.75,113300,871.75
2017-03-07,872.75,877.4,861.6,864,114900,864
2017-03-08,868,872.7,859.55,862.35,288700,862.35
2017-03-09,862.2,865.35,855,859.45,161000,859.45
2017-03-10,855,860.05,851.5,855.5,239300,855.5
2017-03-13,855.5,855.5,855.5,855.5,0,855.5
2017-03-14,861,867.95,840,847.1,400500,847.1
2017-03-15,847.1,874.1,847.1,872.15,886400,872.15
2017-03-16,874.9,889.85,873.9,886.95,636600,886.95
2017-03-17,878.55,901,878.55,894.1,610100,894.1
2017-03-20,894.1,915.05,894.1,906.85,427100,906.85
2017-03-21,909.45,913.95,892,899.75,276800,899.75
2017-03-22,895,908,882.6,902.65,155800,902.65
2017-03-23,904,913.45,902.1,908.25,170100,908.25
2017-03-24,910,929.9,910,924.25,455400,924.25
2017-03-27,939,942.65,921,927.2,316100,927.2
2017-03-28,928.9,944.05,923.45,937.15,362100,937.15
2017-03-29,938.15,950.9,928.25,932.95,188600,932.95
2017-03-30,934.25,944.6,934.2,940.4,146000,940.4
2017-03-31,941.9,959.7,940.6,949.45,295000,949.45
2017-04-03,950.35,964.35,940.2,961.55,142300,961.55
2017-04-04,961.55,961.55,961.55,961.55,0,961.55
2017-04-05,964,972.95,952.6,968.75,198200,968.75
2017-04-06,965,973.05,955,959.2,105300,959.2
2017-04-07,961,978.8,956.8,966.85,377300,966.85
2017-04-10,961.5,987.8,960.25,979.25,343100,979.25
2017-04-11,985,985,974,980.95,215700,980.95
2017-04-12,976,991.2,963.6,986.25,285200,986.25
2017-04-13,981.05,1003,965,978.35,342900,978.35
2017-04-14,978.35,978.35,978.35,978.35,0,978.35
2017-04-17,976,976,957,959.2,91000,959.2
2017-04-18,960.2,972,933.95,938.35,179700,938.35
2017-04-19,939.4,956.95,937.7,948.95,131100,948.95
2017-04-20,947,952.95,940.1,944.15,121300,944.15
2017-04-21,945.7,979.8,945.55,969.15,234100,969.15
