"Date","CUMMINSIND.NS.Open","CUMMINSIND.NS.High","CUMMINSIND.NS.Low","CUMMINSIND.NS.Close","CUMMINSIND.NS.Volume","CUMMINSIND.NS.Adjusted"
2015-02-16,907,909,895,899.15,120600,872.4308
2015-02-17,899.15,899.15,899.15,899.15,0,872.4308
2015-02-18,902,915.05,898.05,908.3,81000,881.3089
2015-02-19,906,915,898,909,269900,881.9881
2015-02-20,911.95,919,904,907.05,65800,880.096
2015-02-23,907.15,913.9,895.25,899.05,204700,872.3338
2015-02-24,902,910,894.9,899.95,629100,873.207
2015-02-25,901.2,907,892,895.2,186400,868.5982
2015-02-26,898,898,874.4,876.2,303500,850.1628
2015-02-27,879,894.85,873.3,889.7,328900,863.2616
2015-03-02,893,922,892,913.75,414500,886.5969
2015-03-03,915,927,908.4,914.2,422600,887.0336
2015-03-04,912.1,924.45,912,919.75,242500,892.4186
2015-03-05,920,920.95,902.65,907.1,107500,880.1445
2015-03-06,907.1,907.1,907.1,907.1,0,880.1445
2015-03-09,910,911.85,895,897.35,211200,870.6843
2015-03-10,901,907.5,895.25,897.2,242900,870.5387
2015-03-11,899,902.3,878,883.8,66500,857.5369
2015-03-12,884.95,915,884.85,908.4,267400,881.4059
2015-03-13,911,913.5,875,881.25,647200,855.0627
2015-03-16,883.8,900,874.3,880.15,98300,853.9954
2015-03-17,885,889,871,879.8,129200,853.6558
2015-03-18,880,885,860.55,863.95,142500,838.2768
2015-03-19,869,883.25,869,871.8,587800,845.8935
2015-03-20,872,880,865,875.05,145200,849.0469
2015-03-23,879,879,866.25,869.65,661800,843.8074
2015-03-24,871,878.4,841.5,856.85,167600,831.3878
2015-03-25,865.15,870,852,865.6,100400,839.8777
2015-03-26,863.7,870.05,829.15,834,1192200,809.2168
2015-03-27,847,868.75,838.1,857.45,111600,831.97
2015-03-30,855,872.5,850,860.35,260300,834.7838
2015-03-31,868,888,857.15,880.65,127600,854.4806
2015-04-01,879,900.95,874.75,889.9,358600,863.4557
2015-04-02,889.9,889.9,889.9,889.9,0,863.4557
2015-04-03,889.9,889.9,889.9,889.9,0,863.4557
2015-04-06,899,899,867.8,871.45,78600,845.5539
2015-04-07,877,878,864,871.95,225500,846.0391
2015-04-08,879.8,898,873.65,887.85,237000,861.4666
2015-04-09,894,894,870.1,873,156900,847.0579
2015-04-10,881.95,888,870,879.7,178400,853.5588
2015-04-13,885,887.25,873.5,876.85,219300,850.7934
2015-04-14,876.85,876.85,876.85,876.85,0,850.7934
2015-04-15,876,881.9,870,874.45,82900,848.4648
2015-04-16,878,878,865.5,869.85,828100,844.0014
2015-04-17,870,872.4,865,867.8,104200,842.0124
2015-04-20,869,869,845,850.25,68000,824.9839
