"Date","CONCOR.NS.Open","CONCOR.NS.High","CONCOR.NS.Low","CONCOR.NS.Close","CONCOR.NS.Volume","CONCOR.NS.Adjusted"
2016-05-02,1345,1378.9999,1332.3,1369.7,160700,1069.0737
2016-05-03,1370,1398,1365,1379.65,275500,1076.8398
2016-05-04,1373.9,1408,1369.55,1379.5,245600,1076.7227
2016-05-05,1378.9999,1381.0001,1338,1348.75,468700,1052.7219
2016-05-06,1345.8,1357.8,1324.95,1329.4,268700,1037.6189
2016-05-09,1343.5001,1372.8,1321.05,1325.7001,174700,1034.731
2016-05-10,1328.9999,1340,1296.0001,1300.05,150100,1014.7107
2016-05-11,1290,1318,1281.9,1301.25,84600,1015.6473
2016-05-12,1301.3,1348,1301.3,1338.5001,170400,1044.7216
2016-05-13,1336.0001,1361.9,1333,1342.1001,146500,1047.5315
2016-05-16,1358.9999,1375.95,1330.7001,1370.05,120000,1069.3469
2016-05-17,1376.0001,1384.95,1365.3,1371.7999,71100,1070.7127
2016-05-18,1369.5,1373.9999,1355,1364.8,62200,1065.2491
2016-05-19,1374.8,1385,1350.0999,1357.1001,89300,1059.2392
2016-05-20,1356.9,1374.9001,1330,1336.4,66900,1043.0825
2016-05-23,1337.8999,1395.3,1337.8999,1371.55,248500,1070.5176
2016-05-24,1382.8999,1393.9999,1353,1382.35,287900,1078.9472
2016-05-25,1392,1397.8999,1368.95,1388.75,196700,1083.9425
2016-05-26,1352,1378.75,1340,1362.1001,377300,1063.1418
2016-05-27,1366.75,1387,1350.3,1380.2499,263100,1077.3081
2016-05-30,1385.05,1448,1385.05,1436.55,402400,1121.2512
2016-05-31,1445,1464.95,1420,1439.05,636100,1123.2025
2016-06-01,1438.9999,1443,1402,1408.25,89000,1099.1626
2016-06-02,1418.3501,1418.3501,1380.2,1386.2,126700,1081.9522
2016-06-03,1400,1400,1351.0001,1352.3,130600,1055.4927
2016-06-06,1363.7,1363.7,1327.5999,1332.45,155900,1039.9994
2016-06-07,1343.8,1355,1338.9,1349.65,140500,1053.4243
2016-06-08,1363.75,1373.9999,1351.05,1363.45,313900,1064.1955
2016-06-09,1366.0001,1378,1351.25,1357,155600,1059.1611
2016-06-10,1360,1373.55,1353,1356.0001,91400,1058.3807
2016-06-13,1343.9999,1370.7001,1343.9,1359.55,102500,1061.1515
2016-06-14,1368,1375,1323,1339.9001,91100,1045.8143
2016-06-15,1345,1358.45,1336.05,1349.5,137600,1053.3072
2016-06-16,1350,1355,1339.05,1346.3,98800,1050.8096
2016-06-17,1349.9001,1355,1320,1324.65,140700,1033.9114
2016-06-20,1314.65,1367.95,1314.65,1340.75,226700,1046.4777
2016-06-21,1342.2,1372,1326.2,1331.55,250700,1039.297
2016-06-22,1318.2001,1349.9001,1318.2001,1335.6,163300,1042.458
2016-06-23,1344.25,1365,1320.2499,1351.7999,182400,1055.1024
2016-06-24,1339.7501,1370.95,1320.7001,1359.05,143700,1060.7612
2016-06-27,1359.05,1387.5,1347.5999,1355.3,218000,1057.8342
2016-06-28,1357,1392.2501,1357,1381.25,153100,1078.0887
2016-06-29,1385.0999,1456.05,1378.5001,1451.1,277800,1132.6077
2016-06-30,1453.4,1469.9001,1419.55,1430.5499,385200,1116.5681
2016-07-01,1427,1478.9999,1420.5499,1459.35,255900,1139.047
2016-07-04,1461.7,1470,1448.7,1451.6499,119000,1133.037
2016-07-05,1451.6499,1478,1445.15,1464.5,172000,1143.0666
2016-07-06,1464.5,1464.5,1464.5,1464.5,0,1143.0666
2016-07-07,1466.1,1489.25,1460.0999,1465.95,256900,1144.1984
