"Date","AUROPHARMA.NS.Open","AUROPHARMA.NS.High","AUROPHARMA.NS.Low","AUROPHARMA.NS.Close","AUROPHARMA.NS.Volume","AUROPHARMA.NS.Adjusted"
2015-01-01,1139.4,1139.4,1123.2,1127.1,444700,557.8617
2015-01-02,1125,1135.8,1124,1132.5,608100,560.5344
2015-01-05,1132.1,1139.3,1116.95,1131.95,1056100,560.2622
2015-01-06,1123,1127.35,1080,1087.8,1383900,538.4101
2015-01-07,1103.5,1118.95,1097.1,1105.05,1366900,546.948
2015-01-08,1112,1130,1109,1126.7,1840300,557.6637
2015-01-09,1136,1179.9,1127,1169.55,2347000,578.8725
2015-01-12,1179.85,1188,1167,1177.6,1429500,582.8568
2015-01-13,1177.75,1185,1145.9,1150.35,980000,569.3694
2015-01-14,1157.3,1163.7,1136.3,1144.5,1759800,566.4739
2015-01-15,1159.9,1159.9,1127,1132.1,2046200,560.3365
2015-01-16,1127.35,1161.2,1127.35,1155.35,1337700,571.8441
2015-01-19,1161,1172,1152,1162.85,930200,575.5563
2015-01-20,1170,1176,1159.2,1166.55,923500,577.3876
2015-01-21,1156,1179.8,1146.6,1170.55,1230300,579.3674
2015-01-22,1164.75,1192,1162.2,1181.1,1773400,584.5892
2015-01-23,1187,1189.15,1165,1179.85,1360300,583.9705
2015-01-26,1179.85,1179.85,1179.85,1179.85,0,583.9705
2015-01-27,1179,1183.9,1161.1,1177.65,1519200,582.8816
2015-01-28,1167,1190,1165.95,1178.15,1629200,583.1291
2015-01-29,1184,1228,1175.1,1221.55,2811700,604.6101
2015-01-30,1225,1252,1225,1247.75,1468200,617.5778
2015-02-02,1240,1270,1236.3,1264.15,1162900,625.695
2015-02-03,1272.5,1273.3,1215.5,1224.2,1946800,605.9216
2015-02-04,1227,1238.9,1198.05,1209.8,2336600,598.7944
2015-02-05,1166,1197.75,1140,1150.85,6638600,569.6168
2015-02-06,1138,1158.95,1085.55,1108.95,5564600,548.8783
2015-02-09,1096.7,1096.7,1032.4,1047.5,3485700,518.4634
2015-02-10,1030,1078.15,1005,1032.8,5228700,511.1876
2015-02-11,1041.1,1119.7,930,1105.25,4218200,547.047
2015-02-12,1114,1135.95,1080.35,1123.9,3563600,556.2779
2015-02-13,1131,1135.25,1100.45,1118.8,2118000,553.7536
2015-02-16,1120,1141,1097.85,1103.45,1529100,548.1157
2015-02-17,1103.45,1103.45,1103.45,1103.45,0,548.1157
2015-02-18,1110,1113.5,1080.3,1087.15,1272600,540.019
2015-02-19,1072,1089.8,1018.25,1036.95,4607100,515.0832
2015-02-20,1055,1080,1048.15,1056.5,2937600,524.7943
2015-02-23,1060,1063,1032.3,1040.85,2501600,517.0204
2015-02-24,1040,1054.4,1017.7,1038,1871000,515.6048
2015-02-25,1043.9,1048.4,1001,1013.7,2057800,503.5343
2015-02-26,1013,1034,980.1,1025.65,5223900,509.4702
2015-02-27,1033,1043.35,1022.05,1033.15,3065900,513.1957
2015-03-02,1085,1104.8,1054.35,1087.1,3235900,539.9942
2015-03-03,1095.1,1112.55,1085,1098,3081700,545.4085
2015-03-04,1100,1119.05,1060,1070.65,2978200,531.823
2015-03-05,1070,1098.5,1053.8,1093.25,3122000,543.0491
2015-03-06,1093.25,1093.25,1093.25,1093.25,0,543.0491
2015-03-09,1088,1114.9,1078.1,1102.7,3066600,547.7431
2015-03-10,1109.95,1146.05,1101,1127.3,3629500,559.9627
2015-03-11,1134.4,1144.85,1103.55,1111.65,2048700,552.1889
2015-03-12,1115.1,1160.6,1111,1155.55,2100900,573.9953
2015-03-13,1164.9,1179,1137.5,1148.3,2834700,570.394
2015-03-16,1150,1199.9,1133.75,1195.85,4054800,594.0135
2015-03-17,1187,1234.8,1187,1223.8,4095700,607.8971
2015-03-18,1226,1249.5,1220.1,1244.95,2507900,618.4028
2015-03-19,1253.85,1279.8,1212.2,1224.85,3715700,608.4186
2015-03-20,1229.5,1252.2,1146.05,1159.05,4407400,575.7339
2015-03-23,1163.65,1174.65,1113,1151.1,2558900,571.7848
2015-03-24,1154.8,1185,1148.4,1169.95,2482700,581.1482
2015-03-25,1177,1255,1157.3,1179.9,1772700,586.0906
2015-03-26,1175,1179.8,1125.6,1134.75,3066900,563.6633
2015-03-27,1142.7,1216.8,1142,1205.1,3047300,598.6082
2015-03-30,1215,1235,1209,1224.8,1730400,608.3938
2015-03-31,1228.6,1247.4,1208.2,1221.6,3304300,606.8042
2015-04-01,1215,1252,1215,1247.4,2280200,619.6199
2015-04-02,1247.4,1247.4,1247.4,1247.4,0,619.6199
2015-04-03,1247.4,1247.4,1247.4,1247.4,0,619.6199
2015-04-06,1269,1329.6,1265.65,1324.65,4626400,657.9922
2015-04-07,1335,1363.55,1308.55,1360.25,4844300,675.6757
2015-04-08,1371.95,1382,1273.8,1325.15,7074800,658.2405
2015-04-09,1333.65,1353,1300.35,1326.2,4305000,658.7621
2015-04-10,1327,1348,1314.45,1342.7,3337200,666.9581
2015-04-13,1349.2,1357.7,1327,1352,2063300,671.5777
2015-04-14,1352,1352,1352,1352,0,671.5777
2015-04-15,1361,1387.45,1350,1360.55,2978500,675.8248
2015-04-16,1368,1422,1360.55,1417.85,5209100,704.2873
