"Date","PFC.NS.Open","PFC.NS.High","PFC.NS.Low","PFC.NS.Close","PFC.NS.Volume","PFC.NS.Adjusted"
2016-07-06,187.3,187.3,187.3,187.3,0,89.971
2016-07-07,188,190.65,186.55,187.65,4100400,90.139
2016-07-08,187.5,196.5,181.5,193.95,11657400,93.165
2016-07-11,198.45,204.3,195.75,202.85,9975300,97.44
2016-07-12,203.5,203.85,197.5,198.75,5065300,95.471
2016-07-13,200,203.75,196.7,200.7,4671700,96.408
2016-07-14,201,212.8,200.05,209.9,13285800,100.827
2016-07-15,213.65,213.65,206.35,207.05,9416200,99.458
2016-07-18,207.8,208.5,200.6,201.2,4102300,96.648
2016-07-19,201.5,207.4,197.55,206.3,5758400,99.098
2016-07-20,206,210.9,204.1,209.45,5851000,100.611
2016-07-21,209.95,211.9,206.55,207.55,4763300,99.698
2016-07-22,207.6,218.7,207.35,216.95,6014100,104.213
2016-07-25,217,224.4,216.05,222,5105700,106.639
2016-07-26,223.4,223.55,215.5,216.3,4418900,103.901
2016-07-27,217.45,221.65,216.1,220.45,3632900,105.895
2016-07-28,220.7,223.2,218,219.3,4550100,105.342
2016-07-29,219.4,220.85,216.6,218.05,3228600,104.742
2016-08-01,218.8,226.6,218.6,223.25,6355200,107.24
2016-08-02,225,227,216.35,219.35,4745300,105.366
2016-08-03,219.25,220.6,214.65,215.8,3699200,103.661
2016-08-04,217.8,217.8,213.95,216.4,3988300,103.949
2016-08-05,217.4,220.8,217.25,219.75,4512400,105.558
2016-08-08,220,225.6,220,223.55,11104500,107.384
2016-08-09,225.5,228.65,221.95,224.2,6532200,107.696
2016-08-10,225,227.85,216.4,217.45,8246900,104.454
2016-08-11,217.5,219.8,212.25,217.9,7203600,105.251
2016-08-12,218.9,223.6,217.5,222.05,5459000,107.255
2016-08-15,111.025,111.025,111.025,111.025,0,53.628
2016-08-16,111.3,114.45,111.175,114.05,6137700,55.089
2016-08-17,113.95,117,113.8,116.675,4823700,56.357
2016-08-18,116.95,119.95,116.95,119.6,3964300,57.769
2016-08-19,119.95,120.45,117.7,118.525,4161600,57.25
2016-08-22,118.95,120.375,117.25,118.725,4223000,57.347
2016-08-23,118.825,120.1,118.25,119.575,4889000,57.757
2016-08-24,119.2,121.275,118.75,120.85,6413200,58.373
2016-08-25,122.275,123.225,118.15,119.275,12942400,57.612
2016-08-26,119.35,120.05,115.3,115.75,3688700,111.82
2016-08-29,116,116.8,112.2,114.35,4425500,110.467
2016-08-30,114.9,115.5,113.7,114.75,2058500,110.854
2016-08-31,114.8,124.5,114.7,123.7,11032800,119.5
2016-09-01,124.25,124.9,120.6,121.4,7060600,117.278
2016-09-02,121.6,123.35,119.4,122.9,4076600,118.727
2016-09-05,122.9,122.9,122.9,122.9,0,118.727
2016-09-06,123.4,123.9,121.7,122.85,3811400,118.679
2016-09-07,122.7,125.35,122.3,123.95,3609200,119.741
2016-09-08,123.95,127.1,123.7,126.7,3278600,122.398
2016-09-09,126.95,127.65,124,124.85,2894600,120.611
2016-09-12,122.85,122.85,118,118.35,4414000,114.331
2016-09-13,118.35,118.35,118.35,118.35,0,114.331
2016-09-14,119.4,121,118.6,120,5529400,115.925
2016-09-15,119.25,120.65,117.7,118.95,1319300,114.911
2016-09-16,119.4,121.4,117.9,118.35,4847500,114.331
2016-09-19,119,120.3,118.1,119.9,2670700,115.829
2016-09-20,119.4,121.95,119.4,120.85,2699400,116.746
2016-09-21,121.5,122.95,120.3,120.6,4032100,116.505
2016-09-22,121.7,123.5,121.7,122.75,2976000,118.582
2016-09-23,123.3,124.2,122.1,122.65,3296900,118.485
2016-09-26,122,123.6,121,121.75,2494500,117.616
2016-09-27,121.8,122.4,118.3,119.85,3773100,115.78
2016-09-28,120,120.75,118.35,119.05,4581500,115.008
2016-09-29,119.9,120.7,112.3,114,5128500,110.129
2016-09-30,114.4,120.65,113.95,120.3,4601200,116.215
2016-10-03,120.5,123.15,120.5,122.35,2567400,118.195
