"Date","ICICIBANK.NS.Open","ICICIBANK.NS.High","ICICIBANK.NS.Low","ICICIBANK.NS.Close","ICICIBANK.NS.Volume","ICICIBANK.NS.Adjusted"
2016-03-16,219.9,227.4,218.55,226.4,15586200,221.83
2016-03-17,230,236.25,224.95,227.75,29446400,223.16
2016-03-18,228.2,231.45,226.15,230.2,16700800,225.56
2016-03-21,231.55,235.6,231.45,234.85,13471200,230.11
2016-03-22,234.6,234.6,230.6,233.6,11153800,228.89
2016-03-23,231.45,235,230.8,234.2,15443200,229.48
2016-03-24,234.2,234.2,234.2,234.2,0,229.48
2016-03-25,234.2,234.2,234.2,234.2,0,229.48
2016-03-28,234,234,223.9,225.45,18376500,220.9
2016-03-29,223.3,226.95,222.4,223.4,18588800,218.9
2016-03-30,228.5,239,226.8,237.5,20923900,232.71
2016-03-31,238.2,241.35,233.7,236.65,27831000,231.88
2016-04-01,236,239.45,232.7,238.3,14252100,233.49
2016-04-04,240.25,241.05,234.65,238.75,15196800,233.94
2016-04-05,236.4,237.5,225,225.6,24133900,221.05
2016-04-06,227.3,228,220.1,222.55,17441700,218.06
2016-04-07,222.8,224.25,219.15,220.3,16113200,215.86
2016-04-08,220.55,223.8,219.55,221.25,9078900,216.79
2016-04-11,222.2,225.2,219.1,224.7,18012600,220.17
2016-04-12,224.3,230.9,223.8,228.75,18722000,224.14
2016-04-13,233.1,244.2,233.05,240.65,23894000,235.8
2016-04-14,240.65,240.65,240.65,240.65,0,235.8
2016-04-15,240.65,240.65,240.65,240.65,0,235.8
2016-04-18,243.5,243.95,234.6,237.15,15937800,232.37
2016-04-19,237.15,237.15,237.15,237.15,0,232.37
2016-04-20,239.1,239.6,234.1,238.05,16954900,233.25
2016-04-21,246.25,257.8,246.25,253.05,33362800,247.95
2016-04-22,256.25,257,250.2,252,23531300,246.92
2016-04-25,253.1,255.35,251.15,252.95,16474200,247.85
2016-04-26,250.85,254.7,246.5,254.05,27441300,248.93
2016-04-27,250.9,251,243.25,244.6,33575200,239.67
2016-04-28,245.4,248,239,240.1,37624000,235.26
2016-04-29,240.75,244.4,231.3,236.95,64719400,232.17
2016-05-02,227.3,230.5,225.4,226.75,33127700,222.18
2016-05-03,225.75,230,220,221.1,26641400,216.64
2016-05-04,218.45,220.8,213.45,214.45,33437900,210.13
2016-05-05,214.3,219.9,213.75,214.65,25011500,210.32
2016-05-06,214,220.25,213.2,218.6,20241900,214.19
2016-05-09,219.6,226,219.1,225.3,17279000,220.76
2016-05-10,225.4,227.5,222.6,225.5,20324700,220.95
2016-05-11,220,226.55,218.7,223.95,29528500,219.43
2016-05-12,228.5,232.9,228.25,231.8,21756400,227.13
2016-05-13,230.45,230.45,223.4,226.5,21784800,221.93
2016-05-16,227.7,227.7,217.7,223.75,19577500,219.24
2016-05-17,225.35,227.5,222.25,225.95,17144900,221.39
2016-05-18,223,227.45,221.8,226.45,15947100,221.88
2016-05-19,226.45,228.5,224.2,225.55,14929100,221
2016-05-20,225.5,226.3,219.6,220.1,13333200,215.66
2016-05-23,222.1,223.9,220.35,221.1,12944900,216.64
2016-05-24,222.6,225.2,221.6,224.55,9915900,220.02
2016-05-25,226.95,235.6,226.6,235,18879900,230.26
2016-05-26,235.9,243,233,241.15,30591600,236.29
2016-05-27,239,248.2,238.1,243.15,24166000,238.25
2016-05-30,243.25,246.6,238.8,244.5,14418300,239.57
2016-05-31,248.45,249,241.3,244.65,16590200,239.72
2016-06-01,243.9,245.45,239.1,240.05,10784200,235.21
2016-06-02,239.1,242.4,237.6,241.35,13954100,236.48
2016-06-03,242.9,246.4,242,243.75,15060600,238.83
2016-06-06,243.4,246,242,243.5,10538200,238.59
2016-06-07,245.5,254.85,244.7,254.1,23010300,248.98
2016-06-08,255.2,261.2,252.8,257.65,22853900,252.45
2016-06-09,257,259.25,253.2,254.55,12533800,249.42
2016-06-10,253,257.65,251.5,252.6,12033100,247.51
2016-06-13,248.4,248.4,242.45,243.75,12998000,238.83
2016-06-14,247,247.45,244.3,244.95,10898800,240.01
2016-06-15,245.5,249.2,241.6,247.95,14328700,242.95
2016-06-16,243.7,243.7,238.05,239.05,15492700,239.05
2016-06-17,241.45,242.2,235.15,238.45,13773500,238.45
2016-06-20,233.65,239.45,233.65,238.1,16163900,238.1
2016-06-21,240.25,241,236.25,237.85,11083300,237.85
2016-06-22,237.1,242.35,235.8,239,12252700,239
2016-06-23,239.05,241.45,236.05,240.9,7253800,240.9
2016-06-24,229,232.9,221.1,230.95,30686900,230.95
2016-06-27,229.3,234.4,229.3,232.7,11975400,232.7
2016-06-28,230.6,234.2,230,233.15,10275200,233.15
2016-06-29,235.9,238.3,234.25,236.65,7236300,236.65
2016-06-30,239.5,242.8,239.3,240.55,15319100,240.55
2016-07-01,241.7,242.65,239.55,240.35,8280700,240.35
2016-07-04,243.1,248.95,241.9,248.15,9444700,248.15
2016-07-05,250.8,251.1,244.55,245.1,9431900,245.1
2016-07-06,245.1,245.1,245.1,245.1,0,245.1
2016-07-07,245,247.05,244,244.85,7605400,244.85
2016-07-08,244.5,244.5,239.55,241.95,6962000,241.95
2016-07-11,246.6,250.7,246.6,249.85,8802100,249.85
2016-07-12,251.6,262.2,250.75,261.7,25962300,261.7
2016-07-13,264.25,267.7,259.1,261.15,25680800,261.15
2016-07-14,261,269.6,259.65,268.6,12972100,268.6
2016-07-15,269.5,269.85,263.4,265.75,10464000,265.75
2016-07-18,265.8,271.25,262.55,263.4,13009300,263.4
2016-07-19,265,270.5,263.25,269.15,13527300,269.15
2016-07-20,267,268.2,265.45,267.5,7174700,267.5
2016-07-21,266.9,269,261.3,261.9,10963900,261.9
2016-07-22,262.35,264.4,258.85,263.45,7761400,263.45
2016-07-25,261.9,270.95,260.75,268.65,10283200,268.65
2016-07-26,268.45,269.5,260.1,261.65,10815200,261.65
2016-07-27,262.8,273.8,262.8,270.6,23639900,270.6
2016-07-28,270.9,274,270.45,272,8892300,272
2016-07-29,270.05,271.35,262.05,262.9,19195400,262.9
2016-08-01,255.9,261.3,248.2,249.5,38711800,249.5
2016-08-02,249.45,249.45,245,245.3,18871600,245.3
2016-08-03,244.7,247.25,240.55,242.1,16282100,242.1
2016-08-04,244.85,245.05,236.65,240.35,27210400,240.35
2016-08-05,244.1,248.65,244.1,245.95,14824800,245.95
2016-08-08,246.1,247.7,244.55,245.25,10824400,245.25
2016-08-09,245.4,248.5,244.5,245.35,11492700,245.35
2016-08-10,246,246.55,238.15,239.35,11388900,239.35
2016-08-11,240,243.35,237.55,242.7,8616200,242.7
2016-08-12,243.5,247.6,241.2,245.95,10661300,245.95
2016-08-15,245.95,245.95,245.95,245.95,0,245.95
2016-08-16,246,249.45,243.85,248.55,11919500,248.55
2016-08-17,248.1,251.6,245.2,247.6,11704600,247.6
2016-08-18,247.85,253.8,247.75,252.9,18841200,252.9
2016-08-19,253,255.7,251.55,253.9,13199500,253.9
2016-08-22,254.25,254.95,248.7,252.25,8251600,252.25
2016-08-23,250.45,252,248.75,250.2,9996200,250.2
2016-08-24,250.2,251.7,247.85,248.45,8389400,248.45
2016-08-25,247.95,250.2,246.1,246.95,13546600,246.95
2016-08-26,248.2,248.8,243.2,245.3,10445800,245.3
2016-08-29,245,252.65,244.6,250.5,8369600,250.5
2016-08-30,252,256.9,252,256.25,13864500,256.25
2016-08-31,257.1,260.85,257,258,15369100,258
2016-09-01,258.75,264,258.75,260.95,16453500,260.95
2016-09-02,262.5,264.3,260.25,261.3,7303600,261.3
2016-09-05,261.3,261.3,261.3,261.3,0,261.3
2016-09-06,262.7,273.9,262.7,272.7,21158200,272.7
2016-09-07,274,283.75,272.15,278.15,32162800,278.15
2016-09-08,278.6,280.7,275.55,276.35,11924000,276.35
2016-09-09,274.55,276,270.1,274.1,15136200,274.1
2016-09-12,267,269.45,262.7,268.2,18743000,268.2
2016-09-13,268.2,268.2,268.2,268.2,0,268.2
2016-09-14,266.7,273.8,266.35,271.45,15279800,271.45
2016-09-15,271.7,273.75,268.2,270.6,11032100,270.6
2016-09-16,271.75,275.6,266.3,267.35,29959500,267.35
2016-09-19,268,272.4,267.8,271.6,13767600,271.6
2016-09-20,271.9,274.2,269.35,272.1,10027600,272.1
2016-09-21,272.8,273,266.95,269.9,11578800,269.9
