"Date","JUBLFOOD.NS.Open","JUBLFOOD.NS.High","JUBLFOOD.NS.Low","JUBLFOOD.NS.Close","JUBLFOOD.NS.Volume","JUBLFOOD.NS.Adjusted"
2015-03-09,1631,1646.45,1591.45,1597.95,149400,1592.23
2015-03-10,1595,1603.3,1557.5,1577.5,166900,1571.85
2015-03-11,1575,1575,1539,1551.95,221500,1546.39
2015-03-12,1571,1624,1570,1617.75,317300,1611.96
2015-03-13,1622.9,1630,1572.35,1589.15,216100,1583.46
2015-03-16,1584,1589,1552.05,1561.05,95600,1555.46
2015-03-17,1566,1585.45,1552,1559.25,174500,1553.67
2015-03-18,1548,1568,1540,1552.35,183500,1546.79
2015-03-19,1578,1578,1512,1519.8,163900,1514.36
2015-03-20,1522,1608,1479.55,1586.45,483700,1580.77
2015-03-23,1595,1599.5,1555,1575.45,119900,1569.81
2015-03-24,1575,1577.6,1508.3,1518.8,287900,1513.36
2015-03-25,1529.95,1548.9,1491.05,1524.7,286000,1519.24
2015-03-26,1528,1534,1466.8,1491.2,513300,1485.86
2015-03-27,1504.9,1521.1,1452.5,1508.5,182000,1503.1
2015-03-30,1510.5,1549.95,1485.05,1497.2,205800,1491.84
2015-03-31,1510,1514.7,1471.15,1478.35,2e+05,1473.06
2015-04-01,1486,1509.25,1462.35,1476.55,290500,1471.26
2015-04-02,1476.55,1476.55,1476.55,1476.55,0,1471.26
2015-04-03,1476.55,1476.55,1476.55,1476.55,0,1471.26
2015-04-06,1486,1532.7,1474.9,1528.6,207400,1523.13
2015-04-07,1542.95,1570,1525,1558.4,328900,1552.82
2015-04-08,1569.7,1613.1,1562.3,1606,237800,1600.25
2015-04-09,1608.95,1619.95,1587,1604.85,231000,1599.1
2015-04-10,1605,1636.5,1584.95,1608.25,202400,1602.49
2015-04-13,1599.9,1625,1588.95,1594.35,82000,1588.64
2015-04-14,1594.35,1594.35,1594.35,1594.35,0,1588.64
2015-04-15,1596,1613.05,1548,1557.7,116500,1552.12
2015-04-16,1556.9,1572.9,1520,1525.35,105100,1519.89
2015-04-17,1527.65,1539.5,1460.1,1474.45,158200,1469.17
2015-04-20,1476,1487.35,1413,1439.2,246400,1434.05
2015-04-21,1432,1473.85,1415.05,1433.95,235500,1428.82
2015-04-22,1441,1451.25,1393.75,1429.55,609400,1424.43
2015-04-23,1436,1466.5,1409,1420.75,233200,1415.66
2015-04-24,1419.95,1429.35,1400,1408.75,133600,1403.71
2015-04-27,1409,1435.25,1359.65,1387.9,254200,1382.93
2015-04-28,1383.5,1424,1364.95,1418.55,513300,1413.47
2015-04-29,1417,1464.2,1413,1452.45,208700,1447.25
2015-04-30,1442,1520,1428.6,1491.2,358700,1485.86
2015-05-01,1491.2,1491.2,1491.2,1491.2,0,1485.86
2015-05-04,1498,1514.95,1485.5,1503.05,95400,1497.67
2015-05-05,1498,1544.7,1485,1494,72100,1488.65
2015-05-06,1490,1493.15,1392.75,1402.4,167100,1397.38
2015-05-07,1396,1444,1387,1420.15,182900,1415.06
2015-05-08,1430.1,1449.85,1405.1,1430.9,91400,1425.78
2015-05-11,1431.1,1487.5,1430.9,1475.45,233500,1470.17
2015-05-12,1475.45,1480,1435,1463.5,99400,1458.26
2015-05-13,1460.15,1561.8,1460.15,1551.65,384900,1546.09
2015-05-14,1555,1592,1540,1566.3,717600,1560.69
