"Date","AJANTPHARM.NS.Open","AJANTPHARM.NS.High","AJANTPHARM.NS.Low","AJANTPHARM.NS.Close","AJANTPHARM.NS.Volume","AJANTPHARM.NS.Adjusted"
2015-02-18,2785,2850,2779.94995,2810.59998,109200,1105.63448
2015-02-19,2815,2835,2685,2733.59985,166700,1075.34416
2015-02-20,2748.99994,2748.99994,2676.00006,2707.69989,131200,1065.15562
2015-02-23,2707.00012,2797.14996,2690,2710.70007,162100,1066.33584
2015-02-24,2735.24994,2787.99988,2716.49994,2762.25006,101800,1086.61458
2015-02-25,2768.09998,2785,2746.00006,2762.99988,309000,1086.90955
2015-02-26,2756.1499,2775,2667.99988,2748.6499,112200,1081.26455
2015-02-27,2748.99994,2764.94995,2711.00006,2726.1499,66400,1072.41349
2015-03-02,2801.00006,2998.99994,2800,2933.55011,186700,1154.00064
2015-03-03,2951.00006,3095,2911.05011,3060.15015,203000,1203.80259
2015-03-04,3095,3095,2971.00006,3016.25,191500,1186.53314
2015-03-05,3000,3025,2932.09991,2996.19995,115100,1178.64585
2015-03-06,2996.19995,2996.19995,2996.19995,2996.19995,0,1178.64585
2015-03-09,2996.19995,3045,2940,2975.79987,70300,1170.62086
2015-03-10,2980,3002.99988,2955,2984.84985,113600,1174.18094
2015-03-11,2991.95007,3070,2980.05005,3022.25006,115800,1188.89344
2015-03-12,3049.8999,3460,3047.00012,3286.00006,1120000,1292.64748
2015-03-13,3315,3370,3050,3113.09998,446400,1224.63201
2015-03-16,1253.59998,1256,1206.23999,1218,155500,479.13713
2015-03-17,1228,1274.80005,1226.80005,1236.47998,230300,486.40679
2015-03-18,1244.80005,1264,1216,1220.90002,165500,480.27794
2015-03-19,1229.59998,1240.80005,1212,1226.90002,154200,482.63822
2015-03-20,1259,1259,1115,1130.80005,239500,1112.08598
2015-03-23,1140.69995,1178.90002,1088,1164.09998,161500,1144.83481
2015-03-24,1164,1185.90002,1140.5,1145.59998,101200,1126.64097
2015-03-25,1153,1188,1152.94995,1176.59998,132300,1157.12794
2015-03-26,1188,1238.5,1180,1198.5,290200,1178.66553
2015-03-27,1208,1233.15002,1185,1204.84998,118400,1184.91042
2015-03-30,1225,1240,1210,1218.69995,73400,1198.53119
2015-03-31,1230.69995,1245,1220,1229,72300,1208.66078
2015-04-01,1235,1252,1207.05005,1223.30005,126400,1203.05516
2015-04-02,1223.30005,1223.30005,1223.30005,1223.30005,0,1203.05516
2015-04-03,1223.30005,1223.30005,1223.30005,1223.30005,0,1203.05516
2015-04-06,1234,1307,1230,1290.84998,202800,1269.48717
2015-04-07,1299,1329,1290,1315.44995,162900,1293.68003
2015-04-08,1328.30005,1474.5,1320,1425.90002,448800,1402.30222
2015-04-09,1430,1435,1370,1413.30005,193200,1389.91077
2015-04-10,1408,1413.09998,1366.09998,1375,108300,1352.24456
2015-04-13,1375,1387.40002,1329.05005,1338.15002,95700,1316.00443
2015-04-14,1338.15002,1338.15002,1338.15002,1338.15002,0,1316.00443
2015-04-15,1352,1417.65002,1348,1377.05005,207700,1354.26069
2015-04-16,1385.94995,1425,1360.40002,1416.59998,211800,1393.15608
2015-04-17,1422.40002,1470,1385.69995,1431.65002,294500,1407.95706
2015-04-20,1431,1443.25,1396,1423.25,90200,1399.69605
2015-04-21,1428,1438,1380,1392.25,70100,1369.20909
2015-04-22,1390,1409.80005,1350.15002,1374.15002,70400,1351.40865
2015-04-23,1389.80005,1425,1380,1403.09998,78100,1379.8795
2015-04-24,1403.09998,1414,1316.65002,1331.30005,74700,1309.26782
2015-04-27,1347,1347,1244,1296.69995,96900,1275.24033
2015-04-28,1297,1305,1220,1237.15002,209300,1216.67592
2015-04-29,1238.90002,1289.09998,1210,1278.90002,130200,1257.73499
2015-04-30,1278,1310,1251.30005,1263,61600,1242.0981
2015-05-01,1263,1263,1263,1263,0,1242.0981
2015-05-04,1277.94995,1374.19995,1267.05005,1326.69995,155000,1304.74385
2015-05-05,1338,1369.5,1335,1340.65002,157500,1318.46306
2015-05-06,1352.94995,1449.84998,1350.25,1420.5,607900,1396.99157
2015-05-07,1428.5,1432.40002,1333,1343.75,208300,1321.51173
2015-05-08,1362,1389.80005,1228.09998,1263.90002,562800,1242.98323
2015-05-11,1288,1331.90002,1272,1277.30005,178800,1256.16149
2015-05-12,1285,1287.90002,1232,1247.40002,111200,1226.75629
2015-05-13,1254.90002,1278,1253,1274.19995,99100,1253.1127
2015-05-14,1260.19995,1293,1245,1285.09998,85200,1263.83233
2015-05-15,1289,1318.80005,1279,1297,95300,1275.53542
2015-05-18,1301.09998,1325,1297,1313.80005,94500,1292.05744
2015-05-19,1315,1355,1315,1335.90002,139100,1313.79167
2015-05-20,1340.09998,1376,1340.09998,1359.90002,71100,1337.39448
2015-05-21,1363,1379,1321.09998,1372.15002,73000,1349.44175
2015-05-22,1375.19995,1420.05005,1360.5,1411.19995,98500,1387.84543
2015-05-25,1419,1440,1408.84998,1415.65002,85500,1392.22185
2015-05-26,1419.94995,1471,1386.09998,1448.05005,221100,1424.08568
2015-05-27,1437,1493.65002,1436,1454.40002,151200,1430.33056
2015-05-28,1460,1482,1440,1451.30005,100700,1427.28189
2015-05-29,1459,1596.40002,1455,1579.65002,667300,1553.50775
2015-06-01,1580,1672,1542.19995,1621.09998,514600,1594.27173
2015-06-02,1615,1645.75,1542.75,1558.19995,354400,1532.41266
2015-06-03,1570,1583,1481.09998,1546.69995,185400,1521.10298
2015-06-04,1554.90002,1598,1521.05005,1558.09998,434000,1532.31434
2015-06-05,1554,1588,1550.69995,1563.15002,170000,1537.28082
2015-06-08,1570,1573,1462.34998,1486.90002,271500,1462.29271
2015-06-09,1487,1515,1466.09998,1484.75,133300,1460.17827
2015-06-10,1495.5,1535,1490,1508.90002,143900,1483.92862
2015-06-11,1516,1541.5,1471.09998,1478.15002,170800,1453.68752
2015-06-12,1475,1494.69995,1435,1455.69995,173000,1431.60898
2015-06-15,1455.05005,1478,1417,1425.25,217100,1401.66296
2015-06-16,1422,1422,1385.05005,1400.84998,272800,1377.66674
2015-06-17,1401.59998,1453.65002,1377.75,1445.19995,315400,1421.28275
2015-06-18,1460,1519.80005,1460,1505.34998,332400,1480.43732
2015-06-19,1514.5,1530,1490,1503.5,258800,1478.61796
2015-06-22,1514.90002,1534.90002,1506.25,1523,167200,1497.79525
2015-06-23,1534.80005,1552.44995,1521,1542.5,221100,1516.97254
2015-06-24,1544,1584.90002,1543.19995,1556.05005,246100,1530.29834
2015-06-25,1554.80005,1554.80005,1510,1519.94995,150700,1500.58178
2015-06-26,1518.09998,1572.30005,1500,1563.80005,229800,1543.87311
2015-06-29,1537,1539,1491,1524.55005,178700,1505.12326
2015-06-30,1525,1573.69995,1525,1569,226800,1549.0068
2015-07-01,1569.5,1612.90002,1569.5,1584,254500,1563.81566
2015-07-02,1589.94995,1616,1577,1589.75,212500,1569.49239
2015-07-03,1592,1614.09998,1578,1587.25,179000,1567.02425
2015-07-06,1569,1618,1561.19995,1612.65002,219100,1592.10061
2015-07-07,1621.19995,1634.90002,1603.5,1612.30005,226200,1591.75509
2015-07-08,1601,1615,1585.80005,1593.5,147700,1573.19461
2015-07-09,1600,1623,1593,1601.90002,175800,1581.48759
2015-07-10,1605.5,1614.69995,1586.94995,1599.30005,136000,1578.92075
2015-07-13,1609.90002,1620,1598,1603.55005,235200,1583.11659
2015-07-14,1609.09998,1614.90002,1593.90002,1600.90002,92100,1580.50033
2015-07-15,1602.65002,1621.80005,1597,1602.15002,128500,1581.73441
2015-07-16,1609.80005,1619.09998,1601.55005,1612.69995,112900,1592.1499
2015-07-17,1612.90002,1689,1612.90002,1673,447700,1651.68157
2015-07-20,1689.5,1689.69995,1662.30005,1668.69995,188100,1647.43631
2015-07-21,1670,1670.40002,1621,1635.30005,122300,1614.46201
2015-07-22,1635.30005,1655,1605.69995,1646.84998,88600,1625.86476
2015-07-23,1647.05005,1659.69995,1602.09998,1611.09998,109100,1590.57031
2015-07-24,1607,1610.69995,1551,1559.09998,124400,1539.23293
2015-07-27,1563,1594.90002,1542.69995,1571.15002,180200,1551.12943
2015-07-28,1584.5,1593,1562.19995,1569,98000,1549.0068
2015-07-29,1573.90002,1601.15002,1565,1591.75,134700,1571.46691
2015-07-30,1601,1611.90002,1530.19995,1549.09998,177500,1529.36035
2015-07-31,1555,1579,1532.69995,1563.90002,158300,1543.97181
2015-08-03,1565.09998,1594.40002,1543.44995,1551.5,153100,1531.7298
2015-08-04,1559.40002,1649.40002,1547.65002,1629,441600,1608.24224
2015-08-05,1649.84998,1684,1643.19995,1661.55005,252700,1640.37752
2015-08-06,1660.5,1679.80005,1650,1662.80005,107300,1641.61159
2015-08-07,1667.69995,1675,1635.15002,1659.59998,104900,1638.45229
2015-08-10,1660,1670,1639,1645.55005,135300,1624.5814
2015-08-11,1654.80005,1716.65002,1647,1710.5,307800,1688.70372
2015-08-12,1715,1720,1571,1667.65002,241500,1646.39976
2015-08-13,1680.15002,1711.34998,1650,1684.15002,324500,1662.68951
