"Date","MINDTREE.NS.Open","MINDTREE.NS.High","MINDTREE.NS.Low","MINDTREE.NS.Close","MINDTREE.NS.Volume","MINDTREE.NS.Adjusted"
2015-02-13,1433.5,1455,1430.5,1450.85,427400,687.8913
2015-02-16,1455,1489,1452.05,1483.05,512000,703.1583
2015-02-17,1483.05,1483.05,1483.05,1483.05,0,703.1583
2015-02-18,1483.05,1484,1441.9,1463.5,171400,693.889
2015-02-19,1459,1500,1456.55,1481.7,297400,702.5182
2015-02-20,1485,1487,1435,1445.15,167800,685.1888
2015-02-23,1450,1477,1442.1,1447.5,208100,686.303
2015-02-24,1489,1489,1448.35,1454,333600,689.3848
2015-02-25,1455,1470,1440,1444.35,176700,684.8094
2015-02-26,1449,1457.75,1405.35,1414.7,386400,670.7515
2015-02-27,1419,1464.1,1410.25,1446.2,109700,685.6866
2015-03-02,1453,1484,1436.5,1460.65,176000,692.5378
2015-03-03,1466.05,1500,1460.15,1475.85,366000,699.7445
2015-03-04,1483.2,1490.2,1441,1456.6,242700,690.6175
2015-03-05,1460.2,1480.9,1456.7,1471,125000,697.445
2015-03-06,1471,1471,1471,1471,0,697.445
2015-03-09,1420,1430,1367.05,1408.3,850800,667.7171
2015-03-10,1412.7,1424.65,1391,1401.8,442700,664.6353
2015-03-11,1414.4,1421.6,1389.8,1402.3,202400,664.8723
2015-03-12,1399.05,1419.65,1394.6,1411.2,399200,669.092
2015-03-13,1416,1416,1372.5,1382.95,301600,655.6979
2015-03-16,1378,1415,1363.7,1404.4,157500,665.868
2015-03-17,1391.25,1425,1391.25,1415.55,197900,671.1545
2015-03-18,1419,1448.95,1417.95,1427.7,273000,676.9152
2015-03-19,1436.5,1439.8,1389.75,1405.85,170400,666.5554
2015-03-20,1409,1425,1388.85,1402.05,147000,664.7538
2015-03-23,1408,1411.1,1377.1,1386.5,87700,657.381
2015-03-24,1386.5,1394.7,1310,1314.65,377300,623.3148
2015-03-25,1321.35,1349.1,1321.35,1340.8,214500,635.7133
2015-03-26,1342,1378.1,1330,1360.6,431700,645.1011
2015-03-27,1370.4,1389.9,1316,1336.1,690500,633.4849
2015-03-30,1349,1350,1296,1316,470600,623.9549
2015-03-31,1335,1335,1300,1303.65,483600,618.0994
2015-04-01,1310,1365.5,1290,1354.65,587500,642.28
2015-04-02,1354.65,1354.65,1354.65,1354.65,0,642.28
2015-04-03,1354.65,1354.65,1354.65,1354.65,0,642.28
2015-04-06,1352.2,1469.4,1352.2,1452.35,768000,688.6025
2015-04-07,1459,1495,1430.7,1478.9,502900,701.1907
2015-04-08,1481.1,1535,1477.95,1519.45,524200,720.4166
2015-04-09,1528.8,1590,1528.8,1567.2,765600,743.0563
2015-04-10,1555,1573.8,1482.6,1529.45,543200,725.1579
2015-04-13,1530.2,1534.05,1480.2,1484.55,185200,703.8695
2015-04-14,1484.55,1484.55,1484.55,1484.55,0,703.8695
2015-04-15,1501.5,1501.5,1423,1429.55,324200,677.7924
2015-04-16,1424,1472.8,1380,1391.5,675800,659.7517
2015-04-17,1384,1384,1281.45,1292.2,1053800,612.6706
2015-04-20,1280.05,1286,1202.25,1214.05,731400,575.6174
2015-04-21,1210,1252.7,1190,1233.1,690900,584.6495
2015-04-22,1238.9,1275,1231.6,1243,451200,589.3434
2015-04-23,1248,1258,1211,1233.1,946900,584.6495
2015-04-24,1233,1250,1211,1217.45,366300,577.2294
2015-04-27,1227,1234.9,1150.6,1193.3,296400,565.7792
2015-04-28,1180.1,1195,1155.6,1170.75,444400,555.0875
2015-04-29,1176.6,1231.1,1171,1220.05,593200,578.4622
2015-04-30,1225,1230,1201.75,1219.3,353800,578.1066
2015-05-01,1219.3,1219.3,1219.3,1219.3,0,578.1066
2015-05-04,1230,1281.7,1221,1239.85,324400,587.8499
2015-05-05,1270,1307,1264.6,1292.2,298800,612.6706
2015-05-06,1292.2,1316.9,1250,1263.75,640000,599.1816
2015-05-07,1261,1303.3,1216.8,1247.45,352000,591.4533
2015-05-08,1262,1279.9,1241,1257.95,220400,596.4316
2015-05-11,1271.8,1290.5,1261,1271,178500,602.619
2015-05-12,1275,1298.35,1261.65,1284.55,217200,609.0435
2015-05-13,1288.85,1319.85,1276.6,1282.4,389500,608.0241
2015-05-14,1290,1360,1287.05,1351.4,633900,640.7391
2015-05-15,1355,1408,1355,1394.8,606400,661.3163
2015-05-18,1397.4,1402.65,1357.8,1398.1,388500,662.8809
2015-05-19,1405,1424.9,1376.2,1383.3,283800,655.8639
2015-05-20,1395,1404,1387.55,1395.05,620000,661.4349
2015-05-21,1390,1418,1381.05,1403.8,269900,665.5835
2015-05-22,1399.4,1456.4,1393.35,1451.3,421600,688.1047
2015-05-25,1452,1466,1410.55,1430.7,151800,678.3376
2015-05-26,1435,1438.5,1402.05,1421.65,185200,674.0467
2015-05-27,1417.25,1453.9,1405.15,1448.95,309300,686.9904
2015-05-28,1446.75,1455,1410.1,1448.9,422200,686.9668
2015-05-29,1449.95,1476,1431,1448.7,228900,686.8719
2015-06-01,1440.1,1454.95,1405.05,1416.8,178400,671.7472
2015-06-02,1406,1450,1390.05,1409.4,342900,668.2386
2015-06-03,1417.8,1417.8,1375,1396.55,833500,662.1461
2015-06-04,1397,1406.7,1381.15,1387.2,128800,657.7129
2015-06-05,1375.35,1388.05,1365.05,1373.75,161500,651.3359
2015-06-08,1389.95,1389.95,1345.4,1369.1,159700,649.1312
2015-06-09,1369,1382.8,1351,1355.6,137000,642.7304
2015-06-10,1357.1,1421.95,1348.5,1399.3,487900,663.4499
2015-06-11,1399,1403.05,1325.5,1349,243000,648.8754
2015-06-12,1331,1360,1271,1297.25,398200,623.9834
2015-06-15,1299.1,1330,1268.7,1316.55,209800,633.2669
2015-06-16,1323.4,1329.65,1300.5,1314.05,85700,632.0643
2015-06-17,1323.5,1354.9,1315.05,1322.05,204400,635.9124
2015-06-18,1323.45,1346,1311.8,1315.3,178200,632.6656
2015-06-19,1323,1340,1311,1314.95,209600,632.4972
2015-06-22,1310,1350,1310,1345.2,229000,647.0476
2015-06-23,1355,1362.15,1337,1348,162800,648.3944
2015-06-24,1352.95,1388.9,1342.6,1363.15,430100,655.6817
