"Date","BEL.NS.Open","BEL.NS.High","BEL.NS.Low","BEL.NS.Close","BEL.NS.Volume","BEL.NS.Adjusted"
2016-04-25,11748.0005,11863.4998,11662.5,11720,163000,1156.0846
2016-04-26,11700,11937.5,11676.5002,11913.4998,221500,1175.1718
2016-04-27,11936.5002,12220,11929.4995,12125.9998,294700,1196.1332
2016-04-28,12180,12325,11780.9998,11836.9995,488800,1167.6256
2016-04-29,11898.4998,12058.0005,11750,11818.4998,166000,1165.8008
2016-05-02,11701.5002,11990,11701.5002,11871.9995,108400,1171.0781
2016-05-03,11946.9995,11989.4995,11710,11759.0002,137400,1159.9316
2016-05-04,11730,11836.9995,11400,11468.0005,157600,1131.2268
2016-05-05,11488.0005,11620,11407.5,11465,227000,1130.9308
2016-05-06,11468.0005,11545,11350,11421.5002,131600,1126.6399
2016-05-09,11447.5,11610,11404.4995,11525,218900,1136.8494
2016-05-10,11548.0005,11740,11546.9995,11696.5002,199500,1153.7665
2016-05-11,11560,11676.9995,11450,11574.4995,90700,1141.7321
2016-05-12,11570,11686.9995,11565.5005,11600.5005,89400,1144.2969
2016-05-13,11590,11596.9995,11460,11489.0002,114000,1133.2983
2016-05-16,11500,11505,11130.5005,11347.5,335100,1119.3404
2016-05-17,11400,11500,11250,11325.5005,215400,1117.1703
2016-05-18,11300.9998,11560,11250,11498.4998,193200,1134.2353
2016-05-19,11500,11518.0005,11123.0005,11178.0005,156100,1102.6206
2016-05-20,11230,11290,10950,11000.9998,518700,1085.1609
2016-05-23,11058.0005,11250,10923.4998,10986.5002,161700,1083.7307
2016-05-24,10999.0002,11153.4998,10820,11089.0002,208900,1093.8415
2016-05-25,11110,11264.4995,11030,11091.5002,291900,1094.0881
2016-05-26,11120.9998,11350,11120,11240,385300,1108.7364
2016-05-27,11340,12050,11340,11830.5005,831600,1166.9846
2016-05-30,11950,11990,11700,11913.4998,316500,1175.1718
2016-05-31,11959.0002,11960,11750,11782.5,141000,1162.2497
2016-06-01,11840,12000,11542.5,11565,205000,1140.795
2016-06-02,11618.0005,11690,11465,11644.4995,111100,1148.637
