"Date","ITC.NS.Open","ITC.NS.High","ITC.NS.Low","ITC.NS.Close","ITC.NS.Volume","ITC.NS.Adjusted"
2015-01-01,367.6005,368.8995,366,367.1505,2538900,231.11909
2015-01-02,367.24949,370.1505,367.24949,368.29951,6599600,231.84239
2015-01-05,368.7,371.80051,367.54951,369.75,8238900,232.75546
2015-01-06,368.6505,369.4005,358.99949,360.25051,13093000,226.77559
2015-01-07,357,364.00051,352.99949,353.55,11960500,222.55765
2015-01-08,355.45049,363.3495,355.45049,362.40001,8449100,228.12869
2015-01-09,363.1005,365.84999,353.09999,356.8995,10808500,224.66615
2015-01-12,357.45,361.34999,356.09999,357.8505,9868900,225.2648
2015-01-13,358.3995,361.69949,357.3,360.1005,11623500,226.68116
2015-01-14,359.7,359.7,346.0995,347.80051,16224800,218.93838
2015-01-15,353.09999,359.8995,350.8995,357.90001,16047700,225.29596
2015-01-16,358.45049,361.95,354.3495,360.1005,10813500,226.68116
2015-01-19,360,361.75051,355.99949,358.8,6853200,225.8625
2015-01-20,359.09999,371.84999,358.0995,371.09999,12014600,233.60527
2015-01-21,372.94949,372.94949,349.2,352.69949,32448200,222.02227
2015-01-22,352.99949,359.80051,348.8505,350.6505,29627500,220.73244
2015-01-23,353.44949,355.95,348.79951,349.45049,16747400,219.97704
2015-01-26,349.45049,349.45049,349.45049,349.45049,0,219.97704
2015-01-27,349.99949,361.00051,349.34999,360.15001,25255800,226.71232
2015-01-28,360,363.45,357.55051,362.29951,12317700,228.06542
2015-01-29,363,372,360,370.2,21093700,233.03874
2015-01-30,370.00051,372,363.6495,368.55,13917100,232.00007
2015-02-02,367.00051,369.19949,359.40001,360.6495,8493800,227.02675
2015-02-03,361.45049,367.00051,361.45049,366.04951,6298900,230.42602
2015-02-04,367.5,370.5,365.3505,367.6005,5807200,231.40237
2015-02-05,365.8995,372.1005,363.70049,368.8995,9478100,232.22008
2015-02-06,366.1005,374.40001,366.1005,373.5,7324800,235.11607
2015-02-09,371.1495,373.8495,366.70049,367.9005,7188000,231.59121
2015-02-10,368.09999,372,366.90001,369.90001,8011700,232.84989
2015-02-11,371.05051,372.90001,367.8495,371.1495,4545400,233.63644
2015-02-12,372,372,364.65001,370.3995,5294200,233.16432
2015-02-13,371.20049,379.24949,370.05,378.04951,9026000,237.97995
2015-02-16,378.4005,391.00049,378,389.5995,11606400,245.25061
2015-02-17,389.5995,389.5995,389.5995,389.5995,0,245.25061
2015-02-18,385.00049,402,385.00049,393.25049,13669300,247.54888
2015-02-19,392.95052,393.70052,383.5995,389.25,6980100,245.0306
2015-02-20,387.49951,397.9005,384.3495,396.04948,8931400,249.31083
2015-02-23,394.99951,398.80051,389.25,390.25049,5852200,245.6604
2015-02-24,391.99951,397.99951,388.65001,395.69998,8238700,249.09082
