"Date","BOSCHLTD.NS.Open","BOSCHLTD.NS.High","BOSCHLTD.NS.Low","BOSCHLTD.NS.Close","BOSCHLTD.NS.Volume","BOSCHLTD.NS.Adjusted"
2016-02-12,16250,16449.9,15736,15948.3,17700,15833.43
2016-02-15,16150,16800,15945.7,16447.2,16400,16328.74
2016-02-16,16447,16537.7,16150,16208.1,13500,16091.36
2016-02-17,16230,16328,15850.8,16140.8,11600,16024.55
2016-02-18,16311,16434.6,16201.3,16380.4,9900,16262.42
2016-02-19,16445,16900,16250,16804,11500,16682.97
2016-02-22,16900,17486.9,16890,17314.7,31900,17189.99
2016-02-23,17350.3,17450,16750,16848.1,14900,16726.75
2016-02-24,16800,16999,16500,16520.2,10900,16401.21
2016-02-25,16598,16738.9,16111,16335.1,21400,16217.45
2016-02-26,16460,16779,16450,16711.2,12900,16590.84
2016-02-29,16730,17227.2,16376.9,16736.5,24500,16615.96
2016-03-01,16929.9,17138.4,16740.3,17024.9,10600,16902.28
2016-03-02,17110,17240,16780,16875.8,13500,16754.25
2016-03-03,17200,17375,16861,17287.8,12100,17163.29
2016-03-04,17430,17430,17063.8,17258.2,11200,17133.9
2016-03-07,17258.2,17258.2,17258.2,17258.2,0,17133.9
2016-03-08,17201,17550,17135.4,17441.2,13000,17315.58
2016-03-09,17441.3,17999,17199.6,17932.9,20000,17803.74
2016-03-10,18127,18127,17702,17878.1,7600,17749.33
2016-03-11,17939.8,18242,17851,18016.3,26500,17886.54
2016-03-14,18150,18418.7,17750,17991,17100,17861.42
2016-03-15,18000,18206.6,17819.2,18128.6,13500,17998.03
2016-03-16,18250,18300,17910,18032.4,27700,17902.52
2016-03-17,18198,18299,18102.1,18205.8,21300,18074.67
2016-03-18,18245,18850,18002.2,18774.1,43600,18638.88
2016-03-21,18734.1,19480,18734.1,19350.8,29600,19211.43
2016-03-22,19370,20410,19328.7,20172.6,38600,20027.31
2016-03-23,20150,20543.6,19935.5,20217.5,35700,20071.88
2016-03-24,20217.5,20217.5,20217.5,20217.5,0,20071.88
2016-03-25,20217.5,20217.5,20217.5,20217.5,0,20071.88
2016-03-28,20150,20640.2,20000,20447.1,25300,20299.83
2016-03-29,20351,20690,20351,20587.2,14700,20438.92
2016-03-30,20679.8,20836.2,20475.4,20733.2,14800,20583.87
2016-03-31,20699,21000,20426,20784.5,36800,20634.8
2016-04-01,20825,20825,19723.9,19888.6,34300,19745.35
2016-04-04,20140,20312.2,19815.7,20082.1,17000,19937.46
2016-04-05,19805.7,20165,19703.6,19814.1,14600,19671.39
2016-04-06,19860,19999,19150,19237.9,20500,19099.34
2016-04-07,19299,19448.1,18890.1,18916.2,17100,18779.96
2016-04-08,18900,19093.9,18850,18993.3,10500,18856.5
2016-04-11,18993.3,20099,18993.3,19984.3,26900,19840.36
2016-04-12,20075,20195,19833.3,19972.5,16900,19828.65
2016-04-13,20200,20250,19950,20029.1,15000,19884.84
2016-04-14,20029.1,20029.1,20029.1,20029.1,0,19884.84
2016-04-15,20029.1,20029.1,20029.1,20029.1,0,19884.84
2016-04-18,20229.3,20250,19734.2,20060.7,13700,19916.21
2016-04-19,20060.7,20060.7,20060.7,20060.7,0,19916.21
2016-04-20,20080.8,20299,19917.6,19988.1,12400,19844.14
2016-04-21,19987,20189,19619.9,19792.8,10100,19650.24
2016-04-22,19786,20053.1,19748.2,19788,8000,19645.48
2016-04-25,19820,20099,19650,19845.2,7400,19702.27
2016-04-26,19850,20400,19800,20361.1,16900,20214.45
2016-04-27,20321,20358.1,20120.3,20227.4,8900,20081.71
2016-04-28,20150,20330,19847.2,19948.9,13900,19805.22
2016-04-29,19948,20099.8,19544.9,19664,10900,19522.37
2016-05-02,19660,19849.8,19500.1,19604.4,7900,19463.2
2016-05-03,19595,19903.9,19350,19436.3,16600,19296.31
2016-05-04,19402,19534.9,19251.2,19284.8,9000,19145.9
2016-05-05,19474,19474,19037.4,19094.4,7900,18956.87
2016-05-06,19100,19273.9,18964,19127.9,6200,18990.13
2016-05-09,19200,20050,19051.2,19971,15200,19827.16
2016-05-10,20000,20050,19670,19696.8,10900,19554.94
2016-05-11,19598.6,20100,19276.1,20046.1,20000,19901.72
2016-05-12,19980,21029.4,19946,20925.2,29600,20774.49
2016-05-13,20850,21084.8,20501,20676.2,22300,20527.28
2016-05-16,20650.1,21412,20640,21363.6,20700,21209.73
2016-05-17,21270,21850,21100,21603.3,28200,21447.7
2016-05-18,21375.1,21480,20890,21052.8,20000,20901.17
2016-05-19,21103,21312.4,20880,20988.1,22700,20836.93
2016-05-20,20960,21250,20940,21049.6,10100,20897.99
2016-05-23,21114,21394,20866.4,21057.3,11800,20905.64
2016-05-24,21050,21350,20524.8,21221.7,17700,21068.85
2016-05-25,21400,22144.5,21200,21894.8,87800,21737.1
2016-05-26,22200,22207,21681.3,21817.3,21400,21660.16
2016-05-27,21817.4,22099,21654.2,21947,18000,21788.93
2016-05-30,21811,22399.9,21811,22217.2,15700,22057.18
2016-05-31,22220,22541.1,21900,22347.6,30300,22186.64
2016-06-01,22300.1,22485.6,22106.3,22266.8,18500,22106.43
2016-06-02,22199.9,22249.9,22013,22074.4,18900,21915.41
2016-06-03,22075,22449.2,22075,22269.3,32600,22108.91
2016-06-06,22269,22340,22113.6,22191.7,9800,22031.86
2016-06-07,22210,22450,22210,22358.2,21500,22197.17
2016-06-08,22225,22385,22180,22244.6,10500,22084.38
2016-06-09,22185,22292.3,21721.6,21799.6,14700,21725.61
2016-06-10,21725,21900,21400,21492.4,12300,21419.45
2016-06-13,21350,21699.7,21201.1,21597.9,14900,21524.59
2016-06-14,21600.2,21930,21400,21821.1,10100,21747.03
2016-06-15,21801,21999.4,21644.8,21881.6,7000,21807.33
2016-06-16,21754,21890,21615,21830.1,8200,21756
2016-06-17,21811,22160.3,21811,22075.6,10200,22000.67
2016-06-20,21850,22256,21820,22091.2,8900,22016.22
2016-06-21,22150,22200,21876.3,21981.2,6400,21906.59
2016-06-22,21981,22000,21670,21735.1,9400,21661.33
2016-06-23,21735,21914.2,21610.1,21850.6,8300,21776.43
2016-06-24,21444,21989.7,20832,21159.8,26400,21087.98
2016-06-27,21159,21230,20800,20930.7,18200,20859.66
2016-06-28,20807.1,21560,20807.1,21523.4,15900,21450.34
2016-06-29,22222,22800,22151.8,22686.2,55600,22609.2
2016-06-30,22900,23098,22466.4,22648.8,34000,22571.93
2016-07-01,22700,22900,22511,22684.3,30600,22607.3
2016-07-04,22375.1,22375.1,22125,22249,23000,22173.48
2016-07-05,22260,22598,22250,22538.6,12300,22462.1
2016-07-06,22538.6,22538.6,22538.6,22538.6,0,22462.1
2016-07-07,22502.5,22774.5,22392.8,22729.3,14800,22652.15
2016-07-08,22700,22850.2,22510,22789.2,10600,22711.85
2016-07-11,22925,23480.4,22850,23383.4,19300,23304.03
2016-07-12,23400,23539.2,22916,23454.9,13500,23375.29
2016-07-13,23400,23449.9,23125,23239.6,10600,23160.72
2016-07-14,23050.1,23500,23050,23428.9,7900,23349.38
2016-07-15,23410.9,23960,23410,23907.6,17900,23826.45
2016-07-18,23945,24176.9,23800,24033.2,10200,23951.62
2016-07-19,24000,24497.7,23932.8,24390.3,16100,24307.51
2016-07-20,24301,24990,24301,24898.8,23400,24814.29
2016-07-21,24900,25086.6,24458.2,24528.7,17000,24445.44
2016-07-22,24528.7,24796.6,24110,24315.7,14000,24233.17
2016-07-25,24315,24590,24315,24465.5,18600,24382.46
2016-07-26,24350,24525,23925,24060.6,9200,23978.93
2016-07-27,24060,24333.4,24001,24082.1,10300,24000.36
2016-07-28,24082.1,24936.6,23862.6,24636.3,21100,24552.68
2016-07-29,24750,25141.1,24750,24976.6,15500,24891.82
2016-08-01,25025,25249.9,24600,24721.9,11000,24637.99
2016-08-02,24710,24999,24334.2,24453.4,7900,24370.4
2016-08-03,24453.4,24899,24323.9,24753.9,11700,24669.88
2016-08-04,24823.9,25029.9,24500,24957.2,11300,24872.49
2016-08-05,25050,25100,24765.4,25035.1,15200,24950.12
2016-08-08,25100.1,25500,25100.1,25442.3,23700,25355.94
2016-08-09,25500,25550,25055.1,25379.2,10900,25293.06
2016-08-10,25499,25670.8,24985,25022,11800,24937.07
2016-08-11,25022,25250,24551,24781.1,22800,24696.99
2016-08-12,24781,24799.9,23954.3,24548.3,47200,24464.98
2016-08-15,24548.3,24548.3,24548.3,24548.3,0,24464.98
2016-08-16,24548,24548,23852.6,24002.9,30900,23921.43
2016-08-17,24002,24169.2,23826.1,23975.1,17600,23893.72
2016-08-18,23976,24325,23976,24090.9,12300,24009.13
2016-08-19,24150,24249.9,23853,23980.1,15900,23898.71
2016-08-22,24014.7,24294,23645.1,23695.6,12200,23615.17
2016-08-23,23750,23856.2,23475,23598.4,12200,23518.3
2016-08-24,23598,23800,23300,23678.7,8500,23598.33
2016-08-25,23784,24100.1,23561.2,23771.8,22300,23691.11
2016-08-26,23700,23853.9,23591.2,23695.3,9600,23614.87
2016-08-29,23750,23999.9,23560.1,23764.2,7900,23683.54
