"Date","SBIN.NS.Open","SBIN.NS.High","SBIN.NS.Low","SBIN.NS.Close","SBIN.NS.Volume","SBIN.NS.Adjusted"
2015-05-27,277,281.6,274.2,280.75,12176600,273.6556
2015-05-28,279.8,279.8,276.1,277.6,13024900,274.0011
2015-05-29,278.65,281.65,277.1,278.15,14809900,274.544
2015-06-01,278.65,282,277.55,278.2,11567600,274.5933
2015-06-02,278.8,279.45,265.35,266.25,21653700,262.7982
2015-06-03,267,267.3,255.05,257.4,25967800,254.063
2015-06-04,259.9,261.4,253.75,257.6,20210500,254.2604
2015-06-05,257,262,255.6,257.8,13539600,254.4578
2015-06-08,258.75,258.75,252.55,254.95,17384700,251.6447
2015-06-09,255,258.3,254,257.6,15275900,254.2604
2015-06-10,259,262.55,258.5,260.6,10910900,257.2215
2015-06-11,262.25,262.95,252.65,254,20857600,250.7071
2015-06-12,254.05,255.5,251.8,253.95,11440400,250.6577
2015-06-15,255,255.6,248.85,250.25,13545200,247.0057
2015-06-16,250.25,255.75,249,254.6,9896500,251.2993
2015-06-17,256,256.9,253.5,255.1,11241000,251.7928
2015-06-18,256.45,260.7,255.2,258.1,11598500,254.7539
2015-06-19,259.9,263.1,258.15,260.15,12216300,256.7773
2015-06-22,260.9,267.4,260.8,266,11051300,262.5515
2015-06-23,269.4,271.2,266.25,267.75,16180000,264.2788
2015-06-24,267.7,267.9,260.5,262.35,8361700,258.9488
2015-06-25,261.25,266,259.05,264.8,16506500,261.367
2015-06-26,264.1,266.9,261.05,265.2,14588400,261.7619
2015-06-29,258.75,260.8,255,259.65,15040800,256.2838
2015-06-30,259.25,263.35,257.6,262.75,14181900,259.3436
2015-07-01,263.1,269.5,262.55,267.75,12072000,264.2788
2015-07-02,267.9,271.25,266.1,267.85,8741700,264.3775
2015-07-03,267.35,270,266.8,269.4,7238500,265.9074
2015-07-06,263.2,271.5,262,270.8,9458200,267.2892
2015-07-07,270.4,274.65,270,272.9,12523400,269.362
2015-07-08,269.9,271,265.6,267.35,12669800,263.884
2015-07-09,267,271.3,267,267.75,6469500,264.2788
2015-07-10,270.25,271,266.25,270.55,8788100,267.0425
2015-07-13,272,274.35,267.9,273.7,8423000,270.1517
2015-07-14,273.6,273.6,267.15,268.2,10337300,264.723
2015-07-15,268.75,271.7,267.15,268.05,7483900,264.5749
2015-07-16,269.75,272.75,268.1,272.2,8354100,268.6711
2015-07-17,272.4,274,270.5,271.1,5571800,267.5854
2015-07-20,272,272,266.15,267.45,6418900,263.9827
2015-07-21,267,269.8,263.5,264.3,5638600,260.8735
2015-07-22,263.7,269.4,261.9,268.55,11322100,265.0684
2015-07-23,268.5,272,267.25,270.05,6376200,266.549
2015-07-24,268.7,270.35,262.1,263.25,7796400,259.8371
2015-07-27,263.2,263.4,258.05,258.45,6788500,255.0994
2015-07-28,260.25,263.9,258.35,259.2,10788800,255.8396
2015-07-29,260,260.7,252.3,253.6,9997100,250.3122
2015-07-30,253.6,259.5,253.6,256.8,10536900,253.4707
2015-07-31,258,273.75,257.55,270.05,20534800,266.549
2015-08-03,270,283,269.9,281.05,21901700,277.4064
2015-08-04,282.5,289.95,276.4,288.6,28858800,284.8585
2015-08-05,289.1,291.8,284.25,285.4,10169500,281.7
2015-08-06,285.6,290.8,282,289.05,15372100,285.3026
2015-08-07,288.5,288.5,280.2,281.3,13845600,277.6531
2015-08-10,282.05,286,280.1,282.75,14694900,279.0843
2015-08-11,285.8,289.45,267.5,268.8,39233600,265.3152
2015-08-12,267.45,267.45,255.05,256.35,29724300,253.0266
2015-08-13,259.75,262.85,258.15,259.3,16360000,255.9383
2015-08-14,261.9,269.4,259.25,268.5,14852800,265.0191
2015-08-17,272,281.9,270.8,279.75,27500000,276.1232
2015-08-18,280.8,288,275.55,284.8,27728800,281.1077
2015-08-19,283.9,285.95,275.55,278,15452500,274.3959
2015-08-20,277.65,281.65,268,270.55,14577500,267.0425
2015-08-21,261.5,268.9,256.2,267.5,19030000,264.032
2015-08-24,254.7,257.7,242.4,245.4,29561700,242.2185
2015-08-25,250,254.8,240,253.35,23492800,250.0655
2015-08-26,252.5,253.3,245,245.7,16325500,242.5147
2015-08-27,251.15,252,248.1,249.45,21076900,246.216
2015-08-28,254.5,255.9,247.45,248.95,16644300,245.7225
2015-08-31,249,251.35,245,247.35,21645100,244.1433
2015-09-01,244.85,244.85,237.7,239.1,19689000,236.0002
2015-09-02,242.65,243,230.1,230.55,23655400,227.5611
2015-09-03,232.65,235.4,231,232.25,14680200,229.239
2015-09-04,231.9,231.9,224,225.15,20466300,222.2311
2015-09-07,227.1,227.5,220.15,221.1,15424700,218.2336
2015-09-08,223,230.25,221.15,228.35,16189200,225.3896
2015-09-09,233.95,234.5,229.1,231.65,18237100,228.6468
2015-09-10,227.35,229.8,224.1,227.45,14195800,224.5013
2015-09-11,230.9,233.3,228,230.1,13650900,227.1169
2015-09-14,231.55,236,230,235.25,10671200,232.2001
2015-09-15,235.2,238.45,232.65,232.9,13193400,229.8806
2015-09-16,236.4,237.75,235,236.8,11272500,233.73
2015-09-17,236.8,236.8,236.8,236.8,0,233.73
2015-09-18,240,246.45,239.5,242,16049300,238.8626
2015-09-21,239.55,246,237.25,245.25,9602400,242.0705
2015-09-22,247.95,248.45,236.25,237.95,13667300,234.8651
2015-09-23,235,241.9,233.6,239.85,13614000,236.7405
2015-09-24,239.45,241.45,238.05,239.05,9299500,235.9509
2015-09-25,239.05,239.05,239.05,239.05,0,235.9509
2015-09-28,241,243.65,238.65,239.45,8588200,236.3457
2015-09-29,236,245.4,232.2,241.9,24488600,238.7639
2015-09-30,244.85,245.4,235.7,237.15,17011900,234.0755
2015-10-01,241.2,241.9,234.4,235.15,11590400,232.1014
2015-10-02,235.15,235.15,235.15,235.15,0,232.1014
2015-10-05,238.1,241.35,237.25,240,18307400,236.8886
2015-10-06,242.7,242.8,237.7,240.1,10087000,236.9873
2015-10-07,240.15,244.25,239.05,243.55,10608700,240.3925
2015-10-08,242.45,245.2,241.1,243.3,9230500,240.1458
2015-10-09,245.5,247.8,240.65,243.45,12171400,240.2938
2015-10-12,244.1,245.65,241.3,244.55,7566900,241.3796
2015-10-13,244,247.5,242.05,243.8,10200600,240.6393
2015-10-14,243.7,246.8,243.2,244.25,7895800,241.0835
2015-10-15,246,249.9,245.5,248.95,11582400,245.7225
2015-10-16,249.85,257.15,248.35,256.8,11738800,253.4707
2015-10-19,256.65,257.1,253.5,254.5,8969100,251.2006
2015-10-20,254.5,257.1,253.2,254.85,8811700,251.546
2015-10-21,254,255.9,248.55,249.8,8606400,246.5615
2015-10-22,249.8,249.8,249.8,249.8,0,246.5615
2015-10-23,253,254.85,252,253.4,7544800,250.1148
2015-10-26,254.75,256,250.35,251.25,13085000,247.9927
2015-10-27,250.1,252.2,248.1,248.8,6565300,245.5745
2015-10-28,248,249.45,241.2,242.05,12310400,238.912
2015-10-29,241.5,241.8,236.45,236.95,16114900,233.8781
2015-10-30,238.7,240.4,235.1,237.05,8669600,233.9768
2015-11-02,238,238,232.7,236.9,7611600,233.8287
2015-11-03,239.35,239.7,235,235.95,8323200,232.8911
2015-11-04,239.2,240.5,237,239,8418300,235.9015
2015-11-05,238,239,233.1,233.9,8906500,230.8676
2015-11-06,235.6,244.8,233,243,30821000,239.8497
2015-11-09,236,248.3,235.6,246.1,22806400,242.9095
2015-11-10,244.9,247.25,240.1,241.2,11767800,238.073
2015-11-11,243,244.25,242.55,243.15,2061600,239.9977
2015-11-12,243.15,243.15,243.15,243.15,0,239.9977
2015-11-13,241.5,241.8,237.7,240.25,9082000,237.1353
2015-11-16,239.5,249.35,239.1,248.3,14051400,245.081
2015-11-17,250,251.65,246.7,247.85,11273300,244.6368
2015-11-18,247.6,248.7,239.45,241,10397800,237.8756
2015-11-19,243.05,245,241.4,243.9,7325100,240.738
2015-11-20,243.95,249.9,242,242.95,13718600,239.8003
2015-11-23,243.9,245.25,240.55,242.7,10552100,239.5535
2015-11-24,242.5,244,240.6,241.4,6651600,238.2704
2015-11-25,241.4,241.4,241.4,241.4,0,238.2704
2015-11-26,241.95,244.9,241,242.5,13629800,239.3561
2015-11-27,243,250.5,242.8,249.7,15149900,246.4628
2015-11-30,249.65,253,245,248.65,12865400,245.4264
2015-12-01,250.85,251.9,249.3,250.2,9501500,246.9563
2015-12-02,250.55,250.65,243.75,244.6,10881700,241.4289
2015-12-03,244.15,244.5,240.4,241.1,7155600,237.9743
2015-12-04,240,242.15,238.05,241.1,11115100,237.9743
2015-12-07,242.95,242.95,238,238.65,7531700,235.556
2015-12-08,238.1,239.95,235.3,235.95,8254400,232.8911
2015-12-09,235.4,238.2,233.6,234.4,7408700,231.3611
2015-12-10,236,236.75,230.6,231.95,11713500,228.9429
2015-12-11,232.9,233.9,225.1,227.3,12872900,224.3532
2015-12-14,224.9,227.7,224,225.95,12464800,223.0207
2015-12-15,227,227.15,224,226.4,10404400,223.4649
2015-12-16,227.75,229.6,225.25,227.3,13030700,224.3532
2015-12-17,230,232.4,228.5,230.9,14539000,227.9065
2015-12-18,229.95,232.35,225.8,226.5,18871000,223.5636
2015-12-21,226.9,231,226.5,230.45,9557000,227.4624
2015-12-22,231.65,232.25,227.5,228.35,9155500,225.3896
2015-12-23,230.25,231,228.9,229.65,7914300,226.6727
2015-12-24,230.85,231,227.6,228.3,7257900,225.3402
2015-12-25,228.3,228.3,228.3,228.3,0,225.3402
2015-12-28,229.05,229.95,228,228.9,8756800,225.9325
2015-12-29,228.85,229.95,227.5,228.2,7263200,225.2415
2015-12-30,229,229.7,224.85,225.8,11702800,222.8726
2015-12-31,225.95,226.55,224,224.45,11558300,221.5401
2016-01-01,225,228.9,224.5,227.8,6449400,224.8467
2016-01-04,226.95,226.95,220.05,220.7,14092000,217.8388
2016-01-05,222.8,222.8,217,217.75,15074800,214.927
2016-01-06,217.9,219.9,216.4,216.85,11921100,214.0387
2016-01-07,214,214.1,209,209.55,14342200,206.8333
2016-01-08,212,212.5,208.6,208.95,11745800,206.2411
2016-01-11,206.8,207.5,202.65,204.3,19287800,201.6514
2016-01-12,204.85,205,198.6,199.4,20318800,196.8149
2016-01-13,201.35,202.4,194,200.9,23788200,198.2955
2016-01-14,197,201.5,194.3,196.05,20256600,193.5083
2016-01-15,197.8,197.8,181,184.3,29090400,181.9107
2016-01-18,184.9,188.15,179.15,181,35653200,178.6534
2016-01-19,182.15,187.8,181.5,182.95,24501700,180.5782
2016-01-20,180.65,180.65,171.5,173.65,28655700,171.3987
2016-01-21,177,178.65,172.05,175.6,28697200,173.3235
2016-01-22,179.9,185.4,178.3,184.6,21432400,182.2068
2016-01-25,187.9,188.8,182.5,182.95,17534600,180.5782
2016-01-26,182.95,182.95,182.95,182.95,0,180.5782
2016-01-27,184.4,186.2,181.05,184.4,16569800,182.0094
2016-01-28,184.2,185.9,182.5,185.25,20241000,182.8484
2016-01-29,184.2,185.75,178.1,179.9,24259100,177.5677
2016-02-01,181.95,181.95,172.1,172.75,22915200,170.5104
2016-02-02,173.1,177.4,168.6,169.4,35957300,167.2038
2016-02-03,167.8,167.8,163.25,166.05,24132000,163.8973
2016-02-04,169.3,169.8,160.2,162.85,23811100,160.7388
2016-02-05,163.7,169.3,162.2,168.2,22732200,166.0194
2016-02-08,169.45,176.9,168.55,172.15,22289000,169.9182
2016-02-09,168,172.4,166.1,167.05,19008300,164.8843
2016-02-10,165,166.2,158,159,32294700,156.9387
2016-02-11,159.5,167.5,152.2,154.25,72749800,152.2502
2016-02-12,156.15,157.65,148.25,154.8,41187800,152.7931
2016-02-15,159,170,158,167.85,35956200,165.6739
2016-02-16,170.75,170.75,155.65,156.4,33816200,154.3724
2016-02-17,155,159.85,151.25,158.95,32447600,156.8893
2016-02-18,161.95,163.7,156.4,159.8,21024100,157.7283
2016-02-19,157.9,165.3,157.1,164.7,24592500,162.5648
2016-02-22,165.95,166.8,163.7,164.95,15815000,162.8115
2016-02-23,165,165,158,158.5,20200000,156.4451
2016-02-24,156,160.7,155.3,156.3,19440900,154.2737
2016-02-25,157.6,158.1,151,151.8,22713100,149.832
2016-02-26,155.5,158.7,152.55,155.9,30051400,153.8788
2016-02-29,158.2,163.9,153,158.75,66981900,156.6919
2016-03-01,160.5,162.9,158.55,162.05,23588200,159.9491
2016-03-02,172.5,183.2,172.5,181.15,53333700,178.8015
2016-03-03,184,184.6,178.5,182.75,33507000,180.3808
2016-03-04,183.4,189.85,178.5,188.4,38860700,185.9575
2016-03-07,188.4,188.4,188.4,188.4,0,185.9575
2016-03-08,186.95,186.95,181.4,183.35,27928200,180.973
2016-03-09,180,184,178.7,183.4,29453000,181.0223
2016-03-10,184.75,184.75,179.4,180.5,20472900,178.1599
2016-03-11,180,182.65,177.55,180.1,21869100,177.7651
2016-03-14,182.45,183.4,180.7,181.75,14369700,179.3937
2016-03-15,181.65,186.2,181.65,185.3,22369600,182.8977
2016-03-16,185,185.9,181.6,185.2,19237800,182.799
2016-03-17,188,189.3,185,186.35,21560900,183.9341
2016-03-18,186.85,192,186,191.25,21144200,188.7706
2016-03-21,193,197.3,193,196.8,20678000,194.2486
2016-03-22,196.8,198.25,194.5,197.5,16728800,194.9395
2016-03-23,196.9,197.6,195.3,196.6,13362700,194.0512
2016-03-24,196.6,196.6,196.6,196.6,0,194.0512
2016-03-25,196.6,196.6,196.6,196.6,0,194.0512
2016-03-28,195.8,198.25,187.65,188.3,19760600,185.8588
2016-03-29,188.5,191.25,186.65,189.5,16804800,187.0433
2016-03-30,192.25,198.3,190.5,197.55,20709400,194.9889
2016-03-31,197.85,198.75,192.35,194.25,30132400,191.7317
2016-04-01,193.7,197.25,192,195.65,21752200,193.1135
2016-04-04,197.3,197.45,192.55,194.7,15732500,192.1758
2016-04-05,193.9,194.55,183.3,184.35,36635600,181.96
2016-04-06,185,185.5,182.2,183.85,16350600,181.4665
2016-04-07,183.8,185.65,181,181.95,19430600,179.5911
2016-04-08,181.65,183.95,180.2,183.1,15805200,180.7262
2016-04-11,183.85,188.9,182,188.25,18990300,185.8095
2016-04-12,188.5,190.25,186.3,187.8,14563300,185.3653
2016-04-13,191.55,193.8,190.8,191.9,17573000,189.4121
2016-04-14,191.9,191.9,191.9,191.9,0,189.4121
2016-04-15,191.9,191.9,191.9,191.9,0,189.4121
2016-04-18,191.45,191.5,185.6,186.75,13985400,184.3289
2016-04-19,186.75,186.75,186.75,186.75,0,184.3289
2016-04-20,188.35,188.65,184.1,187.3,20163000,184.8718
2016-04-21,190.5,197.4,190,194.35,31008100,191.8304
2016-04-22,193.6,201.5,191.55,200.15,34049700,197.5552
2016-04-25,200.95,202.55,195.8,197.05,23835600,194.4954
2016-04-26,195.95,201.4,194.55,200.95,21809400,198.3448
2016-04-27,200.9,200.9,195.5,196.15,22801600,193.607
2016-04-28,196.75,198.2,191.2,192.05,24555400,189.5602
2016-04-29,191.9,194,186.45,189,21021600,186.5497
2016-05-02,187.6,188.45,185.5,186,14469800,183.5886
2016-05-03,187,189.35,183.65,184.05,16247900,181.6639
2016-05-04,183.5,184.4,179.15,179.95,17826500,177.6171
2016-05-05,180.25,182.7,178.5,180.35,17742000,178.0119
2016-05-06,180.95,184.95,180.1,184.35,18336900,181.96
2016-05-09,186.5,189.4,185.05,188.7,13863600,186.2536
2016-05-10,187.6,190.3,186.7,189.5,13845900,187.0433
2016-05-11,185.4,188.5,184.1,185,18128400,182.6016
2016-05-12,187.1,189.5,185.4,188.5,17398300,186.0562
2016-05-13,187.95,187.95,184.3,184.85,15546600,182.4535
2016-05-16,185,185,175.15,176.8,30937000,174.5079
2016-05-17,178.5,178.6,175.25,176.85,22183100,174.5573
2016-05-18,176.9,180.45,173.55,179.95,25345200,177.6171
2016-05-19,181,181,171.9,172.7,25480500,170.4611
2016-05-20,173.5,174.7,170.55,171.35,16720600,169.1286
2016-05-23,172.3,172.7,168.2,168.4,16193100,166.2168
2016-05-24,168.8,170.4,166.4,169.5,14816700,167.3025
2016-05-25,171.5,175.8,171.45,175.1,18900800,172.8299
2016-05-26,175.1,185.5,173.5,184.15,30700900,181.7626
2016-05-27,184,202.4,181.5,195.9,85585800,193.3603
2016-05-30,200.2,203.9,194.6,198.85,46075900,196.272
2016-05-31,198.8,205.7,196.2,204.95,39457600,202.2929
2016-06-01,205.95,208.3,196.6,198.25,41868000,195.6798
2016-06-02,197.85,202.3,195.55,200.55,23499800,197.95
2016-06-03,201,202.15,195.4,196.6,24568700,196.6
2016-06-06,197.45,202.6,197.1,198.9,23623500,198.9
2016-06-07,200.45,211.15,200.15,210.15,66063100,210.15
2016-06-08,210.15,211.9,207.55,210.7,35163000,210.7
2016-06-09,210,212.8,208.3,209.95,27858100,209.95
2016-06-10,209.35,211.5,205.3,205.95,25598200,205.95
2016-06-13,201.5,202.6,200.2,201.8,21192500,201.8
2016-06-14,204.35,208.6,203.8,207.7,23918900,207.7
2016-06-15,209.75,217.55,208.55,216.05,48362700,216.05
2016-06-16,216,218.5,213.05,216,48122300,216
2016-06-17,216.75,217.5,211.6,213.45,26486600,213.45
2016-06-20,208,216.7,207.9,215.9,32633700,215.9
2016-06-21,215,217.5,213.15,214,18960300,214
2016-06-22,214,215.25,211.45,212.9,16395500,212.9
2016-06-23,213,218,212.75,217.55,20666600,217.55
2016-06-24,205.9,212.35,202.5,211.25,47224600,211.25
2016-06-27,210.8,218.85,210.55,217.15,29021600,217.15
2016-06-28,216.75,218.65,215.4,215.9,21784000,215.9
2016-06-29,217.9,218.8,216.1,217.2,18019500,217.2
2016-06-30,220,221.9,217.9,218.8,30600900,218.8
2016-07-01,220.8,221,218.9,219.6,15346800,219.6
2016-07-04,222.35,224.35,222,223,16534500,223
2016-07-05,223.25,225.15,221.55,223.5,15357000,223.5
2016-07-06,223.5,223.5,223.5,223.5,0,223.5
2016-07-07,223.9,224.6,219.35,220.05,12917800,220.05
2016-07-08,220.15,220.85,216.5,218.3,16017300,218.3
2016-07-11,223.6,225.45,222,224.7,15831700,224.7
2016-07-12,225,227.2,224.15,226.7,19374100,226.7
2016-07-13,227,228.5,223.95,227.7,18377300,227.7
2016-07-14,227,232.85,226,232,21208000,232
2016-07-15,232.9,234.4,230.8,231.5,15068300,231.5
2016-07-18,232.4,233.85,228.2,228.75,11816900,228.75
2016-07-19,230,232.15,227,229.6,19767300,229.6
2016-07-20,230.65,232.75,229.2,231.15,18051600,231.15
2016-07-21,231.65,232.1,224.4,225.65,13306800,225.65
2016-07-22,225.4,225.9,222.1,223.5,12341600,223.5
2016-07-25,223,231,222.7,229.9,18427000,229.9
2016-07-26,230,232.2,225.9,226.7,14162600,226.7
2016-07-27,227.75,231,226.8,229.25,17626600,229.25
2016-07-28,230.15,235.15,229.3,231,26838200,231
2016-07-29,230,232.7,228.4,229.4,15577200,229.4
2016-08-01,230.8,232.65,225.3,227.3,16071200,227.3
2016-08-02,229.3,230.9,227.3,228.05,16145000,228.05
2016-08-03,228.5,230.5,225.8,226.65,14838900,226.65
2016-08-04,228.45,228.7,223.2,225.65,17810900,225.65
2016-08-05,227.35,233.9,226.9,232.75,21264200,232.75
2016-08-08,233.95,235.9,231.7,233.25,16972800,233.25
2016-08-09,234.25,238,232.65,235.15,19854100,235.15
2016-08-10,236.75,236.9,231.05,231.5,16279800,231.5
2016-08-11,231.5,231.6,226.1,227.15,16673200,227.15
2016-08-12,227,247.95,224.4,243.3,86616400,243.3
2016-08-15,243.3,243.3,243.3,243.3,0,243.3
2016-08-16,245.25,247.9,242.65,246.75,27709800,246.75
2016-08-17,246.45,249.8,244.3,246.25,18294000,246.25
2016-08-18,246.9,250.4,246.55,248.4,14314900,248.4
2016-08-19,255,260,253.5,258.5,39822500,258.5
2016-08-22,259.8,260.4,254,254.8,19769800,254.8
2016-08-23,254.9,255.8,251,254.75,17583700,254.75
2016-08-24,254.95,256.2,253.5,254.4,11560200,254.4
2016-08-25,254.9,255.55,248.6,250.15,21230700,250.15
2016-08-26,250.3,250.7,245.85,246.6,16531900,246.6
2016-08-29,245.85,249.85,244.25,249.05,11786100,249.05
2016-08-30,250.15,252.9,249.8,252.25,15323200,252.25
2016-08-31,253.25,255.8,251.2,252.5,15601500,252.5
2016-09-01,251.95,254.85,251.15,252,12175800,252
2016-09-02,252,255.2,251.65,254.6,11380200,254.6
2016-09-05,254.6,254.6,254.6,254.6,0,254.6
2016-09-06,257.2,261.5,256,260.1,16620900,260.1
2016-09-07,262.9,270.3,260.4,266.8,30862300,266.8
2016-09-08,268,271.6,266.9,268.35,14339100,268.35
2016-09-09,268.4,268.4,263.35,264.1,11455800,264.1
2016-09-12,257.5,258.75,251.8,252.75,18989700,252.75
2016-09-13,252.75,252.75,252.75,252.75,0,252.75
2016-09-14,255,258,253,257.55,12754900,257.55
2016-09-15,258.35,258.35,254.2,256,7783600,256
2016-09-16,257.95,262,253.4,254.3,18013400,254.3
2016-09-19,256,258.3,255.2,255.65,11433200,255.65
2016-09-20,256.4,256.4,253.65,254.45,9914500,254.45
2016-09-21,254.5,256.25,250.65,251.15,12817100,251.15
2016-09-22,257.9,258.45,255.1,257.9,20797300,257.9
2016-09-23,258.8,258.8,253.8,254.55,12730200,254.55
2016-09-26,253.95,254.45,250.65,251.65,8800100,251.65
2016-09-27,253.15,253.9,248.3,249,11345300,249
2016-09-28,250,255.8,248.05,253.75,17277500,253.75
