"Date","ICIL.NS.Open","ICIL.NS.High","ICIL.NS.Low","ICIL.NS.Close","ICIL.NS.Volume","ICIL.NS.Adjusted"
2016-06-06,918,918,873.05,882.35,273400,175.11
2016-06-07,888.75,929.75,867.8,917.65,649200,182.12
2016-06-08,925.05,939,912.2,927.45,307000,184.07
2016-06-09,930,934,915.55,928.25,138000,184.22
2016-06-10,920.05,936.4,915,918.15,143500,182.22
2016-06-13,908.1,919.8,902.45,913.65,125300,181.33
2016-06-14,915,919.9,891.95,900.8,197300,178.78
2016-06-15,901.9,913.85,885,909.9,321400,180.58
2016-06-16,911.85,912,874.45,907.55,417200,180.12
2016-06-17,918.7,920.05,896.15,911.65,283900,180.93
2016-06-20,905.1,942.05,905.1,937.8,329100,186.12
2016-06-21,944.95,965,926.15,958.85,328300,190.3
2016-06-22,968,984.4,936.5,948.2,768700,188.18
2016-06-23,960,960,937.1,941.45,220300,186.84
2016-06-24,924.1,938,875,925.35,469500,183.65
2016-06-27,925,942.5,920,938.35,314800,186.23
2016-06-28,955,955,930.2,938,222300,186.16
2016-06-29,939.85,943.25,931.15,938.2,187200,186.2
2016-06-30,943.25,981,923,966.95,848100,191.9
2016-07-01,971,989.9,965.55,978.35,446600,194.17
2016-07-04,980,1013,977.8,1001.2,516500,198.7
2016-07-05,1007,1013,981,985.3,326700,195.55
2016-07-06,985.3,985.3,985.3,985.3,0,195.55
2016-07-07,983.5,993.9,966,971.9,385400,192.89
2016-07-08,984,988.9,967.2,973.7,243900,193.24
2016-07-11,977.5,1002.95,976,989.65,562500,196.41
2016-07-12,983.15,997.7,981.05,984.95,237000,195.48
2016-07-13,980.15,1004.1,975,985.8,278400,195.65
2016-07-14,982.9,994,939,948.4,376400,188.22
2016-07-15,949.8,950.35,905.3,910.45,688000,181.65
2016-07-18,915,919.45,858.5,867.5,990900,173.08
2016-07-19,870.05,885,850,873.15,621600,174.21
2016-07-20,880,908.9,877.15,904.5,227400,180.46
2016-07-21,904,909.95,871.5,882.55,304900,176.08
2016-07-22,882.55,894.7,864.75,888.75,309400,177.32
2016-07-25,890,897,880.15,883.4,293600,176.25
2016-07-26,888,890.9,861.15,869.2,236200,173.42
2016-07-27,866.25,878.8,860.1,865.15,333500,172.61
2016-07-28,874,887,860,879.6,252300,175.49
2016-07-29,879.6,904,869.9,898.8,305400,179.33
2016-08-01,898.75,904.95,871.9,878,490600,175.18
2016-08-02,885,885,871,879.5,278800,175.47
2016-08-03,880.05,893.75,874.9,877.5,201000,175.08
2016-08-04,876,883.1,870,873.45,291000,174.27
2016-08-05,885,891.95,874,885.45,246200,176.66
2016-08-08,888,895,870.5,875.05,383800,174.59
2016-08-09,886.8,886.8,874,876.05,114300,174.79
2016-08-10,887,887,851,859.55,590300,171.49
2016-08-11,859.6,870.25,842.2,867.4,232900,173.06
2016-08-12,868.2,889,863,878.45,353000,175.26
2016-08-15,878.45,878.45,878.45,878.45,0,175.26
2016-08-16,890,894.95,879.95,890.65,231300,177.7
2016-08-17,889.95,897.8,886,889.75,172900,177.52
2016-08-18,895,899.65,887.7,897.65,166900,179.1
2016-08-19,900,914,900,908.8,255000,181.32
2016-08-22,914.9,941,905.05,935.5,1216300,186.65
2016-08-23,937.4,949,750.3,794.4,9064700,158.5
2016-08-24,816,869,780,850.2,5783000,169.63
2016-08-25,848,865,828.85,857.25,1482700,171.04
2016-08-26,852.1,867.8,847,855.8,994300,170.75
2016-08-29,855.95,875,825.15,833.5,1739200,166.3
2016-08-30,833,839.8,809,813.05,1120100,162.22
2016-08-31,817,831.5,812.1,817.6,786700,163.12
2016-09-01,812.05,824,786.9,799.15,705800,159.44
2016-09-02,805,818.15,800.05,804.5,530500,160.51
2016-09-05,804.5,804.5,804.5,804.5,0,160.51
2016-09-06,816,818,803.05,806.9,298300,160.99
2016-09-07,810.5,827,807.05,817.75,536600,163.15
2016-09-08,822.05,829.55,809,811.45,304400,161.9
2016-09-09,815,815.2,798,804.4,317400,160.49
2016-09-12,800,800,779.35,781.15,289900,155.85
2016-09-13,781.15,781.15,781.15,781.15,0,155.85
2016-09-14,789,797.3,775.95,779.15,355800,155.45
2016-09-15,783.15,792.95,753.65,763,423100,152.23
2016-09-16,769.85,784.9,762.45,772.7,742300,154.17
2016-09-19,780.95,782.75,730.6,742.2,1124800,148.08
2016-09-20,742,755,738.85,745.5,371100,148.74
2016-09-21,749.55,801,745,784.4,1009500,156.5
2016-09-22,790.05,815,780,809.3,928400,161.47
2016-09-23,810,813.9,782,787.55,641600,157.13
2016-09-26,790,795,766.75,770.85,369300,153.8
2016-09-27,768.2,784.05,762.15,766,283500,152.83
2016-09-28,768,775.7,757.45,760.05,446600,151.64
2016-09-29,768,768.75,702.2,718.05,1033200,143.26
2016-09-30,725,736.7,718.25,726.15,357800,144.88
2016-10-03,730,741.95,726.35,730.4,378400,145.73
2016-10-04,737,739,712.1,716.25,808600,142.9
2016-10-05,725.35,758,722.45,738.15,1338300,147.27
2016-10-06,741.7,741.7,715.15,718.9,759500,143.43
2016-10-07,720,724.75,705,706.75,596600,141.01
2016-10-10,708.5,713.45,701.6,707.45,1386900,141.15
2016-10-11,707.45,707.45,707.45,707.45,0,141.15
2016-10-12,707.45,707.45,707.45,707.45,0,141.15
2016-10-13,719.9,719.9,693.5,695.6,479400,138.78
2016-10-14,701,737.75,696,727.95,1376500,145.24
2016-10-17,146.2,152.1,145.82,150.16,1608500,29.96
2016-10-18,152,153.56,150.26,151.68,703400,30.26
2016-10-19,152,158.19,151.37,155.22,1036000,30.97
2016-10-20,156,158.34,155.12,155.99,357200,31.12
2016-10-21,156,156.77,153.33,154.73,321900,30.87
2016-10-24,156.05,157.41,153.69,155.38,343000,31
2016-10-25,156.4,164.78,154.86,164,2047900,32.72
2016-10-26,164.39,166.01,158.04,159.67,799600,31.86
2016-10-27,159.98,162.9,153.28,158.27,1097700,31.58
2016-10-28,159,165.6,159,164.81,642600,32.88
2016-10-31,164.81,164.81,164.81,164.81,0,32.88
2016-11-01,165.72,171.11,162.25,163.62,772100,32.64
2016-11-02,162,163.76,158.69,159.63,377800,31.85
2016-11-03,160,162.4,148.61,151.98,1804500,30.32
2016-11-04,152,156.39,149.75,151.92,1293200,30.31
2016-11-07,154,157.91,153.74,156.98,428100,31.32
2016-11-08,157.8,160.6,156.35,158.6,419200,31.64
2016-11-09,146.2,157.78,142.8,156.84,970500,31.29
2016-11-10,161.99,166,158.43,159.96,530700,31.91
